Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/14,Wyoming - Air Force Dual,125,L,SV-1,7 - 4,Garrett Ricks,67111,6 - 9,Wyoming,Robert Wright,81230
2025,01/19,North Dakota State - Air Force Dual,125,L,SV-1,8 - 1,Tristan Daugherty,62877,10 - 16,North Dakota State,Robert Wright,81230
2025,01/18,South Dakota State - Air Force Dual,125,L,MD,8 - 0,Tanner Jordan,57664,24 - 10,South Dakota State,Robert Wright,81230
2025,01/10,Franklin & Marshall Open,125,W,DEC,2 - 1,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Robert Wright,81230
2025,01/10,Franklin & Marshall Open,125,W,FALL,1:26,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Robert Wright,81230
2025,01/10,Franklin & Marshall Open,125,L,DEC,7 - 0,Davis Motyka,81808,Unlisted,PRTC,Robert Wright,81230
2025,01/10,Franklin & Marshall Open,125,L,DEC,9 - 6,Nain Vasquez,76010,10 - 7,Army West Point,Robert Wright,81230
2025,01/10,Franklin & Marshall Open,125,W,DEC,6 - 0,Benjamin Aranda,71804,13 - 11,Cleveland State,Robert Wright,81230
2025,01/03,Air Force - Oklahoma State Dual,125,L,TF5,20 - 3 5:26,Troy Spratley,73119,24 - 5,Oklahoma State,Robert Wright,81230
2025,12/07,Cleveland State Open,125,W,MD,11 - 1,Billy Smith,75818,Unlisted,Findlay,Robert Wright,81230
2025,12/07,Cleveland State Open,125,W,FALL,4:16,Parker Pikor,93502,1 - 5,Cleveland State,Robert Wright,81230
2025,12/07,Cleveland State Open,125,W,FALL,5:31,Drew Hensen,93545,6 - 8,Michigan State,Robert Wright,81230
2025,12/07,Cleveland State Open,125,L,DEC,3 - 0,Ashton Jackson,81722,15 - 8,Purdue,Robert Wright,81230
2025,12/07,Cleveland State Open,125,W,DEC,5 - 1,Colyn Limbert,85116,12 - 9,Pittsburgh,Robert Wright,81230
2025,11/22,Air Force - Cal Baptist Dual,125,L,DEC,4 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Robert Wright,81230
2025,11/08,Oklahoma - Air Force Dual,125,L,DEC,5 - 1,Antonio Lorenzo,57329,18 - 11,Oklahoma,Robert Wright,81230
2025,11/03,Battle at The Citadel,125,W,MD,13 - 3,Tyler Washburn,85947,8 - 6,The Citadel,Robert Wright,81230
2025,11/03,Battle at The Citadel,125,W,DEC,9 - 3,Malik Hardy,73357,8 - 6,The Citadel,Robert Wright,81230
2025,11/03,Battle at The Citadel,125,W,FALL,5:59,Bradley Yokum,94003,6 - 7,NC State,Robert Wright,81230
2025,11/03,Battle at The Citadel,125,L,TF5,19 - 2 5:52,Vincent Robinson,78062,24 - 3,NC State,Robert Wright,81230
2024,03/09,Big 12 Championships,133,L,MD,11 - 3,Kade Moore,73859,11 - 7,Missouri,Robert Wright,81230
2024,03/09,Big 12 Championships,133,L,MD,11 - 1,Julian Farber,65843,19 - 11,Northern Iowa,Robert Wright,81230
2024,02/18,Northern Colorado - Air Force Dual,133,L,TF5,23 - 5 5:00,Dominick Serrano,61120,23 - 6,Northern Colorado,Robert Wright,81230
2024,02/09,Utah Valley - Air Force Dual,133,L,TF5,19 - 1 4:31,Kase Mauger,65846,6 - 11,Utah Valley,Robert Wright,81230
2024,02/03,Cal Baptist - Air Force Dual,133,L,DEC,2 - 1,Hunter Leake,67190,16 - 10,Cal Baptist,Robert Wright,81230
2024,01/28,Air Force - North Dakota State Dual,133,L,DEC,6 - 2,Fernando Barreto,77720,5 - 12,North Dakota State,Robert Wright,81230
2024,01/14,Air Force - Cal Poly Dual,133,L,TF5,17 - 1 6:47,Zeth Romney,73191,19 - 9,Cal Poly,Robert Wright,81230
2024,01/12,Air Force - Wyoming Dual,133,L,MD,15 - 1,Garrett Ricks,67111,7 - 8,Wyoming,Robert Wright,81230
2024,01/05,David Lehman Open,133,L,DEC,3 - 1,Tyler Dekraker,92133,Unlisted,Unattached,Robert Wright,81230
2024,01/05,David Lehman Open,133,W,FALL,1:21,Ryan Arbeit,84814,4 - 7,Hofstra,Robert Wright,81230
2024,01/05,David Lehman Open,133,W,FALL,1:36,Anthony Mirando,84603,0 - 2,LIU,Robert Wright,81230
2024,01/05,David Lehman Open,133,W,MD,12 - 0,Gavin Caprella,83285,3 - 8,Air Force,Robert Wright,81230
2024,01/05,David Lehman Open,133,L,TF5,21 - 5 5:42,Domenic Zaccone,56926,25 - 10,Campbell,Robert Wright,81230
2024,12/02,Bob Smith Open,133,L,FALL,2:04,Zach Blankenship,78461,6 - 1,Oklahoma State,Robert Wright,81230
2024,12/02,Bob Smith Open,133,W,DEC,7 - 3,Kaden Smith,73706,5 - 9,Oklahoma,Robert Wright,81230
2024,12/02,Bob Smith Open,133,W,FALL,4:46,Collin Creach,79508,Unlisted,Newman,Robert Wright,81230
2024,12/02,Bob Smith Open,133,W,FALL,1:24,Kevin Honas,78593,Unlisted,Fort Hays State,Robert Wright,81230
2024,11/18,Younes Hospitality Open,133,W,DEC,8 - 7,CaRon Watson,88719,Unlisted,Briar Cliff,Robert Wright,81230
2024,11/18,Younes Hospitality Open,133,L,DEC,6 - 3,David Saenz,84616,7 - 5,Wyoming,Robert Wright,81230
