Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,American - Morgan State Dual,125,W,MD,10 - 0,Julian Dawson,84955,4 - 16,Morgan State,JJ Peace,82775
2025,02/16,American - Virginia Dual,125,L,DEC,12 - 10,Keyveon Roller,73139,14 - 9,Virginia,JJ Peace,82775
2025,02/16,American - George Mason Dual,133,W,MD,13 - 3,Geoff Whelan,93650,4 - 19,George Mason,JJ Peace,82775
2025,02/01,Edinboro Open,125,W,TF5,19 - 4 6:27,Presden Sanchez,92960,7 - 9,Maryland,JJ Peace,82775
2025,02/01,Edinboro Open,125,W,DEC,4 - 1,Colyn Limbert,85116,12 - 9,Pittsburgh,JJ Peace,82775
2025,02/01,Edinboro Open,125,W,DEC,8 - 1,Matthew Dolan,78805,10 - 9,West Virginia,JJ Peace,82775
2025,02/01,Edinboro Open,125,W,TF5,22 - 6 4:52,Eamonn Jimenez,78779,2 - 13,Edinboro,JJ Peace,82775
2025,01/26,Campbell - American Dual,125,L,DEC,4 - 2,Cooper Shore,84285,18 - 3,Campbell,JJ Peace,82775
2025,01/26,Central Michigan - American Dual,125,W,SV-1,4 - 1,Grant Stahl,84287,7 - 19,Central Michigan,JJ Peace,82775
2025,01/26,CSU Bakersfield - American Dual,125,L,SV-1,4 - 1,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,JJ Peace,82775
2025,01/10,Franklin & Marshall Open,125,L,DEC,3 - 2,Abram Cline,84637,13 - 13,Maryland,JJ Peace,82775
2025,01/10,Franklin & Marshall Open,125,W,MD,14 - 4,Jay McDonnell,84446,6 - 5,Binghamton,JJ Peace,82775
2025,01/10,Franklin & Marshall Open,125,W,DEC,11 - 6,Noah Tonsor,81065,4 - 5,Army West Point,JJ Peace,82775
2025,01/10,Franklin & Marshall Open,125,L,DEC,7 - 3,Benjamin Aranda,71804,13 - 11,Cleveland State,JJ Peace,82775
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,12 - 2,Abram Cline,84637,13 - 13,Maryland,JJ Peace,82775
2025,12/08,A Better Way Athletics Patriot Open,125,W,DEC,4 - 1,Isaac Hampton,85090,3 - 7,Navy,JJ Peace,82775
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,2 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,JJ Peace,82775
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,9 - 1,Kaden Naame,84336,5 - 9,Rider,JJ Peace,82775
2025,12/08,A Better Way Athletics Patriot Open,125,W,SV-1,4 - 1,Tyson Lane,75724,9 - 9,Gardner-Webb,JJ Peace,82775
2025,11/23,American - Presbyterian Dual,125,W,FALL,4:38,Brayden Adams,78607,2 - 14,Presbyterian,JJ Peace,82775
2025,11/23,American - Duke Dual,125,W,TF5,20 - 4 5:01,Ethan Grimminger,79008,3 - 13,Duke,JJ Peace,82775
2025,03/07,EIWA Championships,125,L,MD,11 - 2,Desmond Pleasant,71583,16 - 7,Drexel,Coen Bainey,78808
2025,03/07,EIWA Championships,125,L,TF5,18 - 3 7:00,Carson Wagner,78720,23 - 12,Binghamton,Coen Bainey,78808
2025,03/07,EIWA Championships,125,W,MD,11 - 1,Nick Treaster,89471,11 - 12,Navy,Coen Bainey,78808
2025,03/07,EIWA Championships,125,W,MD,8 - 0,Julian Dawson,84955,4 - 16,Morgan State,Coen Bainey,78808
2025,03/07,EIWA Championships,125,W,DEC,6 - 0,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Coen Bainey,78808
2025,03/07,EIWA Championships,125,L,MD,14 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Coen Bainey,78808
2025,02/21,American - Penn State Dual,125,L,TF5,20 - 3 5:11,Luke Lilledahl,80223,26 - 3,Penn State,Coen Bainey,78808
2025,02/16,American - George Mason Dual,125,W,DEC,2 - 1,Ben Monn,69708,17 - 13,George Mason,Coen Bainey,78808
2025,02/14,Bucknell - American Dual,125,W,FALL,2:00,Chris Nucifora,85052,0 - 9,Bucknell,Coen Bainey,78808
2025,02/09,Brown - American Dual,125,W,TF5,18 - 2 7:00,Jared Brunner,76391,4 - 21,Brown,Coen Bainey,78808
2025,01/31,American - Lehigh Dual,125,L,FALL,1:08,Sheldon Seymour,62339,24 - 6,Lehigh,Coen Bainey,78808
2025,01/31,American - Drexel Dual,125,L,MD,11 - 2,Desmond Pleasant,71583,16 - 7,Drexel,Coen Bainey,78808
2025,01/17,Harvard - American Dual,125,L,FALL,3:31,Diego Sotelo,71874,12 - 6,Harvard,Coen Bainey,78808
2025,01/04,Southern Scuffle,125,W,TF5,17 - 2 5:50,Ty Tice,84391,7 - 19,Chattanooga,Coen Bainey,78808
2025,01/04,Southern Scuffle,125,W,MD,11 - 0,Caleb Uhorchuk,79300,7 - 10,Army West Point,Coen Bainey,78808
2025,01/04,Southern Scuffle,125,L,TF5,18 - 0 5:38,Keyveon Roller,73139,14 - 9,Virginia,Coen Bainey,78808
2025,01/04,Southern Scuffle,125,L,FALL,4:27,Antonio Lorenzo,57329,18 - 11,Oklahoma,Coen Bainey,78808
2025,01/04,Southern Scuffle,125,W,DEC,4 - 2,Bryson Terrell,79650,11 - 13,Appalachian State,Coen Bainey,78808
2025,12/21,American - Navy Dual,125,L,MD,13 - 1,Nick Treaster,89471,11 - 12,Navy,Coen Bainey,78808
2025,12/15,American - Davidson Dual,125,W,MD,11 - 2,Luke Passarelli,78850,5 - 13,Davidson,Coen Bainey,78808
