Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Arizona State - West Virginia Dual,133,L,DEC,6 - 4,Tommy Maddox,63165,7 - 14,West Virginia,Damian Moreno,84698
2025,02/21,Arizona State - Lehigh Dual,133,W,DEC,8 - 5,Mason Ziegler,84374,7 - 3,Lehigh,Damian Moreno,84698
2025,11/22,Arizona Christian - Arizona State Dual,125,W,SV-1,7 - 4,Abraham Pablo,98821,Unlisted,Arizona Christian,Damian Moreno,84698
2025,11/10,Journeymen Classic,125,L,MD,11 - 3,Ayden Smith,92279,10 - 4,Rutgers,Damian Moreno,84698
2025,11/10,Journeymen Classic,125,L,MD,11 - 0,Louie Gill,79342,14 - 3,NC State,Damian Moreno,84698
2025,11/10,Journeymen Classic,125,W,DEC,5 - 1,Ethan Grimminger,79008,3 - 13,Duke,Damian Moreno,84698
2024,02/10,Firestorm Open,125,W,TF5,18 - 1 7:00,Jason Walden,88088,Unlisted,Ottawa,Damian Moreno,84698
2024,02/10,Firestorm Open,125,W,FALL,2:33,Ricardo Almodobar,88052,Unlisted,Grand Canyon,Damian Moreno,84698
2024,02/10,Firestorm Open,125,W,DEC,6 - 2,Jaren Kimura,87372,Unlisted,Embry-Riddle,Damian Moreno,84698
2024,11/19,Arizona State - Missouri Dual,125,L,FALL,1:38,Noah Surtin,56715,15 - 6,Missouri,Damian Moreno,84698
2024,11/12,Journeymen Classic,125,L,DEC,5 - 3,Jared Chuqulin,87620,1 - 8,LIU,Damian Moreno,84698
2024,11/12,Journeymen Classic,125,W,DEC,8 - 5,Kevin Riedinger,82736,1 - 5,Bloomsburg,Damian Moreno,84698
2024,11/12,Journeymen Classic,125,L,MD,11 - 0,Max Elton,79785,10 - 18,Buffalo,Damian Moreno,84698
2024,11/11,Arizona State - North Carolina Dual,125,L,TF5,17 - 2 7:00,Spencer Moore,68720,15 - 5,North Carolina,Damian Moreno,84698
2025,12/22,Reno TOC,125,L,DEC,10 - 5,Gage Singleton,93533,2 - 2,Oregon State,Ane'e Vigil,88310
2025,12/22,Reno TOC,125,L,MD,14 - 3,Mack Mauger,84326,12 - 6,Missouri,Ane'e Vigil,88310
2025,12/22,Reno TOC,125,W,TF5,20 - 3 2:09,Marques Calapiz,70322,Unlisted,Simon Fraser,Ane'e Vigil,88310
2025,11/10,Mike Clock Open,125,W,TF5,20 - 3 7:00,Benjamin Sommers,97914,Unlisted,Simon Fraser,Ane'e Vigil,88310
2025,11/10,Mike Clock Open,125,L,DEC,12 - 10,Gage Singleton,93533,2 - 2,Oregon State,Ane'e Vigil,88310
2025,11/10,Mike Clock Open,125,W,INJ,5:35,Hunter Taylor,79558,2 - 2,Oregon State,Ane'e Vigil,88310
2024,12/17,Reno TOC,125,L,DEC,10 - 4,Caleb Coyle,69462,3 - 3,Oregon State,Ane'e Vigil,88310
2024,11/12,Mike Clock Open,125,W,FALL,2:53,Joseph-Rodney Troyer,81802,Unlisted,Pacific,Ane'e Vigil,88310
2024,11/12,Mike Clock Open,125,L,TF5,20 - 4 7:00,Caleb Coyle,69462,3 - 3,Oregon State,Ane'e Vigil,88310
2025,11/24,Arizona State - Oklahoma State Dual,133,L,TF5,18 - 1 6:41,Cael Hughes,78063,7 - 1,Oklahoma State,Carter Dibert,71775
2025,11/22,Embry-Riddle (Ariz) - Arizona State Dual,133,W,TF5,17 - 2 2:43,Allan Hendricks,80309,Unlisted,Embry-Riddle,Carter Dibert,71775
2025,11/22,Arizona Christian - Arizona State Dual,133,W,FALL,0:54,Sean Archuleta,98796,Unlisted,Arizona Christian,Carter Dibert,71775
2025,11/17,Daktronics Invitational,133,L,DEC,2 - 0,Cale Seaton,93087,6 - 4,South Dakota State,Carter Dibert,71775
2025,11/17,Daktronics Invitational,133,W,FALL,1:40,Kenton Cooke,92701,1 - 7,South Dakota State,Carter Dibert,71775
2025,11/17,Daktronics Invitational,133,W,TF5,15 - 0 3:00,Hayden Mills,78582,3 - 4,Nebraska,Carter Dibert,71775
2025,11/17,Daktronics Invitational,133,L,SV-1,11 - 8,Tucker Owens,71711,4 - 6,Air Force,Carter Dibert,71775
2025,11/10,Journeymen Classic,133,W,MD,12 - 1,Clayton Carr,93364,2 - 11,Lock Haven,Carter Dibert,71775
2025,11/10,Journeymen Classic,133,W,CMFF,0 - 0,Braxton Appello,79010,12 - 5,Sacred Heart,Carter Dibert,71775
2025,11/10,Journeymen Classic,133,L,DEC,7 - 1,Foster Cardinale,77874,2 - 1,Cornell,Carter Dibert,71775
2024,02/17,Stanford - Arizona State Dual,133,L,DEC,9 - 8,Dominic LaJoie,49112,11 - 10,Stanford,Carter Dibert,71775
2024,12/29,Midlands Championships,133,L,FALL,4:12,Mason Leiphart,73193,22 - 11,Franklin & Marshall,Carter Dibert,71775
2024,12/29,Midlands Championships,133,L,FALL,5:44,Lucian Brink,64945,3 - 7,Northern Illinois,Carter Dibert,71775
2024,12/01,Cliff Keen Invitational,141,L,MD,10 - 1,Tagen Jamison,66962,17 - 10,Oklahoma State,Carter Dibert,71775
2024,12/01,Cliff Keen Invitational,141,L,DEC,2 - 1,Ivan Garcia,67298,15 - 13,Binghamton,Carter Dibert,71775
2024,11/19,Arizona State - Missouri Dual,141,L,MD,14 - 3,Josh Edmond,62704,18 - 10,Missouri,Carter Dibert,71775
2024,11/12,Journeymen Classic,133,W,DEC,6 - 4,Coleman Nogle,84309,15 - 16,Harvard,Carter Dibert,71775
2024,11/12,Journeymen Classic,133,W,DEC,6 - 3,Jameson Garcia,84308,3 - 7,Harvard,Carter Dibert,71775
2024,11/12,Journeymen Classic,133,W,TF5,16 - 1 3:27,Daniel Uhorchuk,71765,5 - 7,Army West Point,Carter Dibert,71775
2024,11/11,Arizona State - Lock Haven Dual,133,L,DEC,8 - 2,Gable Strickland,71822,32 - 13,Lock Haven,Carter Dibert,71775
2023,11/20,Keystone Classic,133,W,DEC,3 - 2,Jaxon Maroney,62880,6 - 12,Drexel,Carter Dibert,71775
2023,11/20,Keystone Classic,133,L,DEC,7 - 2,Richie Koehler,51648,11 - 10,Rider,Carter Dibert,71775
2023,11/20,Keystone Classic,133,L,DEC,5 - 4,Dante Frinzi,74056,10 - 14,Harvard,Carter Dibert,71775
2023,11/13,Journeymen Classic,133,W,TF5,16 - 1 6:54,Alex Turley,76502,7 - 6,Hofstra,Carter Dibert,71775
2023,11/13,Journeymen Classic,133,W,DEC,8 - 7,Ryan Franco,70909,19 - 11,Army West Point,Carter Dibert,71775
2023,11/13,Journeymen Classic,133,W,MD,18 - 5,Gabe Vidlak,70293,4 - 5,Oklahoma,Carter Dibert,71775
2025,12/22,Reno TOC,141,L,DEC,7 - 5,Krayle Stormer,77904,2 - 5,Oregon State,Gavin Bauder,99935
2025,12/22,Reno TOC,141,L,MD,14 - 3,Kolter Burton,79814,3 - 3,Oklahoma State,Gavin Bauder,99935
2025,12/22,Reno TOC,141,W,MD,13 - 2,Emilio Trujillo-Deen,84890,2 - 1,Cal Baptist,Gavin Bauder,99935
2025,12/08,Clackamas Open,141,W,FALL,4:41,DJ Gillett,78496,4 - 4,Oregon State,Gavin Bauder,99935
2025,02/23,Arizona State - West Virginia Dual,141,L,SV-1,5 - 2,Jordan Titus,68738,11 - 18,West Virginia,Emilio Ysaguirre,77145
2025,02/21,Arizona State - Lehigh Dual,141,W,DEC,4 - 1,Carter Bailey,73039,13 - 10,Lehigh,Emilio Ysaguirre,77145
2025,02/16,Oklahoma - Arizona State Dual,141,L,DEC,5 - 4,Mosha Schwartz,55841,16 - 8,Oklahoma,Emilio Ysaguirre,77145
2025,02/15,Cornell - Arizona State Dual,141,W,DEC,9 - 2,Joshua Saunders,66947,19 - 8,Cornell,Emilio Ysaguirre,77145
2025,02/07,Arizona State - Iowa State Dual,141,L,DEC,5 - 1,Jacob Frost,72949,28 - 9,Iowa State,Emilio Ysaguirre,77145
2025,02/02,Northern Colorado - Arizona State Dual,141,L,DEC,7 - 3,Andrew Alirez,56723,17 - 3,Northern Colorado,Emilio Ysaguirre,77145
2025,12/06,Cliff Keen Invitational,141,L,DEC,4 - 0,Haiden Drury,64645,15 - 8,Utah Valley,Emilio Ysaguirre,77145
2025,12/06,Cliff Keen Invitational,141,L,MD,13 - 0,Brock Hardy,51242,27 - 4,Nebraska,Emilio Ysaguirre,77145
2025,12/06,Cliff Keen Invitational,141,W,MD,17 - 5,Riley Edwards,71715,9 - 10,Appalachian State,Emilio Ysaguirre,77145
2025,12/06,Cliff Keen Invitational,141,W,MFOR,0 - 0,Eli Griffin,68743,10 - 6,Cal Baptist,Emilio Ysaguirre,77145
2025,11/24,Arizona State - Oklahoma State Dual,141,L,DEC,5 - 1,Tagen Jamison,66962,21 - 6,Oklahoma State,Emilio Ysaguirre,77145
2025,11/22,Embry-Riddle (Ariz) - Arizona State Dual,141,W,TF5,19 - 4 2:40,Adam Stanley,77704,Unlisted,Embry-Riddle,Emilio Ysaguirre,77145
2025,11/22,Arizona Christian - Arizona State Dual,141,W,FALL,1:47,Channing Porter,88107,Unlisted,Arizona Christian,Emilio Ysaguirre,77145
2025,11/09,Arizona State - Illinois Dual,141,L,DEC,4 - 1,Danny Pucino,66101,15 - 8,Illinois,Emilio Ysaguirre,77145
2025,11/09,Arizona State - LIU Dual,141,W,DEC,9 - 5,Devin Matthews,70150,11 - 14,LIU,Emilio Ysaguirre,77145
2023,03/05,PAC 12 Championships,141,W,MD,13 - 5,Jaylen Carson,62839,1 - 7,Little Rock,Emilio Ysaguirre,77145
2023,03/05,PAC 12 Championships,141,L,FALL,6:05,Cleveland Belton,57334,16 - 10,Oregon State,Emilio Ysaguirre,77145
2023,03/05,PAC 12 Championships,141,W,SV-1,8 - 6,Lawrence Saenz,56597,11 - 8,Cal Poly,Emilio Ysaguirre,77145
2023,02/19,Arizona State - Nebraska Dual,141,W,DEC,10 - 4,Brock Hardy,51242,30 - 8,Nebraska,Emilio Ysaguirre,77145
2023,02/16,CSU Bakersfield - Arizona State Dual,141,W,MD,15 - 3,Louie Ramos,73173,1 - 6,CSU Bakersfield,Emilio Ysaguirre,77145
2023,02/05,Edinboro Open,141,L,DEC,5 - 2,Sammy Alvarez,83960,Unlisted,Unattached,Emilio Ysaguirre,77145
2023,02/05,Edinboro Open,141,L,DEC,3 - 2,Nathan Lucier,71763,14 - 17,Binghamton,Emilio Ysaguirre,77145
2023,02/05,Edinboro Open,141,W,MD,15 - 3,Andy Lucinski,71745,6 - 10,Buffalo,Emilio Ysaguirre,77145
2023,02/05,Edinboro Open,141,W,DEC,5 - 1,Ja'Kerion Merritt,67176,4 - 11,Central Michigan,Emilio Ysaguirre,77145
2023,11/20,Keystone Classic,141,L,DEC,6 - 0,McKenzie Bell,67375,25 - 9,Rider,Emilio Ysaguirre,77145
2023,11/20,Keystone Classic,141,W,DEC,5 - 4,Joseph Cangro,73031,13 - 12,Harvard,Emilio Ysaguirre,77145
2023,11/20,Keystone Classic,141,L,DEC,3 - 2,Joseph Cangro,73031,13 - 12,Harvard,Emilio Ysaguirre,77145
2023,11/20,Keystone Classic,141,L,FALL,4:16,Kenny Herrmann,65762,6 - 6,Harvard,Emilio Ysaguirre,77145
2023,11/20,Keystone Classic,141,W,DEC,10 - 9,Dominic Hargrove,78900,4 - 5,George Mason,Emilio Ysaguirre,77145
2025,03/08,Big 12 Championships,141,L,TF5,16 - 1 5:21,Jacob Frost,72949,28 - 9,Iowa State,Daniel Miranda,84525
2025,03/08,Big 12 Championships,141,L,DEC,17 - 13,Mosha Schwartz,55841,16 - 8,Oklahoma,Daniel Miranda,84525
2025,01/22,Arizona State - Missouri Dual,141,L,MD,17 - 8,Josh Edmond,62704,13 - 12,Missouri,Daniel Miranda,84525
2025,01/19,Arizona State - Stanford Dual,141,L,TF5,16 - 0 6:28,Jason Miranda,64654,20 - 9,Stanford,Daniel Miranda,84525
2025,01/17,Northern Iowa - Arizona State Dual,141,L,MD,19 - 5,Cael Happel,62345,25 - 5,Northern Iowa,Daniel Miranda,84525
2025,01/12,Arizona State - Cal Baptist Dual,141,W,FALL,2:25,Damian Alvarez,93489,2 - 3,Cal Baptist,Daniel Miranda,84525
2025,11/17,Daktronics Invitational,141,W,MD,19 - 7,Carter Nogle,85026,14 - 14,Air Force,Daniel Miranda,84525
2025,11/17,Daktronics Invitational,141,W,TF5,18 - 3 7:00,Avery Allen,84405,17 - 13,South Dakota State,Daniel Miranda,84525
2025,11/17,Daktronics Invitational,141,L,DEC,4 - 2,Ismael Ayoub,77264,2 - 4,Nebraska,Daniel Miranda,84525
2025,11/17,Daktronics Invitational,141,L,MD,14 - 4,Julian Tagg,58261,18 - 13,South Dakota State,Daniel Miranda,84525
2025,11/10,Journeymen Classic,141,L,DEC,7 - 0,Anthony Santaniello,78001,8 - 10,Pittsburgh,Daniel Miranda,84525
2025,11/10,Journeymen Classic,141,L,DEC,18 - 14,Evan Mougalian,72984,14 - 4,Pennsylvania,Daniel Miranda,84525
2025,11/10,Journeymen Classic,141,W,MD,16 - 4,Justin Hoyle,54220,13 - 15,Hofstra,Daniel Miranda,84525
2024,02/18,Cowboy Shootout,141,L,TF5,15 - 0 2:04,Cole Brooks,82044,14 - 8,Wyoming,Daniel Miranda,84525
2024,02/18,Cowboy Shootout,141,L,DEC,5 - 3,Jakob Romero,75096,2 - 4,Utah Valley,Daniel Miranda,84525
2024,02/18,Cowboy Shootout,141,L,FALL,6:59,Gavin Drexler,73017,14 - 9,North Dakota State,Daniel Miranda,84525
2024,02/18,Cowboy Shootout,141,W,CMFF,0 - 0,Kobe Nelms,63874,1 - 9,Utah Valley,Daniel Miranda,84525
2024,02/18,Cowboy Shootout,141,W,FALL,4:56,Brandon Meredith,56935,6 - 8,South Dakota State,Daniel Miranda,84525
2024,02/10,Firestorm Open,141,W,DEC,6 - 5,Yoshiya Funakoshi,79038,3 - 3,Cal Baptist,Daniel Miranda,84525
2024,02/10,Firestorm Open,141,W,DEC,8 - 5,Brady Hoshino,71744,3 - 4,Cal Baptist,Daniel Miranda,84525
2024,11/12,Journeymen Classic,133,W,MFOR,0 - 0,Chad Ozias,78525,Unlisted,Pitt-Johnstown,Daniel Miranda,84525
2024,11/12,Journeymen Classic,133,W,INJ,7:00,Chad Ozias,78525,Unlisted,Pitt-Johnstown,Daniel Miranda,84525
2024,11/12,Journeymen Classic,133,W,FALL,0:55,Sean Wang,73199,1 - 3,Penn State,Daniel Miranda,84525
2024,11/12,Journeymen Classic,133,L,DEC,12 - 5,Conor Collins,74086,11 - 11,Army West Point,Daniel Miranda,84525
2025,02/07,Arizona State - Iowa State Dual,149,L,DEC,10 - 4,Paniro Johnson,68708,23 - 5,Iowa State,Jesse Vasquez,67152
2025,02/02,Northern Colorado - Arizona State Dual,149,W,DEC,6 - 4,Benjamin Alanis,61438,10 - 14,Northern Colorado,Jesse Vasquez,67152
2025,01/22,Arizona State - Missouri Dual,149,W,DEC,2 - 0,Zeke Seltzer,72572,13 - 9,Missouri,Jesse Vasquez,67152
2025,01/19,Arizona State - Stanford Dual,149,L,DEC,4 - 2,EJ Parco,84560,6 - 3,Stanford,Jesse Vasquez,67152
2025,01/17,Northern Iowa - Arizona State Dual,149,L,FALL,5:53,Colin Realbuto,56797,23 - 7,Northern Iowa,Jesse Vasquez,67152
2025,01/12,Arizona State - Cal Baptist Dual,149,W,FALL,5:00,Paul Kelly,84284,14 - 8,Cal Baptist,Jesse Vasquez,67152
2025,12/06,Cliff Keen Invitational,149,W,DEC,10 - 4,Sam Cartella,77873,15 - 12,Northwestern,Jesse Vasquez,67152
2025,12/06,Cliff Keen Invitational,149,W,FALL,4:59,Derek Raike,76503,15 - 7,Ohio,Jesse Vasquez,67152
2025,12/06,Cliff Keen Invitational,149,L,DEC,11 - 4,Ethan Fernandez,72088,19 - 10,Cornell,Jesse Vasquez,67152
2025,12/06,Cliff Keen Invitational,149,L,MD,8 - 0,Anthony Echemendia,62882,6 - 3,Iowa State,Jesse Vasquez,67152
2025,11/24,Arizona State - Oklahoma State Dual,149,W,DEC,9 - 7,Carter Young,71954,10 - 10,Oklahoma State,Jesse Vasquez,67152
2025,11/22,Embry-Riddle (Ariz) - Arizona State Dual,149,W,MD,15 - 5,Jonah Chew,77695,Unlisted,Embry-Riddle,Jesse Vasquez,67152
2025,11/17,Daktronics Invitational,149,W,DEC,11 - 4,John Wiley,73130,2 - 4,Oklahoma,Jesse Vasquez,67152
2025,11/17,Daktronics Invitational,149,W,DEC,10 - 6,Maxwell Petersen,73016,17 - 8,North Dakota State,Jesse Vasquez,67152
2025,11/17,Daktronics Invitational,149,W,DEC,4 - 1,Willie McDougald,67042,21 - 8,Oklahoma,Jesse Vasquez,67152
2025,11/10,Journeymen Classic,149,W,DEC,3 - 1,Alex Nini,79393,10 - 7,Rutgers,Jesse Vasquez,67152
2025,11/10,Journeymen Classic,149,L,DEC,7 - 4,Cross Wasilewski,75492,25 - 5,Pennsylvania,Jesse Vasquez,67152
2025,11/10,Journeymen Classic,149,W,DEC,12 - 8,Finn Solomon,73123,12 - 12,Pittsburgh,Jesse Vasquez,67152
2025,11/09,Arizona State - Illinois Dual,149,L,MD,21 - 7,Kannon Webster,80230,16 - 8,Illinois,Jesse Vasquez,67152
2025,11/09,Arizona State - LIU Dual,149,W,DEC,11 - 7,Drew Witham,70151,9 - 10,LIU,Jesse Vasquez,67152
2024,03/21,NCAA Championships,141,L,DEC,9 - 5,Joshua Koderhandt,70917,25 - 8,Navy,Jesse Vasquez,67152
2024,03/21,NCAA Championships,141,W,FALL,6:26,Jordan Titus,68738,21 - 6,West Virginia,Jesse Vasquez,67152
2024,03/21,NCAA Championships,141,L,MD,8 - 0,Real Woods,50664,23 - 5,Iowa,Jesse Vasquez,67152
2024,03/21,NCAA Championships,141,W,DEC,5 - 2,Malyke Hines,56932,18 - 9,Lehigh,Jesse Vasquez,67152
2024,03/10,PAC 12 Championships,141,W,MD,11 - 2,Jason Miranda,64654,17 - 10,Stanford,Jesse Vasquez,67152
2024,03/10,PAC 12 Championships,141,W,DEC,5 - 2,Cleveland Belton,57334,18 - 9,Oregon State,Jesse Vasquez,67152
2024,02/25,Nebraska - Arizona State Dual,141,L,DEC,6 - 1,Brock Hardy,51242,24 - 9,Nebraska,Jesse Vasquez,67152
2024,02/24,Lehigh - Arizona State Dual,141,W,SV-1,5 - 2,Malyke Hines,56932,18 - 9,Lehigh,Jesse Vasquez,67152
2024,02/18,Cowboy Shootout,141,W,TF5,18 - 2 4:24,Dyson Kunz,71939,3 - 5,Northern Colorado,Jesse Vasquez,67152
2024,02/18,Cowboy Shootout,141,W,DEC,8 - 2,Brandon Meredith,56935,6 - 8,South Dakota State,Jesse Vasquez,67152
2024,02/18,Cowboy Shootout,141,W,DEC,5 - 0,Stockton O'Brien,67451,7 - 10,Wyoming,Jesse Vasquez,67152
2024,02/17,Stanford - Arizona State Dual,141,W,DEC,8 - 3,Jason Miranda,64654,17 - 10,Stanford,Jesse Vasquez,67152
2024,02/09,Arizona State - Cal Poly Dual,141,W,TF5,20 - 4 5:28,Abraham Hinrichsen,70734,7 - 15,Cal Poly,Jesse Vasquez,67152
2024,11/11,Arizona State - Lock Haven Dual,141,W,TF5,19 - 3 6:47,Conner Heckman,84588,6 - 6,Lock Haven,Jesse Vasquez,67152
2024,11/11,Arizona State - North Carolina Dual,141,L,INJ,3:04,Lachlan McNeil,62891,24 - 7,North Carolina,Jesse Vasquez,67152
2023,02/05,Arizona State - Oregon State Dual,141,W,DEC,5 - 2,Cleveland Belton,57334,16 - 10,Oregon State,Jesse Vasquez,67152
2023,02/03,Little Rock - Arizona State Dual,141,W,MD,19 - 6,Jayden Gomez,72122,3 - 8,Little Rock,Jesse Vasquez,67152
2023,01/28,Arizona State - Lehigh Dual,141,L,DEC,2 - 1,Malyke Hines,56932,20 - 14,Lehigh,Jesse Vasquez,67152
2023,01/22,Arizona State - Stanford Dual,141,W,DEC,10 - 4,Jason Miranda,64654,13 - 12,Stanford,Jesse Vasquez,67152
2023,01/20,Cal Poly - Arizona State Dual,141,W,DEC,7 - 3,Lawrence Saenz,56597,11 - 8,Cal Poly,Jesse Vasquez,67152
2023,01/15,Princeton - Arizona State Dual,141,W,MD,11 - 3,Danny Coles,54117,6 - 9,Princeton,Jesse Vasquez,67152
2023,01/08,Arizona State - Iowa State Dual,141,W,SV-1,8 - 6,Casey Swiderski,71913,12 - 12,Iowa State,Jesse Vasquez,67152
2023,01/04,Cornell - Arizona State Dual,141,L,DEC,9 - 3,Vince Cornella,71813,20 - 6,Cornell,Jesse Vasquez,67152
2023,12/29,Midlands Championships,141,W,MD,15 - 2,Kelly Dunnigan,71694,Unlisted,PRTC,Jesse Vasquez,67152
2023,12/29,Midlands Championships,141,L,MFOR,0 - 0,Ryan Michaels,67121,15 - 5,Pittsburgh,Jesse Vasquez,67152
2023,12/29,Midlands Championships,141,L,DEC,6 - 3,Saul Ervin,57010,21 - 10,SIU Edwardsville,Jesse Vasquez,67152
2023,12/29,Midlands Championships,141,W,MD,9 - 1,Zeke Seltzer,72572,15 - 5,Missouri,Jesse Vasquez,67152
2023,12/29,Midlands Championships,141,W,DEC,10 - 4,Dylan Layton,72925,14 - 4,Cleveland State,Jesse Vasquez,67152
2023,12/02,Cliff Keen Invitational,141,L,FALL,1:51,Brock Hardy,51242,30 - 8,Nebraska,Jesse Vasquez,67152
2023,12/02,Cliff Keen Invitational,141,W,FALL,1:58,Joel Vandervere,72131,2 - 4,Northwestern,Jesse Vasquez,67152
2023,12/02,Cliff Keen Invitational,141,L,DEC,7 - 5,Tom Crook,75643,16 - 11,Virginia Tech,Jesse Vasquez,67152
2023,12/02,Cliff Keen Invitational,141,W,MFOR,0 - 0,Garrett Kuchan,69522,11 - 15,Air Force,Jesse Vasquez,67152
2023,12/02,Cliff Keen Invitational,141,W,DEC,4 - 1,Louis Newell,50916,11 - 12,Kent State,Jesse Vasquez,67152
2023,11/17,Missouri - Arizona State Dual,141,W,DEC,3 - 2,Allan Hart,49193,17 - 7,Missouri,Jesse Vasquez,67152
2023,11/13,Journeymen Classic,141,W,TF5,16 - 0 2:30,Cody Foote,70013,0 - 4,Arizona State,Jesse Vasquez,67152
2023,11/13,Journeymen Classic,141,W,FALL,1:54,Josh Mason,53817,18 - 15,Bloomsburg,Jesse Vasquez,67152
2023,11/13,Journeymen Classic,141,L,FALL,3:36,Brock Hardy,51242,30 - 8,Nebraska,Jesse Vasquez,67152
2023,11/13,Journeymen Classic,141,W,DEC,6 - 1,Carmen Ferrante,50660,20 - 13,Pennsylvania,Jesse Vasquez,67152
2023,11/12,Arizona State - Rutgers Dual,141,L,DEC,8 - 4,Sammy Alvarez,56763,13 - 2,Rutgers,Jesse Vasquez,67152
2022,12/21,Penn State - Arizona State Dual,141,L,MD,14 - 3,Nick Lee,49276,21 - 0,Penn State,Jesse Vasquez,67152
