Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,7 - 4,Stevo Poulin,71929,24 - 6,Northern Colorado,Charlie Farmer,71771
2025,03/20,NCAA Championships,125,W,DEC,7 - 4,Nick Babin,65929,10 - 11,Pittsburgh,Charlie Farmer,71771
2025,03/20,NCAA Championships,125,L,DEC,7 - 0,Sheldon Seymour,62339,24 - 6,Lehigh,Charlie Farmer,71771
2025,03/07,EIWA Championships,125,L,DEC,6 - 0,Sheldon Seymour,62339,24 - 6,Lehigh,Charlie Farmer,71771
2025,03/07,EIWA Championships,125,W,DEC,8 - 6,Desmond Pleasant,71583,16 - 7,Drexel,Charlie Farmer,71771
2025,03/07,EIWA Championships,125,W,MD,14 - 4,Coen Bainey,78808,13 - 13,American,Charlie Farmer,71771
2025,02/23,Binghamton - Army West Point Dual,125,W,DEC,8 - 6,Carson Wagner,78720,23 - 12,Binghamton,Charlie Farmer,71771
2025,02/16,Navy - Army West Point Dual,125,W,MD,14 - 2,Nick Treaster,89471,11 - 12,Navy,Charlie Farmer,71771
2025,02/01,Army West Point - Lehigh Dual,125,L,DEC,6 - 4,Sheldon Seymour,62339,24 - 6,Lehigh,Charlie Farmer,71771
2025,01/26,Bucknell - Army West Point Dual,125,W,TF5,23 - 5 7:00,Chris Nucifora,85052,0 - 9,Bucknell,Charlie Farmer,71771
2025,01/19,Army West Point - American Dual,125,W,FALL,2:48,Kaleb Ambrose,93482,0 - 1,American,Charlie Farmer,71771
2025,01/12,Army West Point - LIU Dual,125,W,TF5,17 - 2 7:00,Sawyer Ostroff,92990,5 - 9,LIU,Charlie Farmer,71771
2025,01/10,Franklin & Marshall Open,125,L,MFOR,0 - 0,Davis Motyka,81808,Unlisted,PRTC,Charlie Farmer,71771
2025,01/10,Franklin & Marshall Open,125,W,TF5,22 - 4 4:42,Lucas Fye,85081,4 - 11,Lock Haven,Charlie Farmer,71771
2025,01/10,Franklin & Marshall Open,125,L,DEC,4 - 2,Cooper Shore,84285,18 - 3,Campbell,Charlie Farmer,71771
2025,01/10,Franklin & Marshall Open,125,W,TF5,19 - 2 4:55,Max Elton,79785,17 - 19,Buffalo,Charlie Farmer,71771
2025,01/10,Franklin & Marshall Open,125,W,DEC,5 - 1,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Charlie Farmer,71771
2025,01/04,Southern Scuffle,125,W,MD,23 - 9,Koufax Christiensen,84614,1 - 5,Oklahoma,Charlie Farmer,71771
2025,01/04,Southern Scuffle,125,L,DEC,7 - 4,Cooper Shore,84285,18 - 3,Campbell,Charlie Farmer,71771
2025,01/04,Southern Scuffle,125,L,DEC,8 - 5,Anthony Molton,57207,18 - 8,Campbell,Charlie Farmer,71771
2025,01/04,Southern Scuffle,125,W,FALL,3:33,Jared Brunner,76391,4 - 21,Brown,Charlie Farmer,71771
2025,12/13,Army West Point - Morgan State Dual,125,W,TF5,17 - 2 7:00,Julian Dawson,84955,4 - 16,Morgan State,Charlie Farmer,71771
2025,12/06,Army West Point - Iowa Dual,125,W,MD,8 - 0,Joey Cruz,73188,12 - 13,Iowa,Charlie Farmer,71771
2025,11/24,Black Knight Invite,125,W,TF5,18 - 2 5:29,Connor Smith,93075,1 - 15,Columbia,Charlie Farmer,71771
2025,11/24,Black Knight Invite,125,W,DEC,4 - 2,Sawyer Ostroff,92990,5 - 9,LIU,Charlie Farmer,71771
2025,11/24,Black Knight Invite,125,L,TF5,19 - 4 6:13,Luke Lilledahl,80223,26 - 3,Penn State,Charlie Farmer,71771
2025,11/24,Black Knight Invite,125,W,DEC,5 - 4,Caleb Weiand,79429,13 - 18,Michigan State,Charlie Farmer,71771
2025,11/17,Army West Point - Buffalo Dual,125,W,MD,13 - 4,Max Elton,79785,17 - 19,Buffalo,Charlie Farmer,71771
2025,11/17,Purdue - Army West Point Dual,125,L,TF5,17 - 2 7:00,Matt Ramos,57134,31 - 3,Purdue,Charlie Farmer,71771
2025,11/08,Army West Point - Gardner-Webb Dual,125,W,DEC,5 - 4,Tyson Lane,75724,9 - 9,Gardner-Webb,Charlie Farmer,71771
2025,11/03,Princeton Open,125,W,TF5,21 - 3 5:00,Teague Strobel,93797,6 - 11,Hofstra,Charlie Farmer,71771
2025,11/03,Princeton Open,125,L,DEC,8 - 2,Matty Lopes,84555,10 - 5,Lehigh,Charlie Farmer,71771
2025,11/03,Princeton Open,125,W,SV-1,4 - 1,Ethan Rivera,84435,10 - 8,Princeton,Charlie Farmer,71771
2025,11/03,Princeton Open,125,W,DEC,16 - 10,Mason Ziegler,84374,7 - 3,Lehigh,Charlie Farmer,71771
2024,01/28,Mat-Town Open II,125,W,FALL,6:10,Tyler Chappell,79287,11 - 7,Pittsburgh,Charlie Farmer,71771
2024,01/28,Mat-Town Open II,125,L,TF5,19 - 4 6:23,Luke Stanich,78768,24 - 4,Lehigh,Charlie Farmer,71771
2024,01/28,Mat-Town Open II,125,L,MD,15 - 5,Jett Strickenberger,74382,18 - 6,West Virginia,Charlie Farmer,71771
2024,01/28,Mat-Town Open II,125,W,DEC,4 - 2,Brady Pruett,73565,9 - 8,Pennsylvania,Charlie Farmer,71771
2024,01/27,Army West Point - Bucknell Dual,125,W,FALL,1:43,Owen Bell,84533,3 - 12,Bucknell,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,L,DEC,2 - 1,Ethan Berginc,71779,24 - 11,Army West Point,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,W,FALL,0:15,Logan Agin,62979,10 - 16,Duke,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,W,SV-1,4 - 1,Joseph Fischer,68702,17 - 13,Clarion,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,W,DEC,8 - 3,Desmond Pleasant,71583,19 - 16,Drexel,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,L,DEC,13 - 6,Desmond Pleasant,71583,19 - 16,Drexel,Charlie Farmer,71771
2024,01/01,Southern Scuffle,125,W,MFOR,0 - 0,Brayden Palmer,59826,17 - 4,Chattanooga,Charlie Farmer,71771
2024,12/09,Cleveland State Open,125,W,TF5,20 - 3 3:00,Adan Benavidez,84848,9 - 20,Kent State,Charlie Farmer,71771
2024,12/09,Cleveland State Open,125,L,SV-1,4 - 1,Vincent Kilkeary,74118,16 - 8,Ohio State,Charlie Farmer,71771
2024,12/09,Cleveland State Open,125,W,TF5,20 - 5 6:19,Christian Tanefeu,73460,2 - 6,Michigan,Charlie Farmer,71771
2024,12/09,Cleveland State Open,125,W,DEC,7 - 2,Benjamin Aranda,71804,11 - 13,Cleveland State,Charlie Farmer,71771
2024,12/02,Cougar Clash,125,W,DEC,5 - 3,Blake West,73337,23 - 8,Northern Illinois,Charlie Farmer,71771
2024,12/02,Cougar Clash,125,W,FALL,5:40,Reid Nelson,72129,5 - 9,Little Rock,Charlie Farmer,71771
2024,11/19,Black Knight Invitational,125,W,MD,11 - 2,Max Elton,79785,10 - 18,Buffalo,Charlie Farmer,71771
2024,11/19,Black Knight Invitational,125,W,MD,11 - 3,Carson Wagner,78720,14 - 17,Binghamton,Charlie Farmer,71771
2024,11/19,Black Knight Invitational,125,L,MD,11 - 1,Braeden Davis,77952,22 - 4,Penn State,Charlie Farmer,71771
2024,11/19,Black Knight Invitational,125,L,MD,14 - 4,Gary Steen,68731,6 - 3,Penn State,Charlie Farmer,71771
2024,11/19,Black Knight Invitational,125,W,MD,12 - 3,Brandan Chletsos,72969,10 - 7,Rutgers,Charlie Farmer,71771
2024,11/12,Journeymen Classic,125,W,DEC,4 - 2,Max Gallagher,78893,19 - 10,Pennsylvania,Charlie Farmer,71771
2024,11/12,Journeymen Classic,125,W,TF5,18 - 3 5:13,Robbie Sagaris,73406,14 - 14,LIU,Charlie Farmer,71771
2024,11/12,Journeymen Classic,125,W,MD,18 - 5,Dylan Ryder,50876,12 - 12,Hofstra,Charlie Farmer,71771
2024,11/05,Princeton Open,125,W,TF5,17 - 2 3:24,Luke Sirianni,84262,Unlisted,United States Military Academy,Charlie Farmer,71771
2024,11/05,Princeton Open,125,L,DEC,4 - 0,Joziah Fry,80544,Unlisted,Johnson & Wales,Charlie Farmer,71771
2024,11/05,Princeton Open,125,W,DEC,8 - 5,Joe Couch,78898,0 - 3,Army West Point,Charlie Farmer,71771
2024,11/05,Princeton Open,125,W,MD,21 - 7,Bronson Garber,56759,13 - 21,Bloomsburg,Charlie Farmer,71771
2023,01/06,David Lehman Open,125,L,MFOR,0 - 0,Gabe Giampietro,72979,6 - 8,Drexel,Charlie Farmer,71771
2023,01/06,David Lehman Open,125,W,MD,13 - 5,Gio Diaz,67279,7 - 11,Franklin & Marshall,Charlie Farmer,71771
2023,01/06,David Lehman Open,125,L,SV-1,6 - 4,Quinn Melofchik,61895,2 - 6,Air Force,Charlie Farmer,71771
2023,12/29,Soldier Salute Open,125,L,TF5,19 - 1 4:28,Spencer Lee,49146,20 - 1,Iowa,Charlie Farmer,71771
2023,12/29,Soldier Salute Open,125,W,DEC,7 - 4,Jack Parker,71291,9 - 10,Bellarmine,Charlie Farmer,71771
2023,12/29,Soldier Salute Open,125,L,DEC,6 - 2,Nick Babin,65929,21 - 14,Columbia,Charlie Farmer,71771
2023,12/29,Soldier Salute Open,125,W,DEC,3 - 2,Trever Anderson,76359,5 - 5,Northern Iowa,Charlie Farmer,71771
2023,12/29,Soldier Salute Open,125,W,DEC,5 - 3,Caelan Riley,73733,4 - 7,The Citadel,Charlie Farmer,71771
2023,11/20,Black Knight Invite,125,L,DEC,3 - 2,Zander Phaturos,73554,2 - 2,Campbell,Charlie Farmer,71771
2023,11/20,Black Knight Invite,125,W,SV-1,4 - 2,Patrick Adams,72223,3 - 7,Buffalo,Charlie Farmer,71771
2023,11/20,Black Knight Invite,125,W,DEC,3 - 2,Jacob Moon,73024,9 - 15,Hofstra,Charlie Farmer,71771
2023,11/20,Black Knight Invite,125,W,DEC,9 - 6,Karl Shindledecker,79050,3 - 6,Penn State,Charlie Farmer,71771
2023,11/20,Black Knight Invite,125,W,DEC,8 - 5,Yianni Vines,72655,1 - 8,Columbia,Charlie Farmer,71771
2023,11/13,Journeymen Classic,125,L,DEC,4 - 1,Troy Hohman,75816,7 - 5,NC State,Charlie Farmer,71771
2023,11/13,Journeymen Classic,125,W,DEC,7 - 1,Brady Pruett,73565,6 - 8,Pennsylvania,Charlie Farmer,71771
2023,11/06,Black Knight Scramble,125,W,TF5,18 - 2 7:00,Ashton Thompson,79817,1 - 6,Queens,Charlie Farmer,71771
2023,11/06,Black Knight Scramble,125,W,TF5,22 - 7 7:00,Daniel Graham,79815,0 - 3,Queens,Charlie Farmer,71771
2022,02/06,Edinboro Open,125,L,FALL,0:24,Jace Schafer,73377,9 - 9,West Virginia,Charlie Farmer,71771
2022,02/06,Edinboro Open,125,L,DEC,4 - 2,Christian Tanefeu,73460,5 - 11,Michigan,Charlie Farmer,71771
2022,02/06,Edinboro Open,125,W,DEC,10 - 3,Daniel Adams,72591,1 - 5,Cleveland State,Charlie Farmer,71771
2022,02/06,Edinboro Open,125,W,DEC,4 - 3,Calvin Dalton,72509,8 - 12,Bucknell,Charlie Farmer,71771
2022,12/05,Bob Quayde Cyclone Open,125,W,TF5,16 - 1 3:38,Andreo Ferraina,71946,Unlisted,Kutztown,Charlie Farmer,71771
2022,12/05,Bob Quayde Cyclone Open,125,L,DEC,8 - 4,Matt Wilde,57391,Unlisted,Kutztown,Charlie Farmer,71771
2022,12/05,Bob Quayde Cyclone Open,125,W,MD,14 - 0,Jake Staud,73365,1 - 6,Army West Point,Charlie Farmer,71771
2022,12/05,Bob Quayde Cyclone Open,125,W,MD,10 - 1,Jake Staud,73365,1 - 6,Army West Point,Charlie Farmer,71771
2022,11/20,Shorty Hitchcock Open,125,L,DEC,7 - 2,Devin Flannery,62457,Unlisted,Millersville,Charlie Farmer,71771
2022,11/20,Shorty Hitchcock Open,125,W,TF5,18 - 3 3:49,Andreo Ferraina,71946,Unlisted,Kutztown,Charlie Farmer,71771
2022,11/20,Shorty Hitchcock Open,125,W,TF5,18 - 3 7:00,Hunter Verge,63707,1 - 4,Clarion,Charlie Farmer,71771
2022,11/14,Jonathan Kaloust Bearcat Open,125,W,DEC,12 - 5,Nick Babin,65929,8 - 6,Columbia,Charlie Farmer,71771
2022,11/14,Jonathan Kaloust Bearcat Open,125,W,MD,24 - 10,Calvin Dalton,72509,8 - 12,Bucknell,Charlie Farmer,71771
2022,11/14,Jonathan Kaloust Bearcat Open,125,L,FALL,0:39,Maximillian Leete,72678,12 - 9,American,Charlie Farmer,71771
2022,11/07,East Stroudsburg Open,125,W,MD,11 - 3,Robbie Sagaris,73406,10 - 11,LIU,Charlie Farmer,71771
2022,11/07,East Stroudsburg Open,125,W,MFOR,0 - 0,Kaelen Francois,73404,4 - 14,LIU,Charlie Farmer,71771
2022,11/07,East Stroudsburg Open,125,W,MD,13 - 5,Desmond Pleasant,71583,3 - 9,Drexel,Charlie Farmer,71771
2022,11/07,East Stroudsburg Open,125,L,DEC,6 - 5,Antonio Mininno,50806,7 - 10,Drexel,Charlie Farmer,71771
2025,01/04,Southern Scuffle,125,W,FALL,3:24,Joesph Hubbard,84841,1 - 3,Bellarmine,Caleb Uhorchuk,79300
2025,01/04,Southern Scuffle,125,W,DEC,6 - 4,Damion Ryan,78489,4 - 12,Bellarmine,Caleb Uhorchuk,79300
2025,01/04,Southern Scuffle,125,L,TF5,20 - 4 3:55,Stevo Poulin,71929,24 - 6,Northern Colorado,Caleb Uhorchuk,79300
2025,01/04,Southern Scuffle,125,L,MD,11 - 0,Coen Bainey,78808,13 - 13,American,Caleb Uhorchuk,79300
2025,01/04,Southern Scuffle,125,W,FALL,4:48,Luke Passarelli,78850,5 - 13,Davidson,Caleb Uhorchuk,79300
2025,11/24,Black Knight Invite,125,W,DEC,10 - 3,Connor Smith,93075,1 - 15,Columbia,Caleb Uhorchuk,79300
2025,11/24,Black Knight Invite,125,L,DEC,8 - 1,Sulayman Bah,79305,18 - 16,Columbia,Caleb Uhorchuk,79300
2025,11/24,Black Knight Invite,125,L,DEC,3 - 0,Sulayman Bah,79305,18 - 16,Columbia,Caleb Uhorchuk,79300
2025,11/24,Black Knight Invite,125,W,FALL,5:39,Tyson Lane,75724,9 - 9,Gardner-Webb,Caleb Uhorchuk,79300
2025,11/10,Journeymen Classic,125,L,DEC,3 - 1,Logan Brzozowski,85072,11 - 15,Harvard,Caleb Uhorchuk,79300
2025,11/10,Journeymen Classic,125,L,MD,12 - 3,Carson Wagner,78720,23 - 12,Binghamton,Caleb Uhorchuk,79300
2025,11/10,Journeymen Classic,125,L,MD,11 - 0,Brady Pruett,73565,11 - 7,Pennsylvania,Caleb Uhorchuk,79300
2025,11/10,Journeymen Classic,125,L,FALL,2:55,Greg Diakomihalis,61116,9 - 1,Cornell,Caleb Uhorchuk,79300
2025,11/03,Princeton Open,125,W,FALL,3:50,Ricky Gomez,93767,1 - 4,Rider,Caleb Uhorchuk,79300
2025,11/03,Princeton Open,125,W,MD,16 - 2,Brady Klinsky,92897,1 - 8,Rider,Caleb Uhorchuk,79300
2025,11/03,Princeton Open,125,L,DEC,4 - 1,Ethan Rivera,84435,10 - 8,Princeton,Caleb Uhorchuk,79300
2025,11/03,Princeton Open,125,L,DEC,3 - 2,Mason Ziegler,84374,7 - 3,Lehigh,Caleb Uhorchuk,79300
2025,01/10,Franklin & Marshall Open,125,W,TF5,16 - 1 3:55,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Nain Vasquez,76010
2025,01/10,Franklin & Marshall Open,125,W,MD,13 - 4,Brady Klinsky,92897,1 - 8,Rider,Nain Vasquez,76010
2025,01/10,Franklin & Marshall Open,125,W,DEC,14 - 8,Jack Parker,83327,16 - 16,Franklin & Marshall,Nain Vasquez,76010
2025,01/10,Franklin & Marshall Open,125,L,DEC,2 - 0,Anthony Molton,57207,18 - 8,Campbell,Nain Vasquez,76010
2025,01/10,Franklin & Marshall Open,125,W,DEC,9 - 6,Robert Wright,81230,9 - 9,Air Force,Nain Vasquez,76010
2025,01/04,Southern Scuffle,125,L,DEC,4 - 2,Beric Jordan,84763,12 - 3,Oklahoma,Nain Vasquez,76010
2025,01/04,Southern Scuffle,125,L,DEC,5 - 4,Gylon Sims,84440,19 - 9,The Citadel,Nain Vasquez,76010
2025,01/04,Southern Scuffle,125,W,MD,11 - 3,Malik Hardy,73357,8 - 6,The Citadel,Nain Vasquez,76010
2025,01/04,Southern Scuffle,125,W,TF5,21 - 6 4:41,Easton Cooper,93008,2 - 8,Chattanooga,Nain Vasquez,76010
2025,01/04,Southern Scuffle,125,W,TF5,17 - 2 3:40,Julian Dawson,84955,4 - 16,Morgan State,Nain Vasquez,76010
2025,12/08,Bob Quade Open,125,W,FALL,1:51,Roman Citro,87286,Unlisted,Sussex County Community College,Nain Vasquez,76010
2025,12/08,Bob Quade Open,125,W,TF5,19 - 3 6:42,Sean Campbell,88769,Unlisted,East Stroudsburg,Nain Vasquez,76010
2025,12/08,Bob Quade Open,125,W,TF5,26 - 10 7:00,Jack Thode,81562,Unlisted,Centenary,Nain Vasquez,76010
2025,11/10,Journeymen Classic,133,L,MD,16 - 7,Tyler Ferrera,78735,13 - 7,Cornell,Nain Vasquez,76010
2025,11/10,Journeymen Classic,133,W,MD,13 - 5,Chase Liardi,72134,10 - 14,Hofstra,Nain Vasquez,76010
2025,11/10,Journeymen Classic,133,L,MD,14 - 6,Brett Ungar,68705,5 - 3,Cornell,Nain Vasquez,76010
2025,11/03,Princeton Open,133,W,MD,14 - 2,Michael Campanaro,87243,0 - 8,Rider,Nain Vasquez,76010
2025,11/03,Princeton Open,133,W,DEC,11 - 4,Joe Couch,78898,1 - 2,Army West Point,Nain Vasquez,76010
2025,11/03,Princeton Open,133,L,TF5,16 - 1 5:27,Drew Heethuis,78620,6 - 6,Princeton,Nain Vasquez,76010
2025,11/03,Princeton Open,133,L,MD,12 - 4,Zack Witmer,68704,4 - 9,Columbia,Nain Vasquez,76010
2024,01/05,David Lehman Open,133,L,DEC,5 - 4,Christopher Betancourt,84576,4 - 12,LIU,Nain Vasquez,76010
2024,01/05,David Lehman Open,133,L,MD,15 - 5,Coleman Nogle,84309,15 - 16,Harvard,Nain Vasquez,76010
2024,11/12,Journeymen Classic,133,W,FALL,6:59,Christopher Betancourt,84576,4 - 12,LIU,Nain Vasquez,76010
2024,11/12,Journeymen Classic,133,W,SV-1,8 - 5,Kaelen Francois,73404,2 - 13,LIU,Nain Vasquez,76010
2024,11/12,Journeymen Classic,133,L,DEC,8 - 1,Alex Almeyda,72982,9 - 2,Pennsylvania,Nain Vasquez,76010
2024,11/05,Princeton Open,133,L,TB-2,4 - 3,Eren Sement,85949,Unlisted,High School,Nain Vasquez,76010
2024,11/05,Princeton Open,133,L,DEC,10 - 8,Jake Eckerle,69768,Unlisted,Johnson & Wales,Nain Vasquez,76010
2023,01/06,David Lehman Open,133,W,MD,14 - 4,Joe Couch,78898,5 - 6,Army West Point,Nain Vasquez,76010
2023,01/06,David Lehman Open,133,L,MD,16 - 5,Sean Logue,78512,16 - 8,Lock Haven,Nain Vasquez,76010
2023,01/06,David Lehman Open,133,W,FALL,3:35,Max Martin,73698,0 - 6,North Carolina,Nain Vasquez,76010
2023,01/06,David Lehman Open,133,L,DEC,8 - 1,Jack Maida,72679,20 - 15,American,Nain Vasquez,76010
2023,01/06,David Lehman Open,133,W,DEC,6 - 2,Daniel Uhorchuk,71765,2 - 5,Army West Point,Nain Vasquez,76010
2022,02/06,Edinboro Open,133,L,DEC,8 - 2,Carter Bailey,73039,15 - 8,Lehigh,Nain Vasquez,76010
2022,02/06,Edinboro Open,133,L,DEC,8 - 5,Vince Perez,60001,14 - 20,Central Michigan,Nain Vasquez,76010
2022,12/05,Bob Quayde Cyclone Open,133,W,SV-1,5 - 3,Jacy Jones,57838,Unlisted,Centenary,Nain Vasquez,76010
2022,12/05,Bob Quayde Cyclone Open,133,L,DEC,11 - 6,Collin Wickramaratna,64006,Unlisted,Kutztown,Nain Vasquez,76010
2022,12/05,Bob Quayde Cyclone Open,133,W,FALL,4:10,Brandon Del La Rosa,66936,Unlisted,East Stroudsburg,Nain Vasquez,76010
2022,12/05,Bob Quayde Cyclone Open,133,W,FALL,4:45,Carlens Lapaix,70208,Unlisted,East Stroudsburg,Nain Vasquez,76010
