Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,EIWA Championships,125,W,DEC,8 - 5,Robbie Sagaris,73406,14 - 9,LIU,Carson Wagner,78720
2025,03/07,EIWA Championships,125,W,TF5,18 - 3 7:00,Coen Bainey,78808,13 - 13,American,Carson Wagner,78720
2025,03/07,EIWA Championships,125,W,TB-2,6 - 5,Robbie Sagaris,73406,14 - 9,LIU,Carson Wagner,78720
2025,03/07,EIWA Championships,125,L,FALL,2:59,Sheldon Seymour,62339,24 - 6,Lehigh,Carson Wagner,78720
2025,02/23,Binghamton - Army West Point Dual,125,L,DEC,8 - 6,Charlie Farmer,71771,23 - 10,Army West Point,Carson Wagner,78720
2025,02/16,Binghamton - Buffalo Dual,125,W,DEC,7 - 2,Max Elton,79785,17 - 19,Buffalo,Carson Wagner,78720
2025,02/07,Binghamton - Morgan State Dual,125,W,TF5,16 - 1 7:00,Isaac Sheehan,84766,0 - 6,Morgan State,Carson Wagner,78720
2025,02/01,Cornell - Binghamton Dual,125,L,MD,10 - 2,Marcello Milani,78106,16 - 14,Cornell,Carson Wagner,78720
2025,01/25,Binghamton - Brown Dual,125,W,MD,17 - 3,Jared Brunner,76391,4 - 21,Brown,Carson Wagner,78720
2025,01/25,Binghamton - Harvard Dual,125,W,DEC,10 - 3,Diego Sotelo,71874,12 - 6,Harvard,Carson Wagner,78720
2025,01/18,Binghamton - Drexel Dual,125,L,DEC,4 - 2,Desmond Pleasant,71583,16 - 7,Drexel,Carson Wagner,78720
2025,01/18,Binghamton - Franklin & Marshall Dual,125,W,DEC,12 - 6,Jack Parker,83327,16 - 16,Franklin & Marshall,Carson Wagner,78720
2025,01/11,Lehigh - Binghamton Dual,125,L,DEC,7 - 5,Sheldon Seymour,62339,24 - 6,Lehigh,Carson Wagner,78720
2025,01/09,Hofstra - Binghamton Dual,125,W,DEC,1 - 0,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Carson Wagner,78720
2025,01/05,Maryland - Binghamton Dual,125,W,MD,11 - 3,Tyler Garvin,84590,5 - 21,Maryland,Carson Wagner,78720
2025,01/05,Lock Haven - Binghamton Dual,125,W,MD,11 - 3,Lucas Fye,85081,4 - 11,Lock Haven,Carson Wagner,78720
2025,01/05,Columbia - Binghamton Dual,125,W,DEC,4 - 3,Sulayman Bah,79305,18 - 16,Columbia,Carson Wagner,78720
2025,12/22,Little Rock - Binghamton Dual,125,W,DEC,11 - 6,Tyson Roach,93198,5 - 5,Little Rock,Carson Wagner,78720
2025,12/22,Penn State - Binghamton Dual,125,L,TF5,19 - 4 5:37,Luke Lilledahl,80223,26 - 3,Penn State,Carson Wagner,78720
2025,12/22,Missouri - Binghamton Dual,125,L,DEC,8 - 1,Gage Walker,84476,11 - 11,Missouri,Carson Wagner,78720
2025,12/15,Binghamton - LIU Dual,125,W,FALL,0:48,Robbie Sagaris,73406,14 - 9,LIU,Carson Wagner,78720
2025,12/06,Cliff Keen Invitational,125,L,MD,11 - 2,Adrian Meza,83499,12 - 6,Iowa State,Carson Wagner,78720
2025,12/06,Cliff Keen Invitational,125,L,DEC,8 - 5,Caleb Smith,58559,24 - 7,Nebraska,Carson Wagner,78720
2025,12/06,Cliff Keen Invitational,125,W,DEC,8 - 3,Noah Luna,79081,5 - 10,Appalachian State,Carson Wagner,78720
2025,11/24,Big Red Invitational,125,W,DEC,5 - 2,Max Elton,79785,17 - 19,Buffalo,Carson Wagner,78720
2025,11/24,Big Red Invitational,125,W,MD,13 - 1,Bobby Gardner,78707,3 - 7,Clarion,Carson Wagner,78720
2025,11/24,Big Red Invitational,125,W,TF5,18 - 3 7:00,Jared Brunner,76391,4 - 21,Brown,Carson Wagner,78720
2025,11/24,Big Red Invitational,125,L,DEC,4 - 2,Marcello Milani,78106,16 - 14,Cornell,Carson Wagner,78720
2025,11/24,Big Red Invitational,125,W,CMFF,0 - 0,Greg Diakomihalis,61116,9 - 1,Cornell,Carson Wagner,78720
2025,11/10,Journeymen Classic,125,L,DEC,14 - 10,Logan Brzozowski,85072,11 - 15,Harvard,Carson Wagner,78720
2025,11/10,Journeymen Classic,125,W,DEC,12 - 5,Brady Pruett,73565,11 - 7,Pennsylvania,Carson Wagner,78720
2025,11/10,Journeymen Classic,125,L,DEC,9 - 6,Greg Diakomihalis,61116,9 - 1,Cornell,Carson Wagner,78720
2025,11/10,Journeymen Classic,125,W,MD,12 - 3,Caleb Uhorchuk,79300,7 - 10,Army West Point,Carson Wagner,78720
2025,11/09,Illinois - Binghamton Dual,125,W,DEC,10 - 5,Caelan Riley,73733,5 - 16,Illinois,Carson Wagner,78720
2024,03/08,EIWA Championships,125,W,DEC,11 - 9,Nick Babin,65929,16 - 14,Columbia,Carson Wagner,78720
2024,03/08,EIWA Championships,125,L,MD,13 - 2,Diego Sotelo,71874,25 - 12,Harvard,Carson Wagner,78720
2024,03/08,EIWA Championships,125,L,MD,11 - 3,Robbie Sagaris,73406,14 - 14,LIU,Carson Wagner,78720
2024,02/25,Binghamton - Cornell Dual,125,L,TF5,16 - 0 7:00,Brett Ungar,68705,20 - 9,Cornell,Carson Wagner,78720
2024,02/16,Northwestern - Binghamton Dual,125,L,DEC,11 - 5,Massey Odiotti,84345,7 - 17,Northwestern,Carson Wagner,78720
2024,02/10,Binghamton - Princeton Dual,125,W,DEC,8 - 1,Drew Heethuis,78620,14 - 12,Princeton,Carson Wagner,78720
2024,02/09,Binghamton - Hofstra Dual,125,W,DEC,8 - 2,Dylan Acevedo-Switzer,73023,7 - 14,Hofstra,Carson Wagner,78720
2024,01/27,Brown - Binghamton Dual,125,L,DEC,7 - 2,Michael Joyce,76394,8 - 9,Brown,Carson Wagner,78720
2024,01/27,Harvard - Binghamton Dual,125,L,DEC,8 - 6,Diego Sotelo,71874,25 - 12,Harvard,Carson Wagner,78720
2024,01/21,Army West Point - Binghamton Dual,125,L,DEC,8 - 2,Ethan Berginc,71779,24 - 11,Army West Point,Carson Wagner,78720
2024,01/21,Navy - Binghamton Dual,125,W,MD,13 - 5,Dayton DelViscio,73322,8 - 13,Navy,Carson Wagner,78720
2024,01/13,Buffalo - Binghamton Dual,125,W,DEC,10 - 4,Max Elton,79785,10 - 18,Buffalo,Carson Wagner,78720
2024,01/13,Drexel - Binghamton Dual,125,L,SV-1,5 - 2,Desmond Pleasant,71583,19 - 16,Drexel,Carson Wagner,78720
2024,01/12,Binghamton - Lehigh Dual,125,L,MD,16 - 3,Sheldon Seymour,62339,13 - 5,Lehigh,Carson Wagner,78720
2024,01/05,David Lehman Open,125,L,MD,14 - 6,Cooper Shore,84285,8 - 2,Campbell,Carson Wagner,78720
2024,01/05,David Lehman Open,125,L,FALL,4:01,Anthony Molton,57207,21 - 5,Campbell,Carson Wagner,78720
2024,01/05,David Lehman Open,125,W,DEC,6 - 0,Logan Sallot,79291,4 - 14,Lock Haven,Carson Wagner,78720
2024,01/05,David Lehman Open,125,W,DEC,4 - 2,Brady Pruett,73565,9 - 8,Pennsylvania,Carson Wagner,78720
2024,01/05,David Lehman Open,125,W,DEC,5 - 1,Jordan Villareal,79336,1 - 4,Pittsburgh,Carson Wagner,78720
2024,12/22,Wilkes Open,125,W,MD,12 - 1,Luke Sirianni,84262,Unlisted,United States Military Academy,Carson Wagner,78720
2024,12/22,Wilkes Open,125,W,DEC,6 - 3,Joe Couch,78898,0 - 3,Army West Point,Carson Wagner,78720
2024,12/22,Wilkes Open,125,W,MD,11 - 3,Tommy Link,73764,Unlisted,United States Military Academy,Carson Wagner,78720
2024,12/22,Wilkes Open,125,W,TF5,16 - 1 4:21,Mason McLendon,85287,Unlisted,Pitt-Johnstown,Carson Wagner,78720
2024,12/01,Cliff Keen Invitational,125,L,TF5,15 - 0 7:00,Brett Ungar,68705,20 - 9,Cornell,Carson Wagner,78720
2024,12/01,Cliff Keen Invitational,125,L,FALL,4:29,Nick Babin,65929,16 - 14,Columbia,Carson Wagner,78720
2024,12/01,Cliff Keen Invitational,125,W,DEC,2 - 1,Robbie Sagaris,73406,14 - 14,LIU,Carson Wagner,78720
2024,11/26,Mat Town Open I,125,W,TF5,18 - 1 3:51,Ernie Perry,84553,Unlisted,Spartan Combat RTC,Carson Wagner,78720
2024,11/26,Mat Town Open I,125,W,SV-1,8 - 5,Marcello Milani,78106,8 - 1,Cornell,Carson Wagner,78720
2024,11/26,Mat Town Open I,125,L,FALL,1:16,Greg Diakomihalis,61116,13 - 3,Cornell,Carson Wagner,78720
2024,11/26,Mat Town Open I,125,W,SV-1,4 - 1,Kurt McHenry,56182,0 - 2,Penn State,Carson Wagner,78720
2024,11/19,Black Knight Invitational,125,L,DEC,12 - 5,Gary Steen,68731,6 - 3,Penn State,Carson Wagner,78720
2024,11/19,Black Knight Invitational,125,W,DEC,4 - 2,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Carson Wagner,78720
2024,11/19,Black Knight Invitational,125,L,MD,11 - 3,Charlie Farmer,71771,19 - 7,Army West Point,Carson Wagner,78720
2024,11/17,Long Island University  - Binghamton Dual,125,W,TF5,20 - 2 7:00,Robbie Sagaris,73406,14 - 14,LIU,Carson Wagner,78720
2024,11/17,NC State - Binghamton Dual,125,L,TF5,22 - 5 5:25,Jakob Camacho,50655,17 - 6,NC State,Carson Wagner,78720
2025,03/02,Zingo Nationals,133,W,FALL,1:09,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Dillon Arrick,92942
2025,03/02,Zingo Nationals,133,L,DEC,8 - 3,Mason Gibson,82776,8 - 2,Rutgers,Dillon Arrick,92942
2025,03/02,Zingo Nationals,133,L,DEC,5 - 2,Brandan Chletsos,72969,3 - 3,Rutgers,Dillon Arrick,92942
2025,02/09,Sacred Heart - Binghamton Dual,133,W,FALL,7:00,Mike Manta,79721,2 - 4,Sacred Heart,Dillon Arrick,92942
2025,02/07,Binghamton - Morgan State Dual,133,W,TF5,21 - 4 7:00,Jimmie Jones,89451,2 - 5,Morgan State,Dillon Arrick,92942
2025,02/01,Edinboro Open,133,W,TF5,17 - 2 5:34,Liam Dwyer,99363,Unlisted,Spartan Combat RTC,Dillon Arrick,92942
2025,02/01,Edinboro Open,133,L,DEC,11 - 9,Cameron Chinavare,92981,6 - 4,Central Michigan,Dillon Arrick,92942
2025,02/01,Edinboro Open,133,L,TF5,17 - 0 6:30,Joseph Fischer,68702,17 - 6,Clarion,Dillon Arrick,92942
2025,02/01,Edinboro Open,133,W,TF5,19 - 2 4:06,Shamil Kalmatov,72680,2 - 6,American,Dillon Arrick,92942
2025,12/01,Mat-Town Open I,133,W,FALL,3:27,Liam Dwyer,99363,Unlisted,Spartan Combat RTC,Dillon Arrick,92942
2025,12/01,Mat-Town Open I,133,L,FALL,0:54,Dominic Deputy,99362,Unlisted,Unattached,Dillon Arrick,92942
2025,12/01,Mat-Town Open I,133,W,TF5,18 - 0 4:17,Jaton Wellington,93768,0 - 3,Rider,Dillon Arrick,92942
2025,12/01,Mat-Town Open I,133,L,DEC,5 - 0,Vinnie D'Alessandro,83326,9 - 10,Bucknell,Dillon Arrick,92942
2025,11/24,Big Red Invitational,133,W,DEC,6 - 1,Caden Barrientos,93810,1 - 3,Buffalo,Dillon Arrick,92942
2025,11/24,Big Red Invitational,133,L,MD,13 - 4,Scott Johnson,78992,12 - 8,Clarion,Dillon Arrick,92942
2025,11/24,Big Red Invitational,133,W,DEC,4 - 1,Troy Guerra,78599,1 - 23,Buffalo,Dillon Arrick,92942
2025,11/24,Big Red Invitational,133,L,DEC,6 - 1,Ethan Qureshi,81106,8 - 3,Cornell,Dillon Arrick,92942
2025,03/02,Zingo Nationals,141,L,DEC,8 - 3,Tyler Adams,85092,Unlisted,US Naval Academy Prep School,Jack Kazalas,93763
2025,03/02,Zingo Nationals,141,L,DEC,9 - 8,Joe Davi,84357,4 - 7,Princeton,Jack Kazalas,93763
2025,02/01,Edinboro Open,133,L,MD,9 - 0,Hunter Gould,85082,13 - 8,Lock Haven,Jack Kazalas,93763
2025,02/01,Edinboro Open,133,L,DEC,6 - 0,Jace Schafer,73377,10 - 6,West Virginia,Jack Kazalas,93763
2025,01/25,Binghamton - Harvard Dual,133,L,DEC,2 - 1,Logan Brzozowski,85072,11 - 15,Harvard,Jack Kazalas,93763
2025,01/10,Franklin & Marshall Open,133,W,FALL,1:34,Anthony Mirando,84603,0 - 4,LIU,Jack Kazalas,93763
2025,01/10,Franklin & Marshall Open,133,L,MD,15 - 4,Ethan Berginc,71779,25 - 8,Army West Point,Jack Kazalas,93763
2025,01/10,Franklin & Marshall Open,133,L,TF5,19 - 1 6:02,Gavin Caprella,83285,16 - 16,Air Force,Jack Kazalas,93763
2025,12/22,Little Rock - Binghamton Dual,133,L,FALL,1:14,Nasir Bailey,79029,21 - 5,Little Rock,Jack Kazalas,93763
2025,11/24,Big Red Invitational,133,W,FALL,1:51,Anthony Samuels,93969,1 - 9,Sacred Heart,Jack Kazalas,93763
2025,11/24,Big Red Invitational,133,W,FALL,1:42,Anthony Samuels,93969,1 - 9,Sacred Heart,Jack Kazalas,93763
2025,11/24,Big Red Invitational,133,W,TF5,15 - 0 7:00,Caden Barrientos,93810,1 - 3,Buffalo,Jack Kazalas,93763
2025,11/24,Big Red Invitational,133,L,DEC,9 - 5,Ethan Qureshi,81106,8 - 3,Cornell,Jack Kazalas,93763
2025,11/10,Journeymen Classic,133,W,FALL,0:56,Angelo DiPol,93204,0 - 3,Sacred Heart,Jack Kazalas,93763
2025,11/10,Journeymen Classic,133,L,MD,11 - 1,Richard Murillo,92946,7 - 1,Cal Baptist,Jack Kazalas,93763
2025,11/10,Journeymen Classic,133,L,DEC,6 - 0,Hunter Gould,85082,13 - 8,Lock Haven,Jack Kazalas,93763
2025,03/07,EIWA Championships,141,L,MD,13 - 4,Carter Bailey,73039,13 - 10,Lehigh,Nathan Lucier,71763
2025,03/07,EIWA Championships,141,W,DEC,9 - 2,Devin Matthews,70150,11 - 14,LIU,Nathan Lucier,71763
2025,03/07,EIWA Championships,141,L,DEC,4 - 2,Justin Hoyle,54220,13 - 15,Hofstra,Nathan Lucier,71763
2025,03/07,EIWA Championships,141,L,DEC,8 - 3,Richard Treanor,68698,18 - 8,Army West Point,Nathan Lucier,71763
2025,02/23,Binghamton - Army West Point Dual,141,L,DEC,4 - 2,Richard Treanor,68698,18 - 8,Army West Point,Nathan Lucier,71763
2025,02/16,Binghamton - Buffalo Dual,141,W,MD,11 - 3,Andy Lucinski,71745,3 - 11,Buffalo,Nathan Lucier,71763
2025,02/09,Sacred Heart - Binghamton Dual,141,W,DEC,4 - 1,Andrew Fallon,69899,8 - 15,Sacred Heart,Nathan Lucier,71763
2025,02/01,Cornell - Binghamton Dual,141,L,MD,13 - 1,Joshua Saunders,66947,19 - 8,Cornell,Nathan Lucier,71763
2025,01/25,Binghamton - Brown Dual,141,W,DEC,7 - 6,Ian Oswalt,71942,17 - 7,Brown,Nathan Lucier,71763
2025,01/25,Binghamton - Harvard Dual,141,L,DEC,6 - 5,Dante Frinzi,74056,9 - 15,Harvard,Nathan Lucier,71763
2025,01/18,Binghamton - Drexel Dual,141,L,DEC,8 - 4,Jordan Soriano,73711,19 - 9,Drexel,Nathan Lucier,71763
2025,01/18,Binghamton - Franklin & Marshall Dual,141,L,MD,12 - 3,Bryce Kresho,78572,33 - 15,Franklin & Marshall,Nathan Lucier,71763
2025,01/09,Hofstra - Binghamton Dual,141,L,DEC,4 - 2,Justin Hoyle,54220,13 - 15,Hofstra,Nathan Lucier,71763
2025,01/05,Maryland - Binghamton Dual,141,W,DEC,2 - 1,Dario Lemus,78721,9 - 15,Maryland,Nathan Lucier,71763
2025,01/05,Lock Haven - Binghamton Dual,141,L,MD,14 - 4,Wyatt Henson,63069,27 - 6,Lock Haven,Nathan Lucier,71763
2025,12/22,Little Rock - Binghamton Dual,141,W,MD,14 - 3,Cole Minnick,72222,0 - 3,Little Rock,Nathan Lucier,71763
2025,12/22,Penn State - Binghamton Dual,141,L,MD,14 - 2,Beau Bartlett,62221,26 - 2,Penn State,Nathan Lucier,71763
2025,12/22,Missouri - Binghamton Dual,141,L,MD,11 - 3,Josh Edmond,62704,13 - 12,Missouri,Nathan Lucier,71763
2025,12/15,Binghamton - LIU Dual,141,L,DEC,10 - 4,Devin Matthews,70150,11 - 14,LIU,Nathan Lucier,71763
2025,11/24,Black Knight Invite,141,L,DEC,14 - 8,Ty Edwards,93065,13 - 11,Gardner-Webb,Nathan Lucier,71763
2025,11/24,Black Knight Invite,141,W,DEC,7 - 4,Devin Matthews,70150,11 - 14,LIU,Nathan Lucier,71763
2025,11/24,Black Knight Invite,141,L,MD,12 - 1,Richard Treanor,68698,18 - 8,Army West Point,Nathan Lucier,71763
2025,11/10,Journeymen Classic,141,L,DEC,7 - 5,Jameson Garcia,84308,10 - 9,Harvard,Nathan Lucier,71763
2025,11/10,Journeymen Classic,141,W,DEC,14 - 7,Bryce Kresho,78572,33 - 15,Franklin & Marshall,Nathan Lucier,71763
2025,11/10,Journeymen Classic,141,W,MD,13 - 5,Myles Griffin,71747,0 - 3,Cornell,Nathan Lucier,71763
2025,11/09,Illinois - Binghamton Dual,141,L,MD,14 - 4,Danny Pucino,66101,15 - 8,Illinois,Nathan Lucier,71763
2024,03/08,EIWA Championships,141,L,FALL,6:16,Tyler Vasquez,76366,14 - 15,Princeton,Nathan Lucier,71763
2024,03/08,EIWA Championships,141,L,MD,11 - 2,Malyke Hines,56932,18 - 9,Lehigh,Nathan Lucier,71763
