Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/01,Edinboro Open,133,W,FALL,3:45,Liam Dwyer,99363,Unlisted,Spartan Combat RTC,Jace Schafer,73377
2025,02/01,Edinboro Open,133,L,FALL,2:51,Aiden Allen,92968,6 - 6,Virginia,Jace Schafer,73377
2025,02/01,Edinboro Open,133,W,DEC,6 - 0,Jack Kazalas,93763,5 - 10,Binghamton,Jace Schafer,73377
2025,02/01,Edinboro Open,133,L,MD,15 - 4,Conor Collins,74086,9 - 5,Army West Point,Jace Schafer,73377
2025,12/21,West Virginia - Campbell Dual,125,W,FALL,3:29,Anthony Molton,57207,18 - 8,Campbell,Jace Schafer,73377
2025,12/21,Wisconsin - West Virginia Dual,125,L,MD,9 - 0,Nicolar Rivera,78438,24 - 7,Wisconsin,Jace Schafer,73377
2025,12/21,North Dakota State - West Virginia Dual,125,W,DEC,3 - 0,Tristan Daugherty,62877,10 - 16,North Dakota State,Jace Schafer,73377
2025,12/15,Cal Baptist - West Virginia Dual,125,W,DEC,8 - 1,Mitchell Neiner,83540,5 - 18,Cal Baptist,Jace Schafer,73377
2025,12/06,Cliff Keen Invitational,125,W,FALL,2:39,Nolan Wertanen,78523,7 - 19,Michigan,Jace Schafer,73377
2025,12/06,Cliff Keen Invitational,125,L,SV-1,4 - 1,Marcello Milani,78106,16 - 14,Cornell,Jace Schafer,73377
2025,12/06,Cliff Keen Invitational,125,L,FALL,1:21,Troy Spratley,73119,24 - 5,Oklahoma State,Jace Schafer,73377
2025,12/06,Cliff Keen Invitational,125,W,SV-1,4 - 1,Nick Treaster,89471,11 - 12,Navy,Jace Schafer,73377
2025,11/22,West Virginia - Appalachian State Dual,125,W,FALL,5:42,Noah Luna,79081,5 - 10,Appalachian State,Jace Schafer,73377
2025,11/14,West Virginia - Rider Dual,125,W,DEC,1 - 0,Will Betancourt,67444,8 - 10,Rider,Jace Schafer,73377
2025,11/06,Glenville State University - West Virginia Dual,125,W,MD,14 - 2,Colton Drousias,63171,Unlisted,Glenville State University,Jace Schafer,73377
2025,11/02,Southeast Open,125,W,DEC,13 - 10,Marco Tocci,78821,5 - 4,North Carolina,Jace Schafer,73377
2025,11/02,Southeast Open,125,L,TF5,21 - 4 5:45,Spencer Moore,68720,18 - 9,North Carolina,Jace Schafer,73377
2025,11/02,Southeast Open,125,W,MFOR,0 - 0,Isiac Paulino,79662,Unlisted,Roanoke College,Jace Schafer,73377
2024,01/28,West Virginia - Morgan State Dual,125,W,TF5,18 - 1 3:00,Julian Dawson,84955,5 - 15,Morgan State,Jace Schafer,73377
2024,01/26,Missouri - West Virginia Dual,125,L,TF5,17 - 2 6:35,Noah Surtin,56715,15 - 6,Missouri,Jace Schafer,73377
2024,01/14,Oklahoma State - West Virginia Dual,125,L,MD,12 - 1,Troy Spratley,73119,22 - 8,Oklahoma State,Jace Schafer,73377
2024,01/07,West Virginia - Columbia Dual,125,L,FALL,4:56,Nick Babin,65929,16 - 14,Columbia,Jace Schafer,73377
2024,12/29,Midlands Championships,125,L,DEC,9 - 2,Cooper Flynn,72148,15 - 6,Virginia Tech,Jace Schafer,73377
2024,12/29,Midlands Championships,125,L,MD,11 - 2,Jacob Moran,63550,3 - 2,Indiana,Jace Schafer,73377
