Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/09,Ivy Championships,125,L,TF5,18 - 0 3:28,Diego Sotelo,71874,12 - 6,Harvard,Jared Brunner,76391
2025,03/09,Ivy Championships,125,L,MD,17 - 5,Sulayman Bah,79305,18 - 16,Columbia,Jared Brunner,76391
2025,03/09,Ivy Championships,125,L,TF5,17 - 1 3:30,Diego Sotelo,71874,12 - 6,Harvard,Jared Brunner,76391
2025,02/16,Columbia - Brown Dual,125,L,MD,17 - 4,Sulayman Bah,79305,18 - 16,Columbia,Jared Brunner,76391
2025,02/09,Brown - George Mason Dual,125,L,DEC,6 - 0,Ben Monn,69708,17 - 13,George Mason,Jared Brunner,76391
2025,02/09,Brown - American Dual,125,L,TF5,18 - 2 7:00,Coen Bainey,78808,13 - 13,American,Jared Brunner,76391
2025,02/02,Brown - Pennsylvania Dual,125,L,TF5,19 - 4 7:00,Max Gallagher,78893,26 - 10,Pennsylvania,Jared Brunner,76391
2025,02/02,Brown - Princeton Dual,125,L,TF5,19 - 4 6:54,Marc-Anthony McGowan,79468,16 - 4,Princeton,Jared Brunner,76391
2025,01/25,Binghamton - Brown Dual,125,L,MD,17 - 3,Carson Wagner,78720,23 - 12,Binghamton,Jared Brunner,76391
2025,01/25,Cornell - Brown Dual,125,L,MD,14 - 2,Marcello Milani,78106,16 - 14,Cornell,Jared Brunner,76391
2025,01/17,Brown - Davidson Dual,125,W,DEC,5 - 1,Luke Passarelli,78850,5 - 13,Davidson,Jared Brunner,76391
2025,01/17,Little Rock - Brown Dual,125,L,DEC,5 - 3,Tyson Roach,93198,5 - 5,Little Rock,Jared Brunner,76391
2025,01/17,Brown - Lock Haven Dual,125,L,MD,12 - 0,Sean Logue,78512,9 - 4,Lock Haven,Jared Brunner,76391
2025,01/04,Southern Scuffle,125,L,MD,12 - 0,Elijah Lowe,93497,11 - 8,Chattanooga,Jared Brunner,76391
2025,01/04,Southern Scuffle,125,L,FALL,3:33,Charlie Farmer,71771,23 - 10,Army West Point,Jared Brunner,76391
2025,12/20,Sheridan Open,125,L,DEC,6 - 5,Anthony Rossi,85124,8 - 6,Virginia,Jared Brunner,76391
2025,12/20,Sheridan Open,125,W,DEC,6 - 2,Charlie Colantonio,93444,2 - 6,Franklin & Marshall,Jared Brunner,76391
2025,12/20,Sheridan Open,125,L,TF5,17 - 1 4:02,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Jared Brunner,76391
2025,11/24,Big Red Invitational,125,L,DEC,5 - 4,Max Elton,79785,17 - 19,Buffalo,Jared Brunner,76391
2025,11/24,Big Red Invitational,125,L,DEC,5 - 0,Bobby Gardner,78707,3 - 7,Clarion,Jared Brunner,76391
2025,11/24,Big Red Invitational,125,L,TF5,18 - 3 7:00,Carson Wagner,78720,23 - 12,Binghamton,Jared Brunner,76391
2025,11/24,Big Red Invitational,125,L,DEC,3 - 0,Marcello Milani,78106,16 - 14,Cornell,Jared Brunner,76391
