Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/03,Bucknell - Kent State Dual,125,W,DEC,6 - 3,Nico Calello,73713,13 - 11,Kent State,Kade Davidheiser,78810
2025,11/03,Bucknell - Maryland Dual,125,L,DEC,8 - 2,Tyler Garvin,84590,5 - 21,Maryland,Kade Davidheiser,78810
2024,02/25,National Collegiate Open,125,W,FALL,0:48,Isaac Sheehan,84766,2 - 5,Morgan State,Kade Davidheiser,78810
2024,02/25,National Collegiate Open,125,W,DEC,12 - 5,Alex Hyman,84324,1 - 4,LIU,Kade Davidheiser,78810
2024,02/25,National Collegiate Open,125,W,FALL,1:47,Meyer Rosen,83908,0 - 4,Bucknell,Kade Davidheiser,78810
2024,02/25,National Collegiate Open,125,W,DEC,7 - 1,Branden Wentzel,79309,3 - 1,Penn State,Kade Davidheiser,78810
2024,02/25,National Collegiate Open,125,L,DEC,12 - 6,Cole Hunt,72654,Unlisted,Unattached,Kade Davidheiser,78810
2024,02/17,Brown - Bucknell Dual,125,L,MD,8 - 0,Michael Joyce,76394,8 - 9,Brown,Kade Davidheiser,78810
2024,02/09,Bucknell - Lehigh Dual,125,L,TF5,18 - 1 7:00,Luke Stanich,78768,24 - 4,Lehigh,Kade Davidheiser,78810
2024,02/04,Bucknell - Columbia Dual,125,L,TF5,18 - 0 3:00,Nick Babin,65929,16 - 14,Columbia,Kade Davidheiser,78810
2024,02/03,Bucknell - Navy Dual,125,W,SV-1,4 - 1,Grant Treaster,63154,2 - 6,Navy,Kade Davidheiser,78810
2024,01/28,Bucknell - Drexel Dual,125,L,MD,14 - 5,Desmond Pleasant,71583,19 - 16,Drexel,Kade Davidheiser,78810
2023,12/22,Wilkes Invitational,125,W,DEC,7 - 5,Jack Bruce,62869,6 - 6,Franklin & Marshall,Kade Davidheiser,78810
2023,12/22,Wilkes Invitational,125,L,DEC,8 - 1,Bronson Garber,56759,6 - 15,Bloomsburg,Kade Davidheiser,78810
2023,12/22,Wilkes Invitational,125,W,FALL,4:41,Teague McCormack,78692,Unlisted,Ursinus,Kade Davidheiser,78810
2023,12/22,Wilkes Invitational,125,W,DEC,8 - 3,Brian McCaw,74897,Unlisted,Muhlenberg,Kade Davidheiser,78810
2023,12/22,Wilkes Invitational,125,L,FALL,1:34,Lucas Johnson,77188,Unlisted,Williams College,Kade Davidheiser,78810
