Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,L,MD,14 - 1,Chris Vargo,85069,19 - 13,Edinboro,Max Elton,79785
2025,03/07,MAC Championships,125,W,DEC,4 - 2,Tyeler Hagensen,90801,9 - 21,Kent State,Max Elton,79785
2025,03/07,MAC Championships,125,W,DEC,4 - 1,Ryan Meek,79652,3 - 15,Ohio,Max Elton,79785
2025,03/07,MAC Championships,125,L,MD,11 - 0,Blake West,73337,24 - 7,Northern Illinois,Max Elton,79785
2025,02/23,Ohio - Buffalo Dual,125,W,DEC,5 - 2,Malachi O'Leary,78919,3 - 9,Ohio,Max Elton,79785
2025,02/16,Binghamton - Buffalo Dual,125,L,DEC,7 - 2,Carson Wagner,78720,23 - 12,Binghamton,Max Elton,79785
2025,02/09,Central Michigan - Buffalo Dual,125,W,DEC,4 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Max Elton,79785
2025,02/07,Buffalo - Northern Illinois Dual,125,L,MD,12 - 0,Blake West,73337,24 - 7,Northern Illinois,Max Elton,79785
2025,01/26,Bloomsburg - Buffalo Dual,125,W,TF5,21 - 5 6:36,Major Lewis,84530,3 - 19,Bloomsburg,Max Elton,79785
2025,01/26,Glenville State University - Buffalo Dual,125,L,DEC,5 - 0,Colton Drousias,63171,Unlisted,Glenville State University,Max Elton,79785
2025,01/19,Buffalo - Michigan State Dual,125,L,DEC,2 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Max Elton,79785
2025,01/10,Franklin & Marshall Open,125,W,DEC,3 - 0,Abram Cline,84637,13 - 13,Maryland,Max Elton,79785
2025,01/10,Franklin & Marshall Open,125,W,DEC,5 - 1,Isaiah Adams,84480,3 - 5,Harvard,Max Elton,79785
2025,01/10,Franklin & Marshall Open,125,L,DEC,4 - 2,Benjamin Aranda,71804,13 - 11,Cleveland State,Max Elton,79785
2025,01/10,Franklin & Marshall Open,125,W,TB-2,2 - 1,Jay McDonnell,84446,6 - 5,Binghamton,Max Elton,79785
2025,01/10,Franklin & Marshall Open,125,L,TF5,19 - 2 4:55,Charlie Farmer,71771,23 - 10,Army West Point,Max Elton,79785
2025,12/20,Buffalo - Southern Illinois Edwardsville Dual,125,L,DEC,9 - 3,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Max Elton,79785
2025,12/14,Buffalo - Gardner-Webb Dual,125,L,SV-1,4 - 1,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Max Elton,79785
2025,12/14,Buffalo - Kent State Dual,125,W,TB-3,8 - 6,Nico Calello,73713,13 - 11,Kent State,Max Elton,79785
2025,12/06,Buffalo - American Dual,125,L,SV-1,4 - 1,Coen Bainey,78808,13 - 13,American,Max Elton,79785
2025,12/06,Buffalo - George Mason Dual,125,L,DEC,2 - 1,Ben Monn,69708,17 - 13,George Mason,Max Elton,79785
2025,11/24,Big Red Invitational,125,W,DEC,2 - 0,Bobby Gardner,78707,3 - 7,Clarion,Max Elton,79785
2025,11/24,Big Red Invitational,125,W,DEC,5 - 4,Jared Brunner,76391,4 - 21,Brown,Max Elton,79785
2025,11/24,Big Red Invitational,125,L,DEC,5 - 2,Carson Wagner,78720,23 - 12,Binghamton,Max Elton,79785
2025,11/24,Big Red Invitational,125,L,MD,14 - 3,Marcello Milani,78106,16 - 14,Cornell,Max Elton,79785
2025,11/24,Big Red Invitational,125,L,DEC,4 - 3,Greg Diakomihalis,61116,9 - 1,Cornell,Max Elton,79785
2025,11/23,Buffalo - Cornell Dual,125,L,MD,14 - 2,Greg Diakomihalis,61116,9 - 1,Cornell,Max Elton,79785
2025,11/17,Purdue - Buffalo Dual,125,L,TF5,18 - 1 3:00,Matt Ramos,57134,31 - 3,Purdue,Max Elton,79785
2025,11/17,Army West Point - Buffalo Dual,125,L,MD,13 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Max Elton,79785
2025,11/10,Journeymen Classic,125,L,DEC,8 - 5,Jack Parker,83327,16 - 16,Franklin & Marshall,Max Elton,79785
2025,11/10,Journeymen Classic,125,W,DEC,2 - 1,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Max Elton,79785
2025,11/10,Journeymen Classic,125,W,TB-2,3 - 2,Jay McDonnell,84446,6 - 5,Binghamton,Max Elton,79785
2025,11/09,Cal Baptist - Buffalo Dual,125,W,SV-1,4 - 1,Mitchell Neiner,83540,5 - 18,Cal Baptist,Max Elton,79785
2025,11/09,Buffalo - Sacred Heart Dual,125,W,MD,14 - 3,Mike Manta,79721,2 - 4,Sacred Heart,Max Elton,79785
2025,11/03,Clarion Open,125,W,DEC,5 - 2,Jack Silfies,94453,Unlisted,Unattached,Max Elton,79785
2025,11/03,Clarion Open,125,L,DEC,8 - 1,Keanu Dillard,94449,Unlisted,High School,Max Elton,79785
2025,11/03,Clarion Open,125,W,DEC,9 - 5,Christian Tanefeu,73460,8 - 12,Michigan,Max Elton,79785
