Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/08,Big 12 Championships,125,L,DEC,1 - 0,Gage Walker,84476,11 - 11,Missouri,Mitchell Neiner,83540
2025,03/08,Big 12 Championships,125,L,FALL,6:36,Tanner Jordan,57664,24 - 10,South Dakota State,Mitchell Neiner,83540
2025,02/21,Cal Baptist - CSU Bakersfield Dual,125,L,DEC,4 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Mitchell Neiner,83540
2025,02/15,North Dakota State - Cal Baptist Dual,125,L,DEC,2 - 1,Tristan Daugherty,62877,10 - 16,North Dakota State,Mitchell Neiner,83540
2025,01/31,Southern Illinois Edwardsville - Cal Baptist Dual,125,L,DEC,4 - 2,Drew Davis,84419,13 - 10,SIU Edwardsville,Mitchell Neiner,83540
2025,01/25,Cal Baptist - Wyoming Dual,125,L,MD,14 - 2,Garrett Ricks,67111,6 - 9,Wyoming,Mitchell Neiner,83540
2025,01/24,Cal Baptist - Northern Colorado Dual,125,L,TF5,18 - 3 3:48,Stevo Poulin,71929,24 - 6,Northern Colorado,Mitchell Neiner,83540
2025,01/12,Arizona State - Cal Baptist Dual,125,L,DEC,7 - 1,Richard Figueroa,61129,17 - 4,Arizona State,Mitchell Neiner,83540
2025,01/04,Cal Baptist - Utah Valley Dual,125,L,DEC,5 - 2,Bridger Ricks,82572,12 - 13,Utah Valley,Mitchell Neiner,83540
2025,12/29,Midlands Championships,125,L,FALL,1:29,Brady Pruett,73565,11 - 7,Pennsylvania,Mitchell Neiner,83540
2025,12/29,Midlands Championships,125,L,DEC,7 - 2,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Mitchell Neiner,83540
2025,12/19,Cal Baptist - Cal Poly Dual,125,L,FALL,4:44,Koda Holeman,73792,19 - 13,Cal Poly,Mitchell Neiner,83540
2025,12/15,Cal Baptist - West Virginia Dual,125,L,DEC,8 - 1,Jace Schafer,73377,10 - 6,West Virginia,Mitchell Neiner,83540
2025,12/14,Cal Baptist - Clarion Dual,125,W,DEC,7 - 3,Weston Pisarchick,92999,4 - 7,Clarion,Mitchell Neiner,83540
2025,11/24,Roadrunner Open,125,W,TF5,18 - 3 7:00,Anthony Camarillo,99036,Unlisted,Unattached,Mitchell Neiner,83540
2025,11/24,Roadrunner Open,125,L,DEC,10 - 3,Beric Jordan,84763,12 - 3,Oklahoma,Mitchell Neiner,83540
2025,11/24,Roadrunner Open,125,W,DEC,7 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Mitchell Neiner,83540
2025,11/24,Roadrunner Open,125,W,DEC,10 - 3,Ethan Guillermo,89963,Unlisted,Menlo,Mitchell Neiner,83540
