Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,03/10,PAC 12 Championships,125,W,DEC,5 - 2,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Dominic Mendez,73704
2024,03/10,PAC 12 Championships,125,L,DEC,8 - 2,Nico Provo,65883,19 - 8,Stanford,Dominic Mendez,73704
2024,03/10,PAC 12 Championships,125,W,DEC,5 - 4,Jeremiah Reno,62342,14 - 11,Little Rock,Dominic Mendez,73704
2024,03/10,PAC 12 Championships,125,L,DEC,1 - 0,Brandon Kaylor,51198,12 - 10,Oregon State,Dominic Mendez,73704
2024,02/16,Cal Poly - Cal Baptist Dual,125,W,DEC,4 - 1,Eli Griffin,68743,19 - 13,Cal Baptist,Dominic Mendez,73704
2024,02/11,Cal Poly - Stanford Dual,125,L,DEC,8 - 2,Nico Provo,65883,19 - 8,Stanford,Dominic Mendez,73704
2024,02/09,Arizona State - Cal Poly Dual,125,L,DEC,8 - 2,Richard Figueroa,61129,15 - 5,Arizona State,Dominic Mendez,73704
2024,02/03,Cal Poly - Little Rock Dual,125,W,DEC,10 - 5,Jeremiah Reno,62342,14 - 11,Little Rock,Dominic Mendez,73704
2024,01/21,CSU Bakersfield - Cal Poly Dual,125,W,DEC,4 - 1,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Dominic Mendez,73704
2024,01/19,Cal Poly - Oregon State Dual,125,L,DEC,11 - 4,Brandon Kaylor,51198,12 - 10,Oregon State,Dominic Mendez,73704
2024,01/14,Air Force - Cal Poly Dual,125,W,MD,16 - 5,Tucker Owens,71711,11 - 12,Air Force,Dominic Mendez,73704
2024,01/12,Northern Colorado - Cal Poly Dual,125,L,MD,8 - 0,Stevo Poulin,71929,18 - 6,Northern Colorado,Dominic Mendez,73704
2024,01/12,American - Cal Poly Dual,125,W,MD,14 - 2,Shamil Kalmatov,72680,6 - 12,American,Dominic Mendez,73704
2024,12/29,Midlands Championships,125,W,MD,11 - 2,Koda Holeman,73792,3 - 8,Cal Poly,Dominic Mendez,73704
2024,12/29,Midlands Championships,125,W,TF5,15 - 0 7:00,Caelan Riley,73733,3 - 6,Illinois,Dominic Mendez,73704
2024,12/29,Midlands Championships,125,L,TF5,15 - 0 7:00,Diego Sotelo,71874,25 - 12,Harvard,Dominic Mendez,73704
