Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Campbell - Appalachian State Dual,125,W,SV-1,9 - 6,Bryson Terrell,79650,11 - 13,Appalachian State,Cooper Shore,84285
2025,02/14,Campbell - The Citadel Dual,125,L,SV-1,8 - 5,Gylon Sims,84440,19 - 9,The Citadel,Cooper Shore,84285
2025,02/09,Campbell - VMI Dual,125,W,FALL,2:03,Waylon Rogers,93673,4 - 15,VMI,Cooper Shore,84285
2025,02/02,Campbell - Rider Dual,125,W,MD,11 - 2,Noah Michaels,93265,13 - 10,Rider,Cooper Shore,84285
2025,01/31,Davidson - Campbell Dual,125,W,TF5,16 - 1 7:00,Enis Ljikovic,84455,3 - 16,Davidson,Cooper Shore,84285
2025,01/26,Campbell - American Dual,125,W,DEC,4 - 2,JJ Peace,82775,15 - 6,American,Cooper Shore,84285
2025,01/26,Campbell - CSU Bakersfield Dual,125,W,DEC,4 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Cooper Shore,84285
2025,01/10,Franklin & Marshall Open,125,W,FALL,1:48,Gunner Chambers,84437,4 - 7,George Mason,Cooper Shore,84285
2025,01/10,Franklin & Marshall Open,125,W,DEC,12 - 6,Sulayman Bah,79305,18 - 16,Columbia,Cooper Shore,84285
2025,01/10,Franklin & Marshall Open,125,W,DEC,4 - 2,Charlie Farmer,71771,23 - 10,Army West Point,Cooper Shore,84285
2025,01/10,Franklin & Marshall Open,125,W,FALL,1:47,Braxton Keiffer,84773,Unlisted,Millersville,Cooper Shore,84285
2025,01/04,Southern Scuffle,125,L,MD,17 - 8,Beric Jordan,84763,12 - 3,Oklahoma,Cooper Shore,84285
2025,01/04,Southern Scuffle,125,L,DEC,6 - 2,Tristan Daugherty,62877,10 - 16,North Dakota State,Cooper Shore,84285
2025,01/04,Southern Scuffle,125,W,DEC,7 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Cooper Shore,84285
2025,01/04,Southern Scuffle,125,W,MD,10 - 2,Jayden Carson,62838,3 - 13,Little Rock,Cooper Shore,84285
2025,01/04,Southern Scuffle,125,W,FALL,4:08,Julian Dawson,84955,4 - 16,Morgan State,Cooper Shore,84285
2025,11/23,Lucha U Open,125,W,FALL,6:56,Deejay Mcneal,99169,Unlisted,Unattached,Cooper Shore,84285
2025,11/23,Lucha U Open,125,W,TF5,20 - 3 7:00,Aiden Scheeringa,85941,Unlisted,Liberty University,Cooper Shore,84285
2025,11/23,Lucha U Open,125,W,TF5,19 - 4 7:00,Colton Bishop,81389,Unlisted,Reinhardt University,Cooper Shore,84285
2025,11/23,Lucha U Open,125,W,SV-1,5 - 2,Clarence Lee-Green,74736,Unlisted,Lindsey Wilson,Cooper Shore,84285
2025,11/23,Lucha U Open,125,L,MD,15 - 4,Antonio Mills,66635,Unlisted,Unattached,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,DEC,4 - 2,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,MD,14 - 3,Easton Cooper,93008,2 - 8,Chattanooga,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,DEC,12 - 5,Anthony Rossi,85124,8 - 6,Virginia,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,MD,12 - 0,Cam Stinson,84378,12 - 7,North Carolina,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,DEC,8 - 3,Jack Parker,83327,16 - 16,Franklin & Marshall,Cooper Shore,84285
2024,01/28,Newberry Open,125,W,FALL,7:00,Gavin Ferguson,92586,Unlisted,Unattached,Cooper Shore,84285
2024,01/28,Newberry Open,125,W,TF5,19 - 3 7:00,Sam Cherichello,92583,Unlisted,High School,Cooper Shore,84285
2024,01/28,Newberry Open,125,W,MD,14 - 3,Gianni Bottone,92581,Unlisted,Unattached,Cooper Shore,84285
2024,01/28,Newberry Open,125,W,MD,13 - 4,Hunter McCullough,87100,Unlisted,Newberry,Cooper Shore,84285
2024,01/05,David Lehman Open,125,W,MD,14 - 6,Carson Wagner,78720,14 - 17,Binghamton,Cooper Shore,84285
2024,01/05,David Lehman Open,125,W,MD,14 - 3,Jack Parker,83327,9 - 10,Franklin & Marshall,Cooper Shore,84285
2024,01/05,David Lehman Open,125,W,DEC,8 - 2,Nico Calello,73713,6 - 11,Kent State,Cooper Shore,84285
2024,01/05,David Lehman Open,125,W,DEC,10 - 7,Ariel Waldman,84604,5 - 9,LIU,Cooper Shore,84285
2024,01/05,David Lehman Open,125,W,DEC,7 - 3,Nico Tocci,73466,2 - 4,Air Force,Cooper Shore,84285
2024,01/05,David Lehman Open,125,L,FALL,0:29,Drew Heethuis,78620,14 - 12,Princeton,Cooper Shore,84285
2024,11/04,Southeast Open,125,L,DEC,7 - 0,Zander Phaturos,73554,11 - 10,Campbell,Cooper Shore,84285
2024,11/04,Southeast Open,125,W,MD,19 - 5,Jack Parker,83327,9 - 10,Franklin & Marshall,Cooper Shore,84285
2024,11/04,Southeast Open,125,W,MD,15 - 2,Adrian Morales,81854,Unlisted,Life University,Cooper Shore,84285
2024,11/04,Southeast Open,125,W,FALL,0:35,Ryan Meek,79652,5 - 18,Ohio,Cooper Shore,84285
2024,11/04,Southeast Open,125,L,DEC,4 - 2,Anthony Aniciete,78617,Unlisted,Tiffin University,Cooper Shore,84285
2024,11/04,Southeast Open,125,W,DEC,7 - 2,Eric Howe,73497,6 - 14,Franklin & Marshall,Cooper Shore,84285
2025,11/02,Southeast Open,125,W,TF5,17 - 0 6:23,Waylon Rogers,93673,4 - 15,VMI,Bentley Ellison,84471
2025,11/02,Southeast Open,125,W,DEC,3 - 1,Kyle Gibson,93267,1 - 9,VMI,Bentley Ellison,84471
2025,11/02,Southeast Open,125,L,DEC,4 - 2,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Bentley Ellison,84471
2025,11/02,Southeast Open,125,W,MFOR,0 - 0,Landon Reaux,84470,0 - 1,Campbell,Bentley Ellison,84471
2025,11/02,Southeast Open,125,L,DEC,9 - 3,Matthew Dolan,78805,10 - 9,West Virginia,Bentley Ellison,84471
2024,01/28,Newberry Open,133,W,DEC,6 - 3,Tyson Mccullough,92589,Unlisted,Unattached,Bentley Ellison,84471
2024,01/28,Newberry Open,133,W,DEC,8 - 6,Ethan McCullough,89130,Unlisted,Newberry,Bentley Ellison,84471
2024,01/28,Newberry Open,133,L,DEC,6 - 0,Ethan Vugman,87111,Unlisted,University of Florida,Bentley Ellison,84471
2024,01/28,Newberry Open,133,W,DEC,7 - 3,Luke Martin,71202,Unlisted,Unattached,Bentley Ellison,84471
2024,01/28,Newberry Open,133,W,DEC,2 - 1,Luke Martin,71202,Unlisted,Unattached,Bentley Ellison,84471
2024,01/05,David Lehman Open,133,W,FALL,6:55,Colin Higgins,79560,Unlisted,Millersville,Bentley Ellison,84471
2024,01/05,David Lehman Open,133,L,TF5,15 - 0 4:00,Mason Leiphart,73193,22 - 11,Franklin & Marshall,Bentley Ellison,84471
2024,01/05,David Lehman Open,133,L,SV-1,6 - 1,Ryan Arbeit,84814,4 - 7,Hofstra,Bentley Ellison,84471
2024,11/04,Southeast Open,125,W,MD,14 - 2,Michael Policarpio,85773,Unlisted,Roanoke College,Bentley Ellison,84471
2024,11/04,Southeast Open,125,L,MD,10 - 1,Mason Mills,84408,3 - 5,West Virginia,Bentley Ellison,84471
2024,11/04,Southeast Open,125,W,DEC,4 - 3,Bryce Skinner,84402,2 - 2,Ohio,Bentley Ellison,84471
2024,11/04,Southeast Open,125,W,MD,17 - 3,Malachi O'Leary,78919,2 - 7,Ohio,Bentley Ellison,84471
2024,11/04,Southeast Open,125,W,FALL,3:42,Max Shore,78526,Unlisted,Tiffin University,Bentley Ellison,84471
2025,11/02,Southeast Open,125,L,MFOR,0 - 0,Bentley Ellison,84471,2 - 2,Campbell,Landon Reaux,84470
2025,11/02,Southeast Open,125,L,INJ,6:42,Cam Stinson,84378,12 - 7,North Carolina,Landon Reaux,84470
2024,11/04,Southeast Open,125,W,TF5,17 - 1 3:28,River Smith,84647,0 - 2,VMI,Landon Reaux,84470
2024,11/04,Southeast Open,125,L,DEC,8 - 5,Bryce Skinner,84402,2 - 2,Ohio,Landon Reaux,84470
