Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,L,DEC,4 - 2,Tyeler Hagensen,90801,9 - 21,Kent State,Grant Stahl,84287
2025,03/07,MAC Championships,125,L,MD,13 - 2,Chris Vargo,85069,19 - 13,Edinboro,Grant Stahl,84287
2025,03/07,MAC Championships,125,W,FALL,6:50,Benjamin Aranda,71804,13 - 11,Cleveland State,Grant Stahl,84287
2025,02/23,Central Michigan - Michigan Dual,125,L,DEC,9 - 6,Christian Tanefeu,73460,8 - 12,Michigan,Grant Stahl,84287
2025,02/21,Michigan State - Central Michigan Dual,125,W,DEC,4 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Grant Stahl,84287
2025,02/16,Southern Illinois Edwardsville - Central Michigan Dual,125,L,DEC,8 - 3,Drew Davis,84419,13 - 10,SIU Edwardsville,Grant Stahl,84287
2025,02/13,Kent State - Central Michigan Dual,125,W,DEC,9 - 8,Tyeler Hagensen,90801,9 - 21,Kent State,Grant Stahl,84287
2025,02/09,Central Michigan - Buffalo Dual,125,L,DEC,4 - 2,Max Elton,79785,17 - 19,Buffalo,Grant Stahl,84287
2025,02/07,Central Michigan - Edinboro Dual,125,L,SV-1,4 - 1,Chris Vargo,85069,19 - 13,Edinboro,Grant Stahl,84287
2025,02/02,Central Michigan - Ohio Dual,125,W,DEC,3 - 1,Ryan Meek,79652,3 - 15,Ohio,Grant Stahl,84287
2025,01/26,CSU Bakersfield - Central Michigan Dual,125,L,DEC,4 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Grant Stahl,84287
2025,01/26,Campbell - Central Michigan Dual,125,L,MD,14 - 4,Anthony Molton,57207,18 - 8,Campbell,Grant Stahl,84287
2025,01/26,Central Michigan - American Dual,125,L,SV-1,4 - 1,JJ Peace,82775,15 - 6,American,Grant Stahl,84287
2025,01/19,Cleveland State - Central Michigan Dual,125,L,DEC,10 - 3,Benjamin Aranda,71804,13 - 11,Cleveland State,Grant Stahl,84287
2025,01/17,Northern Illinois - Central Michigan Dual,133,L,FALL,6:13,Markel Baker,78892,17 - 7,Northern Illinois,Grant Stahl,84287
2025,01/11,Central Michigan - Drexel Dual,125,L,DEC,10 - 4,Desmond Pleasant,71583,16 - 7,Drexel,Grant Stahl,84287
2025,01/11,Central Michigan - Wyoming Dual,125,L,DEC,10 - 5,Garrett Ricks,67111,6 - 9,Wyoming,Grant Stahl,84287
2025,12/29,Midlands Championships,125,L,MFOR,0 - 0,Kaden Chinavare,77647,7 - 10,Central Michigan,Grant Stahl,84287
2025,12/29,Midlands Championships,125,L,INJ,4:35,Jacob Moran,63550,26 - 11,Indiana,Grant Stahl,84287
2025,12/29,Midlands Championships,125,W,DEC,7 - 3,Talan Parsons,93524,4 - 7,Northern Illinois,Grant Stahl,84287
2025,11/24,Keystone Classic,125,L,DEC,4 - 2,Kaden Chinavare,77647,7 - 10,Central Michigan,Grant Stahl,84287
2025,11/24,Keystone Classic,125,L,DEC,4 - 2,Logan Brzozowski,85072,11 - 15,Harvard,Grant Stahl,84287
2025,11/24,Keystone Classic,125,W,DEC,5 - 1,Landon Bainey,85070,17 - 15,Edinboro,Grant Stahl,84287
2025,11/24,Keystone Classic,125,W,DEC,9 - 7,Chris Vargo,85069,19 - 13,Edinboro,Grant Stahl,84287
2025,11/24,Keystone Classic,125,L,FALL,4:28,Brady Pruett,73565,11 - 7,Pennsylvania,Grant Stahl,84287
2025,11/09,Michigan State Open,125,L,DEC,11 - 6,Kaden Chinavare,77647,7 - 10,Central Michigan,Grant Stahl,84287
2025,11/09,Michigan State Open,125,L,DEC,8 - 5,Nolan Wertanen,78523,7 - 19,Michigan,Grant Stahl,84287
2024,02/25,Michigan - Central Michigan Dual,125,L,TF5,16 - 1 3:28,Nolan Wertanen,78523,7 - 4,Michigan,Grant Stahl,84287
2024,02/03,Edinboro Open,125,W,DEC,6 - 1,Matthew Dolan,78805,4 - 5,West Virginia,Grant Stahl,84287
2024,02/03,Edinboro Open,125,L,TB-2,3 - 1,Marcello Milani,78106,8 - 1,Cornell,Grant Stahl,84287
2024,02/03,Edinboro Open,125,L,FALL,4:40,Gabe Giampietro,72979,12 - 8,Drexel,Grant Stahl,84287
2024,02/03,Edinboro Open,125,W,MD,11 - 0,Jordan Escarra,84915,Unlisted,Gannon,Grant Stahl,84287
2024,01/20,Alma Open,125,W,FALL,5:27,Cristian Rojas,87997,Unlisted,Rochester Christian,Grant Stahl,84287
2024,01/20,Alma Open,125,W,DEC,4 - 2,Wyatt Skebba,79470,2 - 7,Central Michigan,Grant Stahl,84287
2024,01/20,Alma Open,125,W,DEC,12 - 7,Caleb Weiand,79429,8 - 7,Michigan State,Grant Stahl,84287
2024,12/03,Storm Open,125,W,FALL,2:47,Malachi O'Leary,78919,2 - 7,Ohio,Grant Stahl,84287
2024,12/03,Storm Open,125,L,DEC,6 - 3,Hunter Robison,78458,Unlisted,Gannon,Grant Stahl,84287
2024,12/03,Storm Open,125,W,FALL,1:28,Aidian Wilson,79441,Unlisted,Glenville State University,Grant Stahl,84287
2024,12/03,Storm Open,125,W,MD,11 - 3,Braden Hahlen,84976,Unlisted,Lake Erie College,Grant Stahl,84287
2024,12/03,Storm Open,125,W,DEC,7 - 2,Braden Hahlen,84976,Unlisted,Lake Erie College,Grant Stahl,84287
2024,11/11,Michigan State Open,125,L,DEC,10 - 3,Massey Odiotti,84345,7 - 17,Northwestern,Grant Stahl,84287
2024,11/11,Michigan State Open,125,W,TF5,15 - 0 7:00,Preston Sokolowski,80786,Unlisted,Grand Valley State University,Grant Stahl,84287
2024,11/11,Michigan State Open,125,L,DEC,8 - 1,Vincent Kilkeary,74118,16 - 8,Ohio State,Grant Stahl,84287
2024,11/11,Michigan State Open,125,W,SV-1,5 - 2,Nick Corday,70986,6 - 9,Michigan State,Grant Stahl,84287
2025,01/17,Northern Illinois - Central Michigan Dual,125,L,TF5,15 - 0 6:29,Blake West,73337,24 - 7,Northern Illinois,Kaden Chinavare,77647
2025,01/10,Ohio - Central Michigan Dual,125,W,DEC,9 - 4,Logan Dean,93528,4 - 9,Ohio,Kaden Chinavare,77647
2025,01/10,Central Michigan - South Dakota State Dual,125,L,TF5,15 - 0 7:00,Tanner Jordan,57664,24 - 10,South Dakota State,Kaden Chinavare,77647
2025,12/29,Midlands Championships,125,W,MFOR,0 - 0,Grant Stahl,84287,7 - 19,Central Michigan,Kaden Chinavare,77647
2025,12/29,Midlands Championships,125,L,SV-1,8 - 5,Brady Pruett,73565,11 - 7,Pennsylvania,Kaden Chinavare,77647
2025,12/29,Midlands Championships,125,L,DEC,4 - 1,Isaiah Quintero,81600,8 - 6,Purdue,Kaden Chinavare,77647
2025,12/29,Midlands Championships,125,W,DEC,8 - 6,Drew Davis,84419,13 - 10,SIU Edwardsville,Kaden Chinavare,77647
2025,12/08,Central Michigan - Little Rock Dual,125,W,DEC,9 - 6,Tyson Roach,93198,5 - 5,Little Rock,Kaden Chinavare,77647
2025,12/06,Central Michigan - Oklahoma Dual,125,L,DEC,9 - 6,Antonio Lorenzo,57329,18 - 11,Oklahoma,Kaden Chinavare,77647
2025,11/24,Keystone Classic,125,L,TF5,18 - 0 5:49,Dillon Campbell,84388,7 - 3,Virginia Tech,Kaden Chinavare,77647
2025,11/24,Keystone Classic,125,W,DEC,4 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Kaden Chinavare,77647
2025,11/24,Keystone Classic,125,W,TF5,19 - 4 5:25,Jack Parker,83327,16 - 16,Franklin & Marshall,Kaden Chinavare,77647
2025,11/24,Keystone Classic,125,W,MD,14 - 2,Eamonn Jimenez,78779,2 - 13,Edinboro,Kaden Chinavare,77647
2025,11/24,Keystone Classic,125,L,DEC,8 - 3,Sean Logue,78512,9 - 4,Lock Haven,Kaden Chinavare,77647
2025,11/15,Indiana - Central Michigan Dual,125,L,DEC,8 - 2,Jacob Moran,63550,26 - 11,Indiana,Kaden Chinavare,77647
2025,11/09,Michigan State Open,125,L,DEC,11 - 7,Sam Smith,84592,4 - 3,Oklahoma State,Kaden Chinavare,77647
2025,11/09,Michigan State Open,125,W,DEC,11 - 6,Grant Stahl,84287,7 - 19,Central Michigan,Kaden Chinavare,77647
