Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,4 - 3,Trever Anderson,76359,17 - 11,Northern Iowa,Cooper Flynn,72148
2025,03/20,NCAA Championships,125,W,DEC,2 - 1,Marc-Anthony McGowan,79468,16 - 4,Princeton,Cooper Flynn,72148
2025,03/20,NCAA Championships,125,W,FALL,2:48,Caleb Weiand,79429,13 - 18,Michigan State,Cooper Flynn,72148
2025,03/20,NCAA Championships,125,L,DEC,2 - 0,Spencer Moore,68720,18 - 9,North Carolina,Cooper Flynn,72148
2025,03/08,Big Ten Championships,125,W,CMFF,0 - 0,Caleb Weiand,79429,13 - 18,Michigan State,Cooper Flynn,72148
2025,03/08,Big Ten Championships,125,W,MD,10 - 0,Dedrick Navarro,84344,18 - 13,Northwestern,Cooper Flynn,72148
2025,03/08,Big Ten Championships,125,L,TF5,17 - 0 6:45,Nicolar Rivera,78438,24 - 7,Wisconsin,Cooper Flynn,72148
2025,03/08,Big Ten Championships,125,L,DEC,10 - 3,Jacob Moran,63550,26 - 11,Indiana,Cooper Flynn,72148
2025,02/14,Iowa - Minnesota Dual,125,L,SV-1,7 - 4,Joey Cruz,73188,12 - 13,Iowa,Cooper Flynn,72148
2025,02/09,Purdue - Minnesota Dual,125,W,DEC,5 - 2,Isaiah Quintero,81600,8 - 6,Purdue,Cooper Flynn,72148
2025,02/07,Minnesota - Ohio State Dual,125,L,MD,9 - 0,Brendan McCrone,76350,22 - 11,Ohio State,Cooper Flynn,72148
2025,01/24,Minnesota - Wisconsin Dual,125,W,DEC,7 - 3,Nicolar Rivera,78438,24 - 7,Wisconsin,Cooper Flynn,72148
2025,01/19,Michigan - Minnesota Dual,125,W,DEC,5 - 2,Wilfred Tanefeu,73461,0 - 6,Michigan,Cooper Flynn,72148
2025,01/11,Minnesota - Nebraska Dual,125,L,DEC,2 - 0,Caleb Smith,58559,24 - 7,Nebraska,Cooper Flynn,72148
2025,12/07,Cougar Clash,125,W,DEC,8 - 2,Noah Surtin,56715,3 - 2,Missouri,Cooper Flynn,72148
2025,12/07,Cougar Clash,125,W,DEC,7 - 1,Stevo Poulin,71929,24 - 6,Northern Colorado,Cooper Flynn,72148
2025,12/07,Cougar Clash,125,W,FALL,4:57,Joey Ruzic,79555,1 - 5,Illinois,Cooper Flynn,72148
2025,12/01,Minnesota - South Dakota State Dual,125,W,DEC,7 - 2,Tanner Jordan,57664,24 - 10,South Dakota State,Cooper Flynn,72148
