Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,L,MD,13 - 2,Blake West,73337,24 - 7,Northern Illinois,Travis Clawson,93659
2025,03/07,MAC Championships,125,W,MD,17 - 3,Noah Michaels,93265,13 - 10,Rider,Travis Clawson,93659
2025,03/07,MAC Championships,125,W,DEC,8 - 3,Ben Monn,69708,17 - 13,George Mason,Travis Clawson,93659
2025,02/16,Rider - Clarion Dual,125,L,FALL,4:12,Noah Michaels,93265,13 - 10,Rider,Travis Clawson,93659
2025,02/08,Lock Haven - Clarion Dual,125,W,MD,12 - 1,Branden Wentzel,79309,1 - 8,Lock Haven,Travis Clawson,93659
2025,02/02,Clarion - Michigan State Dual,125,W,MD,9 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Travis Clawson,93659
2025,01/26,Clarion - LIU Dual,125,W,DEC,5 - 2,Robbie Sagaris,73406,14 - 9,LIU,Travis Clawson,93659
2025,01/26,Clarion - Kent State Dual,125,W,MD,12 - 4,Tyeler Hagensen,90801,9 - 21,Kent State,Travis Clawson,93659
2025,01/24,Clarion - Cleveland State Dual,125,W,MD,16 - 4,Benjamin Aranda,71804,13 - 11,Cleveland State,Travis Clawson,93659
2025,01/19,Princeton - Clarion Dual,125,L,FALL,0:47,Marc-Anthony McGowan,79468,16 - 4,Princeton,Travis Clawson,93659
2025,01/19,Southern Illinois Edwardsville - Clarion Dual,125,L,DEC,5 - 4,Drew Davis,84419,13 - 10,SIU Edwardsville,Travis Clawson,93659
2025,01/12,Edinboro - Clarion Dual,125,L,DEC,6 - 4,Chris Vargo,85069,19 - 13,Edinboro,Travis Clawson,93659
2025,01/04,Southern Scuffle,125,L,DEC,9 - 7,Ty Tice,84391,7 - 19,Chattanooga,Travis Clawson,93659
2025,01/04,Southern Scuffle,125,L,DEC,4 - 3,Malik Hardy,73357,8 - 6,The Citadel,Travis Clawson,93659
