Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/09,Ivy Championships,125,L,DEC,5 - 2,Marcello Milani,78106,16 - 14,Cornell,Sulayman Bah,79305
2025,03/09,Ivy Championships,125,W,MD,17 - 5,Jared Brunner,76391,4 - 21,Brown,Sulayman Bah,79305
2025,03/09,Ivy Championships,125,W,SV-1,4 - 1,Marcello Milani,78106,16 - 14,Cornell,Sulayman Bah,79305
2025,03/09,Ivy Championships,125,L,FALL,5:47,Marc-Anthony McGowan,79468,16 - 4,Princeton,Sulayman Bah,79305
2025,02/21,Columbia - Bucknell Dual,125,W,FALL,3:50,Chris Nucifora,85052,0 - 9,Bucknell,Sulayman Bah,79305
2025,02/16,Columbia - Brown Dual,125,W,MD,17 - 4,Jared Brunner,76391,4 - 21,Brown,Sulayman Bah,79305
2025,02/15,Columbia - Harvard Dual,125,W,MD,20 - 9,Isaiah Adams,84480,3 - 5,Harvard,Sulayman Bah,79305
2025,02/02,Columbia - Cornell Dual,125,L,DEC,4 - 2,Marcello Milani,78106,16 - 14,Cornell,Sulayman Bah,79305
2025,01/26,Princeton - Columbia Dual,125,L,DEC,4 - 1,Marc-Anthony McGowan,79468,16 - 4,Princeton,Sulayman Bah,79305
2025,01/24,Pennsylvania - Columbia Dual,125,L,MD,11 - 3,Max Gallagher,78893,26 - 10,Pennsylvania,Sulayman Bah,79305
2025,01/10,Franklin & Marshall Open,125,W,TF5,19 - 3 5:49,Charlie Colantonio,93444,2 - 6,Franklin & Marshall,Sulayman Bah,79305
2025,01/10,Franklin & Marshall Open,125,W,SV-1,8 - 5,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Sulayman Bah,79305
2025,01/10,Franklin & Marshall Open,125,L,DEC,7 - 2,Benjamin Aranda,71804,13 - 11,Cleveland State,Sulayman Bah,79305
2025,01/10,Franklin & Marshall Open,125,L,DEC,12 - 6,Cooper Shore,84285,18 - 3,Campbell,Sulayman Bah,79305
