Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/24,Big Red Invitational,125,W,DEC,4 - 3,Max Elton,79785,17 - 19,Buffalo,Greg Diakomihalis,61116
2025,11/24,Big Red Invitational,125,L,CMFF,0 - 0,Carson Wagner,78720,23 - 12,Binghamton,Greg Diakomihalis,61116
2025,11/24,Big Red Invitational,125,W,MD,17 - 3,Bobby Gardner,78707,3 - 7,Clarion,Greg Diakomihalis,61116
2025,11/24,Big Red Invitational,125,W,SV-1,4 - 1,Marcello Milani,78106,16 - 14,Cornell,Greg Diakomihalis,61116
2025,11/24,Big Red Invitational,125,W,TF5,21 - 5 7:00,Jared Brunner,76391,4 - 21,Brown,Greg Diakomihalis,61116
2025,11/23,Buffalo - Cornell Dual,125,W,MD,14 - 2,Max Elton,79785,17 - 19,Buffalo,Greg Diakomihalis,61116
2025,11/10,Journeymen Classic,125,W,DEC,10 - 3,Logan Brzozowski,85072,11 - 15,Harvard,Greg Diakomihalis,61116
2025,11/10,Journeymen Classic,125,W,DEC,8 - 6,Brady Pruett,73565,11 - 7,Pennsylvania,Greg Diakomihalis,61116
2025,11/10,Journeymen Classic,125,W,DEC,9 - 6,Carson Wagner,78720,23 - 12,Binghamton,Greg Diakomihalis,61116
2025,11/10,Journeymen Classic,125,W,FALL,2:55,Caleb Uhorchuk,79300,7 - 10,Army West Point,Greg Diakomihalis,61116
2024,01/27,Harvard - Cornell Dual,125,W,MD,14 - 3,Diego Sotelo,71874,25 - 12,Harvard,Greg Diakomihalis,61116
2024,01/27,Brown - Cornell Dual,125,W,SV-1,7 - 4,Michael Joyce,76394,8 - 9,Brown,Greg Diakomihalis,61116
2024,01/07,Bobby Kauffman Memorial Open,125,W,FALL,0:42,Jordan Escarra,84915,Unlisted,Gannon,Greg Diakomihalis,61116
2024,01/07,Bobby Kauffman Memorial Open,125,W,FALL,1:14,Grayson McLellan,79295,0 - 13,Bucknell,Greg Diakomihalis,61116
2024,01/07,Bobby Kauffman Memorial Open,125,W,SV-1,4 - 1,Vincent Kilkeary,74118,16 - 8,Ohio State,Greg Diakomihalis,61116
2024,01/07,Bobby Kauffman Memorial Open,125,W,TF5,20 - 5 2:39,Matthew Dolan,78805,4 - 5,West Virginia,Greg Diakomihalis,61116
2024,12/18,Iowa State - Cornell Dual,125,W,FALL,6:34,Kysen Terukina,67143,14 - 10,Iowa State,Greg Diakomihalis,61116
2024,11/26,Mat Town Open I,125,W,TF5,17 - 2 0:58,Matt Daugherty,86132,Unlisted,Spartan Combat RTC,Greg Diakomihalis,61116
2024,11/26,Mat Town Open I,125,W,TF5,20 - 4 5:20,Ethan Smith,84634,3 - 7,Lehigh,Greg Diakomihalis,61116
2024,11/26,Mat Town Open I,125,W,FALL,1:16,Carson Wagner,78720,14 - 17,Binghamton,Greg Diakomihalis,61116
2024,11/12,Journeymen Classic,125,L,DEC,2 - 1,Brett Ungar,68705,20 - 9,Cornell,Greg Diakomihalis,61116
2024,11/12,Journeymen Classic,125,W,DEC,9 - 7,Troy Hohman,75816,11 - 8,NC State,Greg Diakomihalis,61116
2024,11/12,Journeymen Classic,125,L,FALL,4:15,Ryan Miller,62350,17 - 6,Pennsylvania,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,W,TF5,19 - 3 5:21,Andrew Binni,86121,Unlisted,Unattached,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,W,TF5,20 - 4 3:46,Sulayman Bah,79305,4 - 14,Columbia,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,W,MD,16 - 4,Peyton Fenton,77869,5 - 5,Ohio State,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,W,DEC,4 - 1,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,L,DEC,5 - 4,Tristan Lujan,63015,17 - 17,Michigan State,Greg Diakomihalis,61116
2024,11/05,Clarion Open,125,W,DEC,5 - 2,Joseph Fischer,68702,17 - 13,Clarion,Greg Diakomihalis,61116
2022,02/12,Binghamton - Cornell Dual,125,W,DEC,13 - 9,Nick Curley,73364,0 - 20,Binghamton,Greg Diakomihalis,61116
2022,02/06,Cornell - Drexel Dual,125,W,DEC,7 - 3,Kyle Waterman,67256,7 - 5,Drexel,Greg Diakomihalis,61116
2022,01/22,Brown - Cornell Dual,125,W,FALL,3:45,Hunter Adrian,65842,9 - 9,Brown,Greg Diakomihalis,61116
2022,01/22,Harvard - Cornell Dual,125,W,DEC,9 - 2,Beau Bayless,59670,15 - 13,Harvard,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,W,DEC,11 - 9,Ryan Henningson,67078,1 - 8,North Dakota State,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,L,MD,15 - 2,Noah Surtin,56715,20 - 9,Missouri,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,W,SV-1,5 - 3,Eddie Ventresca,62357,9 - 6,Virginia Tech,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,L,DEC,5 - 3,Eddie Ventresca,62357,9 - 6,Virginia Tech,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,W,MFOR,0 - 0,Tristan Daugherty,62877,14 - 12,Buffalo,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,W,DEC,5 - 2,Eddie Flores,51127,6 - 17,CSU Bakersfield,Greg Diakomihalis,61116
2022,01/01,Southern Scuffle,125,W,FALL,1:26,Jayden Carson,62838,10 - 17,Little Rock,Greg Diakomihalis,61116
2022,12/20,Collegiate Dual ECM,125,W,FALL,2:39,Sean Spidle,63063,10 - 6,Central Michigan,Greg Diakomihalis,61116
2022,12/03,CKLV Invitational,125,L,DEC,4 - 3,Jeremiah Reno,62342,3 - 14,Nebraska,Greg Diakomihalis,61116
2022,12/03,CKLV Invitational,125,L,DEC,5 - 3,Malik Heinselman,50611,17 - 7,Ohio State,Greg Diakomihalis,61116
2022,11/20,Stanford - Cornell Dual,125,L,DEC,3 - 1,Logan Ashton,57605,7 - 7,Stanford,Greg Diakomihalis,61116
2022,11/14,Jonathan Kaloust Bearcat Open,125,W,DEC,4 - 2,Brett Ungar,68705,Unlisted,Spartan Combat RTC,Greg Diakomihalis,61116
2022,11/14,Jonathan Kaloust Bearcat Open,125,W,DEC,7 - 3,Jose Diaz,57229,2 - 4,Franklin & Marshall,Greg Diakomihalis,61116
2022,11/14,Jonathan Kaloust Bearcat Open,125,L,SV-1,7 - 5,Jacob Allen,50935,17 - 14,Navy,Greg Diakomihalis,61116
2022,11/14,Jonathan Kaloust Bearcat Open,125,W,DEC,10 - 4,Andrew Fallon,69899,12 - 11,American,Greg Diakomihalis,61116
2025,03/20,NCAA Championships,125,L,DEC,5 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,Marcello Milani,78106
2025,03/20,NCAA Championships,125,W,SV-1,4 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Marcello Milani,78106
2025,03/20,NCAA Championships,125,L,TF5,19 - 4 4:25,Luke Lilledahl,80223,26 - 3,Penn State,Marcello Milani,78106
2025,03/09,Ivy Championships,125,W,DEC,5 - 2,Sulayman Bah,79305,18 - 16,Columbia,Marcello Milani,78106
2025,03/09,Ivy Championships,125,W,DEC,4 - 2,Diego Sotelo,71874,12 - 6,Harvard,Marcello Milani,78106
2025,03/09,Ivy Championships,125,L,SV-1,4 - 1,Sulayman Bah,79305,18 - 16,Columbia,Marcello Milani,78106
2025,02/15,Cornell - Arizona State Dual,125,L,DEC,10 - 7,Richard Figueroa,61129,17 - 4,Arizona State,Marcello Milani,78106
2025,02/09,Pennsylvania - Cornell Dual,125,L,MD,12 - 3,Max Gallagher,78893,26 - 10,Pennsylvania,Marcello Milani,78106
2025,02/08,Princeton - Cornell Dual,125,L,DEC,8 - 1,Ethan Rivera,84435,10 - 8,Princeton,Marcello Milani,78106
2025,02/02,Columbia - Cornell Dual,125,W,DEC,4 - 2,Sulayman Bah,79305,18 - 16,Columbia,Marcello Milani,78106
2025,02/01,Cornell - Binghamton Dual,125,W,MD,10 - 2,Carson Wagner,78720,23 - 12,Binghamton,Marcello Milani,78106
2025,01/25,Cornell - Brown Dual,125,W,MD,14 - 2,Jared Brunner,76391,4 - 21,Brown,Marcello Milani,78106
2025,01/25,Cornell - Harvard Dual,125,L,DEC,6 - 3,Diego Sotelo,71874,12 - 6,Harvard,Marcello Milani,78106
2025,01/12,Lehigh - Cornell Dual,125,L,DEC,3 - 2,Sheldon Seymour,62339,24 - 6,Lehigh,Marcello Milani,78106
2025,01/03,Cornell - Missouri Dual,125,L,FALL,6:14,Gage Walker,84476,11 - 11,Missouri,Marcello Milani,78106
2025,12/22,NC State - Cornell Dual,125,L,SV-1,5 - 2,Louie Gill,79342,14 - 3,NC State,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,W,MFOR,0 - 0,Vincent Robinson,78062,24 - 3,NC State,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,L,MD,8 - 0,Brendan McCrone,76350,22 - 11,Ohio State,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,L,MD,8 - 0,Tanner Jordan,57664,24 - 10,South Dakota State,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,W,SV-1,4 - 1,Jace Schafer,73377,10 - 6,West Virginia,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,L,DEC,9 - 5,Eddie Ventresca,62357,22 - 5,Virginia Tech,Marcello Milani,78106
2025,12/06,Cliff Keen Invitational,125,W,DEC,5 - 4,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Marcello Milani,78106
2025,11/24,Big Red Invitational,125,L,SV-1,4 - 1,Greg Diakomihalis,61116,9 - 1,Cornell,Marcello Milani,78106
