Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,7 - 2,Maximo Renteria,71870,15 - 9,Oregon State,Richard Castro-Sandoval,69366
2025,03/20,NCAA Championships,125,L,MD,11 - 3,Matt Ramos,57134,31 - 3,Purdue,Richard Castro-Sandoval,69366
2025,03/06,PAC 12 True 2nd Matches,125,W,FALL,2:20,Koda Holeman,73792,19 - 13,Cal Poly,Richard Castro-Sandoval,69366
2025,03/06,PAC 12 Championships,125,W,TF5,16 - 1 3:47,Jayden Carson,62838,3 - 13,Little Rock,Richard Castro-Sandoval,69366
2025,03/06,PAC 12 Championships,125,L,MD,11 - 2,Maximo Renteria,71870,15 - 9,Oregon State,Richard Castro-Sandoval,69366
2025,02/21,Cal Baptist - CSU Bakersfield Dual,125,W,DEC,4 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Richard Castro-Sandoval,69366
2025,02/16,North Dakota State - CSU Bakersfield Dual,125,L,DEC,2 - 1,Tristan Daugherty,62877,10 - 16,North Dakota State,Richard Castro-Sandoval,69366
2025,02/16,Little Rock - CSU Bakersfield Dual,125,W,DEC,3 - 0,Jayden Carson,62838,3 - 13,Little Rock,Richard Castro-Sandoval,69366
2025,02/09,Air Force - CSU Bakersfield Dual,125,W,DEC,6 - 3,Nico Tocci,73466,3 - 8,Air Force,Richard Castro-Sandoval,69366
2025,02/02,CSU Bakersfield - Oregon State Dual,125,W,DEC,2 - 1,Hunter Taylor,79558,2 - 2,Oregon State,Richard Castro-Sandoval,69366
2025,01/26,CSU Bakersfield - Central Michigan Dual,125,W,DEC,4 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Richard Castro-Sandoval,69366
2025,01/26,Campbell - CSU Bakersfield Dual,125,L,DEC,4 - 2,Cooper Shore,84285,18 - 3,Campbell,Richard Castro-Sandoval,69366
2025,01/26,CSU Bakersfield - American Dual,125,W,SV-1,4 - 1,JJ Peace,82775,15 - 6,American,Richard Castro-Sandoval,69366
2025,01/11,CSU Bakersfield - SIU Edwardsville Dual,125,W,DEC,2 - 1,Drew Davis,84419,13 - 10,SIU Edwardsville,Richard Castro-Sandoval,69366
2025,01/11,CSU Bakersfield - George Mason Dual,125,W,DEC,5 - 0,Ben Monn,69708,17 - 13,George Mason,Richard Castro-Sandoval,69366
2025,01/10,CSU Bakersfield - Drexel Dual,125,L,DEC,4 - 1,Desmond Pleasant,71583,16 - 7,Drexel,Richard Castro-Sandoval,69366
2025,01/10,CSU Bakersfield - Northern Colorado Dual,125,L,MD,9 - 0,Stevo Poulin,71929,24 - 6,Northern Colorado,Richard Castro-Sandoval,69366
2025,12/21,Southeast Community College - CSU Bakersfield Dual,125,W,FALL,7:00,Trevon Oehme,95038,Unlisted,Southeast Community College,Richard Castro-Sandoval,69366
2025,12/21,Chattanooga - CSU Bakersfield Dual,125,W,DEC,7 - 2,Ty Tice,84391,7 - 19,Chattanooga,Richard Castro-Sandoval,69366
2025,12/21,CSU Bakersfield - Oklahoma Dual,125,L,DEC,2 - 1,Antonio Lorenzo,57329,18 - 11,Oklahoma,Richard Castro-Sandoval,69366
2025,12/15,Michigan State - CSU Bakersfield Dual,125,W,DEC,8 - 7,Caleb Weiand,79429,13 - 18,Michigan State,Richard Castro-Sandoval,69366
2025,12/06,Cliff Keen Invitational,125,L,DEC,8 - 7,Tanner Jordan,57664,24 - 10,South Dakota State,Richard Castro-Sandoval,69366
2025,12/06,Cliff Keen Invitational,125,L,SV-1,4 - 1,Kyle Gollhofer,57224,11 - 8,Northern Iowa,Richard Castro-Sandoval,69366
2025,11/24,Roadrunner Open,125,W,TF5,16 - 1 7:00,Eziequel Vela,93037,0 - 1,Cal Poly,Richard Castro-Sandoval,69366
