Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,02/23,Queens - Davidson Dual,125,W,FALL,1:54,Daniel Graham,79815,2 - 12,Queens,Brady Joling,81791
2024,02/09,Davidson - Gardner-Webb Dual,133,W,DEC,11 - 6,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Brady Joling,81791
2025,03/07,SoCon Championships,125,L,TF5,17 - 2 6:51,Gylon Sims,84440,19 - 9,The Citadel,Luke Passarelli,78850
2025,03/07,SoCon Championships,125,L,DEC,4 - 2,Brayden Adams,78607,2 - 14,Presbyterian,Luke Passarelli,78850
2025,02/23,Wildcat Open,125,W,TF5,15 - 0 4:16,Evan Coles,93753,1 - 3,Duke,Luke Passarelli,78850
2025,02/23,Wildcat Open,125,L,MD,11 - 2,Tyler Washburn,85947,8 - 6,The Citadel,Luke Passarelli,78850
2025,02/23,Wildcat Open,125,W,FALL,2:48,Ty Porter,84936,0 - 10,Gardner-Webb,Luke Passarelli,78850
2025,02/23,Wildcat Open,125,L,FALL,3:41,Cam Stinson,84378,12 - 7,North Carolina,Luke Passarelli,78850
2025,02/16,Davidson - Appalachian State Dual,125,L,FALL,3:43,Bryson Terrell,79650,11 - 13,Appalachian State,Luke Passarelli,78850
2025,01/24,The Citadel - Davidson Dual,125,L,INJ,3:25,Gylon Sims,84440,19 - 9,The Citadel,Luke Passarelli,78850
2025,01/17,Brown - Davidson Dual,125,L,DEC,5 - 1,Jared Brunner,76391,4 - 21,Brown,Luke Passarelli,78850
2025,01/17,Little Rock - Davidson Dual,125,L,DEC,8 - 6,Tyson Roach,93198,5 - 5,Little Rock,Luke Passarelli,78850
2025,01/17,Morgan State - Davidson Dual,125,W,DEC,8 - 5,Julian Dawson,84955,4 - 16,Morgan State,Luke Passarelli,78850
2025,01/04,Southern Scuffle,125,L,FALL,4:48,Caleb Uhorchuk,79300,7 - 10,Army West Point,Luke Passarelli,78850
2025,01/04,Southern Scuffle,125,L,FALL,4:24,Spencer Moore,68720,18 - 9,North Carolina,Luke Passarelli,78850
2025,12/15,American - Davidson Dual,125,L,MD,11 - 2,Coen Bainey,78808,13 - 13,American,Luke Passarelli,78850
2025,12/08,Edinboro - Davidson Dual,125,L,TF5,19 - 2 6:12,Chris Vargo,85069,19 - 13,Edinboro,Luke Passarelli,78850
2025,12/06,Davidson - Duke Dual,125,W,MD,14 - 3,Riley Rowan,93754,4 - 9,Duke,Luke Passarelli,78850
2025,11/17,Davidson - Presbyterian Dual,125,W,DEC,7 - 6,Brayden Adams,78607,2 - 14,Presbyterian,Luke Passarelli,78850
2025,11/02,Southeast Open,125,L,DEC,10 - 3,Connor Lenahan,94052,Unlisted,Unattached,Luke Passarelli,78850
2025,11/02,Southeast Open,125,W,FALL,1:20,Johnny Cunningham,94049,Unlisted,Newberry,Luke Passarelli,78850
2025,11/02,Southeast Open,125,L,DEC,10 - 3,Cody Tanner,93674,5 - 12,VMI,Luke Passarelli,78850
2023,11/05,Southeast Open,125,W,SV-1,6 - 4,Austin Zehring,78802,2 - 5,VMI,Luke Passarelli,78850
2023,11/05,Southeast Open,125,W,DEC,6 - 3,Josh Noble,73612,Unlisted,Roanoke College,Luke Passarelli,78850
2023,11/05,Southeast Open,125,L,INJ,5:00,Mac Cafurello,73610,Unlisted,Roanoke College,Luke Passarelli,78850
2023,11/05,Southeast Open,125,L,MD,11 - 1,Mason Leiphart,73193,23 - 13,Franklin & Marshall,Luke Passarelli,78850
2025,02/02,Newberry Open,125,L,FALL,2:54,Jaxson Roney,100749,Unlisted,Keiser,Lucas Galdine,93506
2025,02/02,Newberry Open,125,L,FALL,4:10,Bradley Yokum,94003,6 - 7,NC State,Lucas Galdine,93506
2025,01/31,Davidson - Campbell Dual,133,L,TF5,15 - 0 4:16,Logan Heil,57515,14 - 13,Campbell,Lucas Galdine,93506
2025,02/23,Wildcat Open,125,L,DEC,6 - 0,Bradley Yokum,94003,6 - 7,NC State,Enis Ljikovic,84455
2025,02/23,Wildcat Open,125,L,TF5,17 - 2 1:30,Louie Gill,79342,14 - 3,NC State,Enis Ljikovic,84455
2025,02/14,VMI - Davidson Dual,125,W,DEC,4 - 2,Waylon Rogers,93673,4 - 15,VMI,Enis Ljikovic,84455
2025,02/09,Davidson - Bellarmine Dual,125,L,TF5,15 - 0 7:00,Jack Parker,71291,15 - 11,Bellarmine,Enis Ljikovic,84455
2025,02/07,Chattanooga - Davidson Dual,125,L,TF5,17 - 1 6:37,Ty Tice,84391,7 - 19,Chattanooga,Enis Ljikovic,84455
2025,02/02,Newberry Open,125,L,TF5,17 - 1 7:00,Jaxson Roney,100749,Unlisted,Keiser,Enis Ljikovic,84455
2025,02/02,Newberry Open,125,W,SV-2,2 - 1,Alex Tabb,98059,Unlisted,Andrew College,Enis Ljikovic,84455
2025,02/02,Newberry Open,125,W,DEC,5 - 3,Corey Dye,98039,Unlisted,Andrew College,Enis Ljikovic,84455
2025,02/02,Newberry Open,125,L,DEC,10 - 5,Braydon Mitchell,98030,Unlisted,Emmanuel,Enis Ljikovic,84455
2025,01/31,Davidson - Campbell Dual,125,L,TF5,16 - 1 7:00,Cooper Shore,84285,18 - 3,Campbell,Enis Ljikovic,84455
2025,01/26,Air Force - Davidson Dual,133,L,DEC,4 - 0,Nick Gonzalez,71708,1 - 0,Air Force,Enis Ljikovic,84455
2025,01/24,The Citadel - Davidson Dual,133,L,TF5,15 - 0 2:07,George Rosas,78686,12 - 15,The Citadel,Enis Ljikovic,84455
2025,01/17,Brown - Davidson Dual,133,L,TF5,15 - 0 7:00,Jacob Joyce,77274,12 - 3,Brown,Enis Ljikovic,84455
2025,01/04,Southern Scuffle,125,L,TF5,20 - 5 6:10,Cam Stinson,84378,12 - 7,North Carolina,Enis Ljikovic,84455
2025,01/04,Southern Scuffle,125,L,TF5,18 - 1 5:56,Jayden Carson,62838,3 - 13,Little Rock,Enis Ljikovic,84455
2025,12/15,American - Davidson Dual,133,L,FALL,0:16,Raymond Lopez,71769,20 - 13,American,Enis Ljikovic,84455
2025,11/17,Davidson - Presbyterian Dual,133,L,DEC,4 - 0,Tj Rodier,92517,3 - 15,Presbyterian,Enis Ljikovic,84455
2025,11/14,St Andrews - Davidson Dual,133,W,TF5,19 - 4 6:44,Amon Ellis,95891,Unlisted,St Andrews,Enis Ljikovic,84455
2025,11/14,Belmont Abbey - Davidson Dual,125,W,DEC,4 - 0,Brett Balzan,88364,Unlisted,Belmont Abbey,Enis Ljikovic,84455
2025,11/09,Mountaineer Invitational,125,L,FALL,2:18,Brandon Morvari,81742,4 - 6,Minnesota,Enis Ljikovic,84455
2025,11/09,Mountaineer Invitational,125,W,DEC,6 - 5,Brayden Adams,78607,2 - 14,Presbyterian,Enis Ljikovic,84455
2025,11/09,Mountaineer Invitational,125,L,TF5,16 - 1 2:54,Eddie Ventresca,62357,22 - 5,Virginia Tech,Enis Ljikovic,84455
2025,11/02,Southeast Open,125,L,TF5,19 - 4 6:42,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Enis Ljikovic,84455
2025,11/02,Southeast Open,125,L,DEC,6 - 1,Ty Tice,84391,7 - 19,Chattanooga,Enis Ljikovic,84455
2024,03/09,SoCon Championships,125,L,FALL,0:52,Chad Bellis,71922,21 - 14,Appalachian State,Enis Ljikovic,84455
2024,03/09,SoCon Championships,125,L,TF5,17 - 0 5:35,Tony Burke,78464,6 - 19,VMI,Enis Ljikovic,84455
2024,02/25,Wildcat Open,125,W,DEC,4 - 0,Fernando Martinez,87132,Unlisted,UNC Pembroke,Enis Ljikovic,84455
2024,02/25,Wildcat Open,125,L,FALL,3:55,Jackson Baglio,77783,4 - 5,NC State,Enis Ljikovic,84455
2024,02/25,Wildcat Open,125,L,TF5,15 - 0 1:33,Bryson Terrell,79650,3 - 3,Appalachian State,Enis Ljikovic,84455
2024,02/16,Davidson - VMI Dual,125,L,MD,9 - 0,Tony Burke,78464,6 - 19,VMI,Enis Ljikovic,84455
2024,02/02,Bellarmine - Davidson Dual,125,L,MD,10 - 2,Damion Ryan,78489,8 - 10,Bellarmine,Enis Ljikovic,84455
2024,01/28,Davidson - Chattanooga Dual,125,L,FALL,2:14,Chaz McDonald,84542,3 - 1,Chattanooga,Enis Ljikovic,84455
2024,01/21,Campbell - Davidson Dual,125,L,TF5,21 - 6 1:44,Anthony Molton,57207,21 - 5,Campbell,Enis Ljikovic,84455
2024,12/16,Sacred Heart - Davidson Dual,125,L,DEC,5 - 0,Jake Ice,73474,7 - 5,Sacred Heart,Enis Ljikovic,84455
2024,12/08,Duke - Davidson Dual,125,L,TF5,19 - 2 6:44,Logan Agin,62979,10 - 16,Duke,Enis Ljikovic,84455
2024,12/02,Davidson - American Dual,125,L,DEC,5 - 0,Shamil Kalmatov,72680,6 - 12,American,Enis Ljikovic,84455
2024,12/02,Davidson - George Mason Dual,125,L,DEC,3 - 0,Ben Monn,69708,8 - 7,George Mason,Enis Ljikovic,84455
2024,11/18,King Open,125,W,TF5,16 - 0 7:00,Fabian Rivera,88521,Unlisted,Newberry,Enis Ljikovic,84455
2024,11/18,King Open,125,L,TF5,20 - 2 7:00,Carson Dupill,88519,Unlisted,Unattached,Enis Ljikovic,84455
2024,11/18,King Open,125,W,DEC,7 - 5,Chase Creque,88508,Unlisted,Unattached,Enis Ljikovic,84455
2024,11/18,King Open,125,W,DEC,4 - 1,Joseph Bruscino,87127,Unlisted,UNC Pembroke,Enis Ljikovic,84455
2024,11/18,King Open,125,W,DEC,10 - 3,Tyson Upchurch,75995,Unlisted,King,Enis Ljikovic,84455
2024,11/18,King Open,125,W,DEC,9 - 3,Ethan Lopez,88876,Unlisted,Unattached,Enis Ljikovic,84455
2024,11/12,Davidson - Iowa State Dual,125,L,TF5,19 - 4 4:49,Kysen Terukina,67143,14 - 10,Iowa State,Enis Ljikovic,84455
2024,11/04,Southeast Open,125,L,MD,12 - 1,Ryan Meek,79652,5 - 18,Ohio,Enis Ljikovic,84455
2024,11/04,Southeast Open,125,L,MD,14 - 3,Anthony Aniciete,78617,Unlisted,Tiffin University,Enis Ljikovic,84455
2025,01/04,Southern Scuffle,133,L,SV-1,4 - 1,Raymond Adams,84586,6 - 24,Duke,John Hager,84396
2025,01/04,Southern Scuffle,133,L,MD,10 - 2,Ethan Berginc,71779,25 - 8,Army West Point,John Hager,84396
2025,12/20,Wilkes Open,133,L,DEC,3 - 2,Anthony Romero,75694,Unlisted,Unattached,John Hager,84396
2025,12/20,Wilkes Open,133,L,SV-1,11 - 8,Chad Bellis,71922,16 - 13,Appalachian State,John Hager,84396
2025,12/20,Wilkes Open,133,W,MD,14 - 5,Lucas Torre,82768,Unlisted,New Jersey City University,John Hager,84396
2025,12/20,Wilkes Open,133,W,DEC,8 - 1,Blake Dergham,94215,Unlisted,Pennsylvania College of Technology,John Hager,84396
2025,12/20,Wilkes Open,133,W,FALL,1:02,Connor Kerwin,86762,Unlisted,Wilkes,John Hager,84396
2025,12/08,Edinboro - Davidson Dual,133,L,FALL,6:00,Colton Camacho,58029,27 - 14,Edinboro,John Hager,84396
2025,12/06,Davidson - Duke Dual,133,L,DEC,4 - 1,Raymond Adams,84586,6 - 24,Duke,John Hager,84396
2025,11/02,Southeast Open,133,W,DEC,11 - 7,Jonah Paulino,93558,Unlisted,Roanoke College,John Hager,84396
2025,11/02,Southeast Open,133,L,DEC,1 - 0,Elias Navida,92962,14 - 5,North Carolina,John Hager,84396
2025,11/02,Southeast Open,133,W,SV-1,4 - 1,Ethan McCullough,89130,Unlisted,Newberry,John Hager,84396
2025,11/02,Southeast Open,133,W,FALL,6:17,Hudson Waldrop,79472,0 - 9,Campbell,John Hager,84396
2024,02/25,Wildcat Open,133,L,FALL,3:38,George Rosas,78686,13 - 18,The Citadel,John Hager,84396
2024,02/25,Wildcat Open,133,L,MD,13 - 4,Brayton Killiri,75820,2 - 5,The Citadel,John Hager,84396
2024,02/25,Wildcat Open,133,W,FALL,3:45,Carson Chalk,84689,0 - 8,Chattanooga,John Hager,84396
2024,01/28,Davidson - Chattanooga Dual,133,L,MD,11 - 2,Blake Boarman,70737,18 - 6,Chattanooga,John Hager,84396
2024,01/21,Campbell - Davidson Dual,133,L,TF5,19 - 4 2:14,Domenic Zaccone,56926,25 - 10,Campbell,John Hager,84396
2024,01/12,Brown - Davidson Dual,133,L,DEC,6 - 1,Hunter Adrian,65842,14 - 15,Brown,John Hager,84396
2024,01/12,Lock Haven - Davidson Dual,133,L,MD,15 - 3,Gable Strickland,71822,32 - 13,Lock Haven,John Hager,84396
2024,01/11,Harvard - Davidson Dual,133,L,MD,14 - 2,Coleman Nogle,84309,15 - 16,Harvard,John Hager,84396
2024,01/11,Little Rock - Davidson Dual,133,L,TF5,17 - 1 7:00,Nasir Bailey,79029,29 - 4,Little Rock,John Hager,84396
