Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,EIWA Championships,125,W,MD,11 - 2,Coen Bainey,78808,13 - 13,American,Desmond Pleasant,71583
2025,03/07,EIWA Championships,125,L,DEC,11 - 8,Robbie Sagaris,73406,14 - 9,LIU,Desmond Pleasant,71583
2025,03/07,EIWA Championships,125,W,MD,18 - 7,Nick Treaster,89471,11 - 12,Navy,Desmond Pleasant,71583
2025,03/07,EIWA Championships,125,L,DEC,8 - 6,Charlie Farmer,71771,23 - 10,Army West Point,Desmond Pleasant,71583
2025,02/21,Maryland - Drexel Dual,125,W,MD,10 - 1,Presden Sanchez,92960,7 - 9,Maryland,Desmond Pleasant,71583
2025,02/16,Drexel - Hofstra Dual,125,W,DEC,5 - 0,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Desmond Pleasant,71583
2025,02/16,Drexel - LIU Dual,125,W,DEC,4 - 3,Robbie Sagaris,73406,14 - 9,LIU,Desmond Pleasant,71583
2025,02/07,Drexel - Franklin & Marshall Dual,125,W,DEC,9 - 7,Jack Parker,83327,16 - 16,Franklin & Marshall,Desmond Pleasant,71583
2025,02/01,Princeton - Drexel Dual,125,L,TF5,17 - 2 7:00,Marc-Anthony McGowan,79468,16 - 4,Princeton,Desmond Pleasant,71583
2025,01/31,American - Drexel Dual,125,W,MD,11 - 2,Coen Bainey,78808,13 - 13,American,Desmond Pleasant,71583
2025,01/25,Drexel - Rider Dual,125,W,DEC,9 - 8,Noah Michaels,93265,13 - 10,Rider,Desmond Pleasant,71583
2025,01/24,Drexel - Bucknell Dual,125,W,TF5,21 - 6 7:00,Chris Nucifora,85052,0 - 9,Bucknell,Desmond Pleasant,71583
2025,01/18,Binghamton - Drexel Dual,125,W,DEC,4 - 2,Carson Wagner,78720,23 - 12,Binghamton,Desmond Pleasant,71583
2025,01/11,Central Michigan - Drexel Dual,125,W,DEC,10 - 4,Grant Stahl,84287,7 - 19,Central Michigan,Desmond Pleasant,71583
2025,01/11,Drexel - Pennsylvania Dual,125,L,FALL,1:34,Brady Pruett,73565,11 - 7,Pennsylvania,Desmond Pleasant,71583
2025,01/10,Drexel - Cal Poly Dual,125,W,DEC,9 - 5,Koda Holeman,73792,19 - 13,Cal Poly,Desmond Pleasant,71583
2025,01/10,CSU Bakersfield - Drexel Dual,125,W,DEC,4 - 1,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Desmond Pleasant,71583
2025,01/10,Drexel - Wyoming Dual,125,W,MD,11 - 3,Garrett Ricks,67111,6 - 9,Wyoming,Desmond Pleasant,71583
2025,12/21,South Dakota State - Drexel Dual,125,L,MD,16 - 3,Tanner Jordan,57664,24 - 10,South Dakota State,Desmond Pleasant,71583
2025,12/17,Ohio - Drexel Dual,125,W,MD,14 - 4,Ryan Meek,79652,3 - 15,Ohio,Desmond Pleasant,71583
2025,12/04,Drexel - Clarion Dual,125,W,DEC,10 - 9,Travis Clawson,93659,12 - 12,Clarion,Desmond Pleasant,71583
2025,11/09,Drexel - Navy Dual,125,L,DEC,9 - 4,Garrett Totten,81066,2 - 4,Navy,Desmond Pleasant,71583
2025,11/09,Drexel - North Carolina Dual,125,L,DEC,10 - 5,Spencer Moore,68720,18 - 9,North Carolina,Desmond Pleasant,71583
2024,03/08,EIWA Championships,125,W,TF5,21 - 5 3:14,Grayson McLellan,79295,0 - 13,Bucknell,Desmond Pleasant,71583
2024,03/08,EIWA Championships,125,L,MD,15 - 7,Max Gallagher,78893,19 - 10,Pennsylvania,Desmond Pleasant,71583
2024,03/08,EIWA Championships,125,L,DEC,5 - 1,Drew Heethuis,78620,14 - 12,Princeton,Desmond Pleasant,71583
2024,02/24,Hofstra - Drexel Dual,125,W,DEC,5 - 1,Dylan Acevedo-Switzer,73023,7 - 14,Hofstra,Desmond Pleasant,71583
2024,02/23,Drexel - Maryland Dual,125,W,DEC,9 - 3,Tommy Capul,73318,4 - 14,Maryland,Desmond Pleasant,71583
2024,02/16,Long Island University  - Drexel Dual,125,W,FALL,3:47,Robbie Sagaris,73406,14 - 14,LIU,Desmond Pleasant,71583
2024,02/10,Drexel - Brown Dual,125,W,SV-1,8 - 5,Michael Joyce,76394,8 - 9,Brown,Desmond Pleasant,71583
2024,02/04,Drexel - American Dual,125,W,MD,14 - 3,Shamil Kalmatov,72680,6 - 12,American,Desmond Pleasant,71583
2024,02/04,Drexel - Morgan State Dual,125,W,TF5,20 - 3 8:00,Julian Dawson,84955,5 - 15,Morgan State,Desmond Pleasant,71583
2024,02/03,Rider - Drexel Dual,125,L,DEC,7 - 3,Tyler Klinsky,62353,18 - 14,Rider,Desmond Pleasant,71583
2024,01/28,Bucknell - Drexel Dual,125,W,MD,14 - 5,Kade Davidheiser,78810,5 - 4,Bucknell,Desmond Pleasant,71583
2024,01/21,Stanford - Drexel Dual,125,L,DEC,8 - 6,Nico Provo,65883,19 - 8,Stanford,Desmond Pleasant,71583
2024,01/19,Drexel - Princeton Dual,125,L,MD,10 - 2,Drew Heethuis,78620,14 - 12,Princeton,Desmond Pleasant,71583
2024,01/14,Drexel - Army West Point Dual,125,L,DEC,8 - 7,Ethan Berginc,71779,24 - 11,Army West Point,Desmond Pleasant,71583
2024,01/13,Drexel - Binghamton Dual,125,W,SV-1,5 - 2,Carson Wagner,78720,14 - 17,Binghamton,Desmond Pleasant,71583
2024,01/01,Southern Scuffle,125,W,DEC,10 - 7,Noah Luna,79081,8 - 11,Appalachian State,Desmond Pleasant,71583
2024,01/01,Southern Scuffle,125,L,DEC,9 - 7,Blaine Frazier,78575,9 - 17,Indiana,Desmond Pleasant,71583
2024,01/01,Southern Scuffle,125,W,DEC,11 - 7,Reid Nelson,72129,5 - 9,Little Rock,Desmond Pleasant,71583
2024,01/01,Southern Scuffle,125,W,DEC,13 - 6,Charlie Farmer,71771,19 - 7,Army West Point,Desmond Pleasant,71583
2024,01/01,Southern Scuffle,125,L,DEC,8 - 3,Charlie Farmer,71771,19 - 7,Army West Point,Desmond Pleasant,71583
