Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Wildcat Open,125,W,TF5,19 - 4 3:23,Evan Coles,93753,1 - 3,Duke,Riley Rowan,93754
2025,02/23,Wildcat Open,125,L,FALL,1:31,Marcus Tyson,93730,2 - 4,NC State,Riley Rowan,93754
2025,02/23,Wildcat Open,125,L,MD,9 - 1,Tyler Washburn,85947,8 - 6,The Citadel,Riley Rowan,93754
2025,02/01,Duke - Pittsburgh Dual,125,L,MD,14 - 0,Nick Babin,65929,10 - 11,Pittsburgh,Riley Rowan,93754
2025,01/25,Appalachian Open,125,W,MD,8 - 0,Tyler Ramos,99159,Unlisted,Truett-McConnell,Riley Rowan,93754
2025,01/25,Appalachian Open,125,W,DEC,4 - 3,Bradley Yokum,94003,6 - 7,NC State,Riley Rowan,93754
2025,01/25,Appalachian Open,125,W,DEC,4 - 2,Logan Dean,93528,4 - 9,Ohio,Riley Rowan,93754
2025,01/25,Appalachian Open,125,L,FALL,3:09,Cam Stinson,84378,12 - 7,North Carolina,Riley Rowan,93754
2025,01/25,Appalachian Open,125,L,MD,15 - 5,Anthony Rossi,85124,8 - 6,Virginia,Riley Rowan,93754
2025,01/17,North Carolina - Duke Dual,125,L,DEC,8 - 1,Cam Stinson,84378,12 - 7,North Carolina,Riley Rowan,93754
2025,01/04,Southern Scuffle,125,L,FALL,4:13,Anthony Molton,57207,18 - 8,Campbell,Riley Rowan,93754
2025,01/04,Southern Scuffle,125,L,DEC,7 - 3,Elijah Lowe,93497,11 - 8,Chattanooga,Riley Rowan,93754
2025,12/22,VMI - Duke Dual,125,W,DEC,10 - 4,Cody Tanner,93674,5 - 12,VMI,Riley Rowan,93754
2025,12/06,Davidson - Duke Dual,125,L,MD,14 - 3,Luke Passarelli,78850,5 - 13,Davidson,Riley Rowan,93754
2025,02/07,Duke - Virginia Dual,125,L,TF5,19 - 4 4:26,Keyveon Roller,73139,14 - 9,Virginia,Ethan Grimminger,79008
2025,01/14,Gardner-Webb - Duke Dual,125,L,MD,10 - 2,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Ethan Grimminger,79008
2025,01/10,Duke - NC State Dual,125,L,TF5,18 - 1 7:00,Louie Gill,79342,14 - 3,NC State,Ethan Grimminger,79008
2025,01/04,Southern Scuffle,125,L,MD,16 - 6,Joesph Hubbard,84841,1 - 3,Bellarmine,Ethan Grimminger,79008
2025,01/04,Southern Scuffle,125,L,DEC,8 - 1,Robbie Sagaris,73406,14 - 9,LIU,Ethan Grimminger,79008
2025,11/23,Utah Valley - Duke Dual,125,L,MD,14 - 3,Bridger Ricks,82572,12 - 13,Utah Valley,Ethan Grimminger,79008
2025,11/23,Presbyterian - Duke Dual,125,W,SV-1,5 - 2,Brayden Adams,78607,2 - 14,Presbyterian,Ethan Grimminger,79008
2025,11/23,American - Duke Dual,125,L,TF5,20 - 4 5:01,JJ Peace,82775,15 - 6,American,Ethan Grimminger,79008
2025,11/22,Michigan - Duke Dual,125,L,TF5,17 - 2 3:00,Nolan Wertanen,78523,7 - 19,Michigan,Ethan Grimminger,79008
2025,11/16,Sacred Heart - Duke Dual,125,W,MD,17 - 9,Mike Manta,79721,2 - 4,Sacred Heart,Ethan Grimminger,79008
2025,11/16,Duke - Hofstra Dual,125,L,DEC,4 - 1,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Ethan Grimminger,79008
2025,11/10,Journeymen Classic,125,L,MD,12 - 2,Ayden Smith,92279,10 - 4,Rutgers,Ethan Grimminger,79008
2025,11/10,Journeymen Classic,125,W,DEC,2 - 1,Luke Sirianni,84262,0 - 6,Army West Point,Ethan Grimminger,79008
2025,11/10,Journeymen Classic,125,L,DEC,5 - 1,Damian Moreno,84698,2 - 3,Arizona State,Ethan Grimminger,79008
2025,11/09,Duke - Rutgers Dual,125,L,TF5,17 - 2 6:05,Dean Peterson,72936,22 - 8,Rutgers,Ethan Grimminger,79008
2025,11/09,Duke - LIU Dual,125,L,MD,11 - 0,Robbie Sagaris,73406,14 - 9,LIU,Ethan Grimminger,79008
2024,12/08,Duke - Davidson Dual,141,L,TF5,18 - 3 6:12,Joshua Viarengo,71129,6 - 17,Davidson,Ethan Grimminger,79008
2023,03/05,ACC Championships,125,L,MD,17 - 3,Colton Camacho,58029,17 - 9,Pittsburgh,Ethan Grimminger,79008
2023,03/05,ACC Championships,125,L,TF5,17 - 2 3:16,Jack Wagner,44755,21 - 10,North Carolina,Ethan Grimminger,79008
2023,02/18,Duke - Pittsburgh Dual,125,L,FALL,3:55,Colton Camacho,58029,17 - 9,Pittsburgh,Ethan Grimminger,79008
2023,02/15,Duke - Gardner-Webb Dual,125,L,FALL,0:39,Drew West,50041,23 - 11,Gardner-Webb,Ethan Grimminger,79008
2023,02/10,Duke - Virginia Dual,125,L,DEC,8 - 2,Patrick McCormick,57063,7 - 14,Virginia,Ethan Grimminger,79008
2023,02/03,Virginia Tech - Duke Dual,125,L,TF5,17 - 2 3:13,Eddie Ventresca,62357,19 - 9,Virginia Tech,Ethan Grimminger,79008
2023,01/27,Duke - North Carolina State Dual,125,L,FALL,2:49,Jarrett Trombley,50807,15 - 8,NC State,Ethan Grimminger,79008
2023,01/24,Duke - Appalachian State Dual,125,L,FALL,4:10,Caleb Smith,58559,25 - 7,Appalachian State,Ethan Grimminger,79008
2023,12/21,Duke - Presbyterian Dual,125,L,MD,19 - 9,Dominic Chavez,62498,9 - 8,Presbyterian,Ethan Grimminger,79008
2023,12/21,Duke - George Mason Dual,125,L,TF5,17 - 2 4:53,Markel Baker,78892,24 - 12,George Mason,Ethan Grimminger,79008
2025,02/23,Wildcat Open,125,L,TF5,19 - 4 3:23,Riley Rowan,93754,4 - 9,Duke,Evan Coles,93753
2025,02/23,Wildcat Open,125,L,TF5,15 - 0 4:16,Luke Passarelli,78850,5 - 13,Davidson,Evan Coles,93753
2025,01/18,Southeastern Open,125,L,TF5,22 - 5 7:00,Gabriel Tellez,96809,Unlisted,St Thomas University,Evan Coles,93753
2025,01/18,Southeastern Open,125,L,TF5,18 - 1 7:00,Elijah Lowe,93497,11 - 8,Chattanooga,Evan Coles,93753
2025,02/23,Wildcat Open,133,L,MD,18 - 7,Elijah Lowe,93497,11 - 8,Chattanooga,Spencer Von Savoye,82758
2025,02/23,Wildcat Open,133,L,MD,16 - 5,Marco Tocci,78821,5 - 4,North Carolina,Spencer Von Savoye,82758
2025,02/23,Wildcat Open,133,W,DEC,7 - 6,Sam Cherichello,92583,4 - 9,The Citadel,Spencer Von Savoye,82758
2025,02/23,Wildcat Open,133,W,MFOR,0 - 0,Marcus Wright,84410,1 - 7,The Citadel,Spencer Von Savoye,82758
2025,01/04,Southern Scuffle,133,L,TF5,18 - 3 7:00,Gary Steen,68731,3 - 4,Penn State,Spencer Von Savoye,82758
2025,01/04,Southern Scuffle,133,L,TF5,17 - 1 5:19,Bryce Luna,85039,8 - 9,Chattanooga,Spencer Von Savoye,82758
2025,11/03,Battle at The Citadel,141,L,DEC,6 - 2,Grant Reece,92983,3 - 6,Appalachian State,Spencer Von Savoye,82758
2025,11/03,Battle at The Citadel,141,L,DEC,5 - 1,Riley Edwards,71715,9 - 10,Appalachian State,Spencer Von Savoye,82758
2024,02/16,Cal Poly - Cal Baptist Dual,133,L,DEC,6 - 4,Ty Chandler,73187,2 - 2,Cal Poly,Spencer Von Savoye,82758
2024,02/10,Firestorm Open,133,W,DEC,7 - 6,Ethan Madson,92880,Unlisted,Unattached,Spencer Von Savoye,82758
2024,02/10,Firestorm Open,133,W,MD,14 - 1,Albert Ambriz,82688,Unlisted,Arizona Christian,Spencer Von Savoye,82758
2024,02/03,Oaks Open,133,L,MD,12 - 2,Ty Chandler,73187,2 - 2,Cal Poly,Spencer Von Savoye,82758
2024,02/03,Oaks Open,133,W,TF5,16 - 0 7:00,Brayden Concepcion,79185,Unlisted,San Francisco State,Spencer Von Savoye,82758
2024,02/03,Oaks Open,133,L,DEC,9 - 3,Tony Margiotta,57016,Unlisted,San Francisco State,Spencer Von Savoye,82758
