Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,W,TF5,18 - 1 7:00,Tyeler Hagensen,90801,9 - 21,Kent State,Chris Vargo,85069
2025,03/07,MAC Championships,125,L,DEC,2 - 0,Ben Monn,69708,17 - 13,George Mason,Chris Vargo,85069
2025,03/07,MAC Championships,125,W,MD,14 - 1,Max Elton,79785,17 - 19,Buffalo,Chris Vargo,85069
2025,03/07,MAC Championships,125,L,DEC,7 - 5,Drew Davis,84419,13 - 10,SIU Edwardsville,Chris Vargo,85069
2025,03/07,MAC Championships,125,W,FALL,2:52,Branden Wentzel,79309,1 - 8,Lock Haven,Chris Vargo,85069
2025,03/07,MAC Championships,125,W,MD,13 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Chris Vargo,85069
2025,02/20,Edinboro - Lock Haven Dual,125,W,FALL,6:03,Branden Wentzel,79309,1 - 8,Lock Haven,Chris Vargo,85069
2025,02/14,Rider - Edinboro Dual,125,L,DEC,11 - 8,Noah Michaels,93265,13 - 10,Rider,Chris Vargo,85069
2025,02/07,Central Michigan - Edinboro Dual,125,W,SV-1,4 - 1,Grant Stahl,84287,7 - 19,Central Michigan,Chris Vargo,85069
2025,02/06,Cleveland State - Edinboro Dual,125,L,DEC,10 - 3,Benjamin Aranda,71804,13 - 11,Cleveland State,Chris Vargo,85069
2025,01/19,Edinboro - Ohio Dual,125,W,MD,14 - 6,Ryan Meek,79652,3 - 15,Ohio,Chris Vargo,85069
2025,01/12,Edinboro - Clarion Dual,125,W,DEC,6 - 4,Travis Clawson,93659,12 - 12,Clarion,Chris Vargo,85069
2025,12/29,Midlands Championships,125,W,DEC,8 - 3,Ayden Smith,92279,10 - 4,Rutgers,Chris Vargo,85069
2025,12/29,Midlands Championships,125,L,TF5,22 - 6 7:00,Dedrick Navarro,84344,18 - 13,Northwestern,Chris Vargo,85069
2025,12/29,Midlands Championships,125,W,DEC,5 - 1,JB Dragovich,78828,14 - 13,George Mason,Chris Vargo,85069
2025,12/29,Midlands Championships,125,L,DEC,6 - 3,Diego Sotelo,71874,12 - 6,Harvard,Chris Vargo,85069
2025,12/29,Midlands Championships,125,W,MD,11 - 2,Ben Monn,69708,17 - 13,George Mason,Chris Vargo,85069
2025,12/08,Edinboro - Davidson Dual,125,W,TF5,19 - 2 6:12,Luke Passarelli,78850,5 - 13,Davidson,Chris Vargo,85069
2025,12/07,Edinboro - VMI Dual,125,W,TF5,19 - 1 7:00,Waylon Rogers,93673,4 - 15,VMI,Chris Vargo,85069
2025,12/07,King - Edinboro Dual,125,W,TF5,15 - 0 1:58,Tyson Upchurch,75995,Unlisted,King,Chris Vargo,85069
2025,11/24,Keystone Classic,125,L,DEC,7 - 2,Logan Brzozowski,85072,11 - 15,Harvard,Chris Vargo,85069
2025,11/24,Keystone Classic,125,L,DEC,9 - 7,Grant Stahl,84287,7 - 19,Central Michigan,Chris Vargo,85069
2025,11/17,Ohio State - Edinboro Dual,125,L,MD,8 - 0,Brendan McCrone,76350,22 - 11,Ohio State,Chris Vargo,85069
2025,11/15,George Mason - Edinboro Dual,125,W,SV-1,4 - 1,Ben Monn,69708,17 - 13,George Mason,Chris Vargo,85069
2025,11/09,Michigan State Open,125,L,DEC,3 - 1,Camren French,93788,9 - 5,Northern Illinois,Chris Vargo,85069
2025,11/09,Michigan State Open,125,W,FALL,1:05,Logan Dean,93528,4 - 9,Ohio,Chris Vargo,85069
2025,11/09,Michigan State Open,125,L,DEC,6 - 5,Nico Calello,73713,13 - 11,Kent State,Chris Vargo,85069
2025,11/09,Michigan State Open,125,W,MD,12 - 0,Orion Wilson,84984,Unlisted,Grand Valley State University,Chris Vargo,85069
2025,11/03,Clarion Open,125,W,DEC,5 - 3,Isaac Hampton,85090,3 - 7,Navy,Chris Vargo,85069
2025,11/03,Clarion Open,125,L,DEC,5 - 2,Matt Marlow,85117,8 - 6,Pittsburgh,Chris Vargo,85069
2025,11/03,Clarion Open,125,L,DEC,9 - 7,Colyn Limbert,85116,12 - 9,Pittsburgh,Chris Vargo,85069
2025,11/03,Clarion Open,125,W,DEC,9 - 8,Ostin Blanchard,84266,3 - 7,Bellarmine,Chris Vargo,85069
2025,11/01,Seton Hill - Edinboro Dual,125,W,FALL,3:50,Don Lindsey,94007,Unlisted,Seton Hill,Chris Vargo,85069
2025,11/01,Pitt-Bradford - Edinboro Dual,125,W,FALL,2:51,Cade Stern,94008,Unlisted,Pitt-Bradford,Chris Vargo,85069
2025,02/23,Patriot Last Chance Open,125,L,DEC,6 - 3,Kaedyn Williams,84379,Unlisted,Unattached,Austin Zimmerman,93050
2025,02/23,Patriot Last Chance Open,125,L,DEC,5 - 2,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Austin Zimmerman,93050
2025,02/16,Mat Town Open-II,125,L,DEC,1 - 0,Aiden Shufelt,93809,7 - 12,Buffalo,Austin Zimmerman,93050
2025,02/16,Mat Town Open-II,125,L,DEC,13 - 6,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Austin Zimmerman,93050
2025,02/01,Edinboro Open,125,L,TF5,18 - 2 5:18,Colyn Limbert,85116,12 - 9,Pittsburgh,Austin Zimmerman,93050
2025,02/01,Edinboro Open,125,L,MD,8 - 0,Ernie Perry,84553,3 - 4,Cornell,Austin Zimmerman,93050
2025,02/01,Edinboro Open,125,W,TF5,17 - 2 4:06,Meyer Rosen,83908,0 - 6,Bucknell,Austin Zimmerman,93050
2025,01/26,Jamestown CC Open,125,W,MD,13 - 3,Nicholas Anderson,98495,Unlisted,Garrett College,Austin Zimmerman,93050
2025,01/26,Jamestown CC Open,125,W,FALL,3:00,Dylan Levine,95495,Unlisted,Brockport,Austin Zimmerman,93050
2025,01/26,Jamestown CC Open,125,W,MD,10 - 2,Alex Crane,97652,Unlisted,John Carroll,Austin Zimmerman,93050
2025,01/26,Jamestown CC Open,125,W,DEC,5 - 3,Kenny Schmitz,84914,Unlisted,Gannon,Austin Zimmerman,93050
2025,01/26,Jamestown CC Open,125,W,DEC,6 - 4,Cade Stern,94008,Unlisted,Pitt-Bradford,Austin Zimmerman,93050
2025,01/19,Purple Raider Open,125,W,FALL,6:34,Leroy Steagall,99778,Unlisted,Wheeling,Austin Zimmerman,93050
2025,01/19,Purple Raider Open,125,W,DEC,8 - 2,Carson Yocca,94876,Unlisted,Ashland,Austin Zimmerman,93050
2025,01/19,Purple Raider Open,125,L,MD,8 - 0,Billy Smith,75818,Unlisted,Findlay,Austin Zimmerman,93050
2025,01/19,Purple Raider Open,125,L,DEC,5 - 0,Tyeler Hagensen,90801,9 - 21,Kent State,Austin Zimmerman,93050
2025,01/10,Franklin & Marshall Open,125,W,DEC,5 - 2,Alex Esposito,93322,1 - 12,Rider,Austin Zimmerman,93050
2025,01/10,Franklin & Marshall Open,125,L,MD,12 - 1,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Austin Zimmerman,93050
2025,01/10,Franklin & Marshall Open,125,L,TF5,15 - 0 5:37,Anthony Molton,57207,18 - 8,Campbell,Austin Zimmerman,93050
2025,01/04,Bobby Kauffman Open,125,L,DEC,9 - 4,Gunner Chambers,84437,4 - 7,George Mason,Austin Zimmerman,93050
2025,01/04,Bobby Kauffman Open,125,W,MFOR,0 - 0,Kaedyn Williams,84379,Unlisted,Unattached,Austin Zimmerman,93050
2025,01/04,Bobby Kauffman Open,125,W,CMFF,0 - 0,Kaden Naame,84336,5 - 9,Rider,Austin Zimmerman,93050
2025,01/04,Bobby Kauffman Open,125,L,DEC,4 - 3,JB Dragovich,78828,14 - 13,George Mason,Austin Zimmerman,93050
2025,01/04,Bobby Kauffman Open,125,W,DEC,6 - 3,Logan Wadle,78658,3 - 10,Lehigh,Austin Zimmerman,93050
2025,11/09,Michigan State Open,125,L,DEC,6 - 0,Talan Parsons,93524,4 - 7,Northern Illinois,Austin Zimmerman,93050
2025,11/09,Michigan State Open,125,L,MD,8 - 0,Caleb Weiand,79429,13 - 18,Michigan State,Austin Zimmerman,93050
2025,11/09,Michigan State Open,125,W,MD,12 - 4,Nico Calello,73713,13 - 11,Kent State,Austin Zimmerman,93050
2025,11/09,Michigan State Open,125,W,DEC,4 - 2,Simon Dominguez,97217,Unlisted,Grand Valley State University,Austin Zimmerman,93050
2025,11/03,Clarion Open,125,L,FALL,1:26,Brendan McCrone,76350,22 - 11,Ohio State,Austin Zimmerman,93050
2025,11/03,Clarion Open,125,L,DEC,5 - 1,Tyler Chappell,79287,8 - 16,Pittsburgh,Austin Zimmerman,93050
2025,02/23,Patriot Last Chance Open,125,W,MD,14 - 2,Alex Esposito,93322,1 - 12,Rider,Eamonn Jimenez,78779
2025,02/23,Patriot Last Chance Open,125,L,DEC,5 - 2,Abram Cline,84637,13 - 13,Maryland,Eamonn Jimenez,78779
2025,02/16,JCU Open,125,W,DEC,9 - 3,Jacob Sombronski,97667,Unlisted,Seton Hill,Eamonn Jimenez,78779
2025,02/16,JCU Open,125,L,DEC,14 - 9,Billy Smith,75818,Unlisted,Findlay,Eamonn Jimenez,78779
2025,02/16,JCU Open,125,L,DEC,8 - 6,Larry Rhodes,94156,Unlisted,Bluefield State,Eamonn Jimenez,78779
2025,02/16,JCU Open,125,W,TF5,15 - 0 7:00,Dalton Boyd,79582,Unlisted,Tiffin University,Eamonn Jimenez,78779
2025,02/16,JCU Open,125,W,FALL,1:54,Caiden Harbert,93361,Unlisted,West Liberty University,Eamonn Jimenez,78779
2025,02/01,Edinboro Open,125,W,MD,10 - 2,Alex Reed,93631,1 - 5,Lock Haven,Eamonn Jimenez,78779
2025,02/01,Edinboro Open,125,L,DEC,2 - 0,Nick Corday,70986,7 - 8,Michigan State,Eamonn Jimenez,78779
2025,02/01,Edinboro Open,125,L,TF5,22 - 6 4:52,JJ Peace,82775,15 - 6,American,Eamonn Jimenez,78779
2025,01/19,Purple Raider Open,125,W,DEC,12 - 6,Jacob Sombronski,97667,Unlisted,Seton Hill,Eamonn Jimenez,78779
2025,01/19,Purple Raider Open,125,L,DEC,2 - 1,Aiden Shufelt,93809,7 - 12,Buffalo,Eamonn Jimenez,78779
2025,01/19,Purple Raider Open,125,W,TF5,18 - 1 7:00,Brent Bosley,92847,Unlisted,Wheeling,Eamonn Jimenez,78779
2025,01/19,Purple Raider Open,125,L,DEC,3 - 2,Anthony Isek,85741,2 - 4,Indiana,Eamonn Jimenez,78779
2025,01/04,Bobby Kauffman Open,125,L,DEC,3 - 2,Alex Esposito,93322,1 - 12,Rider,Eamonn Jimenez,78779
2025,01/04,Bobby Kauffman Open,125,L,DEC,5 - 1,Kaden Naame,84336,5 - 9,Rider,Eamonn Jimenez,78779
2025,12/20,Kent State Open,125,L,DEC,6 - 3,Jacob Sombronski,97667,Unlisted,Seton Hill,Eamonn Jimenez,78779
2025,12/20,Kent State Open,125,L,FALL,3:00,Talan Parsons,93524,4 - 7,Northern Illinois,Eamonn Jimenez,78779
2025,11/24,Keystone Classic,125,L,MD,14 - 3,Max Gallagher,78893,26 - 10,Pennsylvania,Eamonn Jimenez,78779
2025,11/24,Keystone Classic,125,L,MD,14 - 2,Kaden Chinavare,77647,7 - 10,Central Michigan,Eamonn Jimenez,78779
2025,11/09,Michigan State Open,125,L,DEC,8 - 1,Talan Parsons,93524,4 - 7,Northern Illinois,Eamonn Jimenez,78779
