Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/02,Zingo Nationals,125,W,FALL,1:23,Logan Zelo,101226,Unlisted,Unattached,Ejiro Montoya,93510
2025,03/02,Zingo Nationals,125,W,DEC,4 - 2,Nick Corday,70986,7 - 8,Michigan State,Ejiro Montoya,93510
2025,03/02,Zingo Nationals,125,L,DEC,4 - 1,Nick Corday,70986,7 - 8,Michigan State,Ejiro Montoya,93510
2025,03/02,Zingo Nationals,125,L,DEC,8 - 1,Ayden Smith,92279,10 - 4,Rutgers,Ejiro Montoya,93510
2025,03/02,Zingo Nationals,125,W,DEC,10 - 5,Brady Klinsky,92897,1 - 8,Rider,Ejiro Montoya,93510
2025,02/16,Mat Town Open-II,125,L,FALL,2:52,Aiden Shufelt,93809,7 - 12,Buffalo,Ejiro Montoya,93510
2025,02/16,Mat Town Open-II,125,W,DEC,13 - 6,Austin Zimmerman,93050,5 - 14,Edinboro,Ejiro Montoya,93510
2025,02/16,Mat Town Open-II,125,W,DEC,9 - 5,Teague Strobel,93797,6 - 11,Hofstra,Ejiro Montoya,93510
2025,02/16,Mat Town Open-II,125,L,FALL,8:58,Abram Cline,84637,13 - 13,Maryland,Ejiro Montoya,93510
2025,02/16,Mat Town Open-II,125,W,DEC,10 - 3,Chase Nevills,92967,0 - 4,Virginia,Ejiro Montoya,93510
2025,02/08,Messiah Open,125,L,FALL,1:02,Alexander Diaz,96711,Unlisted,Unattached,Ejiro Montoya,93510
2025,02/08,Messiah Open,125,W,DEC,14 - 7,Xavier Diaz,95981,Unlisted,Unattached,Ejiro Montoya,93510
2025,02/08,Messiah Open,125,W,MD,14 - 2,Brian McCaw,74897,Unlisted,Muhlenberg,Ejiro Montoya,93510
2025,02/08,Messiah Open,125,W,FALL,1:47,Thomas Longo,95542,Unlisted,Wilkes,Ejiro Montoya,93510
2025,01/18,Binghamton - Franklin & Marshall Dual,133,L,FALL,2:48,Micah Roes,67299,16 - 12,Binghamton,Ejiro Montoya,93510
2025,01/10,Franklin & Marshall Open,125,W,DEC,12 - 7,Teague Strobel,93797,6 - 11,Hofstra,Ejiro Montoya,93510
2025,01/10,Franklin & Marshall Open,125,W,MD,12 - 4,Abram Cline,84637,13 - 13,Maryland,Ejiro Montoya,93510
2025,01/10,Franklin & Marshall Open,125,W,DEC,5 - 1,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Ejiro Montoya,93510
2025,01/10,Franklin & Marshall Open,125,L,TF5,16 - 1 3:55,Nain Vasquez,76010,10 - 7,Army West Point,Ejiro Montoya,93510
2025,01/10,Franklin & Marshall Open,125,L,DEC,2 - 1,Robert Wright,81230,9 - 9,Air Force,Ejiro Montoya,93510
2025,12/20,Sheridan Open,125,L,DEC,10 - 4,Logan Wadle,78658,3 - 10,Lehigh,Ejiro Montoya,93510
