Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,SoCon Championships,125,L,DEC,7 - 6,Gylon Sims,84440,19 - 9,The Citadel,Tyson Lane,75724
2025,03/07,SoCon Championships,125,W,DEC,8 - 2,Anthony Molton,57207,18 - 8,Campbell,Tyson Lane,75724
2025,03/07,SoCon Championships,125,W,DEC,9 - 7,Bryson Terrell,79650,11 - 13,Appalachian State,Tyson Lane,75724
2025,02/23,Gardner-Webb - The Citadel Dual,125,L,DEC,6 - 4,Gylon Sims,84440,19 - 9,The Citadel,Tyson Lane,75724
2025,02/16,Gardner-Webb - Chattanooga Dual,125,W,MD,11 - 1,Ty Tice,84391,7 - 19,Chattanooga,Tyson Lane,75724
2025,02/14,Bellarmine - Gardner-Webb Dual,125,W,DEC,8 - 1,Jack Parker,71291,15 - 11,Bellarmine,Tyson Lane,75724
2025,02/04,Appalachian State - Gardner-Webb Dual,125,L,FALL,2:28,Bryson Terrell,79650,11 - 13,Appalachian State,Tyson Lane,75724
2025,01/31,VMI - Gardner-Webb Dual,125,W,FALL,5:23,Cody Tanner,93674,5 - 12,VMI,Tyson Lane,75724
2025,01/17,Campbell - Gardner-Webb Dual,133,W,DEC,13 - 8,Domenic Zaccone,56926,5 - 6,Campbell,Tyson Lane,75724
2025,01/14,Gardner-Webb - Duke Dual,133,W,DEC,5 - 2,Raymond Adams,84586,6 - 24,Duke,Tyson Lane,75724
2025,12/08,A Better Way Athletics Patriot Open,125,L,SV-1,4 - 1,JJ Peace,82775,15 - 6,American,Tyson Lane,75724
2025,12/08,A Better Way Athletics Patriot Open,125,L,CMFF,0 - 0,Colby McBride,79082,10 - 6,Appalachian State,Tyson Lane,75724
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,18 - 4,JB Dragovich,78828,14 - 13,George Mason,Tyson Lane,75724
2025,11/24,Black Knight Invite,125,L,SV-3,9 - 8,Caleb Weiand,79429,13 - 18,Michigan State,Tyson Lane,75724
2025,11/24,Black Knight Invite,125,L,FALL,5:39,Caleb Uhorchuk,79300,7 - 10,Army West Point,Tyson Lane,75724
2025,11/08,Army West Point - Gardner-Webb Dual,125,L,DEC,5 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Tyson Lane,75724
2025,11/01,Purdue - Gardner-Webb Dual,125,L,FALL,4:51,Matt Ramos,57134,31 - 3,Purdue,Tyson Lane,75724
2024,03/09,SoCon Championships,133,W,FALL,4:57,Blake Boarman,70737,18 - 6,Chattanooga,Tyson Lane,75724
2024,03/09,SoCon Championships,133,W,TF5,17 - 2 4:28,Brayden Adams,78607,1 - 15,Presbyterian,Tyson Lane,75724
2024,03/09,SoCon Championships,133,L,MD,16 - 5,Dyson Dunham,73559,21 - 16,VMI,Tyson Lane,75724
2024,03/09,SoCon Championships,133,L,DEC,8 - 5,Dyson Dunham,73559,21 - 16,VMI,Tyson Lane,75724
2024,02/18,VMI - Gardner-Webb Dual,133,W,DEC,5 - 4,Dyson Dunham,73559,21 - 16,VMI,Tyson Lane,75724
2024,02/16,The Citadel - Gardner-Webb Dual,133,W,DEC,2 - 1,George Rosas,78686,13 - 18,The Citadel,Tyson Lane,75724
2024,02/11,Gardner-Webb - Presbyterian Dual,133,W,TF5,16 - 0 3:56,Brayden Adams,78607,1 - 15,Presbyterian,Tyson Lane,75724
2024,02/04,Gardner-Webb - Campbell Dual,133,L,TF5,22 - 5 3:44,Domenic Zaccone,56926,25 - 10,Campbell,Tyson Lane,75724
2024,02/03,Chattanooga - Gardner-Webb Dual,133,L,DEC,13 - 7,Blake Boarman,70737,18 - 6,Chattanooga,Tyson Lane,75724
2024,01/28,Gardner-Webb - Bellarmine Dual,133,L,MD,16 - 6,Trayce Eckman,78874,7 - 9,Bellarmine,Tyson Lane,75724
2024,01/16,Duke - Gardner-Webb Dual,133,W,DEC,5 - 2,Raymond Adams,84586,5 - 20,Duke,Tyson Lane,75724
2024,01/01,Southern Scuffle,133,L,DEC,13 - 7,Braden Basile,73707,22 - 14,Army West Point,Tyson Lane,75724
2024,01/01,Southern Scuffle,133,L,FALL,2:56,Dominic LaJoie,49112,11 - 10,Stanford,Tyson Lane,75724
2024,01/01,Southern Scuffle,133,W,MFOR,0 - 0,Fernando Barreto,77720,5 - 12,North Dakota State,Tyson Lane,75724
2024,01/01,Southern Scuffle,133,W,DEC,1 - 0,John Hager,84396,6 - 15,Davidson,Tyson Lane,75724
2024,12/21,Ohio - Gardner-Webb Dual,133,L,FALL,4:14,Mason Brugh,76364,6 - 13,Ohio,Tyson Lane,75724
2024,12/21,George Mason - Gardner-Webb Dual,133,W,MD,9 - 0,Brandon Wittenberg,57647,6 - 11,George Mason,Tyson Lane,75724
2024,12/02,Buffalo - Gardner-Webb Dual,133,L,FALL,3:42,Tommy Maddox,63165,11 - 16,Buffalo,Tyson Lane,75724
2024,12/02,Kent State - Gardner-Webb Dual,133,W,MD,11 - 0,Matt Ellis,75817,2 - 7,Kent State,Tyson Lane,75724
2024,11/11,Mountaineer Invitational,133,W,DEC,10 - 5,TK Davis,84306,11 - 9,Gardner-Webb,Tyson Lane,75724
2024,11/11,Mountaineer Invitational,133,L,FALL,4:52,Gable Porter,78748,10 - 4,Virginia,Tyson Lane,75724
2024,11/11,Mountaineer Invitational,133,L,FALL,2:50,Marlon Yarbrough,72946,15 - 9,Virginia,Tyson Lane,75724
2024,11/11,Mountaineer Invitational,133,W,FALL,3:33,Gavin Caprella,83285,3 - 8,Air Force,Tyson Lane,75724
2024,11/05,Clarion Open,133,L,DEC,5 - 4,Matt Ellis,75817,2 - 7,Kent State,Tyson Lane,75724
2024,11/05,Clarion Open,133,L,FALL,6:24,Nic Bouzakis,73468,23 - 11,Ohio State,Tyson Lane,75724
2023,02/12,Gardner-Webb - Presbyterian Dual,133,L,FALL,5:50,Jacob Brasseur,61212,10 - 17,Presbyterian,Tyson Lane,75724
2023,02/05,Newberry Open,133,W,TF5,17 - 2 7:00,Jp Gamez,74332,Unlisted,Newberry,Tyson Lane,75724
2023,02/05,Newberry Open,133,W,TF5,19 - 1 7:00,Luke Martin,84067,Unlisted,Unattached,Tyson Lane,75724
2023,02/05,Newberry Open,133,W,MD,9 - 1,Kaiden Fisher,70938,Unlisted,Lander,Tyson Lane,75724
2023,02/05,Newberry Open,133,W,MFOR,0 - 0,Logan Heil,57515,1 - 1,Campbell,Tyson Lane,75724
2023,01/28,Appalachian Open,133,W,DEC,5 - 2,Max Martin,73698,0 - 6,North Carolina,Tyson Lane,75724
2023,01/28,Appalachian Open,133,L,DEC,4 - 0,Spencer Moore,68720,7 - 3,North Carolina,Tyson Lane,75724
2023,01/28,Appalachian Open,133,W,MFOR,0 - 0,Joey Melendez,50805,7 - 6,North Carolina,Tyson Lane,75724
2023,01/18,Crusader Throwdown 1.18.2023,133,W,FALL,1:45,Will Cline,74344,Unlisted,Belmont Abbey,Tyson Lane,75724
2023,01/01,Southern Scuffle,133,L,DEC,8 - 2,Dustin Norris,72154,13 - 16,Purdue,Tyson Lane,75724
2023,01/01,Southern Scuffle,133,L,TF5,19 - 4 6:02,Daton Fix,49263,30 - 2,Oklahoma State,Tyson Lane,75724
2023,12/04,ARMS Software Patriots Open,125,L,DEC,6 - 2,Ben Monn,69708,15 - 11,George Mason,Tyson Lane,75724
2023,12/04,ARMS Software Patriots Open,125,L,FALL,2:46,Matt Maloney,62920,6 - 5,Lock Haven,Tyson Lane,75724
2023,12/04,ARMS Software Patriots Open,125,W,TF5,18 - 1 4:00,Hale Robinson,70746,1 - 12,Davidson,Tyson Lane,75724
2023,11/12,App State Open,125,W,SV-1,3 - 1,Aedyn Concepcion,69782,5 - 6,Gardner-Webb,Tyson Lane,75724
2023,11/12,App State Open,125,W,DEC,2 - 0,Noah Luna,79081,6 - 7,Appalachian State,Tyson Lane,75724
2023,11/12,App State Open,125,W,DEC,3 - 2,Joe Haynes,73057,2 - 2,Virginia,Tyson Lane,75724
2023,11/06,Clarion Open,125,L,FALL,6:43,Dayton DelViscio,73322,4 - 8,Navy,Tyson Lane,75724
2023,11/06,Clarion Open,125,W,DEC,2 - 0,Kade Orr,73311,2 - 9,Kent State,Tyson Lane,75724
2023,11/06,Clarion Open,125,L,FALL,1:34,Matt Ramos,57134,33 - 5,Purdue,Tyson Lane,75724
2025,02/23,Wildcat Open,125,L,DEC,9 - 2,Louie Gill,79342,14 - 3,NC State,Jeffrey Jacome,73699
2025,02/23,Wildcat Open,125,L,CMFF,0 - 0,Tyler Washburn,85947,8 - 6,The Citadel,Jeffrey Jacome,73699
2025,01/17,Campbell - Gardner-Webb Dual,125,L,TF5,21 - 6 5:42,Anthony Molton,57207,18 - 8,Campbell,Jeffrey Jacome,73699
2025,01/14,Gardner-Webb - Duke Dual,125,W,MD,10 - 2,Ethan Grimminger,79008,3 - 13,Duke,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,W,SV-1,4 - 1,Joesph Hubbard,84841,1 - 3,Bellarmine,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,L,DEC,11 - 7,Beric Jordan,84763,12 - 3,Oklahoma,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,W,DEC,4 - 2,Gylon Sims,84440,19 - 9,The Citadel,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,L,MD,10 - 1,Antonio Lorenzo,57329,18 - 11,Oklahoma,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,L,DEC,7 - 2,Kurt McHenry,56182,7 - 4,Penn State,Jeffrey Jacome,73699
2025,01/04,Southern Scuffle,125,W,DEC,8 - 5,Robbie Sagaris,73406,14 - 9,LIU,Jeffrey Jacome,73699
2025,12/22,Gardner-Webb - Ohio Dual,125,W,SV-1,5 - 2,Ryan Meek,79652,3 - 15,Ohio,Jeffrey Jacome,73699
2025,12/19,Gardner-Webb - George Mason Dual,125,L,SV-1,4 - 1,Ben Monn,69708,17 - 13,George Mason,Jeffrey Jacome,73699
2025,12/14,Buffalo - Gardner-Webb Dual,125,W,SV-1,4 - 1,Max Elton,79785,17 - 19,Buffalo,Jeffrey Jacome,73699
2025,12/14,Rutgers - Gardner-Webb Dual,125,L,MD,13 - 1,Dean Peterson,72936,22 - 8,Rutgers,Jeffrey Jacome,73699
2025,12/14,Gardner-Webb - Kent State Dual,125,L,DEC,5 - 1,Nico Calello,73713,13 - 11,Kent State,Jeffrey Jacome,73699
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,5 - 3,Noah Michaels,93265,13 - 10,Rider,Jeffrey Jacome,73699
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,14 - 2,Brady Klinsky,92897,1 - 8,Rider,Jeffrey Jacome,73699
2025,12/08,A Better Way Athletics Patriot Open,125,W,MD,12 - 3,Jaden Felipe,84925,2 - 4,Navy,Jeffrey Jacome,73699
2025,12/08,A Better Way Athletics Patriot Open,125,W,DEC,5 - 3,Abram Cline,84637,13 - 13,Maryland,Jeffrey Jacome,73699
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,5 - 1,Davis Motyka,81808,Unlisted,PRTC,Jeffrey Jacome,73699
2025,11/24,Black Knight Invite,125,L,DEC,4 - 2,Sulayman Bah,79305,18 - 16,Columbia,Jeffrey Jacome,73699
2025,11/24,Black Knight Invite,125,W,DEC,6 - 2,Sawyer Ostroff,92990,5 - 9,LIU,Jeffrey Jacome,73699
2025,11/24,Black Knight Invite,125,L,TF5,19 - 4 5:38,Luke Lilledahl,80223,26 - 3,Penn State,Jeffrey Jacome,73699
2025,11/02,Southeast Open,125,W,MFOR,0 - 0,Isiac Paulino,79662,Unlisted,Roanoke College,Jeffrey Jacome,73699
2025,11/02,Southeast Open,125,L,DEC,7 - 2,Marco Tocci,78821,5 - 4,North Carolina,Jeffrey Jacome,73699
2025,11/02,Southeast Open,125,L,DEC,5 - 0,Spencer Moore,68720,18 - 9,North Carolina,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,MFOR,0 - 0,Troy Hohman,75816,7 - 5,NC State,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,MD,13 - 3,Kaluv Petaria,83983,Unlisted,Unattached,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,MD,10 - 1,William Bishop,83810,Unlisted,Unattached,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,FALL,5:50,Hunter Fulp,81734,Unlisted,Patrick Henry Community College,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,MD,10 - 2,Bryson Harper,81433,Unlisted,UNC Pembroke,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,L,MD,8 - 0,Cole Hunt,72654,5 - 4,North Carolina,Jeffrey Jacome,73699
2023,02/05,Newberry Open,125,W,FALL,2:53,Ashton Thompson,79817,1 - 6,Queens,Jeffrey Jacome,73699
2023,01/28,Appalachian Open,125,W,FALL,3:29,William Bishop,83810,Unlisted,Unattached,Jeffrey Jacome,73699
2023,01/28,Appalachian Open,125,W,MD,13 - 2,Brayden Adams,78607,0 - 8,Presbyterian,Jeffrey Jacome,73699
2023,01/28,Appalachian Open,125,L,DEC,4 - 1,Malik Hardy,73357,7 - 4,The Citadel,Jeffrey Jacome,73699
2023,01/28,Appalachian Open,125,L,FALL,3:34,Chad Bellis,71922,8 - 7,Appalachian State,Jeffrey Jacome,73699
