Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,W,DEC,2 - 0,Chris Vargo,85069,19 - 13,Edinboro,Ben Monn,69708
2025,03/07,MAC Championships,125,L,DEC,2 - 1,Drew Davis,84419,13 - 10,SIU Edwardsville,Ben Monn,69708
2025,03/07,MAC Championships,125,W,DEC,1 - 0,Branden Wentzel,79309,1 - 8,Lock Haven,Ben Monn,69708
2025,03/07,MAC Championships,125,W,SV-1,4 - 1,Benjamin Aranda,71804,13 - 11,Cleveland State,Ben Monn,69708
2025,03/07,MAC Championships,125,L,DEC,8 - 3,Travis Clawson,93659,12 - 12,Clarion,Ben Monn,69708
2025,02/16,American - George Mason Dual,125,L,DEC,2 - 1,Coen Bainey,78808,13 - 13,American,Ben Monn,69708
2025,02/09,Brown - George Mason Dual,125,W,DEC,6 - 0,Jared Brunner,76391,4 - 21,Brown,Ben Monn,69708
2025,02/01,George Mason - Rider Dual,125,L,DEC,3 - 0,Noah Michaels,93265,13 - 10,Rider,Ben Monn,69708
2025,01/26,Lock Haven - George Mason Dual,125,W,DEC,4 - 1,Branden Wentzel,79309,1 - 8,Lock Haven,Ben Monn,69708
2025,01/18,George Mason - Cleveland State Dual,125,W,DEC,13 - 9,Benjamin Aranda,71804,13 - 11,Cleveland State,Ben Monn,69708
2025,01/11,Ohio - George Mason Dual,133,L,DEC,2 - 1,TJ England,63058,7 - 15,Ohio,Ben Monn,69708
2025,01/11,CSU Bakersfield - George Mason Dual,125,L,DEC,5 - 0,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Ben Monn,69708
2025,01/10,George Mason - Wyoming Dual,125,L,DEC,10 - 6,Garrett Ricks,67111,6 - 9,Wyoming,Ben Monn,69708
2025,01/10,SIU Edwardsville - George Mason Dual,125,L,TB-1,2 - 1,Drew Davis,84419,13 - 10,SIU Edwardsville,Ben Monn,69708
2025,01/10,Cal Poly - George Mason Dual,125,L,DEC,4 - 1,Koda Holeman,73792,19 - 13,Cal Poly,Ben Monn,69708
2025,12/29,Midlands Championships,125,W,DEC,3 - 0,Christian Tanefeu,73460,8 - 12,Michigan,Ben Monn,69708
2025,12/29,Midlands Championships,125,L,MD,11 - 2,Chris Vargo,85069,19 - 13,Edinboro,Ben Monn,69708
2025,12/29,Midlands Championships,125,L,DEC,6 - 3,Blake West,73337,24 - 7,Northern Illinois,Ben Monn,69708
2025,12/19,Gardner-Webb - George Mason Dual,125,W,SV-1,4 - 1,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Ben Monn,69708
2025,12/06,Buffalo - George Mason Dual,125,W,DEC,2 - 1,Max Elton,79785,17 - 19,Buffalo,Ben Monn,69708
2025,11/24,George Mason - Southern Illinois Edwardsville Dual,125,W,SV-1,7 - 4,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Ben Monn,69708
2025,11/17,George Mason - Clarion Dual,125,W,MD,10 - 0,Weston Pisarchick,92999,4 - 7,Clarion,Ben Monn,69708
2025,11/15,George Mason - Edinboro Dual,125,L,SV-1,4 - 1,Chris Vargo,85069,19 - 13,Edinboro,Ben Monn,69708
2025,11/09,Bloomsburg - George Mason Dual,125,W,MD,11 - 1,Major Lewis,84530,3 - 19,Bloomsburg,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,W,DEC,11 - 6,Gunner Chambers,84437,4 - 7,George Mason,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,W,DEC,2 - 0,Colby McBride,79082,10 - 6,Appalachian State,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,W,DEC,2 - 0,Tyler Washburn,85947,8 - 6,The Citadel,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,W,DEC,3 - 2,Louie Gill,79342,14 - 3,NC State,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,L,DEC,5 - 0,Louie Gill,79342,14 - 3,NC State,Ben Monn,69708
2025,11/03,Battle at The Citadel,125,W,DEC,4 - 1,Jackson Baglio,77783,2 - 2,NC State,Ben Monn,69708
2024,12/21,George Mason - Gardner-Webb Dual,125,L,INJ,4:23,Drew West,50041,23 - 9,Gardner-Webb,Ben Monn,69708
2024,12/03,Patriot Open,125,W,DEC,4 - 2,Nick Treaster,89471,Unlisted,Unattached,Ben Monn,69708
2024,12/03,Patriot Open,125,W,DEC,6 - 2,Hayden Benter,84926,4 - 9,Navy,Ben Monn,69708
2024,12/03,Patriot Open,125,L,MD,18 - 9,Ryan Miller,62350,17 - 6,Pennsylvania,Ben Monn,69708
2024,12/03,Patriot Open,125,L,DEC,9 - 2,Chad Bellis,71922,21 - 14,Appalachian State,Ben Monn,69708
2024,12/02,Cleveland State - George Mason Dual,125,L,DEC,4 - 1,Benjamin Aranda,71804,11 - 13,Cleveland State,Ben Monn,69708
2024,12/02,Davidson - George Mason Dual,125,W,DEC,3 - 0,Enis Ljikovic,84455,0 - 14,Davidson,Ben Monn,69708
2024,11/18,Minnesota - George Mason Dual,125,L,TF5,22 - 5 5:00,Patrick McKee,50594,16 - 8,Minnesota,Ben Monn,69708
2024,11/18,Morgan State - George Mason Dual,125,W,MD,8 - 0,Kevin Lopez,77599,3 - 13,Morgan State,Ben Monn,69708
2024,11/11,Clarion - George Mason Dual,125,W,TB-1,2 - 1,Joseph Fischer,68702,17 - 13,Clarion,Ben Monn,69708
2024,11/11,The Citadel - George Mason Dual,125,W,SV-1,4 - 1,Malik Hardy,73357,14 - 17,The Citadel,Ben Monn,69708
2024,11/05,Battle at The Citadel,125,W,FALL,2:58,Gunner Chambers,84437,3 - 8,George Mason,Ben Monn,69708
2024,11/05,Battle at The Citadel,125,W,DEC,4 - 1,JB Dragovich,78828,6 - 15,George Mason,Ben Monn,69708
2024,11/05,Battle at The Citadel,125,W,DEC,3 - 0,Marcus Wright,84410,0 - 8,The Citadel,Ben Monn,69708
2024,11/05,Battle at The Citadel,125,L,DEC,4 - 2,Desmond Pleasant,71583,19 - 16,Drexel,Ben Monn,69708
2024,11/05,Battle at The Citadel,125,L,MD,12 - 3,Chad Bellis,71922,21 - 14,Appalachian State,Ben Monn,69708
2023,02/25,Zingo National Collegiate open,125,W,DEC,2 - 1,JB Dragovich,78828,4 - 9,George Mason,Ben Monn,69708
2023,02/25,Zingo National Collegiate open,125,W,DEC,2 - 0,Dylan Acevedo-Switzer,73023,1 - 10,Hofstra,Ben Monn,69708
2023,02/25,Zingo National Collegiate open,125,L,DEC,3 - 2,Brady Pruett,73565,6 - 8,Pennsylvania,Ben Monn,69708
2023,02/25,Zingo National Collegiate open,125,W,DEC,3 - 2,Troy Hohman,75816,7 - 5,NC State,Ben Monn,69708
2023,02/25,Zingo National Collegiate open,125,L,DEC,6 - 1,Troy Hohman,75816,7 - 5,NC State,Ben Monn,69708
2023,02/17,Rider George Mason ECM,133,W,FALL,0:50,Ethan Titus,78447,4 - 6,Rider,Ben Monn,69708
2023,02/04,Messiah Open,125,W,TF5,16 - 0 7:00,Joe Petrone,82600,Unlisted,Nassau Community College,Ben Monn,69708
2023,02/04,Messiah Open,125,W,DEC,7 - 2,Kevin Lopez,77599,Unlisted,Nassau Community College,Ben Monn,69708
2023,02/04,Messiah Open,125,W,TF5,16 - 0 7:00,Will Schwartz,70363,Unlisted,Ursinus,Ben Monn,69708
2023,01/29,Mat-Town Open II,125,L,DEC,4 - 2,Sheldon Seymour,62339,19 - 5,Lehigh,Ben Monn,69708
2023,01/29,Mat-Town Open II,125,W,MD,10 - 0,Zach Spence,57519,2 - 6,Maryland,Ben Monn,69708
2023,01/29,Mat-Town Open II,125,W,DEC,4 - 3,Karl Shindledecker,79050,3 - 6,Penn State,Ben Monn,69708
2023,01/29,Mat-Town Open II,125,W,DEC,8 - 1,Nick Curley,73364,3 - 3,Binghamton,Ben Monn,69708
2023,01/06,David Lehman Open,125,W,MD,8 - 0,Nico Calello,73713,2 - 4,Kent State,Ben Monn,69708
2023,01/06,David Lehman Open,125,W,MD,8 - 0,Cole Hunt,72654,5 - 4,North Carolina,Ben Monn,69708
2023,01/06,David Lehman Open,125,W,DEC,4 - 2,Gio Diaz,67279,7 - 11,Franklin & Marshall,Ben Monn,69708
2023,01/06,David Lehman Open,125,L,SV-1,3 - 1,Jack Bruce,62869,6 - 6,Franklin & Marshall,Ben Monn,69708
2023,01/06,David Lehman Open,125,L,DEC,9 - 6,Tucker Owens,71711,22 - 14,Air Force,Ben Monn,69708
2023,12/22,Wilkes Invitational,125,L,DEC,10 - 3,Sheldon Seymour,62339,19 - 5,Lehigh,Ben Monn,69708
2023,12/22,Wilkes Invitational,125,W,MD,8 - 0,Austin Fashouer,75510,Unlisted,Wilkes,Ben Monn,69708
2023,12/22,Wilkes Invitational,125,W,DEC,3 - 2,Bronson Garber,56759,6 - 15,Bloomsburg,Ben Monn,69708
2023,12/22,Wilkes Invitational,125,W,MD,8 - 0,Patrick Horvath,82334,Unlisted,King's,Ben Monn,69708
2023,12/04,ARMS Software Patriots Open,125,W,DEC,6 - 2,Tyson Lane,75724,6 - 8,Gardner-Webb,Ben Monn,69708
2023,12/04,ARMS Software Patriots Open,125,L,SV-1,3 - 1,Aedyn Concepcion,69782,5 - 6,Gardner-Webb,Ben Monn,69708
2023,12/04,ARMS Software Patriots Open,125,L,DEC,8 - 2,Nick Babin,65929,21 - 14,Columbia,Ben Monn,69708
2023,12/04,ARMS Software Patriots Open,125,W,DEC,4 - 0,Shamil Kalmatov,72680,3 - 7,American,Ben Monn,69708
