Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/02,Zingo Nationals,125,W,TF5,16 - 1 0:58,Anthony Chuquilin,93981,0 - 5,LIU,Teague Strobel,93797
2025,03/02,Zingo Nationals,125,L,FALL,4:02,Alexander Diaz,96711,Unlisted,Unattached,Teague Strobel,93797
2025,03/02,Zingo Nationals,125,L,DEC,6 - 0,Nick Corday,70986,7 - 8,Michigan State,Teague Strobel,93797
2025,03/02,Zingo Nationals,125,W,MD,12 - 1,Brady Klinsky,92897,1 - 8,Rider,Teague Strobel,93797
2025,02/16,Mat Town Open-II,125,L,DEC,9 - 5,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Teague Strobel,93797
2025,02/16,Mat Town Open-II,125,W,FALL,0:37,Ricky Gomez,93767,1 - 4,Rider,Teague Strobel,93797
2025,02/16,Mat Town Open-II,125,W,DEC,8 - 4,Alex Esposito,93322,1 - 12,Rider,Teague Strobel,93797
2025,02/16,Mat Town Open-II,125,L,DEC,4 - 1,Ayden Smith,92279,10 - 4,Rutgers,Teague Strobel,93797
2025,01/10,Franklin & Marshall Open,125,L,DEC,12 - 7,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Teague Strobel,93797
2025,01/10,Franklin & Marshall Open,125,L,DEC,12 - 5,Benjamin Aranda,71804,13 - 11,Cleveland State,Teague Strobel,93797
2025,12/21,Morgan State - Hofstra Dual,125,L,FALL,1:48,Julian Dawson,84955,4 - 16,Morgan State,Teague Strobel,93797
2025,12/21,Hofstra - Columbia Dual,125,L,DEC,8 - 2,Sulayman Bah,79305,18 - 16,Columbia,Teague Strobel,93797
2025,11/10,Journeymen Classic,125,L,MD,16 - 4,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Teague Strobel,93797
2025,11/10,Journeymen Classic,125,L,FALL,5:29,Jay McDonnell,84446,6 - 5,Binghamton,Teague Strobel,93797
2025,11/03,Princeton Open,125,W,MD,14 - 2,Alex Esposito,93322,1 - 12,Rider,Teague Strobel,93797
2025,11/03,Princeton Open,125,L,DEC,8 - 1,Sulayman Bah,79305,18 - 16,Columbia,Teague Strobel,93797
2025,11/03,Princeton Open,125,W,MD,11 - 0,Noah Tonsor,81065,4 - 5,Army West Point,Teague Strobel,93797
2025,11/03,Princeton Open,125,L,TF5,21 - 3 5:00,Charlie Farmer,71771,23 - 10,Army West Point,Teague Strobel,93797
2025,03/02,Zingo Nationals,133,W,FALL,4:05,Vincent Gioffre,93790,0 - 8,Franklin & Marshall,Gauge Shipp,93736
2025,03/02,Zingo Nationals,133,W,TF5,19 - 3 7:00,Ryan Arbeit,84814,2 - 9,Hofstra,Gauge Shipp,93736
2025,03/02,Zingo Nationals,133,W,TF5,23 - 7 7:00,Davis Motyka,81808,Unlisted,PRTC,Gauge Shipp,93736
2025,03/02,Zingo Nationals,133,L,DEC,5 - 0,Brandan Chletsos,72969,3 - 3,Rutgers,Gauge Shipp,93736
2025,03/02,Zingo Nationals,133,W,MD,12 - 4,Jay McDonnell,84446,6 - 5,Binghamton,Gauge Shipp,93736
2025,02/23,Patriot Last Chance Open,133,W,TF5,16 - 0 2:29,Dean Houser,93016,4 - 6,Lock Haven,Gauge Shipp,93736
2025,02/23,Patriot Last Chance Open,133,L,DEC,8 - 2,Tyler Wells,79021,13 - 10,Minnesota,Gauge Shipp,93736
2025,02/23,Patriot Last Chance Open,133,W,FALL,5:25,Geoff Whelan,93650,4 - 19,George Mason,Gauge Shipp,93736
2025,02/16,Mat Town Open-II,133,L,DEC,12 - 5,Christopher Betancourt,84576,8 - 4,LIU,Gauge Shipp,93736
2025,02/16,Mat Town Open-II,133,L,FALL,2:29,Mason Gibson,82776,8 - 2,Rutgers,Gauge Shipp,93736
2025,01/10,Franklin & Marshall Open,133,W,DEC,7 - 0,Dean Houser,93016,4 - 6,Lock Haven,Gauge Shipp,93736
2025,01/10,Franklin & Marshall Open,133,L,DEC,11 - 9,Nick Molchak,78590,13 - 11,Cleveland State,Gauge Shipp,93736
2025,01/10,Franklin & Marshall Open,133,L,MD,13 - 3,Maximillian Leete,72678,26 - 5,American,Gauge Shipp,93736
2025,01/09,Hofstra - Binghamton Dual,133,L,TF5,19 - 3 7:00,Micah Roes,67299,16 - 12,Binghamton,Gauge Shipp,93736
2025,12/21,Hofstra - Nassau Community College Dual,141,W,TF5,17 - 2 1:34,Santiago Pelaez,98365,Unlisted,Nassau Community College,Gauge Shipp,93736
2025,12/21,Hofstra - Columbia Dual,141,L,FALL,2:06,Kai Owen,73196,16 - 12,Columbia,Gauge Shipp,93736
2025,11/03,Princeton Open,133,W,MD,13 - 3,D’Amani Almodovar,77346,1 - 7,Rider,Gauge Shipp,93736
2025,11/03,Princeton Open,133,L,FALL,0:19,Jacob Joyce,77274,12 - 3,Brown,Gauge Shipp,93736
2025,11/03,Princeton Open,133,W,MD,9 - 1,Joe Couch,78898,1 - 2,Army West Point,Gauge Shipp,93736
