Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,MD,11 - 3,Nicolar Rivera,78438,24 - 7,Wisconsin,Spencer Moore,68720
2025,03/20,NCAA Championships,125,W,DEC,4 - 1,Brendan McCrone,76350,22 - 11,Ohio State,Spencer Moore,68720
2025,03/20,NCAA Championships,125,L,DEC,6 - 3,Eddie Ventresca,62357,22 - 5,Virginia Tech,Spencer Moore,68720
2025,03/20,NCAA Championships,125,W,DEC,2 - 0,Cooper Flynn,72148,16 - 8,Minnesota,Spencer Moore,68720
2025,03/09,ACC Championships,125,L,DEC,8 - 5,Keyveon Roller,73139,14 - 9,Virginia,Spencer Moore,68720
2025,03/09,ACC Championships,125,L,DEC,5 - 2,Vincent Robinson,78062,24 - 3,NC State,Spencer Moore,68720
2025,02/23,North Carolina - Oregon State Dual,125,W,SV-1,9 - 6,Maximo Renteria,71870,15 - 9,Oregon State,Spencer Moore,68720
2025,02/14,Virginia - North Carolina Dual,125,W,DEC,5 - 0,Keyveon Roller,73139,14 - 9,Virginia,Spencer Moore,68720
2025,02/07,North Carolina - Pittsburgh Dual,125,W,DEC,6 - 4,Nick Babin,65929,10 - 11,Pittsburgh,Spencer Moore,68720
2025,01/31,NC State - North Carolina Dual,125,L,DEC,10 - 4,Vincent Robinson,78062,24 - 3,NC State,Spencer Moore,68720
2025,01/10,North Carolina - Virginia Tech Dual,125,W,SV-1,4 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Spencer Moore,68720
2025,01/04,Southern Scuffle,125,W,DEC,2 - 0,Beric Jordan,84763,12 - 3,Oklahoma,Spencer Moore,68720
2025,01/04,Southern Scuffle,125,L,DEC,5 - 0,Stevo Poulin,71929,24 - 6,Northern Colorado,Spencer Moore,68720
2025,01/04,Southern Scuffle,125,W,DEC,6 - 3,Anthony Molton,57207,18 - 8,Campbell,Spencer Moore,68720
2025,01/04,Southern Scuffle,125,W,TF5,18 - 0 3:52,Sawyer Ostroff,92990,5 - 9,LIU,Spencer Moore,68720
2025,01/04,Southern Scuffle,125,W,FALL,4:24,Luke Passarelli,78850,5 - 13,Davidson,Spencer Moore,68720
