Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/22,Iowa State - Missouri Dual,125,W,DEC,7 - 4,Gage Walker,84476,11 - 11,Missouri,Ethan Perryman,78477
2025,02/14,Iowa State - South Dakota State Dual,125,L,DEC,6 - 3,Tanner Jordan,57664,24 - 10,South Dakota State,Ethan Perryman,78477
2025,02/09,Pittsburgh - Iowa State Dual,125,W,MD,21 - 8,Colyn Limbert,85116,12 - 9,Pittsburgh,Ethan Perryman,78477
2025,02/07,Arizona State - Iowa State Dual,125,L,FALL,1:55,Richard Figueroa,61129,17 - 4,Arizona State,Ethan Perryman,78477
2025,01/26,Oklahoma State - Iowa State Dual,125,L,MD,20 - 10,Troy Spratley,73119,24 - 5,Oklahoma State,Ethan Perryman,78477
2025,01/24,Oklahoma - Iowa State Dual,125,L,DEC,5 - 2,Antonio Lorenzo,57329,18 - 11,Oklahoma,Ethan Perryman,78477
2025,01/19,Cyclone Open,125,W,SV-1,4 - 1,Mack Mauger,84326,12 - 6,Missouri,Ethan Perryman,78477
2025,01/19,Cyclone Open,125,W,DEC,7 - 6,Bridger Ricks,82572,12 - 13,Utah Valley,Ethan Perryman,78477
2025,01/19,Cyclone Open,125,W,DEC,7 - 3,Garret Rinken,78705,8 - 7,Northern Iowa,Ethan Perryman,78477
2025,01/19,Cyclone Open,125,L,DEC,8 - 3,Alan Koehler,77147,7 - 5,Nebraska,Ethan Perryman,78477
2025,12/29,Soldier Salute,125,L,DEC,8 - 2,Kysen Terukina,67143,12 - 3,Iowa State,Ethan Perryman,78477
2025,12/29,Soldier Salute,125,W,MD,17 - 7,Bowen Downey,84485,4 - 7,Northern Iowa,Ethan Perryman,78477
2025,12/29,Soldier Salute,125,W,SV-1,7 - 4,Keyan Hernandez,79395,1 - 4,Iowa,Ethan Perryman,78477
2025,12/29,Soldier Salute,125,L,DEC,10 - 3,Trever Anderson,76359,17 - 11,Northern Iowa,Ethan Perryman,78477
2025,12/29,Soldier Salute,125,W,MD,17 - 6,Jack Parker,71291,15 - 11,Bellarmine,Ethan Perryman,78477
2025,12/21,Ohio State - Iowa State Dual,125,L,FALL,2:28,Brendan McCrone,76350,22 - 11,Ohio State,Ethan Perryman,78477
2025,12/15,North Dakota State - Iowa State Dual,125,L,DEC,6 - 2,Tristan Daugherty,62877,10 - 16,North Dakota State,Ethan Perryman,78477
