Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,6 - 4,Stevo Poulin,71929,24 - 6,Northern Colorado,Dean Peterson,72936
2025,03/20,NCAA Championships,125,L,DEC,4 - 2,Vincent Robinson,78062,24 - 3,NC State,Dean Peterson,72936
2025,03/20,NCAA Championships,125,W,FALL,5:42,Richard Figueroa,61129,17 - 4,Arizona State,Dean Peterson,72936
2025,03/20,NCAA Championships,125,W,DEC,6 - 5,Antonio Lorenzo,57329,18 - 11,Oklahoma,Dean Peterson,72936
2025,03/08,Big Ten Championships,125,L,MFOR,0 - 0,Jacob Moran,63550,26 - 11,Indiana,Dean Peterson,72936
2025,03/08,Big Ten Championships,125,L,CMFF,0 - 0,Nicolar Rivera,78438,24 - 7,Wisconsin,Dean Peterson,72936
2025,03/08,Big Ten Championships,125,L,SV-1,3 - 1,Caleb Smith,58559,24 - 7,Nebraska,Dean Peterson,72936
2025,03/08,Big Ten Championships,125,W,DEC,6 - 3,Tyler Garvin,84590,5 - 21,Maryland,Dean Peterson,72936
2025,03/08,Big Ten Championships,125,W,MD,8 - 0,Jacob Moran,63550,26 - 11,Indiana,Dean Peterson,72936
2025,02/19,Pennsylvania - Rutgers Dual,125,L,DEC,5 - 4,Max Gallagher,78893,26 - 10,Pennsylvania,Dean Peterson,72936
2025,02/07,Rutgers - Maryland Dual,125,W,TF5,22 - 6 5:47,Tyler Garvin,84590,5 - 21,Maryland,Dean Peterson,72936
2025,02/02,Rutgers - Minnesota Dual,125,W,DEC,8 - 2,Brandon Morvari,81742,4 - 6,Minnesota,Dean Peterson,72936
2025,01/26,Illinois - Rutgers Dual,125,W,DEC,8 - 2,Caelan Riley,73733,5 - 16,Illinois,Dean Peterson,72936
2025,01/24,Penn State - Rutgers Dual,125,W,DEC,4 - 1,Luke Lilledahl,80223,26 - 3,Penn State,Dean Peterson,72936
2025,01/19,Wisconsin - Rutgers Dual,125,L,DEC,4 - 1,Nicolar Rivera,78438,24 - 7,Wisconsin,Dean Peterson,72936
2025,01/12,Rutgers - Ohio State Dual,125,W,DEC,11 - 4,Brendan McCrone,76350,22 - 11,Ohio State,Dean Peterson,72936
2025,01/10,Indiana - Rutgers Dual,125,W,DEC,6 - 2,Jacob Moran,63550,26 - 11,Indiana,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,DEC,4 - 0,Jacob Moran,63550,26 - 11,Indiana,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,DEC,7 - 1,Marc-Anthony McGowan,79468,16 - 4,Princeton,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,TF5,19 - 4 7:00,Dedrick Navarro,84344,18 - 13,Northwestern,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,DEC,8 - 7,Blake West,73337,24 - 7,Northern Illinois,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,TF5,18 - 1 5:15,Joey Ruzic,79555,1 - 5,Illinois,Dean Peterson,72936
2025,12/29,Midlands Championships,125,W,TF5,17 - 2 5:55,Luqman Masud,76147,2 - 5,Missouri,Dean Peterson,72936
2025,12/14,Rutgers - Gardner-Webb Dual,125,W,MD,13 - 1,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Dean Peterson,72936
2025,12/14,Rutgers - Kent State Dual,125,W,TF5,20 - 5 4:50,Nico Calello,73713,13 - 11,Kent State,Dean Peterson,72936
2025,12/13,Rutgers - Clarion Dual,125,W,TF5,19 - 4 7:00,Travis Clawson,93659,12 - 12,Clarion,Dean Peterson,72936
2025,12/08,Rutgers - Princeton Dual,125,W,DEC,5 - 3,Ethan Rivera,84435,10 - 8,Princeton,Dean Peterson,72936
2025,12/06,Lock Haven - Rutgers Dual,125,W,TF5,20 - 5 4:47,Lucas Fye,85081,4 - 11,Lock Haven,Dean Peterson,72936
2025,11/17,NC State - Rutgers Dual,125,L,INJ,3:24,Vincent Robinson,78062,24 - 3,NC State,Dean Peterson,72936
2025,11/17,LIU - Rutgers Dual,125,L,DEC,7 - 5,Robbie Sagaris,73406,14 - 9,LIU,Dean Peterson,72936
2025,11/09,Duke - Rutgers Dual,125,W,TF5,17 - 2 6:05,Ethan Grimminger,79008,3 - 13,Duke,Dean Peterson,72936
2024,03/21,NCAA Championships,125,L,DEC,8 - 1,Luke Stanich,78768,24 - 4,Lehigh,Dean Peterson,72936
2024,03/21,NCAA Championships,125,W,DEC,8 - 1,Tristan Lujan,63015,17 - 17,Michigan State,Dean Peterson,72936
