Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,L,TF5,18 - 1 7:00,Chris Vargo,85069,19 - 13,Edinboro,Tyeler Hagensen,90801
2025,03/07,MAC Championships,125,L,FALL,2:00,Drew Davis,84419,13 - 10,SIU Edwardsville,Tyeler Hagensen,90801
2025,03/07,MAC Championships,125,W,DEC,4 - 2,Grant Stahl,84287,7 - 19,Central Michigan,Tyeler Hagensen,90801
2025,03/07,MAC Championships,125,W,FALL,2:28,Noah Michaels,93265,13 - 10,Rider,Tyeler Hagensen,90801
2025,03/07,MAC Championships,125,L,DEC,4 - 2,Max Elton,79785,17 - 19,Buffalo,Tyeler Hagensen,90801
2025,02/20,Kent State - Cleveland State Dual,125,L,MD,16 - 3,Benjamin Aranda,71804,13 - 11,Cleveland State,Tyeler Hagensen,90801
2025,02/13,Kent State - Central Michigan Dual,125,L,DEC,9 - 8,Grant Stahl,84287,7 - 19,Central Michigan,Tyeler Hagensen,90801
2025,02/01,Edinboro Open,125,W,FALL,6:06,Chase Nevills,92967,0 - 4,Virginia,Tyeler Hagensen,90801
2025,02/01,Edinboro Open,125,L,DEC,4 - 2,Presden Sanchez,92960,7 - 9,Maryland,Tyeler Hagensen,90801
2025,02/01,Edinboro Open,125,L,DEC,13 - 6,Matthew Dolan,78805,10 - 9,West Virginia,Tyeler Hagensen,90801
2025,01/26,Kent State - LIU Dual,125,L,SV-1,6 - 5,Robbie Sagaris,73406,14 - 9,LIU,Tyeler Hagensen,90801
2025,01/26,Clarion - Kent State Dual,125,L,MD,12 - 4,Travis Clawson,93659,12 - 12,Clarion,Tyeler Hagensen,90801
2025,01/24,Kent State - Lock Haven Dual,125,W,FALL,4:52,Sean Logue,78512,9 - 4,Lock Haven,Tyeler Hagensen,90801
2025,01/19,Purple Raider Open,125,W,DEC,5 - 0,Austin Zimmerman,93050,5 - 14,Edinboro,Tyeler Hagensen,90801
2025,01/19,Purple Raider Open,125,L,TF5,20 - 2 7:00,Blaine Frazier,78575,13 - 5,Indiana,Tyeler Hagensen,90801
2025,01/19,Purple Raider Open,125,L,DEC,5 - 3,Matthew Dolan,78805,10 - 9,West Virginia,Tyeler Hagensen,90801
2025,01/10,Franklin & Marshall Open,125,L,DEC,7 - 3,Brady Klinsky,92897,1 - 8,Rider,Tyeler Hagensen,90801
2025,01/10,Franklin & Marshall Open,125,W,MD,15 - 7,Gunner Chambers,84437,4 - 7,George Mason,Tyeler Hagensen,90801
2025,01/10,Franklin & Marshall Open,125,L,MD,15 - 2,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Tyeler Hagensen,90801
2025,01/10,Franklin & Marshall Open,125,W,DEC,8 - 6,Jack Parker,83327,16 - 16,Franklin & Marshall,Tyeler Hagensen,90801
2025,12/20,Kent State Open,125,W,MD,11 - 2,Jacob Sombronski,97667,Unlisted,Seton Hill,Tyeler Hagensen,90801
2025,12/20,Kent State Open,125,L,MD,9 - 1,Camren French,93788,9 - 5,Northern Illinois,Tyeler Hagensen,90801
2025,12/20,Kent State Open,125,W,MD,14 - 5,Landon Bainey,85070,17 - 15,Edinboro,Tyeler Hagensen,90801
2025,12/20,Kent State Open,125,L,FALL,2:45,Travis Clawson,93659,12 - 12,Clarion,Tyeler Hagensen,90801
2025,11/23,Navy Classic,125,L,DEC,8 - 3,Alan Koehler,77147,7 - 5,Nebraska,Tyeler Hagensen,90801
2025,11/23,Navy Classic,125,L,DEC,6 - 4,Ryan Meek,79652,3 - 15,Ohio,Tyeler Hagensen,90801
2025,11/23,Navy Classic,125,W,DEC,10 - 3,Jack Bergmann,93101,2 - 6,Navy,Tyeler Hagensen,90801
2025,11/09,Michigan State Open,125,L,DEC,11 - 5,Drew Hensen,93545,6 - 8,Michigan State,Tyeler Hagensen,90801
2025,11/09,Michigan State Open,125,L,DEC,6 - 3,Ryan Meek,79652,3 - 15,Ohio,Tyeler Hagensen,90801
2025,11/08,Gannon - Kent State Dual,133,L,DEC,5 - 2,Jerry Echevarria,73538,Unlisted,Gannon,Tyeler Hagensen,90801
2025,11/03,Bucknell - Kent State Dual,133,L,TF5,15 - 0 7:00,Kurt Phipps,63966,23 - 10,Bucknell,Tyeler Hagensen,90801
2025,11/03,Kent State - Maryland Dual,133,L,MD,16 - 2,Braxton Brown,72103,24 - 6,Maryland,Tyeler Hagensen,90801
2025,02/07,Kent State - Ohio Dual,125,L,DEC,11 - 5,Malachi O'Leary,78919,3 - 9,Ohio,Nico Calello,73713
2025,01/03,Purdue - Kent State Dual,125,L,MD,16 - 4,Matt Ramos,57134,31 - 3,Purdue,Nico Calello,73713
2025,12/20,Kent State Open,125,L,DEC,8 - 2,Camren French,93788,9 - 5,Northern Illinois,Nico Calello,73713
2025,12/20,Kent State Open,125,W,MD,9 - 1,Landon Bainey,85070,17 - 15,Edinboro,Nico Calello,73713
2025,12/20,Kent State Open,125,W,MD,13 - 4,Travis Clawson,93659,12 - 12,Clarion,Nico Calello,73713
2025,12/20,Kent State Open,125,W,DEC,3 - 1,Ashton Jackson,81722,15 - 8,Purdue,Nico Calello,73713
2025,12/19,Northern Illinois - Kent State Dual,125,L,FALL,6:24,Blake West,73337,24 - 7,Northern Illinois,Nico Calello,73713
2025,12/14,Gardner-Webb - Kent State Dual,125,W,DEC,5 - 1,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Nico Calello,73713
2025,12/14,Buffalo - Kent State Dual,125,L,TB-3,8 - 6,Max Elton,79785,17 - 19,Buffalo,Nico Calello,73713
2025,12/14,Rutgers - Kent State Dual,125,L,TF5,20 - 5 4:50,Dean Peterson,72936,22 - 8,Rutgers,Nico Calello,73713
2025,11/23,Navy Classic,125,L,FALL,2:38,Blaine Frazier,78575,13 - 5,Indiana,Nico Calello,73713
2025,11/23,Navy Classic,125,L,MD,11 - 1,Jacob Moran,63550,26 - 11,Indiana,Nico Calello,73713
2025,11/23,Navy Classic,125,W,DEC,7 - 0,Ryan Meek,79652,3 - 15,Ohio,Nico Calello,73713
2025,11/23,Navy Classic,125,W,MD,10 - 0,Ethan Smith,84634,3 - 4,Lehigh,Nico Calello,73713
2025,11/23,Navy Classic,125,W,MD,13 - 3,Tyler Washburn,85947,8 - 6,The Citadel,Nico Calello,73713
2025,11/17,Kent State - Bellarmine Dual,125,W,MD,14 - 4,Jack Parker,71291,15 - 11,Bellarmine,Nico Calello,73713
2025,11/09,Michigan State Open,125,W,MD,10 - 2,Drew Hensen,93545,6 - 8,Michigan State,Nico Calello,73713
2025,11/09,Michigan State Open,125,W,DEC,12 - 5,Logan Dean,93528,4 - 9,Ohio,Nico Calello,73713
2025,11/09,Michigan State Open,125,L,DEC,12 - 6,Ashton Jackson,81722,15 - 8,Purdue,Nico Calello,73713
2025,11/09,Michigan State Open,125,W,DEC,8 - 1,Tyler Chappell,79287,8 - 16,Pittsburgh,Nico Calello,73713
2025,11/09,Michigan State Open,125,L,MD,12 - 4,Austin Zimmerman,93050,5 - 14,Edinboro,Nico Calello,73713
2025,11/09,Michigan State Open,125,W,DEC,6 - 5,Chris Vargo,85069,19 - 13,Edinboro,Nico Calello,73713
2025,11/08,Gannon - Kent State Dual,125,L,DEC,4 - 1,Logan Sallot,79291,Unlisted,Gannon,Nico Calello,73713
2025,11/03,Bucknell - Kent State Dual,125,L,DEC,6 - 3,Kade Davidheiser,78810,1 - 1,Bucknell,Nico Calello,73713
2025,11/03,Kent State - Maryland Dual,125,W,DEC,11 - 4,Presden Sanchez,92960,7 - 9,Maryland,Nico Calello,73713
2024,02/11,JCU Open,125,W,FALL,2:06,Candio Deluna,85780,Unlisted,Tiffin University,Nico Calello,73713
2024,02/11,JCU Open,125,W,DEC,12 - 6,Braden Hahlen,84976,Unlisted,Lake Erie College,Nico Calello,73713
2024,02/11,JCU Open,125,W,DEC,10 - 4,Jordan Rodriguez,69533,Unlisted,Lake Erie College,Nico Calello,73713
2024,02/11,JCU Open,125,W,FALL,4:01,Ari Kefer,80635,Unlisted,Case Western Reserve,Nico Calello,73713
2024,02/03,Edinboro Open,125,W,MD,11 - 0,Caleb Edwards,72216,6 - 23,Edinboro,Nico Calello,73713
2024,02/03,Edinboro Open,125,W,MD,15 - 3,Gabe Giampietro,72979,12 - 8,Drexel,Nico Calello,73713
2024,02/03,Edinboro Open,125,L,MD,14 - 3,Marcello Milani,78106,8 - 1,Cornell,Nico Calello,73713
2024,02/03,Edinboro Open,125,W,TF5,16 - 0 3:45,Kenny Schmitz,84914,Unlisted,Gannon,Nico Calello,73713
2024,01/21,Kent State - Long Island University  Dual,125,L,MD,12 - 1,Robbie Sagaris,73406,14 - 14,LIU,Nico Calello,73713
2024,01/14,Purple Raider Open,125,L,DEC,9 - 2,Marcello Milani,78106,8 - 1,Cornell,Nico Calello,73713
2024,01/14,Purple Raider Open,125,W,DEC,6 - 1,Ashton Jackson,81722,3 - 7,Purdue,Nico Calello,73713
2024,01/14,Purple Raider Open,125,W,FALL,1:27,Jordan Escarra,84915,Unlisted,Gannon,Nico Calello,73713
2024,01/05,David Lehman Open,125,W,TF5,18 - 3 7:00,Gunner Chambers,84437,3 - 8,George Mason,Nico Calello,73713
2024,01/05,David Lehman Open,125,L,DEC,8 - 2,Cooper Shore,84285,8 - 2,Campbell,Nico Calello,73713
2024,01/05,David Lehman Open,125,W,DEC,6 - 4,Robbie Sagaris,73406,14 - 14,LIU,Nico Calello,73713
2024,01/05,David Lehman Open,125,L,TF5,18 - 3 3:38,Vincent Robinson,78062,11 - 2,NC State,Nico Calello,73713
2024,12/09,Cleveland State Open,125,L,DEC,9 - 4,Nolan Wertanen,78523,7 - 4,Michigan,Nico Calello,73713
2024,12/09,Cleveland State Open,125,L,MD,15 - 3,Vincent Kilkeary,74118,16 - 8,Ohio State,Nico Calello,73713
2024,12/09,Cleveland State Open,125,W,SV-1,9 - 5,Tyler Chappell,79287,11 - 7,Pittsburgh,Nico Calello,73713
2024,12/09,Cleveland State Open,125,W,MD,15 - 5,Braden Hahlen,84976,Unlisted,Lake Erie College,Nico Calello,73713
2024,12/02,Kent State - Chattanooga Dual,125,L,MD,14 - 3,Brayden Palmer,59826,17 - 4,Chattanooga,Nico Calello,73713
2024,11/12,Kent State - West Virginia Dual,125,L,TF5,20 - 4 6:12,Jett Strickenberger,74382,18 - 6,West Virginia,Nico Calello,73713
2024,11/05,Clarion Open,125,L,SV-1,3 - 0,Tyler Chappell,79287,11 - 7,Pittsburgh,Nico Calello,73713
2024,11/05,Clarion Open,125,L,MD,20 - 6,Markel Baker,78892,4 - 2,George Mason,Nico Calello,73713
2023,01/06,David Lehman Open,125,W,FALL,2:38,Dylan Acevedo-Switzer,73023,1 - 10,Hofstra,Nico Calello,73713
2023,01/06,David Lehman Open,125,L,MD,19 - 8,Jack Wagner,44755,21 - 10,North Carolina,Nico Calello,73713
2023,01/06,David Lehman Open,125,L,MD,8 - 0,Ben Monn,69708,15 - 11,George Mason,Nico Calello,73713
2023,11/06,Clarion Open,125,W,DEC,8 - 1,Zach Starr,79789,0 - 2,Kent State,Nico Calello,73713
2023,11/06,Clarion Open,125,L,DEC,10 - 8,Aiden Lewis,71750,6 - 9,Edinboro,Nico Calello,73713
2023,11/06,Clarion Open,125,L,FALL,0:52,Zach Espalin,72186,6 - 2,Navy,Nico Calello,73713
2025,01/17,Southern Illinois Edwardsville - Kent State Dual,125,L,TF5,18 - 3 7:00,Drew Davis,84419,13 - 10,SIU Edwardsville,Gunner Havens,84318
2025,01/10,Franklin & Marshall Open,125,W,FALL,0:39,Brady Klinsky,92897,1 - 8,Rider,Gunner Havens,84318
2025,01/10,Franklin & Marshall Open,125,L,DEC,6 - 3,Isaiah Adams,84480,3 - 5,Harvard,Gunner Havens,84318
2025,01/10,Franklin & Marshall Open,125,L,MD,9 - 0,Gunner Chambers,84437,4 - 7,George Mason,Gunner Havens,84318
2025,01/10,Franklin & Marshall Open,125,W,FALL,2:12,Braxton Keiffer,84773,Unlisted,Millersville,Gunner Havens,84318
2024,01/05,David Lehman Open,125,L,CMFF,0 - 0,Ariel Waldman,84604,5 - 9,LIU,Gunner Havens,84318
2024,01/05,David Lehman Open,125,L,FALL,1:01,Drew Heethuis,78620,14 - 12,Princeton,Gunner Havens,84318
2024,11/18,Navy Classic,125,L,TF5,17 - 2 1:53,Evan Tallmadge,73120,6 - 4,Navy,Gunner Havens,84318
2024,11/18,Navy Classic,125,L,DEC,2 - 0,Ryan Meek,79652,5 - 18,Ohio,Gunner Havens,84318
2024,11/05,Clarion Open,125,L,DEC,4 - 2,Jordan Villareal,79336,1 - 4,Pittsburgh,Gunner Havens,84318
