Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,11 - 4,Eddie Ventresca,62357,22 - 5,Virginia Tech,Sheldon Seymour,62339
2025,03/20,NCAA Championships,125,L,DEC,9 - 2,Matt Ramos,57134,31 - 3,Purdue,Sheldon Seymour,62339
2025,03/20,NCAA Championships,125,L,DEC,4 - 2,Vincent Robinson,78062,24 - 3,NC State,Sheldon Seymour,62339
2025,03/20,NCAA Championships,125,W,TB-3,3 - 2,Luke Lilledahl,80223,26 - 3,Penn State,Sheldon Seymour,62339
2025,03/20,NCAA Championships,125,W,DEC,7 - 3,Caleb Smith,58559,24 - 7,Nebraska,Sheldon Seymour,62339
2025,03/20,NCAA Championships,125,W,DEC,7 - 0,Charlie Farmer,71771,23 - 10,Army West Point,Sheldon Seymour,62339
2025,03/07,EIWA Championships,125,W,DEC,6 - 0,Charlie Farmer,71771,23 - 10,Army West Point,Sheldon Seymour,62339
2025,03/07,EIWA Championships,125,W,TF5,21 - 5 5:35,Jack Parker,83327,16 - 16,Franklin & Marshall,Sheldon Seymour,62339
2025,03/07,EIWA Championships,125,W,FALL,2:59,Carson Wagner,78720,23 - 12,Binghamton,Sheldon Seymour,62339
2025,02/21,Arizona State - Lehigh Dual,125,L,DEC,7 - 3,Richard Figueroa,61129,17 - 4,Arizona State,Sheldon Seymour,62339
2025,02/13,Lehigh - Pennsylvania Dual,125,W,DEC,4 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,Sheldon Seymour,62339
2025,02/01,Army West Point - Lehigh Dual,125,W,DEC,6 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Sheldon Seymour,62339
2025,01/31,American - Lehigh Dual,125,W,FALL,1:08,Coen Bainey,78808,13 - 13,American,Sheldon Seymour,62339
2025,01/17,Lehigh - Navy Dual,125,W,MD,10 - 2,Nick Treaster,89471,11 - 12,Navy,Sheldon Seymour,62339
2025,01/12,Lehigh - Cornell Dual,125,W,DEC,3 - 2,Marcello Milani,78106,16 - 14,Cornell,Sheldon Seymour,62339
2025,01/11,Lehigh - Binghamton Dual,125,W,DEC,7 - 5,Carson Wagner,78720,23 - 12,Binghamton,Sheldon Seymour,62339
2025,12/20,Sheridan Open,125,W,TF5,18 - 2 5:31,Anthony Rossi,85124,8 - 6,Virginia,Sheldon Seymour,62339
2025,12/20,Sheridan Open,125,W,DEC,9 - 5,Blaine Frazier,78575,13 - 5,Indiana,Sheldon Seymour,62339
2025,12/20,Sheridan Open,125,W,TF5,15 - 0 3:25,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Sheldon Seymour,62339
2025,12/08,Penn State - Lehigh Dual,125,L,DEC,4 - 1,Luke Lilledahl,80223,26 - 3,Penn State,Sheldon Seymour,62339
2025,11/24,Lehigh - Pittsburgh Dual,125,W,DEC,6 - 3,Nick Babin,65929,10 - 11,Pittsburgh,Sheldon Seymour,62339
2025,11/15,Morgan State - Lehigh Dual,125,W,FALL,6:24,Treshaun Tecson,93541,2 - 4,Morgan State,Sheldon Seymour,62339
2025,11/10,Journeymen Classic,125,L,DEC,10 - 4,Vincent Robinson,78062,24 - 3,NC State,Sheldon Seymour,62339
2025,11/10,Journeymen Classic,125,W,DEC,7 - 2,Nick Babin,65929,10 - 11,Pittsburgh,Sheldon Seymour,62339
2025,11/10,Journeymen Classic,125,W,MD,12 - 0,Jakob Camacho,50655,1 - 4,NC State,Sheldon Seymour,62339
2025,11/03,Princeton Open,125,W,SV-1,4 - 1,Matty Lopes,84555,10 - 5,Lehigh,Sheldon Seymour,62339
2025,11/03,Princeton Open,125,W,DEC,5 - 2,Mason Ziegler,84374,7 - 3,Lehigh,Sheldon Seymour,62339
2025,11/03,Princeton Open,125,W,MD,13 - 3,Noah Michaels,93265,13 - 10,Rider,Sheldon Seymour,62339
2025,11/03,Princeton Open,125,W,TF5,21 - 5 2:36,Luke Sirianni,84262,0 - 6,Army West Point,Sheldon Seymour,62339
2024,02/24,Lehigh - Arizona State Dual,133,L,DEC,9 - 2,Julian Chlebove,56769,19 - 10,Arizona State,Sheldon Seymour,62339
2024,02/09,Bucknell - Lehigh Dual,133,L,DEC,1 - 0,Kurt Phipps,63966,27 - 7,Bucknell,Sheldon Seymour,62339
2024,02/04,Lehigh - Army West Point Dual,125,W,DEC,4 - 1,Ethan Berginc,71779,24 - 11,Army West Point,Sheldon Seymour,62339
2024,01/20,Navy - Lehigh Dual,125,W,FALL,1:01,Dayton DelViscio,73322,8 - 13,Navy,Sheldon Seymour,62339
2024,01/19,Pennsylvania - Lehigh Dual,125,L,SV-1,4 - 1,Max Gallagher,78893,19 - 10,Pennsylvania,Sheldon Seymour,62339
2024,01/12,Binghamton - Lehigh Dual,125,W,MD,16 - 3,Carson Wagner,78720,14 - 17,Binghamton,Sheldon Seymour,62339
2024,12/22,Sheridan Invitational,125,W,TF5,20 - 5 6:19,Wyatt Skebba,79470,2 - 7,Central Michigan,Sheldon Seymour,62339
2024,12/22,Sheridan Invitational,125,W,DEC,6 - 3,Blaine Frazier,78575,9 - 17,Indiana,Sheldon Seymour,62339
2024,12/22,Sheridan Invitational,125,W,DEC,5 - 0,Brandan Chletsos,72969,10 - 7,Rutgers,Sheldon Seymour,62339
2024,12/03,Lehigh - Penn State Dual,125,W,DEC,4 - 1,Gary Steen,68731,6 - 3,Penn State,Sheldon Seymour,62339
