Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/24,Little Rock - Northwestern Dual,125,W,DEC,9 - 4,Dedrick Navarro,84344,18 - 13,Northwestern,Reid Nelson,72129
2025,11/09,Tiger Style Invite,125,W,DEC,11 - 9,Tyler Garvin,84590,5 - 21,Maryland,Reid Nelson,72129
2025,11/09,Tiger Style Invite,125,W,CMFF,0 - 0,Drew Davis,84419,13 - 10,SIU Edwardsville,Reid Nelson,72129
2025,11/09,Tiger Style Invite,125,L,DEC,10 - 3,Isaiah Quintero,81600,8 - 6,Purdue,Reid Nelson,72129
2025,11/09,Tiger Style Invite,125,L,MD,13 - 3,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Reid Nelson,72129
2025,11/09,Tiger Style Invite,125,W,DEC,15 - 13,Luqman Masud,76147,2 - 5,Missouri,Reid Nelson,72129
2025,11/03,Nebraska-Kearney - Little Rock Dual,125,L,MD,12 - 0,Zach Ourada,79179,Unlisted,Nebraska-Kearney,Reid Nelson,72129
2025,11/03,Central Missouri - Little Rock Dual,125,L,DEC,8 - 6,Jakason Burks,61772,Unlisted,Central Missouri,Reid Nelson,72129
2024,01/20,Northeastern Oklahoma - Little Rock Dual,125,W,TF5,20 - 4 5:09,Garrett Johnson,87220,Unlisted,Northeastern Oklahoma,Reid Nelson,72129
2024,01/20,Schreiner - Little Rock Dual,125,W,TF5,17 - 0 3:00,Jose Salinas Nava,80850,Unlisted,Schreiner,Reid Nelson,72129
2024,01/20,Central Baptist College - Little Rock Dual,125,W,TF5,24 - 7 5:36,David Corretjer,80140,Unlisted,Central Baptist College,Reid Nelson,72129
2024,01/12,Little Rock - Presbyterian Dual,133,W,TF5,15 - 0 7:00,Brayden Adams,78607,1 - 15,Presbyterian,Reid Nelson,72129
2024,01/01,Southern Scuffle,125,L,DEC,6 - 4,Aedyn Concepcion,69782,5 - 11,Gardner-Webb,Reid Nelson,72129
2024,01/01,Southern Scuffle,125,L,DEC,11 - 7,Desmond Pleasant,71583,19 - 16,Drexel,Reid Nelson,72129
2024,01/01,Southern Scuffle,125,W,MD,11 - 2,Ty Tice,84391,3 - 5,Chattanooga,Reid Nelson,72129
2024,01/01,Southern Scuffle,125,W,DEC,6 - 4,Bronson Garber,56759,13 - 21,Bloomsburg,Reid Nelson,72129
2024,12/18,Little Rock - Pittsburgh Dual,125,L,MD,20 - 7,Colton Camacho,58029,11 - 12,Pittsburgh,Reid Nelson,72129
2024,12/02,Cougar Clash,125,L,MD,8 - 0,Davian Guanajuato,74863,14 - 13,SIU Edwardsville,Reid Nelson,72129
2024,12/02,Cougar Clash,125,W,FALL,7:00,Austin Kegley,70722,6 - 14,Lindenwood,Reid Nelson,72129
2024,12/02,Cougar Clash,125,L,FALL,5:40,Charlie Farmer,71771,19 - 7,Army West Point,Reid Nelson,72129
2024,11/18,Lindenwood Open,125,L,MD,15 - 3,Luqman Masud,76147,4 - 5,Missouri,Reid Nelson,72129
2024,11/18,Lindenwood Open,125,L,TF5,17 - 1 7:00,Troy Spratley,73119,22 - 8,Oklahoma State,Reid Nelson,72129
2024,11/18,Lindenwood Open,125,W,DEC,8 - 1,Christopher Busutil,64734,Unlisted,Cumberland,Reid Nelson,72129
2024,11/11,Tiger Style Invite,125,L,TF5,15 - 0 1:24,Braxton Brown,72103,20 - 12,Maryland,Reid Nelson,72129
2024,11/11,Tiger Style Invite,125,W,FALL,2:49,Ben Lindley,62972,0 - 5,Lindenwood,Reid Nelson,72129
2024,11/11,Tiger Style Invite,125,L,DEC,4 - 0,Koda Holeman,73792,3 - 8,Cal Poly,Reid Nelson,72129
2023,01/01,Southern Scuffle,125,L,FALL,2:21,Anthony Sobotker,60378,4 - 10,Binghamton,Reid Nelson,72129
2023,01/01,Southern Scuffle,125,L,DEC,7 - 3,Tyler Klinsky,62353,15 - 14,Rider,Reid Nelson,72129
2023,01/01,Southern Scuffle,125,W,DEC,4 - 0,Logan Ashton,57605,4 - 18,Chattanooga,Reid Nelson,72129
2023,11/19,Lindenwood Open,125,W,MD,13 - 5,Guy Clevenger,79121,Unlisted,Central Oklahoma,Reid Nelson,72129
2023,11/19,Lindenwood Open,125,L,DEC,6 - 2,Riley Bettich,75412,Unlisted,Indian Hills,Reid Nelson,72129
