Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/02,Zingo Nationals,133,W,DEC,9 - 5,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Sawyer Ostroff,92990
2025,02/10,Hofstra - LIU Dual,133,L,MD,15 - 1,Chase Liardi,72134,10 - 14,Hofstra,Sawyer Ostroff,92990
2025,02/01,Edinboro Open,133,L,DEC,6 - 0,Brycen Arbogast,93205,6 - 7,West Virginia,Sawyer Ostroff,92990
2025,02/01,Edinboro Open,133,L,TF5,20 - 5 6:06,Parker Sentipal,93051,9 - 16,Edinboro,Sawyer Ostroff,92990
2025,01/25,J& W Wildcat Open,125,W,DEC,3 - 0,Alexander Diaz,96711,Unlisted,Unattached,Sawyer Ostroff,92990
2025,01/25,J& W Wildcat Open,125,W,DEC,8 - 1,Xavier Diaz,95981,Unlisted,Unattached,Sawyer Ostroff,92990
2025,01/25,J& W Wildcat Open,125,W,TF5,17 - 0 3:00,Anthony Chuquilin,93981,0 - 5,LIU,Sawyer Ostroff,92990
2025,01/25,J& W Wildcat Open,125,W,TF5,15 - 0 2:48,Robert Stone,82907,Unlisted,Rhode Island College,Sawyer Ostroff,92990
2025,01/25,J& W Wildcat Open,125,W,FALL,4:32,Hunter Sanchez,94239,Unlisted,Springfield,Sawyer Ostroff,92990
2025,01/12,Army West Point - LIU Dual,125,L,TF5,17 - 2 7:00,Charlie Farmer,71771,23 - 10,Army West Point,Sawyer Ostroff,92990
2025,01/04,Southern Scuffle,125,L,DEC,7 - 3,Robbie Sagaris,73406,14 - 9,LIU,Sawyer Ostroff,92990
2025,01/04,Southern Scuffle,125,W,DEC,8 - 1,Damion Ryan,78489,4 - 12,Bellarmine,Sawyer Ostroff,92990
2025,01/04,Southern Scuffle,125,L,TF5,18 - 0 3:52,Spencer Moore,68720,18 - 9,North Carolina,Sawyer Ostroff,92990
2025,11/24,Black Knight Invite,125,L,DEC,6 - 2,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Sawyer Ostroff,92990
2025,11/24,Black Knight Invite,125,L,DEC,4 - 2,Charlie Farmer,71771,23 - 10,Army West Point,Sawyer Ostroff,92990
2025,11/10,Journeymen Classic,125,L,FALL,1:18,Sean Logue,78512,9 - 4,Lock Haven,Sawyer Ostroff,92990
2025,11/10,Journeymen Classic,125,W,TF5,18 - 1 3:37,Ernie Perry,84553,3 - 4,Cornell,Sawyer Ostroff,92990
2025,11/10,Journeymen Classic,125,W,FALL,2:17,Kyle Gibson,93267,1 - 9,VMI,Sawyer Ostroff,92990
