Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,01/24,Kent State - Lock Haven Dual,125,L,FALL,4:52,Tyeler Hagensen,90801,9 - 21,Kent State,Sean Logue,78512
2025,01/17,Lock Haven - Morgan State Dual,125,W,TF5,17 - 0 4:09,Julian Dawson,84955,4 - 16,Morgan State,Sean Logue,78512
2025,01/17,The Citadel - Lock Haven Dual,125,L,DEC,9 - 5,Gylon Sims,84440,19 - 9,The Citadel,Sean Logue,78512
2025,01/17,Brown - Lock Haven Dual,125,W,MD,12 - 0,Jared Brunner,76391,4 - 21,Brown,Sean Logue,78512
2025,11/24,Keystone Classic,125,L,FALL,1:00,Dillon Campbell,84388,7 - 3,Virginia Tech,Sean Logue,78512
2025,11/24,Keystone Classic,125,L,DEC,4 - 0,Brady Pruett,73565,11 - 7,Pennsylvania,Sean Logue,78512
2025,11/24,Keystone Classic,125,W,FALL,5:00,Jimmy Garcia,93012,13 - 13,Franklin & Marshall,Sean Logue,78512
2025,11/24,Keystone Classic,125,W,MD,8 - 0,Jack Parker,83327,16 - 16,Franklin & Marshall,Sean Logue,78512
2025,11/24,Keystone Classic,125,W,DEC,8 - 3,Kaden Chinavare,77647,7 - 10,Central Michigan,Sean Logue,78512
2025,11/10,Journeymen Classic,125,W,FALL,1:18,Sawyer Ostroff,92990,5 - 9,LIU,Sean Logue,78512
2025,11/10,Journeymen Classic,125,W,DEC,6 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Sean Logue,78512
2025,11/10,Journeymen Classic,125,W,FALL,2:28,Aiden Shufelt,93809,7 - 12,Buffalo,Sean Logue,78512
2024,01/05,David Lehman Open,133,W,DEC,5 - 3,Gavin Caprella,83285,3 - 8,Air Force,Sean Logue,78512
2024,01/05,David Lehman Open,133,L,TF5,15 - 0 3:11,Vince Santaniello,72185,15 - 14,Pittsburgh,Sean Logue,78512
2024,01/05,David Lehman Open,133,L,TF5,19 - 3 5:30,Sean Pierson,60443,14 - 14,Princeton,Sean Logue,78512
2024,12/09,Cleveland State Open,133,L,TF5,19 - 4 4:24,Dylan Ragusin,63153,25 - 4,Michigan,Sean Logue,78512
2024,12/09,Cleveland State Open,133,W,MD,13 - 3,Jacob Brennaman,80127,14 - 20,Edinboro,Sean Logue,78512
2024,12/09,Cleveland State Open,133,L,FALL,1:05,Brenden Hamilton,74533,Unlisted,Lake Erie College,Sean Logue,78512
2024,12/09,Cleveland State Open,133,W,MD,10 - 1,Wayne Rold,84369,5 - 6,VMI,Sean Logue,78512
2024,12/03,Patriot Open,133,L,TF5,15 - 0 1:58,Braxton Brown,72103,20 - 12,Maryland,Sean Logue,78512
2024,12/03,Patriot Open,133,L,DEC,12 - 5,Evan Buchanan,66510,5 - 1,Virginia,Sean Logue,78512
2024,11/26,Mat Town Open I,133,L,FALL,0:58,Andre Ruiz,66888,Unlisted,Unattached,Sean Logue,78512
2024,11/26,Mat Town Open I,133,L,DEC,8 - 1,Ethan Qureshi,81106,6 - 9,Cornell,Sean Logue,78512
2024,11/26,Mat Town Open I,133,W,MD,11 - 2,Foster Cardinale,77874,0 - 1,Cornell,Sean Logue,78512
