Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,Patriot Last Chance Open,125,W,DEC,5 - 2,Eamonn Jimenez,78779,2 - 13,Edinboro,Abram Cline,84637
2025,02/23,Patriot Last Chance Open,125,W,TF5,17 - 2 2:36,Dysen Gould,84931,2 - 6,American,Abram Cline,84637
2025,02/23,Patriot Last Chance Open,125,L,DEC,2 - 0,Trever Anderson,76359,17 - 11,Northern Iowa,Abram Cline,84637
2025,02/16,Mat Town Open-II,125,W,DEC,12 - 8,Alex Reed,93631,1 - 5,Lock Haven,Abram Cline,84637
2025,02/16,Mat Town Open-II,125,W,FALL,8:58,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Abram Cline,84637
2025,02/16,Mat Town Open-II,125,L,DEC,5 - 0,Ayden Smith,92279,10 - 4,Rutgers,Abram Cline,84637
2025,02/01,Edinboro Open,125,W,DEC,4 - 2,Drew Hensen,93545,6 - 8,Michigan State,Abram Cline,84637
2025,02/01,Edinboro Open,125,W,DEC,4 - 3,Presden Sanchez,92960,7 - 9,Maryland,Abram Cline,84637
2025,02/01,Edinboro Open,125,L,DEC,5 - 1,Colyn Limbert,85116,12 - 9,Pittsburgh,Abram Cline,84637
2025,02/01,Edinboro Open,125,W,DEC,5 - 1,Nick Corday,70986,7 - 8,Michigan State,Abram Cline,84637
2025,02/01,Edinboro Open,125,L,DEC,2 - 1,JB Dragovich,78828,14 - 13,George Mason,Abram Cline,84637
2025,02/01,Edinboro Open,125,W,DEC,4 - 2,Ernie Perry,84553,3 - 4,Cornell,Abram Cline,84637
2025,01/24,Illinois - Maryland Dual,125,L,DEC,10 - 5,Caelan Riley,73733,5 - 16,Illinois,Abram Cline,84637
2025,01/10,Franklin & Marshall Open,125,L,MD,12 - 4,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Abram Cline,84637
2025,01/10,Franklin & Marshall Open,125,W,DEC,3 - 0,Connor Smith,93075,1 - 15,Columbia,Abram Cline,84637
2025,01/10,Franklin & Marshall Open,125,L,DEC,3 - 0,Max Elton,79785,17 - 19,Buffalo,Abram Cline,84637
2025,01/10,Franklin & Marshall Open,125,W,DEC,3 - 2,JJ Peace,82775,15 - 6,American,Abram Cline,84637
2025,12/08,A Better Way Athletics Patriot Open,125,L,MD,12 - 2,JJ Peace,82775,15 - 6,American,Abram Cline,84637
2025,12/08,A Better Way Athletics Patriot Open,125,W,TF5,19 - 4 6:19,Isaac Sheehan,84766,0 - 6,Morgan State,Abram Cline,84637
2025,12/08,A Better Way Athletics Patriot Open,125,L,DEC,5 - 3,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Abram Cline,84637
2025,11/23,Navy Classic,125,L,DEC,7 - 0,Garrett Totten,81066,2 - 4,Navy,Abram Cline,84637
2025,11/23,Navy Classic,125,W,DEC,5 - 2,Tyler Washburn,85947,8 - 6,The Citadel,Abram Cline,84637
