Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,FALL,2:48,Cooper Flynn,72148,16 - 8,Minnesota,Caleb Weiand,79429
2025,03/20,NCAA Championships,125,W,DEC,8 - 4,Gylon Sims,84440,19 - 9,The Citadel,Caleb Weiand,79429
2025,03/20,NCAA Championships,125,L,SV-1,4 - 1,Marcello Milani,78106,16 - 14,Cornell,Caleb Weiand,79429
2025,03/08,Big Ten Championships,125,L,CMFF,0 - 0,Cooper Flynn,72148,16 - 8,Minnesota,Caleb Weiand,79429
2025,03/08,Big Ten Championships,125,L,MD,12 - 1,Nicolar Rivera,78438,24 - 7,Wisconsin,Caleb Weiand,79429
2025,03/08,Big Ten Championships,125,W,DEC,5 - 0,Tyler Garvin,84590,5 - 21,Maryland,Caleb Weiand,79429
2025,03/08,Big Ten Championships,125,W,DEC,10 - 5,Joey Cruz,73188,12 - 13,Iowa,Caleb Weiand,79429
2025,03/08,Big Ten Championships,125,L,DEC,9 - 8,Jacob Moran,63550,26 - 11,Indiana,Caleb Weiand,79429
2025,02/21,Michigan State - Central Michigan Dual,125,L,DEC,4 - 1,Grant Stahl,84287,7 - 19,Central Michigan,Caleb Weiand,79429
2025,02/16,Michigan - Michigan State Dual,125,W,DEC,6 - 0,Christian Tanefeu,73460,8 - 12,Michigan,Caleb Weiand,79429
2025,02/14,Michigan State - Rutgers Dual,125,L,SV-1,4 - 1,Ayden Smith,92279,10 - 4,Rutgers,Caleb Weiand,79429
2025,02/09,Michigan State - Wisconsin Dual,125,L,MD,14 - 4,Nicolar Rivera,78438,24 - 7,Wisconsin,Caleb Weiand,79429
2025,02/07,Michigan State - Northwestern Dual,125,L,MD,13 - 2,Dedrick Navarro,84344,18 - 13,Northwestern,Caleb Weiand,79429
2025,02/02,Clarion - Michigan State Dual,125,L,MD,9 - 1,Travis Clawson,93659,12 - 12,Clarion,Caleb Weiand,79429
2025,01/26,Nebraska - Michigan State Dual,125,L,DEC,11 - 6,Caleb Smith,58559,24 - 7,Nebraska,Caleb Weiand,79429
2025,01/24,Indiana - Michigan State Dual,125,L,DEC,12 - 10,Jacob Moran,63550,26 - 11,Indiana,Caleb Weiand,79429
2025,01/19,Buffalo - Michigan State Dual,125,W,DEC,2 - 1,Max Elton,79785,17 - 19,Buffalo,Caleb Weiand,79429
2025,01/12,Maryland - Michigan State Dual,125,W,DEC,4 - 1,Tyler Garvin,84590,5 - 21,Maryland,Caleb Weiand,79429
2025,12/29,Midlands Championships,125,L,DEC,8 - 2,Dedrick Navarro,84344,18 - 13,Northwestern,Caleb Weiand,79429
2025,12/29,Midlands Championships,125,L,DEC,7 - 5,Patrick Adams,72223,2 - 3,Northwestern,Caleb Weiand,79429
2025,12/29,Midlands Championships,125,W,FALL,1:53,JB Dragovich,78828,14 - 13,George Mason,Caleb Weiand,79429
2025,12/15,Michigan State - CSU Bakersfield Dual,125,L,DEC,8 - 7,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Caleb Weiand,79429
2025,11/24,Black Knight Invite,125,W,SV-3,9 - 8,Tyson Lane,75724,9 - 9,Gardner-Webb,Caleb Weiand,79429
2025,11/24,Black Knight Invite,125,L,MD,13 - 1,Kurt McHenry,56182,7 - 4,Penn State,Caleb Weiand,79429
2025,11/24,Black Knight Invite,125,L,DEC,5 - 4,Charlie Farmer,71771,23 - 10,Army West Point,Caleb Weiand,79429
2025,11/17,Michigan State - Ohio Dual,125,W,MD,11 - 0,Malachi O'Leary,78919,3 - 9,Ohio,Caleb Weiand,79429
2025,11/09,Michigan State Open,125,W,DEC,15 - 8,Camren French,93788,9 - 5,Northern Illinois,Caleb Weiand,79429
2025,11/09,Michigan State Open,125,W,DEC,10 - 3,Reid Spurley,85133,0 - 4,Wisconsin,Caleb Weiand,79429
2025,11/09,Michigan State Open,125,W,FALL,4:41,Ashton Jackson,81722,15 - 8,Purdue,Caleb Weiand,79429
2025,11/09,Michigan State Open,125,W,MD,8 - 0,Austin Zimmerman,93050,5 - 14,Edinboro,Caleb Weiand,79429
2025,11/02,Michigan State - American Dual,125,L,DEC,18 - 17,Coen Bainey,78808,13 - 13,American,Caleb Weiand,79429
2024,02/23,Central Michigan - Michigan State Dual,133,L,MD,14 - 6,Vince Perez,60001,12 - 14,Central Michigan,Caleb Weiand,79429
2024,02/03,Edinboro Open,133,W,FALL,6:17,Garett Lautzenheiser,72996,1 - 3,Ohio State,Caleb Weiand,79429
2024,02/03,Edinboro Open,133,L,DEC,5 - 1,Jake Gliva,51241,10 - 4,Minnesota,Caleb Weiand,79429
2024,02/03,Edinboro Open,133,W,MD,16 - 7,Landen Duncan,84294,0 - 2,Cleveland State,Caleb Weiand,79429
