Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/09,Ivy Championships,125,W,TF5,18 - 0 3:28,Jared Brunner,76391,4 - 21,Brown,Diego Sotelo,71874
2025,03/09,Ivy Championships,125,L,DEC,4 - 2,Marcello Milani,78106,16 - 14,Cornell,Diego Sotelo,71874
2025,03/09,Ivy Championships,125,L,MD,13 - 4,Max Gallagher,78893,26 - 10,Pennsylvania,Diego Sotelo,71874
2025,03/09,Ivy Championships,125,W,TF5,17 - 1 3:30,Jared Brunner,76391,4 - 21,Brown,Diego Sotelo,71874
2025,01/25,Binghamton - Harvard Dual,125,L,DEC,10 - 3,Carson Wagner,78720,23 - 12,Binghamton,Diego Sotelo,71874
2025,01/25,Cornell - Harvard Dual,125,W,DEC,6 - 3,Marcello Milani,78106,16 - 14,Cornell,Diego Sotelo,71874
2025,01/18,Harvard - Navy Dual,125,W,DEC,5 - 2,Nick Treaster,89471,11 - 12,Navy,Diego Sotelo,71874
2025,01/17,Harvard - American Dual,125,W,FALL,3:31,Coen Bainey,78808,13 - 13,American,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,DEC,7 - 6,Dedrick Navarro,84344,18 - 13,Northwestern,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,DEC,5 - 4,Max Gallagher,78893,26 - 10,Pennsylvania,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,DEC,2 - 0,Brady Pruett,73565,11 - 7,Pennsylvania,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,SV-1,4 - 1,Jacob Moran,63550,26 - 11,Indiana,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,L,DEC,6 - 3,Jacob Moran,63550,26 - 11,Indiana,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,DEC,5 - 3,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Diego Sotelo,71874
2025,12/29,Midlands Championships,125,W,DEC,6 - 3,Chris Vargo,85069,19 - 13,Edinboro,Diego Sotelo,71874
2025,11/10,Journeymen Classic,125,L,SV-1,4 - 1,Max Gallagher,78893,26 - 10,Pennsylvania,Diego Sotelo,71874
2025,11/10,Journeymen Classic,125,L,DEC,15 - 9,Vincent Robinson,78062,24 - 3,NC State,Diego Sotelo,71874
2025,11/10,Journeymen Classic,125,W,MD,11 - 1,Jakob Camacho,50655,1 - 4,NC State,Diego Sotelo,71874
2024,03/21,NCAA Championships,125,L,DEC,4 - 2,Stevo Poulin,71929,18 - 6,Northern Colorado,Diego Sotelo,71874
2024,03/21,NCAA Championships,125,W,DEC,5 - 4,Brayden Palmer,59826,17 - 4,Chattanooga,Diego Sotelo,71874
2024,03/21,NCAA Championships,125,L,DEC,9 - 2,Anthony Noto,64642,22 - 3,Lock Haven,Diego Sotelo,71874
2024,03/21,NCAA Championships,125,W,DEC,5 - 3,Jore Volk,72600,22 - 8,Wyoming,Diego Sotelo,71874
2024,03/08,EIWA Championships,125,L,CMFF,0 - 0,Max Gallagher,78893,19 - 10,Pennsylvania,Diego Sotelo,71874
2024,03/08,EIWA Championships,125,W,MD,13 - 2,Carson Wagner,78720,14 - 17,Binghamton,Diego Sotelo,71874
2024,03/08,EIWA Championships,125,W,MD,16 - 5,Dayton DelViscio,73322,8 - 13,Navy,Diego Sotelo,71874
2024,03/08,EIWA Championships,125,L,DEC,6 - 3,Brett Ungar,68705,20 - 9,Cornell,Diego Sotelo,71874
2024,03/08,EIWA Championships,125,L,DEC,4 - 3,Michael Joyce,76394,8 - 9,Brown,Diego Sotelo,71874
2024,02/03,Princeton - Harvard Dual,125,W,DEC,2 - 0,Drew Heethuis,78620,14 - 12,Princeton,Diego Sotelo,71874
2024,01/27,Harvard - Binghamton Dual,125,W,DEC,8 - 6,Carson Wagner,78720,14 - 17,Binghamton,Diego Sotelo,71874
2024,01/27,Harvard - Cornell Dual,125,L,MD,14 - 3,Greg Diakomihalis,61116,13 - 3,Cornell,Diego Sotelo,71874
2024,01/13,Harvard - North Carolina Dual,125,W,DEC,9 - 3,Marco Tocci,78821,3 - 5,North Carolina,Diego Sotelo,71874
2024,01/11,Harvard - Lock Haven Dual,125,W,DEC,11 - 8,Anthony Noto,64642,22 - 3,Lock Haven,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,DEC,9 - 7,Max Gallagher,78893,19 - 10,Pennsylvania,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,L,FALL,4:16,Luke Stanich,78768,24 - 4,Lehigh,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,L,DEC,4 - 2,Cooper Flynn,72148,15 - 6,Virginia Tech,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,FALL,5:31,Tristan Mascarenas,70010,2 - 5,Arizona State,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,TF5,15 - 0 7:00,Dominic Mendez,73704,15 - 12,Cal Poly,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,DEC,11 - 8,Blake West,73337,23 - 8,Northern Illinois,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,FALL,4:05,Nick Molchak,78590,12 - 13,Cleveland State,Diego Sotelo,71874
2024,12/29,Midlands Championships,125,W,MD,12 - 0,Vincent Kilkeary,74118,16 - 8,Ohio State,Diego Sotelo,71874
2024,12/01,Cliff Keen Invitational,125,W,DEC,11 - 6,Troy Hohman,75816,11 - 8,NC State,Diego Sotelo,71874
2024,12/01,Cliff Keen Invitational,125,L,DEC,3 - 2,Brett Ungar,68705,20 - 9,Cornell,Diego Sotelo,71874
2024,12/01,Cliff Keen Invitational,125,L,SV-1,8 - 5,Matt Ramos,57134,27 - 7,Purdue,Diego Sotelo,71874
2024,12/01,Cliff Keen Invitational,125,W,TF5,15 - 0 5:21,Robbie Sagaris,73406,14 - 14,LIU,Diego Sotelo,71874
2024,12/01,Cliff Keen Invitational,125,W,DEC,5 - 2,Dylan Ryder,50876,12 - 12,Hofstra,Diego Sotelo,71874
2024,11/19,Keystone Classic,125,W,DEC,7 - 5,Blaine Frazier,78575,9 - 17,Indiana,Diego Sotelo,71874
2024,11/19,Keystone Classic,125,W,TF5,20 - 2 4:40,Desmond Pleasant,71583,19 - 16,Drexel,Diego Sotelo,71874
2024,11/19,Keystone Classic,125,L,DEC,4 - 1,Ryan Miller,62350,17 - 6,Pennsylvania,Diego Sotelo,71874
2024,11/19,Keystone Classic,125,W,MD,9 - 1,Yusief Lillie,72995,2 - 12,Utah Valley,Diego Sotelo,71874
2024,11/19,Keystone Classic,125,W,TF5,18 - 1 2:47,Logan Agin,62979,10 - 16,Duke,Diego Sotelo,71874
2024,11/12,Journeymen Classic,125,W,DEC,7 - 3,Ryan Miller,62350,17 - 6,Pennsylvania,Diego Sotelo,71874
2024,11/12,Journeymen Classic,125,W,DEC,5 - 4,Sheldon Seymour,62339,13 - 5,Lehigh,Diego Sotelo,71874
2024,11/12,Journeymen Classic,125,L,DEC,3 - 2,Brett Ungar,68705,20 - 9,Cornell,Diego Sotelo,71874
2023,03/16,NCAA Championships,125,L,DEC,11 - 4,Stevo Poulin,71929,27 - 7,Northern Colorado,Diego Sotelo,71874
2023,03/16,NCAA Championships,125,L,MD,12 - 3,Patrick McKee,50594,14 - 9,Minnesota,Diego Sotelo,71874
2023,03/04,EIWA Championships,125,L,DEC,4 - 3,Ethan Berginc,71779,27 - 8,Army West Point,Diego Sotelo,71874
2023,03/04,EIWA Championships,125,L,SV-1,4 - 2,Brett Ungar,68705,17 - 12,Cornell,Diego Sotelo,71874
2023,03/04,EIWA Championships,125,L,DEC,7 - 2,Nick Babin,65929,21 - 14,Columbia,Diego Sotelo,71874
2023,03/04,EIWA Championships,125,W,DEC,6 - 1,Robbie Sagaris,73406,11 - 14,LIU,Diego Sotelo,71874
2023,03/04,EIWA Championships,125,W,DEC,4 - 1,Nick Babin,65929,21 - 14,Columbia,Diego Sotelo,71874
2023,02/11,Hofstra - Harvard Dual,125,W,TF5,17 - 0 6:56,Jacob Moon,73024,9 - 15,Hofstra,Diego Sotelo,71874
2023,02/10,Columbia - Harvard Dual,125,W,DEC,3 - 2,Nick Babin,65929,21 - 14,Columbia,Diego Sotelo,71874
2023,01/28,Harvard - Pennsylvania Dual,125,W,DEC,5 - 4,Ryan Miller,62350,20 - 12,Pennsylvania,Diego Sotelo,71874
2023,01/27,Harvard - Princeton Dual,125,W,DEC,6 - 0,Nick Kayal,65849,7 - 8,Princeton,Diego Sotelo,71874
2023,01/21,Cornell - Harvard Dual,125,W,DEC,1 - 0,Brett Ungar,68705,17 - 12,Cornell,Diego Sotelo,71874
2023,01/21,Binghamton - Harvard Dual,125,W,MD,11 - 1,Micah Roes,67299,12 - 13,Binghamton,Diego Sotelo,71874
2023,01/14,North Carolina - Harvard Dual,125,L,DEC,8 - 7,Jack Wagner,44755,21 - 10,North Carolina,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Tristan Mascarenas,70010,6 - 5,Arizona State,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,MD,10 - 0,Beau Bayless,59670,3 - 11,Harvard,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Killian Cardinale,49268,13 - 4,West Virginia,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,MFOR,0 - 0,Dean Peterson,72936,22 - 11,Rutgers,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,FALL,5:34,Ryan Miller,62350,20 - 12,Pennsylvania,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,MD,11 - 3,Sheldon Seymour,62339,19 - 5,Lehigh,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,W,DEC,9 - 3,Benjamin Aranda,71804,12 - 14,Cleveland State,Diego Sotelo,71874
2023,12/29,Midlands Championships,125,L,MD,15 - 3,Jack Medley,51392,22 - 13,Michigan,Diego Sotelo,71874
2023,11/13,Journeymen Classic,125,L,DEC,3 - 2,Jacob Van Dee,73557,4 - 3,Nebraska,Diego Sotelo,71874
2023,11/13,Journeymen Classic,125,L,DEC,6 - 3,Ryan Miller,62350,20 - 12,Pennsylvania,Diego Sotelo,71874
2023,11/13,Journeymen Classic,125,L,MD,13 - 1,Richard Figueroa,61129,14 - 0,Arizona State,Diego Sotelo,71874
