Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/23,Wyoming - Oklahoma Dual,125,L,DEC,3 - 2,Antonio Lorenzo,57329,18 - 11,Oklahoma,Jore Volk,72600
2025,11/22,Wyoming - Oklahoma State Dual,125,L,SV-1,7 - 4,Troy Spratley,73119,24 - 5,Oklahoma State,Jore Volk,72600
2025,11/09,Western Wyoming College - Wyoming Dual,125,W,FALL,4:36,Sefton Douglass,78673,Unlisted,Western Wyoming College,Jore Volk,72600
2025,11/01,Campbell - Wyoming Dual,125,W,DEC,2 - 0,Anthony Molton,57207,18 - 8,Campbell,Jore Volk,72600
2024,03/21,NCAA Championships,125,W,DEC,4 - 0,Tanner Jordan,57664,26 - 12,South Dakota State,Jore Volk,72600
2024,03/21,NCAA Championships,125,L,MD,9 - 0,Luke Stanich,78768,24 - 4,Lehigh,Jore Volk,72600
2024,03/21,NCAA Championships,125,W,SV-1,4 - 1,Braeden Davis,77952,22 - 4,Penn State,Jore Volk,72600
2024,03/21,NCAA Championships,125,W,DEC,5 - 4,Nico Provo,65883,19 - 8,Stanford,Jore Volk,72600
2024,03/21,NCAA Championships,125,W,DEC,5 - 1,Cooper Flynn,72148,15 - 6,Virginia Tech,Jore Volk,72600
2024,03/21,NCAA Championships,125,W,DEC,2 - 0,Brandon Kaylor,51198,12 - 10,Oregon State,Jore Volk,72600
2024,03/21,NCAA Championships,125,L,DEC,5 - 3,Diego Sotelo,71874,25 - 12,Harvard,Jore Volk,72600
2024,03/09,Big 12 Championships,125,W,SV-2,3 - 2,Troy Spratley,73119,22 - 8,Oklahoma State,Jore Volk,72600
2024,03/09,Big 12 Championships,125,W,DEC,1 - 0,Tanner Jordan,57664,26 - 12,South Dakota State,Jore Volk,72600
2024,03/09,Big 12 Championships,125,W,DEC,6 - 5,Noah Surtin,56715,15 - 6,Missouri,Jore Volk,72600
2024,02/04,North Dakota State - Wyoming Dual,125,W,TF5,21 - 5 2:50,Ryan Henningson,67078,1 - 12,North Dakota State,Jore Volk,72600
