Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/01,Missouri Valley Open,125,W,TF5,20 - 3 7:00,Ryker Smith,98457,Unlisted,Missouri Valley,Mack Mauger,84326
2025,02/01,Missouri Valley Open,125,W,TF5,18 - 3 7:00,Noel Mejia,94351,Unlisted,Williams Baptist,Mack Mauger,84326
2025,02/01,Missouri Valley Open,125,W,DEC,8 - 5,Garrett Johnson,87220,Unlisted,Oklahoma City,Mack Mauger,84326
2025,02/01,Missouri Valley Open,125,W,TB-1,2 - 1,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Mack Mauger,84326
2025,01/19,Cyclone Open,125,W,DEC,5 - 3,Brandon Paez,82508,4 - 5,Northern Iowa,Mack Mauger,84326
2025,01/19,Cyclone Open,125,W,CMFF,0 - 0,Kael Lauridsen,78611,5 - 4,Nebraska,Mack Mauger,84326
2025,01/19,Cyclone Open,125,W,DEC,4 - 1,Adrian Meza,83499,12 - 6,Iowa State,Mack Mauger,84326
2025,01/19,Cyclone Open,125,L,SV-1,4 - 1,Ethan Perryman,78477,13 - 10,Iowa State,Mack Mauger,84326
2025,12/29,Soldier Salute,125,W,DEC,6 - 4,Adrian Meza,83499,12 - 6,Iowa State,Mack Mauger,84326
2025,12/29,Soldier Salute,125,L,DEC,5 - 4,Kysen Terukina,67143,12 - 3,Iowa State,Mack Mauger,84326
2025,12/29,Soldier Salute,125,W,FALL,0:47,Isaac Hampton,85090,3 - 7,Navy,Mack Mauger,84326
2025,12/29,Soldier Salute,125,W,DEC,8 - 1,Damion Ryan,78489,4 - 12,Bellarmine,Mack Mauger,84326
2025,12/22,Reno TOC,125,W,MD,11 - 1,Manuel Martir,99916,Unlisted,Simpson,Mack Mauger,84326
2025,12/22,Reno TOC,125,W,MD,14 - 3,Ane'e Vigil,88310,Unlisted,Clackamas Community College,Mack Mauger,84326
2025,12/22,Reno TOC,125,W,MD,11 - 1,Vonn Fenn,86232,Unlisted,Southern Oregon,Mack Mauger,84326
2025,12/22,Reno TOC,125,L,MD,15 - 4,Aden Reeves,56711,Unlisted,Grand View,Mack Mauger,84326
2025,12/22,Reno TOC,125,W,TF5,15 - 0 5:00,Caleb Tatad,94096,Unlisted,Cal Poly Humboldt,Mack Mauger,84326
2025,12/07,Cougar Clash,125,L,TF5,15 - 0 7:00,Noah Surtin,56715,3 - 2,Missouri,Mack Mauger,84326
2025,12/07,Cougar Clash,125,W,DEC,7 - 0,Deion Johnson,84782,1 - 7,SIU Edwardsville,Mack Mauger,84326
2025,12/07,Cougar Clash,125,W,DEC,4 - 2,Davian Guanajuato,74863,8 - 9,SIU Edwardsville,Mack Mauger,84326
2025,12/07,Cougar Clash,125,L,MD,16 - 2,Stevo Poulin,71929,24 - 6,Northern Colorado,Mack Mauger,84326
2025,12/07,Cougar Clash,125,W,FALL,4:38,Damion Ryan,78489,4 - 12,Bellarmine,Mack Mauger,84326
2025,12/07,Cougar Clash,125,W,DEC,5 - 2,Damion Ryan,78489,4 - 12,Bellarmine,Mack Mauger,84326
