Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,American - Morgan State Dual,133,L,FALL,2:16,Raymond Lopez,71769,20 - 13,American,Treshaun Tecson,93541
2025,11/17,Morgan State - Averett University Dual,125,L,DEC,7 - 3,Mason Barrett,77430,Unlisted,Averett University,Treshaun Tecson,93541
2025,11/15,Morgan State - Lehigh Dual,125,L,FALL,6:24,Sheldon Seymour,62339,24 - 6,Lehigh,Treshaun Tecson,93541
2025,11/10,Glenville State University - Morgan State Dual,125,W,DEC,10 - 4,Colton Drousias,63171,Unlisted,Glenville State University,Treshaun Tecson,93541
2025,11/10,Bucknell - Morgan State Dual,125,W,MD,13 - 1,Grayson McLellan,79295,0 - 5,Bucknell,Treshaun Tecson,93541
2025,11/02,Southeast Open,125,W,MD,14 - 2,Jimmie Jones,89451,2 - 5,Morgan State,Treshaun Tecson,93541
2025,11/02,Southeast Open,125,L,MD,10 - 2,Cam Stinson,84378,12 - 7,North Carolina,Treshaun Tecson,93541
2025,11/02,Southeast Open,125,W,DEC,9 - 3,Garrett Johnson,70721,Unlisted,Unattached,Treshaun Tecson,93541
2025,11/02,Southeast Open,125,L,FALL,6:15,Easton Cooper,93008,2 - 8,Chattanooga,Treshaun Tecson,93541
2025,02/23,American - Morgan State Dual,141,L,TF5,16 - 0 7:00,Elijah White,69903,6 - 14,American,Jimmie Jones,89451
2025,02/16,Morgan State - Sacred Heart Dual,133,L,TF5,19 - 3 5:18,Braxton Appello,79010,12 - 5,Sacred Heart,Jimmie Jones,89451
2025,02/07,Binghamton - Morgan State Dual,133,L,TF5,21 - 4 7:00,Dillon Arrick,92942,7 - 7,Binghamton,Jimmie Jones,89451
2025,11/02,Southeast Open,125,L,MD,14 - 2,Treshaun Tecson,93541,2 - 4,Morgan State,Jimmie Jones,89451
2025,11/02,Southeast Open,125,W,FALL,0:43,Ty Porter,84936,0 - 10,Gardner-Webb,Jimmie Jones,89451
2025,11/02,Southeast Open,125,W,DEC,4 - 2,Charlie Colantonio,93444,2 - 6,Franklin & Marshall,Jimmie Jones,89451
2025,11/02,Southeast Open,125,L,DEC,5 - 2,Abram Cline,84637,13 - 13,Maryland,Jimmie Jones,89451
2024,03/03,Zingo Nationals,133,L,MD,18 - 9,Andre Ruiz,66888,Unlisted,Unattached,Jimmie Jones,89451
2024,03/03,Zingo Nationals,133,L,TF5,16 - 0 5:38,Ryan Arbeit,84814,4 - 7,Hofstra,Jimmie Jones,89451
2024,12/03,Patriot Open,133,L,TF5,15 - 0 3:19,Patrick Schellpfeffer,69712,1 - 6,George Mason,Jimmie Jones,89451
2024,12/03,Patriot Open,133,L,TF5,15 - 0 3:28,Evan Buchanan,66510,5 - 1,Virginia,Jimmie Jones,89451
2025,03/07,EIWA Championships,125,L,TF5,15 - 0 2:27,Nick Treaster,89471,11 - 12,Navy,Julian Dawson,84955
2025,03/07,EIWA Championships,125,L,TF5,15 - 0 5:06,Robbie Sagaris,73406,14 - 9,LIU,Julian Dawson,84955
2025,03/07,EIWA Championships,125,W,FALL,3:44,Jack Parker,83327,16 - 16,Franklin & Marshall,Julian Dawson,84955
2025,03/07,EIWA Championships,125,L,MD,8 - 0,Coen Bainey,78808,13 - 13,American,Julian Dawson,84955
2025,02/23,American - Morgan State Dual,125,L,MD,10 - 0,JJ Peace,82775,15 - 6,American,Julian Dawson,84955
2025,02/16,Morgan State - Sacred Heart Dual,125,W,FALL,1:48,Michael Baker,93968,0 - 8,Sacred Heart,Julian Dawson,84955
2025,01/19,Johns Hopkins - Morgan State Dual,125,W,FALL,1:29,Duncan Stadler,95465,Unlisted,Johns Hopkins,Julian Dawson,84955
2025,01/17,Morgan State - The Citadel Dual,125,L,MD,13 - 4,Gylon Sims,84440,19 - 9,The Citadel,Julian Dawson,84955
2025,01/17,Little Rock - Morgan State Dual,125,L,TF5,17 - 2 7:00,Tyson Roach,93198,5 - 5,Little Rock,Julian Dawson,84955
2025,01/17,Morgan State - Davidson Dual,125,L,DEC,8 - 5,Luke Passarelli,78850,5 - 13,Davidson,Julian Dawson,84955
2025,01/17,Lock Haven - Morgan State Dual,125,L,TF5,17 - 0 4:09,Sean Logue,78512,9 - 4,Lock Haven,Julian Dawson,84955
2025,01/10,Princeton - Morgan State Dual,125,L,TF5,19 - 4 7:00,Marc-Anthony McGowan,79468,16 - 4,Princeton,Julian Dawson,84955
2025,01/04,Southern Scuffle,125,L,FALL,4:08,Cooper Shore,84285,18 - 3,Campbell,Julian Dawson,84955
2025,01/04,Southern Scuffle,125,L,TF5,17 - 2 3:40,Nain Vasquez,76010,10 - 7,Army West Point,Julian Dawson,84955
2025,12/21,Morgan State - Hofstra Dual,125,W,FALL,1:48,Teague Strobel,93797,6 - 11,Hofstra,Julian Dawson,84955
2025,12/13,Army West Point - Morgan State Dual,125,L,TF5,17 - 2 7:00,Charlie Farmer,71771,23 - 10,Army West Point,Julian Dawson,84955
2025,12/08,Pennsylvania - Morgan State Dual,125,L,TF5,19 - 1 7:00,Brady Pruett,73565,11 - 7,Pennsylvania,Julian Dawson,84955
2025,11/22,Morgan State - Maryland Dual,125,L,TF5,17 - 2 6:43,Tyler Garvin,84590,5 - 21,Maryland,Julian Dawson,84955
2025,11/17,Morgan State - VMI Dual,125,W,DEC,9 - 4,Waylon Rogers,93673,4 - 15,VMI,Julian Dawson,84955
2025,11/17,Marymount - Morgan State Dual,125,W,FALL,2:48,Ian Morales,95859,Unlisted,Marymount,Julian Dawson,84955
2025,11/02,Southeast Open,125,W,FALL,1:48,Ryan Messick,93764,Unlisted,Southeast RTC,Julian Dawson,84955
2025,11/02,Southeast Open,125,L,DEC,8 - 3,Matthew Dolan,78805,10 - 9,West Virginia,Julian Dawson,84955
2025,11/02,Southeast Open,125,L,TF5,17 - 2 2:53,Jack Parker,83327,16 - 16,Franklin & Marshall,Julian Dawson,84955
2024,02/23,Morgan State - Pennsylvania Dual,125,L,TF5,21 - 2 7:00,Max Gallagher,78893,19 - 10,Pennsylvania,Julian Dawson,84955
2024,02/11,Queens - Morgan State Dual,125,W,FALL,2:44,Daniel Graham,79815,2 - 12,Queens,Julian Dawson,84955
2024,02/11,Sacred Heart - Morgan State Dual,125,L,MD,15 - 5,Jake Ice,73474,7 - 5,Sacred Heart,Julian Dawson,84955
2024,02/04,Morgan State - American Dual,125,W,DEC,8 - 6,Shamil Kalmatov,72680,6 - 12,American,Julian Dawson,84955
2024,02/04,Drexel - Morgan State Dual,125,L,TF5,20 - 3 8:00,Desmond Pleasant,71583,19 - 16,Drexel,Julian Dawson,84955
2024,01/28,West Virginia - Morgan State Dual,125,L,TF5,18 - 1 3:00,Jace Schafer,73377,6 - 6,West Virginia,Julian Dawson,84955
2024,01/21,Long Island University  - Morgan State Dual,125,L,TF5,16 - 1 7:00,Robbie Sagaris,73406,14 - 14,LIU,Julian Dawson,84955
2024,01/21,Kent State - Morgan State Dual,125,W,FALL,4:39,Adan Benavidez,84848,9 - 20,Kent State,Julian Dawson,84955
2024,01/21,Morgan State - Clarion Dual,125,L,TF5,20 - 2 7:00,Joseph Fischer,68702,17 - 13,Clarion,Julian Dawson,84955
2024,01/07,Bobby Kauffman Memorial Open,125,L,TF5,22 - 6 6:53,Braden Hahlen,84976,Unlisted,Lake Erie College,Julian Dawson,84955
2024,01/07,Bobby Kauffman Memorial Open,125,W,MFOR,0 - 0,Logan Sallot,79291,4 - 14,Lock Haven,Julian Dawson,84955
2024,01/07,Bobby Kauffman Memorial Open,125,W,DEC,7 - 2,Kevin Lopez,77599,3 - 13,Morgan State,Julian Dawson,84955
2024,01/07,Bobby Kauffman Memorial Open,125,L,MD,18 - 9,Matthew Dolan,78805,4 - 5,West Virginia,Julian Dawson,84955
2024,12/20,Hofstra - Morgan State Dual,125,L,MD,16 - 6,Dylan Acevedo-Switzer,73023,7 - 14,Hofstra,Julian Dawson,84955
2024,12/20,Bloomsburg - Morgan State Dual,125,L,TF5,16 - 1 7:00,Bronson Garber,56759,13 - 21,Bloomsburg,Julian Dawson,84955
2024,12/16,Morgan State - North Carolina Dual,125,L,DEC,8 - 2,Marco Tocci,78821,3 - 5,North Carolina,Julian Dawson,84955
2024,11/12,Morgan State - Navy Dual,125,L,TF5,16 - 0 5:00,Evan Tallmadge,73120,6 - 4,Navy,Julian Dawson,84955
2024,11/12,Morgan State - VMI Dual,125,L,DEC,13 - 8,Tony Burke,78464,6 - 19,VMI,Julian Dawson,84955
2024,11/12,Morgan State - Pittsburgh Dual,125,L,TF5,15 - 0 7:00,Colton Camacho,58029,11 - 12,Pittsburgh,Julian Dawson,84955
2024,11/04,Southeast Open,125,L,DEC,13 - 7,Eric Howe,73497,6 - 14,Franklin & Marshall,Julian Dawson,84955
2024,11/04,Southeast Open,125,W,FALL,2:45,Chaz McDonald,84542,3 - 1,Chattanooga,Julian Dawson,84955
2024,11/04,Southeast Open,125,L,TF5,18 - 2 3:41,Zander Phaturos,73554,11 - 10,Campbell,Julian Dawson,84955
2025,02/07,Binghamton - Morgan State Dual,125,L,TF5,16 - 1 7:00,Carson Wagner,78720,23 - 12,Binghamton,Isaac Sheehan,84766
2025,01/04,Southern Scuffle,125,L,FALL,2:10,Bryson Valdez,85101,1 - 5,Northern Colorado,Isaac Sheehan,84766
2025,01/04,Southern Scuffle,125,L,TF5,17 - 2 5:34,Keyveon Roller,73139,14 - 9,Virginia,Isaac Sheehan,84766
2025,12/08,A Better Way Athletics Patriot Open,125,L,SV-1,4 - 1,Presden Sanchez,92960,7 - 9,Maryland,Isaac Sheehan,84766
2025,12/08,A Better Way Athletics Patriot Open,125,L,TF5,19 - 4 6:19,Abram Cline,84637,13 - 13,Maryland,Isaac Sheehan,84766
2025,11/02,Southeast Open,133,L,FALL,2:30,Aiden Allen,92968,6 - 6,Virginia,Isaac Sheehan,84766
2025,11/02,Southeast Open,133,L,TF5,18 - 1 2:37,Ethan McCullough,89130,Unlisted,Newberry,Isaac Sheehan,84766
2024,02/25,National Collegiate Open,125,L,TF5,17 - 2 2:09,Dedrick Navarro,84344,3 - 5,Northwestern,Isaac Sheehan,84766
2024,02/25,National Collegiate Open,125,L,FALL,0:48,Kade Davidheiser,78810,5 - 4,Bucknell,Isaac Sheehan,84766
2024,01/20,Morgan State - Bucknell Dual,125,W,DEC,7 - 6,Grayson McLellan,79295,0 - 13,Bucknell,Isaac Sheehan,84766
2024,01/07,Bobby Kauffman Memorial Open,125,L,TF5,18 - 1 2:39,Braden Hahlen,84976,Unlisted,Lake Erie College,Isaac Sheehan,84766
2024,01/07,Bobby Kauffman Memorial Open,125,L,TF5,16 - 1 7:00,Jordan Escarra,84915,Unlisted,Gannon,Isaac Sheehan,84766
2024,01/07,Bobby Kauffman Memorial Open,125,W,DEC,4 - 2,Grayson McLellan,79295,0 - 13,Bucknell,Isaac Sheehan,84766
2024,12/03,Patriot Open,125,L,TF5,18 - 1 5:16,Durben Carpenter,87691,Unlisted,Unattached,Isaac Sheehan,84766
2024,12/03,Patriot Open,125,L,DEC,9 - 6,Tommy Capul,73318,4 - 14,Maryland,Isaac Sheehan,84766
2024,11/04,Southeast Open,133,L,FALL,3:35,Caden Hagler,74459,3 - 5,Virginia Tech,Isaac Sheehan,84766
2024,11/04,Southeast Open,133,L,TF5,15 - 0 3:00,Ethan Lipsey,84541,4 - 8,Chattanooga,Isaac Sheehan,84766
2025,01/17,Morgan State - The Citadel Dual,133,L,DEC,4 - 0,George Rosas,78686,12 - 15,The Citadel,Shawn Ryncarz,84327
2025,01/17,Morgan State - Davidson Dual,133,W,TF5,18 - 2 7:00,Hale Robinson,70746,1 - 9,Davidson,Shawn Ryncarz,84327
2025,01/17,Lock Haven - Morgan State Dual,133,L,FALL,2:21,Hunter Gould,85082,13 - 8,Lock Haven,Shawn Ryncarz,84327
2025,01/10,Princeton - Morgan State Dual,133,L,FALL,3:00,Drew Heethuis,78620,6 - 6,Princeton,Shawn Ryncarz,84327
