Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/23,Navy Classic,125,L,MD,18 - 7,Alan Koehler,77147,7 - 5,Nebraska,Garrett Totten,81066
2025,11/23,Navy Classic,125,W,DEC,7 - 0,Abram Cline,84637,13 - 13,Maryland,Garrett Totten,81066
2025,11/23,Navy Classic,125,L,DEC,4 - 2,Gylon Sims,84440,19 - 9,The Citadel,Garrett Totten,81066
2025,11/15,Navy - Iowa State Dual,125,L,MD,19 - 7,Adrian Meza,83499,12 - 6,Iowa State,Garrett Totten,81066
2025,11/09,Drexel - Navy Dual,125,W,DEC,9 - 4,Desmond Pleasant,71583,16 - 7,Drexel,Garrett Totten,81066
2025,11/09,North Carolina - Navy Dual,125,L,MD,17 - 4,Spencer Moore,68720,18 - 9,North Carolina,Garrett Totten,81066
2024,02/25,National Collegiate Open,133,W,SV-1,3 - 1,Tyler Ferrera,78735,Unlisted,Spartan Combat RTC,Garrett Totten,81066
2024,02/25,National Collegiate Open,133,L,FALL,4:09,Ryan Miller,62350,17 - 6,Pennsylvania,Garrett Totten,81066
2024,02/25,National Collegiate Open,133,W,MD,16 - 7,Dylan Ryder,50876,12 - 12,Hofstra,Garrett Totten,81066
2024,02/25,National Collegiate Open,133,W,FALL,5:00,Bobby Gardner,78707,1 - 4,Clarion,Garrett Totten,81066
2024,01/28,Mat-Town Open II,133,L,DEC,5 - 3,Tyler Dekraker,92133,Unlisted,Unattached,Garrett Totten,81066
2024,01/28,Mat-Town Open II,133,L,FALL,3:28,Vinnie D'Alessandro,83326,Unlisted,High School,Garrett Totten,81066
2024,01/12,Navy - South Dakota State Dual,133,L,MD,14 - 1,Derrick Cardinal,68734,20 - 12,South Dakota State,Garrett Totten,81066
2024,01/05,David Lehman Open,133,L,FALL,2:14,Ryan Hartung,84444,9 - 8,Binghamton,Garrett Totten,81066
2024,01/05,David Lehman Open,133,W,FALL,6:20,Conner Quinn,72582,3 - 8,Maryland,Garrett Totten,81066
