Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,W,TB-1,2 - 1,Troy Spratley,73119,24 - 5,Oklahoma State,Vincent Robinson,78062
2025,03/20,NCAA Championships,125,W,DEC,4 - 2,Sheldon Seymour,62339,24 - 6,Lehigh,Vincent Robinson,78062
2025,03/20,NCAA Championships,125,W,DEC,4 - 2,Dean Peterson,72936,22 - 8,Rutgers,Vincent Robinson,78062
2025,03/20,NCAA Championships,125,W,DEC,6 - 4,Marc-Anthony McGowan,79468,16 - 4,Princeton,Vincent Robinson,78062
2025,03/20,NCAA Championships,125,W,MD,12 - 1,Joey Cruz,73188,12 - 13,Iowa,Vincent Robinson,78062
2025,03/09,ACC Championships,125,W,DEC,5 - 2,Spencer Moore,68720,18 - 9,North Carolina,Vincent Robinson,78062
2025,03/09,ACC Championships,125,L,SV-1,4 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Vincent Robinson,78062
2025,02/21,NC State - Virginia Tech Dual,125,L,DEC,4 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Vincent Robinson,78062
2025,01/31,NC State - North Carolina Dual,125,W,DEC,10 - 4,Spencer Moore,68720,18 - 9,North Carolina,Vincent Robinson,78062
2025,01/24,Pittsburgh - NC State Dual,125,W,DEC,6 - 2,Nick Babin,65929,10 - 11,Pittsburgh,Vincent Robinson,78062
2025,01/17,NC State - Virginia Dual,125,W,TF5,19 - 4 4:12,Anthony Rossi,85124,8 - 6,Virginia,Vincent Robinson,78062
2025,01/13,NC State - Oklahoma State Dual,125,W,DEC,7 - 3,Troy Spratley,73119,24 - 5,Oklahoma State,Vincent Robinson,78062
2025,12/06,Cliff Keen Invitational,125,W,MD,11 - 3,Dedrick Navarro,84344,18 - 13,Northwestern,Vincent Robinson,78062
2025,12/06,Cliff Keen Invitational,125,L,MFOR,0 - 0,Marcello Milani,78106,16 - 14,Cornell,Vincent Robinson,78062
2025,12/06,Cliff Keen Invitational,125,W,MD,10 - 2,Koda Holeman,73792,19 - 13,Cal Poly,Vincent Robinson,78062
2025,12/06,Cliff Keen Invitational,125,L,CMFF,0 - 0,Matt Ramos,57134,31 - 3,Purdue,Vincent Robinson,78062
2025,11/23,Utah Valley - NC State Dual,125,W,DEC,5 - 2,Bridger Ricks,82572,12 - 13,Utah Valley,Vincent Robinson,78062
2025,11/17,NC State - Rutgers Dual,125,W,INJ,3:24,Dean Peterson,72936,22 - 8,Rutgers,Vincent Robinson,78062
2025,11/17,NC State - Princeton Dual,125,W,MD,9 - 1,Ethan Rivera,84435,10 - 8,Princeton,Vincent Robinson,78062
2025,11/15,Appalachian State - NC State Dual,125,W,TF5,20 - 5 7:00,Noah Luna,79081,5 - 10,Appalachian State,Vincent Robinson,78062
