Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,01/19,Cyclone Open,125,W,DEC,6 - 4,Kyle Gollhofer,57224,11 - 8,Northern Iowa,Alan Koehler,77147
2025,01/19,Cyclone Open,125,W,TF5,17 - 2 7:00,Adrian Meza,83499,12 - 6,Iowa State,Alan Koehler,77147
2025,01/19,Cyclone Open,125,W,DEC,8 - 3,Ethan Perryman,78477,13 - 10,Iowa State,Alan Koehler,77147
2025,01/19,Cyclone Open,125,L,DEC,4 - 2,Kysen Terukina,67143,12 - 3,Iowa State,Alan Koehler,77147
2025,01/11,Hastings Open,125,W,TF5,19 - 3 7:00,Luis Vela,99118,Unlisted,York,Alan Koehler,77147
2025,01/11,Hastings Open,125,W,FALL,2:32,Cadyn Coyle,93699,Unlisted,Nebraska-Kearney,Alan Koehler,77147
2025,01/11,Hastings Open,125,W,TF5,20 - 4 7:00,Bishop Murray,72932,Unlisted,Nebraska-Kearney,Alan Koehler,77147
2025,01/11,Hastings Open,125,W,TF5,17 - 2 7:00,Brandon Board,95338,Unlisted,Augustana,Alan Koehler,77147
2025,12/20,Nebraska-Kearney - Nebraska Dual,125,W,DEC,11 - 7,Zach Ourada,79179,Unlisted,Nebraska-Kearney,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,W,TF5,21 - 4 7:00,Zane Donley,98467,Unlisted,Pratt Community College,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,W,DEC,2 - 0,Derek Glenn,97503,Unlisted,Unattached,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,L,DEC,4 - 2,Conrad Hendriksen,80186,1 - 0,Oklahoma,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,W,DEC,8 - 5,Nico Tocci,73466,3 - 8,Air Force,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,W,FALL,2:08,Adonis Lattimore,79178,Unlisted,Nebraska-Kearney,Alan Koehler,77147
2025,12/08,Bob Smith Open,125,W,FALL,1:32,Naythan Galbiso,73934,Unlisted,New Mexico Highlands,Alan Koehler,77147
2025,11/23,Navy Classic,125,W,DEC,8 - 3,Tyeler Hagensen,90801,9 - 21,Kent State,Alan Koehler,77147
2025,11/23,Navy Classic,125,L,DEC,8 - 2,Jacob Moran,63550,26 - 11,Indiana,Alan Koehler,77147
2025,11/23,Navy Classic,125,W,MD,18 - 7,Garrett Totten,81066,2 - 4,Navy,Alan Koehler,77147
2025,11/23,Navy Classic,125,L,SV-1,6 - 3,Maximo Renteria,71870,15 - 9,Oregon State,Alan Koehler,77147
2025,11/23,Navy Classic,125,W,TF5,19 - 4 2:08,Genaro De La Garza,84461,1 - 6,The Citadel,Alan Koehler,77147
2025,11/15,Nebraska - Campbell Dual,125,L,DEC,8 - 3,Anthony Molton,57207,18 - 8,Campbell,Alan Koehler,77147
2024,02/03,Missouri Valley Open,125,W,FALL,2:01,Luis Vasquez,92676,Unlisted,Missouri Valley,Alan Koehler,77147
2024,02/03,Missouri Valley Open,125,W,DEC,9 - 7,Gabe Gonzales,87572,Unlisted,Grand View,Alan Koehler,77147
2024,02/03,Missouri Valley Open,125,W,DEC,8 - 5,Luqman Masud,76147,4 - 5,Missouri,Alan Koehler,77147
2024,02/03,Missouri Valley Open,125,W,TF5,21 - 6 7:00,Peyton Shepard,85560,Unlisted,Central Missouri,Alan Koehler,77147
2024,01/21,Purdue - Nebraska Dual,125,L,TF5,19 - 4 7:00,Matt Ramos,57134,27 - 7,Purdue,Alan Koehler,77147
2024,01/06,Hastings Open,125,W,FALL,0:48,Bryson Bussinger,88720,Unlisted,Concordia,Alan Koehler,77147
2024,01/06,Hastings Open,125,W,TF5,15 - 0 7:00,Jordan O'Connor,87349,Unlisted,Hastings,Alan Koehler,77147
2024,01/06,Hastings Open,125,W,TF5,17 - 2 7:00,Dylan Sheler,79506,Unlisted,Newman,Alan Koehler,77147
2025,01/31,Wisconsin - Nebraska Dual,125,L,DEC,8 - 2,Nicolar Rivera,78438,24 - 7,Wisconsin,Kael Lauridsen,78611
2025,01/19,Cyclone Open,125,W,MD,8 - 0,Brandon Paez,82508,4 - 5,Northern Iowa,Kael Lauridsen,78611
