Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/08,Big 12 Championships,125,L,MD,11 - 3,Trever Anderson,76359,17 - 11,Northern Iowa,Kysen Terukina,67143
2025,03/08,Big 12 Championships,125,L,SV-1,4 - 1,Tristan Daugherty,62877,10 - 16,North Dakota State,Kysen Terukina,67143
2025,01/19,Cyclone Open,125,W,DEC,2 - 1,Bridger Ricks,82572,12 - 13,Utah Valley,Kysen Terukina,67143
2025,01/19,Cyclone Open,125,W,DEC,7 - 2,Wyatt Skebba,79470,3 - 7,Wisconsin,Kysen Terukina,67143
2025,01/19,Cyclone Open,125,W,DEC,5 - 1,Kael Lauridsen,78611,5 - 4,Nebraska,Kysen Terukina,67143
2025,01/19,Cyclone Open,125,W,DEC,4 - 2,Alan Koehler,77147,7 - 5,Nebraska,Kysen Terukina,67143
2025,01/11,Iowa State - Rider Dual,125,W,TF5,20 - 3 7:00,Kaden Naame,84336,5 - 9,Rider,Kysen Terukina,67143
2025,01/08,Iowa State - West Virginia Dual,125,L,DEC,4 - 1,Jett Strickenberger,74382,16 - 8,West Virginia,Kysen Terukina,67143
2025,12/29,Soldier Salute,125,W,DEC,2 - 1,Garret Rinken,78705,8 - 7,Northern Iowa,Kysen Terukina,67143
2025,12/29,Soldier Salute,125,W,DEC,8 - 2,Ethan Perryman,78477,13 - 10,Iowa State,Kysen Terukina,67143
2025,12/29,Soldier Salute,125,W,DEC,9 - 4,Joey Cruz,73188,12 - 13,Iowa,Kysen Terukina,67143
2025,12/29,Soldier Salute,125,W,DEC,5 - 4,Mack Mauger,84326,12 - 6,Missouri,Kysen Terukina,67143
2025,12/21,Iowa State - North Carolina Dual,125,W,TB-1,7 - 6,Spencer Moore,68720,18 - 9,North Carolina,Kysen Terukina,67143
2025,12/21,Lock Haven - Iowa State Dual,125,W,TF5,20 - 5 6:20,Lucas Fye,85081,4 - 11,Lock Haven,Kysen Terukina,67143
2024,03/21,NCAA Championships,125,L,FALL,5:34,Jakob Camacho,50655,17 - 6,NC State,Kysen Terukina,67143
2024,03/21,NCAA Championships,125,W,DEC,4 - 2,Ethan Berginc,71779,24 - 11,Army West Point,Kysen Terukina,67143
2024,03/21,NCAA Championships,125,L,DEC,9 - 4,Patrick McKee,50594,16 - 8,Minnesota,Kysen Terukina,67143
2024,03/09,Big 12 Championships,125,L,FALL,4:58,Jett Strickenberger,74382,18 - 6,West Virginia,Kysen Terukina,67143
2024,03/09,Big 12 Championships,125,W,DEC,10 - 6,Tanner Jordan,57664,26 - 12,South Dakota State,Kysen Terukina,67143
2024,03/09,Big 12 Championships,125,W,DEC,6 - 2,Conrad Hendriksen,80186,12 - 12,Oklahoma,Kysen Terukina,67143
2024,03/09,Big 12 Championships,125,L,SV-1,2 - 1,Troy Spratley,73119,22 - 8,Oklahoma State,Kysen Terukina,67143
2024,03/09,Big 12 Championships,125,W,DEC,3 - 2,Stevo Poulin,71929,18 - 6,Northern Colorado,Kysen Terukina,67143
2024,02/11,Northern Iowa - Iowa State Dual,125,L,TB-1,8 - 5,Trever Anderson,76359,11 - 12,Northern Iowa,Kysen Terukina,67143
2024,02/02,West Virginia - Iowa State Dual,125,W,DEC,10 - 7,Jett Strickenberger,74382,18 - 6,West Virginia,Kysen Terukina,67143
2024,01/27,Iowa State - Oklahoma State Dual,125,L,DEC,4 - 2,Troy Spratley,73119,22 - 8,Oklahoma State,Kysen Terukina,67143
2024,01/26,Iowa State - Oklahoma Dual,125,W,SV-1,4 - 1,Conrad Hendriksen,80186,12 - 12,Oklahoma,Kysen Terukina,67143
2024,01/12,Utah Valley - Iowa State Dual,125,W,MD,9 - 1,Yusief Lillie,72995,2 - 12,Utah Valley,Kysen Terukina,67143
2024,01/07,Iowa State - Cal Baptist Dual,125,W,DEC,4 - 2,Eli Griffin,68743,19 - 13,Cal Baptist,Kysen Terukina,67143
2024,01/05,Iowa State - Arizona State Dual,125,W,DEC,12 - 6,Tristan Mascarenas,70010,2 - 5,Arizona State,Kysen Terukina,67143
2024,12/18,Iowa State - Cornell Dual,125,L,FALL,6:34,Greg Diakomihalis,61116,13 - 3,Cornell,Kysen Terukina,67143
2024,12/18,Iowa State - Pittsburgh Dual,125,W,DEC,6 - 4,Colton Camacho,58029,11 - 12,Pittsburgh,Kysen Terukina,67143
2024,12/01,Cliff Keen Invitational,125,L,DEC,12 - 5,Nico Provo,65883,19 - 8,Stanford,Kysen Terukina,67143
2024,12/01,Cliff Keen Invitational,125,W,FALL,3:26,Massey Odiotti,84345,7 - 17,Northwestern,Kysen Terukina,67143
2024,12/01,Cliff Keen Invitational,125,L,SV-1,7 - 4,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Kysen Terukina,67143
2024,11/26,Iowa - Iowa State Dual,125,L,DEC,7 - 2,Drake Ayala,66975,23 - 5,Iowa,Kysen Terukina,67143
2024,11/19,Wisconsin - Iowa State Dual,125,W,MD,14 - 3,Eric Barnett,56753,29 - 8,Wisconsin,Kysen Terukina,67143
2024,11/12,Davidson - Iowa State Dual,125,W,TF5,19 - 4 4:49,Enis Ljikovic,84455,0 - 14,Davidson,Kysen Terukina,67143
2024,11/05,Iowa State - Cleveland State Dual,125,W,TF5,20 - 5 7:00,Benjamin Aranda,71804,11 - 13,Cleveland State,Kysen Terukina,67143
2023,11/20,Grand View (Iowa) - Iowa State Dual,125,W,DEC,5 - 2,Esco Walker,75882,Unlisted,Grand View,Kysen Terukina,67143
2023,11/12,Iowa State - Cal Baptist Dual,125,L,DEC,4 - 2,Eli Griffin,68743,5 - 5,Cal Baptist,Kysen Terukina,67143
2023,11/05,Iowa State - Campbell Dual,125,W,MD,12 - 4,Zak Thompson,71128,1 - 8,Campbell,Kysen Terukina,67143
2023,11/05,Iowa State - Wisconsin Dual,125,W,SV-1,9 - 7,Eric Barnett,56753,23 - 9,Wisconsin,Kysen Terukina,67143
2022,03/17,NCAA Championships,125,L,DEC,6 - 4,Dylan Shawver,61767,22 - 11,Rutgers,Kysen Terukina,67143
2022,03/17,NCAA Championships,125,L,DEC,4 - 2,Trevor Mastrogiovanni,57608,19 - 5,Oklahoma State,Kysen Terukina,67143
2022,03/05,Big 12 Championships,125,L,SV-1,5 - 3,Noah Surtin,56715,20 - 9,Missouri,Kysen Terukina,67143
2022,03/05,Big 12 Championships,125,L,DEC,6 - 5,Brody Teske,52779,14 - 8,Northern Iowa,Kysen Terukina,67143
2022,03/05,Big 12 Championships,125,W,DEC,6 - 2,Lucas Rodriguez,51061,0 - 9,North Dakota State,Kysen Terukina,67143
2022,03/05,Big 12 Championships,125,L,FALL,1:39,Taylor LaMont,44777,12 - 6,Utah Valley,Kysen Terukina,67143
2022,02/16,Iowa State - Missouri Dual,125,L,DEC,7 - 1,Noah Surtin,56715,20 - 9,Missouri,Kysen Terukina,67143
2022,02/11,Iowa State - Northern Iowa Dual,125,L,DEC,6 - 3,Brody Teske,52779,14 - 8,Northern Iowa,Kysen Terukina,67143
2022,02/05,Air Force - Iowa State Dual,125,W,DEC,8 - 6,Jared Van Vleet,51357,10 - 11,Air Force,Kysen Terukina,67143
2022,02/04,West Virginia - Iowa State Dual,125,W,DEC,6 - 5,Killian Cardinale,49268,16 - 3,West Virginia,Kysen Terukina,67143
2022,01/30,Iowa State - Oklahoma State Dual,125,W,DEC,2 - 1,Trevor Mastrogiovanni,57608,19 - 5,Oklahoma State,Kysen Terukina,67143
2022,01/28,Iowa State - Oklahoma Dual,125,L,DEC,6 - 5,Joey Prata,44734,19 - 9,Oklahoma,Kysen Terukina,67143
