Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/23,South Dakota State - North Dakota State Dual,125,W,DEC,3 - 2,Tanner Jordan,57664,24 - 10,South Dakota State,Ezekiel Witt,93201
2025,02/08,Don Parker Open,125,L,DEC,10 - 5,Wyatt Skebba,79470,3 - 7,Wisconsin,Ezekiel Witt,93201
2025,02/08,Don Parker Open,125,W,TF5,21 - 1 7:00,Austin Grzywinski,95314,Unlisted,St Cloud State,Ezekiel Witt,93201
2025,02/08,Don Parker Open,125,W,FALL,2:08,Luke Berktold,97185,Unlisted,Wisconsin-Whitewater,Ezekiel Witt,93201
2025,01/18,Worthington Open,125,W,DEC,8 - 1,Carson Dupill,88519,Unlisted,Jackrabbit Wrestling Club,Ezekiel Witt,93201
2025,01/18,Worthington Open,125,W,FALL,2:40,Isaac Stewart,85309,Unlisted,Mary,Ezekiel Witt,93201
2025,01/18,Worthington Open,125,W,FALL,2:49,Austin Grzywinski,95314,Unlisted,St Cloud State,Ezekiel Witt,93201
2025,01/18,Worthington Open,125,W,FALL,4:08,Leo Edblad,95309,Unlisted,St Cloud State,Ezekiel Witt,93201
2025,12/21,North Dakota State - Wisconsin Dual,125,L,MD,17 - 7,Nicolar Rivera,78438,24 - 7,Wisconsin,Ezekiel Witt,93201
2025,12/21,North Dakota State - Campbell Dual,125,W,FALL,5:13,Anthony Molton,57207,18 - 8,Campbell,Ezekiel Witt,93201
2025,11/09,Bison Open,125,L,TF5,18 - 2 7:00,Tanner Jordan,57664,24 - 10,South Dakota State,Ezekiel Witt,93201
2025,11/09,Bison Open,125,L,MD,12 - 4,Blake Beissel,82489,4 - 6,Minnesota,Ezekiel Witt,93201
2025,11/09,Bison Open,125,W,TF5,17 - 1 7:00,Quincy Hulverson,78579,1 - 6,Minnesota,Ezekiel Witt,93201
2025,11/02,Jimmie Open,125,W,FALL,2:30,Isaac Stewart,85309,Unlisted,Mary,Ezekiel Witt,93201
2025,11/02,Jimmie Open,125,W,DEC,7 - 1,Austin Berry,85308,Unlisted,Mary,Ezekiel Witt,93201
2025,11/02,Jimmie Open,125,W,FALL,2:22,Vinny Mayberry,93675,Unlisted,Sioux Falls,Ezekiel Witt,93201
2025,11/02,Jimmie Open,125,W,FALL,1:50,Mason Gutenberger,94969,Unlisted,Mary,Ezekiel Witt,93201
2025,11/02,Jimmie Open,125,W,FALL,2:30,Isaac Stewart,94958,Unlisted,University of Maryland Baltimore County,Ezekiel Witt,93201
2025,02/08,Don Parker Open,125,W,SV-1,4 - 1,Brandon Board,95338,Unlisted,Augustana,Kody Tanimoto,85100
2025,02/08,Don Parker Open,125,L,TF5,18 - 3 7:00,Drew Dolphin,95193,Unlisted,Wisconsin-Parkside,Kody Tanimoto,85100
2025,02/08,Don Parker Open,125,L,DEC,4 - 2,Keno Vanier,81932,Unlisted,Augsburg,Kody Tanimoto,85100
2025,02/01,Northland Open,133,W,TF5,19 - 2 0:00,Kameron Palmer,95759,Unlisted,Northland Community & Technical College,Kody Tanimoto,85100
2025,02/01,Northland Open,133,W,TF5,20 - 4 0:00,Gabriel Michel,95748,Unlisted,Northland Community & Technical College,Kody Tanimoto,85100
2025,02/01,Northland Open,133,W,SV-1,4 - 1,Brandon Board,95338,Unlisted,Augustana,Kody Tanimoto,85100
2025,02/01,Northland Open,133,W,TF5,17 - 1 0:00,Josiah Crandall,86588,Unlisted,Northland Community & Technical College,Kody Tanimoto,85100
2025,01/18,Worthington Open,125,W,TF5,17 - 2 7:00,Abel Flores,89786,Unlisted,Morningside,Kody Tanimoto,85100
2025,01/18,Worthington Open,125,L,SV-1,4 - 1,Carson Dupill,88519,Unlisted,Jackrabbit Wrestling Club,Kody Tanimoto,85100
2025,01/18,Worthington Open,125,L,SV-1,4 - 1,Austin Grzywinski,95314,Unlisted,St Cloud State,Kody Tanimoto,85100
2025,01/18,Worthington Open,125,W,MFOR,0 - 0,Archer Heelan,76358,Unlisted,St Cloud State,Kody Tanimoto,85100
2025,12/29,Soldier Salute Silver Matches,125,L,DEC,1 - 0,Tucker Bowen,92979,4 - 8,Wyoming,Kody Tanimoto,85100
2025,12/29,Soldier Salute Silver Matches,125,L,MD,13 - 1,Nick Treaster,89471,11 - 12,Navy,Kody Tanimoto,85100
2025,12/29,Soldier Salute Silver Matches,125,W,INJ,2:46,Keyan Hernandez,79395,1 - 4,Iowa,Kody Tanimoto,85100
2025,12/29,Soldier Salute,125,L,MD,13 - 5,Bowen Downey,84485,4 - 7,Northern Iowa,Kody Tanimoto,85100
2025,12/29,Soldier Salute,125,L,MD,14 - 3,Daniel Guanajuato,78629,6 - 2,South Dakota State,Kody Tanimoto,85100
2025,12/07,Dragon Open,125,L,MD,14 - 2,Daniel Guanajuato,78629,6 - 2,South Dakota State,Kody Tanimoto,85100
2025,12/07,Dragon Open,125,L,DEC,12 - 7,Mason Gutenberger,94969,Unlisted,Mary,Kody Tanimoto,85100
2025,11/09,Bison Open,125,L,MFOR,0 - 0,Tristan Daugherty,62877,10 - 16,North Dakota State,Kody Tanimoto,85100
2025,11/09,Bison Open,125,L,MD,11 - 1,Brady Roark,79469,7 - 1,South Dakota State,Kody Tanimoto,85100
2025,11/09,Bison Open,125,L,TF5,15 - 0 7:00,Tanner Jordan,57664,24 - 10,South Dakota State,Kody Tanimoto,85100
2025,11/09,Bison Open,125,L,DEC,4 - 1,Quincy Hulverson,78579,1 - 6,Minnesota,Kody Tanimoto,85100
2025,11/02,Jimmie Open,125,W,DEC,3 - 2,Austin Berry,85308,Unlisted,Mary,Kody Tanimoto,85100
2025,11/02,Jimmie Open,125,L,MD,10 - 1,Mason Gutenberger,94969,Unlisted,Mary,Kody Tanimoto,85100
2025,11/02,Jimmie Open,125,W,DEC,12 - 9,Sloan Johannsen,94934,Unlisted,Northern State University,Kody Tanimoto,85100
2025,02/01,Northland Open,141,W,MFOR,0 - 0,Bentley Williams,95355,Unlisted,Augustana,Sean O'Brien,93761
2025,02/01,Northland Open,141,L,TF5,18 - 2 0:00,Bentley Williams,95355,Unlisted,Augustana,Sean O'Brien,93761
2025,02/01,Northland Open,141,L,TF5,15 - 0 0:00,Ethan Horn,86592,Unlisted,Northland Community & Technical College,Sean O'Brien,93761
2025,12/07,Dragon Open,133,L,TF5,19 - 4 7:00,Logan Swensen,82493,9 - 4,South Dakota State,Sean O'Brien,93761
2025,12/07,Dragon Open,133,L,TF5,15 - 0 7:00,Thurman Christensen,72095,Unlisted,Augustana,Sean O'Brien,93761
2025,11/09,Bison Open,133,L,TF5,15 - 0 7:00,Peyton Moore,77256,1 - 3,North Dakota State,Sean O'Brien,93761
