Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,4 - 1,Caleb Smith,58559,24 - 7,Nebraska,Blake West,73337
2025,03/20,NCAA Championships,125,W,DEC,10 - 8,Maximo Renteria,71870,15 - 9,Oregon State,Blake West,73337
2025,03/20,NCAA Championships,125,L,TF5,19 - 3 6:53,Luke Lilledahl,80223,26 - 3,Penn State,Blake West,73337
2025,03/20,NCAA Championships,125,W,DEC,6 - 5,Max Gallagher,78893,26 - 10,Pennsylvania,Blake West,73337
2025,03/07,MAC Championships,125,W,MD,13 - 2,Travis Clawson,93659,12 - 12,Clarion,Blake West,73337
2025,03/07,MAC Championships,125,W,DEC,5 - 0,Drew Davis,84419,13 - 10,SIU Edwardsville,Blake West,73337
2025,03/07,MAC Championships,125,W,MD,11 - 0,Max Elton,79785,17 - 19,Buffalo,Blake West,73337
2025,02/22,Northern Illinois - Southern Illinois Edwardsville Dual,125,W,DEC,3 - 0,Drew Davis,84419,13 - 10,SIU Edwardsville,Blake West,73337
2025,02/14,Northern Illinois - Cal Poly Dual,125,W,MD,8 - 0,Koda Holeman,73792,19 - 13,Cal Poly,Blake West,73337
2025,02/07,Buffalo - Northern Illinois Dual,125,W,MD,12 - 0,Max Elton,79785,17 - 19,Buffalo,Blake West,73337
2025,01/31,Northern Illinois - Cleveland State Dual,125,W,MD,9 - 1,Benjamin Aranda,71804,13 - 11,Cleveland State,Blake West,73337
2025,01/25,Northern Illinois - Ohio Dual,125,W,MD,15 - 4,Ryan Meek,79652,3 - 15,Ohio,Blake West,73337
2025,01/17,Northern Illinois - Central Michigan Dual,125,W,TF5,15 - 0 6:29,Kaden Chinavare,77647,7 - 10,Central Michigan,Blake West,73337
2025,01/12,Purdue - Northern Illinois Dual,125,L,DEC,5 - 4,Matt Ramos,57134,31 - 3,Purdue,Blake West,73337
