Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,8 - 2,Matt Ramos,57134,31 - 3,Purdue,Trever Anderson,76359
2025,03/20,NCAA Championships,125,W,DEC,4 - 3,Cooper Flynn,72148,16 - 8,Minnesota,Trever Anderson,76359
2025,03/20,NCAA Championships,125,W,MD,17 - 8,Richard Figueroa,61129,17 - 4,Arizona State,Trever Anderson,76359
2025,03/20,NCAA Championships,125,W,DEC,2 - 0,Tristan Daugherty,62877,10 - 16,North Dakota State,Trever Anderson,76359
2025,03/20,NCAA Championships,125,L,DEC,4 - 2,Nicolar Rivera,78438,24 - 7,Wisconsin,Trever Anderson,76359
2025,03/08,Big 12 Championships,125,W,FALL,6:58,Tanner Jordan,57664,24 - 10,South Dakota State,Trever Anderson,76359
2025,03/08,Big 12 Championships,125,L,DEC,4 - 0,Antonio Lorenzo,57329,18 - 11,Oklahoma,Trever Anderson,76359
2025,03/08,Big 12 Championships,125,L,DEC,5 - 1,Stevo Poulin,71929,24 - 6,Northern Colorado,Trever Anderson,76359
2025,03/08,Big 12 Championships,125,W,MD,11 - 3,Kysen Terukina,67143,12 - 3,Iowa State,Trever Anderson,76359
2025,03/08,Big 12 Championships,125,W,DEC,8 - 1,Tucker Owens,71711,4 - 6,Air Force,Trever Anderson,76359
2025,02/23,Patriot Last Chance Open,125,W,MD,11 - 1,Alex Esposito,93322,1 - 12,Rider,Trever Anderson,76359
2025,02/23,Patriot Last Chance Open,125,W,DEC,2 - 0,Abram Cline,84637,13 - 13,Maryland,Trever Anderson,76359
2025,02/23,Patriot Last Chance Open,125,W,MD,15 - 1,Tyler Garvin,84590,5 - 21,Maryland,Trever Anderson,76359
2025,02/21,Northern Iowa - Wisconsin Dual,125,L,DEC,13 - 8,Nicolar Rivera,78438,24 - 7,Wisconsin,Trever Anderson,76359
2025,02/01,Northern Iowa - West Virginia Dual,125,L,DEC,10 - 5,Jett Strickenberger,74382,16 - 8,West Virginia,Trever Anderson,76359
2025,01/25,Oklahoma - Northern Iowa Dual,125,L,DEC,3 - 2,Antonio Lorenzo,57329,18 - 11,Oklahoma,Trever Anderson,76359
2025,01/24,Oklahoma State - Northern Iowa Dual,125,L,DEC,10 - 5,Troy Spratley,73119,24 - 5,Oklahoma State,Trever Anderson,76359
2025,01/17,Northern Iowa - Arizona State Dual,125,L,DEC,11 - 8,Richard Figueroa,61129,17 - 4,Arizona State,Trever Anderson,76359
2025,01/11,Northern Colorado - Northern Iowa Dual,125,L,DEC,8 - 4,Stevo Poulin,71929,24 - 6,Northern Colorado,Trever Anderson,76359
2025,01/10,Ohio - Northern Iowa Dual,125,W,FALL,4:24,Logan Dean,93528,4 - 9,Ohio,Trever Anderson,76359
2025,01/05,Nebraska - Northern Iowa Dual,125,W,DEC,5 - 2,Caleb Smith,58559,24 - 7,Nebraska,Trever Anderson,76359
2025,12/29,Soldier Salute,125,W,DEC,5 - 1,Garret Rinken,78705,8 - 7,Northern Iowa,Trever Anderson,76359
2025,12/29,Soldier Salute,125,W,DEC,9 - 4,Adrian Meza,83499,12 - 6,Iowa State,Trever Anderson,76359
2025,12/29,Soldier Salute,125,W,DEC,10 - 3,Ethan Perryman,78477,13 - 10,Iowa State,Trever Anderson,76359
2025,12/29,Soldier Salute,125,W,MD,8 - 0,Shay Korhorn,79324,3 - 6,Bellarmine,Trever Anderson,76359
2025,12/29,Soldier Salute,125,L,DEC,3 - 2,Jack Parker,71291,15 - 11,Bellarmine,Trever Anderson,76359
2025,12/29,Soldier Salute,125,W,FALL,6:28,Daniel Guanajuato,78629,6 - 2,South Dakota State,Trever Anderson,76359
2025,11/16,Grand View Open,125,W,FALL,6:58,Dante Rigal,87798,Unlisted,Briar Cliff,Trever Anderson,76359
2025,11/16,Grand View Open,125,L,TB-1,3 - 2,Gabe Gonzales,87572,Unlisted,Grand View,Trever Anderson,76359
2025,11/16,Grand View Open,125,W,FALL,0:33,Riece Graham,86659,Unlisted,St Ambrose,Trever Anderson,76359
2025,11/16,Grand View Open,125,W,TF5,16 - 0 7:00,Trentin Walker,81051,Unlisted,Unattached,Trever Anderson,76359
2025,11/16,Grand View Open,125,L,DEC,6 - 5,Jakason Burks,61772,Unlisted,Central Missouri,Trever Anderson,76359
2024,03/09,Big 12 Championships,125,L,DEC,15 - 8,Jett Strickenberger,74382,18 - 6,West Virginia,Trever Anderson,76359
2024,03/09,Big 12 Championships,125,L,DEC,5 - 2,Eli Griffin,68743,19 - 13,Cal Baptist,Trever Anderson,76359
