Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/09,Big Ten Championships 9th place,125,W,TF5,17 - 1 6:31,Tyler Garvin,84590,5 - 21,Maryland,Dedrick Navarro,84344
2025,03/09,Big Ten Championships 9th place,125,L,MD,15 - 3,Brendan McCrone,76350,22 - 11,Ohio State,Dedrick Navarro,84344
2025,03/08,Big Ten Championships,125,W,DEC,3 - 2,Brendan McCrone,76350,22 - 11,Ohio State,Dedrick Navarro,84344
2025,03/08,Big Ten Championships,125,L,TF5,17 - 2 6:05,Caleb Smith,58559,24 - 7,Nebraska,Dedrick Navarro,84344
2025,03/08,Big Ten Championships,125,L,MD,10 - 0,Cooper Flynn,72148,16 - 8,Minnesota,Dedrick Navarro,84344
2025,02/23,Patriot Last Chance Open,125,W,TF5,16 - 1 7:00,Kaedyn Williams,84379,Unlisted,Unattached,Dedrick Navarro,84344
2025,02/23,Patriot Last Chance Open,125,W,DEC,7 - 1,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Dedrick Navarro,84344
2025,02/23,Patriot Last Chance Open,125,W,FALL,3:45,Logan Wadle,78658,3 - 10,Lehigh,Dedrick Navarro,84344
2025,02/16,Northwestern - Iowa Dual,125,L,DEC,6 - 1,Joey Cruz,73188,12 - 13,Iowa,Dedrick Navarro,84344
2025,02/14,Wisconsin - Northwestern Dual,125,L,MD,11 - 2,Nicolar Rivera,78438,24 - 7,Wisconsin,Dedrick Navarro,84344
2025,02/07,Michigan State - Northwestern Dual,125,W,MD,13 - 2,Caleb Weiand,79429,13 - 18,Michigan State,Dedrick Navarro,84344
2025,01/26,Minnesota - Northwestern Dual,125,W,FALL,4:22,Quincy Hulverson,78579,1 - 6,Minnesota,Dedrick Navarro,84344
2025,01/17,Michigan - Northwestern Dual,125,W,MD,14 - 0,Wilfred Tanefeu,73461,0 - 6,Michigan,Dedrick Navarro,84344
2025,01/12,Northwestern - Illinois Dual,125,W,MD,11 - 1,Caelan Riley,73733,5 - 16,Illinois,Dedrick Navarro,84344
2025,01/10,Northwestern - Purdue Dual,125,L,TF5,20 - 4 5:00,Matt Ramos,57134,31 - 3,Purdue,Dedrick Navarro,84344
