Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,4 - 1,Spencer Moore,68720,18 - 9,North Carolina,Brendan McCrone,76350
2025,03/20,NCAA Championships,125,W,MD,12 - 4,Joey Cruz,73188,12 - 13,Iowa,Brendan McCrone,76350
2025,03/20,NCAA Championships,125,L,DEC,4 - 3,Marc-Anthony McGowan,79468,16 - 4,Princeton,Brendan McCrone,76350
2025,03/09,Big Ten Championships 9th place,125,W,MD,15 - 3,Dedrick Navarro,84344,18 - 13,Northwestern,Brendan McCrone,76350
2025,03/09,Big Ten Championships 9th place,125,W,DEC,8 - 1,Joey Cruz,73188,12 - 13,Iowa,Brendan McCrone,76350
2025,03/08,Big Ten Championships,125,L,MD,14 - 4,Nicolar Rivera,78438,24 - 7,Wisconsin,Brendan McCrone,76350
2025,03/08,Big Ten Championships,125,L,DEC,3 - 2,Dedrick Navarro,84344,18 - 13,Northwestern,Brendan McCrone,76350
2025,02/14,Penn State - Ohio State Dual,125,W,FALL,3:58,Luke Lilledahl,80223,26 - 3,Penn State,Brendan McCrone,76350
2025,02/09,Ohio State - Indiana Dual,125,L,DEC,3 - 2,Jacob Moran,63550,26 - 11,Indiana,Brendan McCrone,76350
2025,02/07,Minnesota - Ohio State Dual,125,W,MD,9 - 0,Cooper Flynn,72148,16 - 8,Minnesota,Brendan McCrone,76350
2025,02/01,Ohio State - Michigan Dual,125,W,MD,12 - 3,Christian Tanefeu,73460,8 - 12,Michigan,Brendan McCrone,76350
2025,01/25,Ohio State - Iowa Dual,125,L,DEC,6 - 5,Joey Cruz,73188,12 - 13,Iowa,Brendan McCrone,76350
2025,01/19,Purdue - Ohio State Dual,125,L,DEC,3 - 0,Matt Ramos,57134,31 - 3,Purdue,Brendan McCrone,76350
2025,01/12,Rutgers - Ohio State Dual,125,L,DEC,11 - 4,Dean Peterson,72936,22 - 8,Rutgers,Brendan McCrone,76350
2025,01/10,Ohio State - Illinois Dual,125,W,DEC,5 - 0,Caelan Riley,73733,5 - 16,Illinois,Brendan McCrone,76350
2025,01/05,Oregon State - Ohio State Dual,125,L,DEC,6 - 5,Maximo Renteria,71870,15 - 9,Oregon State,Brendan McCrone,76350
2025,12/21,Lock Haven - Ohio State Dual,125,W,TF5,16 - 0 3:00,Lucas Fye,85081,4 - 11,Lock Haven,Brendan McCrone,76350
2025,12/21,Ohio State - Iowa State Dual,125,W,FALL,2:28,Ethan Perryman,78477,13 - 10,Iowa State,Brendan McCrone,76350
2025,12/13,Ohio State - Pittsburgh Dual,125,W,MD,8 - 0,Matt Marlow,85117,8 - 6,Pittsburgh,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,W,MD,8 - 0,Marcello Milani,78106,16 - 14,Cornell,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,L,DEC,3 - 0,Troy Spratley,73119,24 - 5,Oklahoma State,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,L,SV-1,6 - 3,Caleb Smith,58559,24 - 7,Nebraska,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,W,FALL,1:49,Adrian Meza,83499,12 - 6,Iowa State,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,W,FALL,4:21,Maximo Renteria,71870,15 - 9,Oregon State,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,W,FALL,2:25,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Brendan McCrone,76350
2025,12/06,Cliff Keen Invitational,125,W,FALL,4:40,Sulayman Bah,79305,18 - 16,Columbia,Brendan McCrone,76350
2025,11/24,Hofstra - Ohio State Dual,125,W,FALL,2:26,Dylan Acevedo-Switzer,73023,5 - 18,Hofstra,Brendan McCrone,76350
2025,11/17,Ohio State - Edinboro Dual,125,W,MD,8 - 0,Chris Vargo,85069,19 - 13,Edinboro,Brendan McCrone,76350
2025,11/14,Chattanooga - Ohio State Dual,125,W,TF5,16 - 0 7:00,Ty Tice,84391,7 - 19,Chattanooga,Brendan McCrone,76350
2025,11/03,Clarion Open,125,W,DEC,4 - 0,Keanu Dillard,94449,Unlisted,High School,Brendan McCrone,76350
2025,11/03,Clarion Open,125,W,DEC,5 - 3,Vincent Kilkeary,74118,5 - 1,Ohio State,Brendan McCrone,76350
2025,11/03,Clarion Open,125,W,FALL,1:26,Austin Zimmerman,93050,5 - 14,Edinboro,Brendan McCrone,76350
2025,11/03,Clarion Open,125,W,DEC,5 - 1,Matt Marlow,85117,8 - 6,Pittsburgh,Brendan McCrone,76350
2025,11/03,Clarion Open,125,W,TF5,18 - 1 2:09,Jack Parker,71291,15 - 11,Bellarmine,Brendan McCrone,76350
2024,03/21,NCAA Championships,125,L,DEC,12 - 6,Nico Provo,65883,19 - 8,Stanford,Brendan McCrone,76350
2024,03/21,NCAA Championships,125,W,MD,14 - 0,Noah Surtin,56715,15 - 6,Missouri,Brendan McCrone,76350
2024,03/21,NCAA Championships,125,L,DEC,4 - 3,Matt Ramos,57134,27 - 7,Purdue,Brendan McCrone,76350
2024,03/09,Big Ten Championships,125,L,DEC,3 - 2,Dean Peterson,72936,15 - 9,Rutgers,Brendan McCrone,76350
2024,03/09,Big Ten Championships,125,L,FALL,1:46,Drake Ayala,66975,23 - 5,Iowa,Brendan McCrone,76350
2024,03/09,BIG True Matches,125,L,DEC,5 - 0,Tristan Lujan,63015,17 - 17,Michigan State,Brendan McCrone,76350
2024,03/09,BIG True Matches,125,W,MD,15 - 6,Blaine Frazier,78575,9 - 17,Indiana,Brendan McCrone,76350
2024,02/16,Ohio State - Michigan State Dual,125,W,DEC,4 - 1,Tristan Lujan,63015,17 - 17,Michigan State,Brendan McCrone,76350
2024,02/11,Indiana - Ohio State Dual,125,W,MD,14 - 4,Blaine Frazier,78575,9 - 17,Indiana,Brendan McCrone,76350
2024,02/04,Ohio State - Rutgers Dual,125,W,DEC,7 - 1,Dean Peterson,72936,15 - 9,Rutgers,Brendan McCrone,76350
2024,01/26,Michigan - Ohio State Dual,125,L,TF5,16 - 1 6:05,Michael DeAugustino,56007,12 - 8,Michigan,Brendan McCrone,76350
2024,01/21,Ohio State - Wisconsin Dual,125,L,FALL,0:32,Eric Barnett,56753,29 - 8,Wisconsin,Brendan McCrone,76350
2024,01/19,Maryland - Ohio State Dual,125,W,MD,10 - 1,Tommy Capul,73318,4 - 14,Maryland,Brendan McCrone,76350
2024,01/12,Illinois - Ohio State Dual,125,W,FALL,1:23,Justin Cardani,51687,4 - 12,Illinois,Brendan McCrone,76350
