Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,01/25,Appalachian Open,125,L,FALL,0:29,Cam Stinson,84378,12 - 7,North Carolina,Logan Dean,93528
2025,01/25,Appalachian Open,125,W,TF5,23 - 3 7:00,Marcus Tyson,93730,2 - 4,NC State,Logan Dean,93528
2025,01/25,Appalachian Open,125,L,DEC,4 - 2,Riley Rowan,93754,4 - 9,Duke,Logan Dean,93528
2025,01/25,Appalachian Open,125,W,SV-1,18 - 14,Easton Cooper,93008,2 - 8,Chattanooga,Logan Dean,93528
2025,01/25,Appalachian Open,125,W,DEC,12 - 10,Anthony Rossi,85124,8 - 6,Virginia,Logan Dean,93528
2025,01/11,Ohio - George Mason Dual,125,W,DEC,9 - 6,JB Dragovich,78828,14 - 13,George Mason,Logan Dean,93528
2025,01/11,Ohio - Cal Poly Dual,125,L,FALL,0:36,Koda Holeman,73792,19 - 13,Cal Poly,Logan Dean,93528
2025,01/10,Ohio - Central Michigan Dual,125,L,DEC,9 - 4,Kaden Chinavare,77647,7 - 10,Central Michigan,Logan Dean,93528
2025,01/10,Ohio - Northern Iowa Dual,125,L,FALL,4:24,Trever Anderson,76359,17 - 11,Northern Iowa,Logan Dean,93528
2025,01/10,Ohio - Pennsylvania Dual,125,L,TF5,21 - 2 7:00,Max Gallagher,78893,26 - 10,Pennsylvania,Logan Dean,93528
2025,12/07,Cleveland State Open,125,L,DEC,5 - 4,Billy Smith,75818,Unlisted,Findlay,Logan Dean,93528
2025,12/07,Cleveland State Open,125,L,TF5,19 - 3 6:57,Ethan Perryman,78477,13 - 10,Iowa State,Logan Dean,93528
2025,11/09,Michigan State Open,125,L,DEC,12 - 5,Nico Calello,73713,13 - 11,Kent State,Logan Dean,93528
2025,11/09,Michigan State Open,125,L,FALL,1:05,Chris Vargo,85069,19 - 13,Edinboro,Logan Dean,93528
2025,11/09,Michigan State Open,125,W,FALL,2:38,Roan Cooper,86144,Unlisted,Davenport,Logan Dean,93528
2025,02/23,Ohio - Buffalo Dual,125,L,DEC,5 - 2,Max Elton,79785,17 - 19,Buffalo,Malachi O'Leary,78919
2025,02/07,Kent State - Ohio Dual,125,W,DEC,11 - 5,Nico Calello,73713,13 - 11,Kent State,Malachi O'Leary,78919
2025,01/19,Purple Raider Open,125,L,CMFF,0 - 0,Drew Hensen,93545,6 - 8,Michigan State,Malachi O'Leary,78919
2025,01/19,Purple Raider Open,125,W,DEC,7 - 5,Billy Smith,75818,Unlisted,Findlay,Malachi O'Leary,78919
2025,01/19,Purple Raider Open,125,L,FALL,6:42,Colyn Limbert,85116,12 - 9,Pittsburgh,Malachi O'Leary,78919
2025,01/19,Purple Raider Open,125,W,FALL,3:38,Cody Tanner,93674,5 - 12,VMI,Malachi O'Leary,78919
2025,11/23,Navy Classic,125,L,DEC,5 - 4,Ethan Smith,84634,3 - 4,Lehigh,Malachi O'Leary,78919
2025,11/23,Navy Classic,125,L,MD,15 - 2,Malik Hardy,73357,8 - 6,The Citadel,Malachi O'Leary,78919
