Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,TB-1,2 - 1,Vincent Robinson,78062,24 - 3,NC State,Troy Spratley,73119
2025,03/20,NCAA Championships,125,W,TB-1,6 - 4,Eddie Ventresca,62357,22 - 5,Virginia Tech,Troy Spratley,73119
2025,03/20,NCAA Championships,125,W,DEC,5 - 2,Matt Ramos,57134,31 - 3,Purdue,Troy Spratley,73119
2025,03/20,NCAA Championships,125,W,DEC,2 - 1,Stevo Poulin,71929,24 - 6,Northern Colorado,Troy Spratley,73119
2025,03/20,NCAA Championships,125,W,TF5,15 - 0 4:18,Keyveon Roller,73139,14 - 9,Virginia,Troy Spratley,73119
2025,03/08,Big 12 Championships,125,L,SV-1,5 - 2,Jett Strickenberger,74382,16 - 8,West Virginia,Troy Spratley,73119
2025,03/08,Big 12 Championships,125,W,DEC,2 - 0,Tristan Daugherty,62877,10 - 16,North Dakota State,Troy Spratley,73119
2025,03/08,Big 12 Championships,125,W,MD,10 - 0,Tanner Jordan,57664,24 - 10,South Dakota State,Troy Spratley,73119
2025,03/08,Big 12 Championships,125,W,DEC,9 - 2,Gage Walker,84476,11 - 11,Missouri,Troy Spratley,73119
2025,02/23,Oklahoma State - Iowa Dual,125,W,MD,17 - 3,Joey Cruz,73188,12 - 13,Iowa,Troy Spratley,73119
2025,02/08,Oklahoma State - Little Rock Dual,125,W,TF5,18 - 1 4:11,Jayden Carson,62838,3 - 13,Little Rock,Troy Spratley,73119
2025,02/02,Missouri - Oklahoma State Dual,125,W,MD,10 - 1,Gage Walker,84476,11 - 11,Missouri,Troy Spratley,73119
2025,01/26,Oklahoma State - Iowa State Dual,125,W,MD,20 - 10,Ethan Perryman,78477,13 - 10,Iowa State,Troy Spratley,73119
2025,01/24,Oklahoma State - Northern Iowa Dual,125,W,DEC,10 - 5,Trever Anderson,76359,17 - 11,Northern Iowa,Troy Spratley,73119
2025,01/19,West Virginia - Oklahoma State Dual,125,L,FALL,2:52,Jett Strickenberger,74382,16 - 8,West Virginia,Troy Spratley,73119
2025,01/13,NC State - Oklahoma State Dual,125,L,DEC,7 - 3,Vincent Robinson,78062,24 - 3,NC State,Troy Spratley,73119
2025,01/03,Air Force - Oklahoma State Dual,125,W,TF5,20 - 3 5:26,Robert Wright,81230,9 - 9,Air Force,Troy Spratley,73119
2025,12/19,Virginia Tech - Oklahoma State Dual,125,W,MD,10 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Troy Spratley,73119
2025,12/13,Oklahoma State - Oklahoma Dual,125,W,MD,10 - 1,Antonio Lorenzo,57329,18 - 11,Oklahoma,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,W,TF5,17 - 2 4:16,Kyle Gollhofer,57224,11 - 8,Northern Iowa,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,W,DEC,3 - 0,Brendan McCrone,76350,22 - 11,Ohio State,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,W,DEC,2 - 0,Caleb Smith,58559,24 - 7,Nebraska,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,W,FALL,1:21,Jace Schafer,73377,10 - 6,West Virginia,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,L,DEC,5 - 2,Matt Ramos,57134,31 - 3,Purdue,Troy Spratley,73119
2025,12/06,Cliff Keen Invitational,125,W,MD,12 - 3,Maximo Renteria,71870,15 - 9,Oregon State,Troy Spratley,73119
