Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,01/04,Southern Scuffle,125,L,DEC,8 - 7,Keyveon Roller,73139,14 - 9,Virginia,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,W,DEC,5 - 4,Kurt McHenry,56182,7 - 4,Penn State,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,L,DEC,2 - 0,Spencer Moore,68720,18 - 9,North Carolina,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,W,MD,17 - 8,Cooper Shore,84285,18 - 3,Campbell,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,W,DEC,4 - 2,Nain Vasquez,76010,10 - 7,Army West Point,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,W,MD,14 - 4,Ty Tice,84391,7 - 19,Chattanooga,Beric Jordan,84763
2025,01/04,Southern Scuffle,125,W,DEC,11 - 7,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Beric Jordan,84763
2025,12/21,Southeast Community College - Oklahoma Dual,125,W,TF5,17 - 2 3:04,Trevon Oehme,95038,Unlisted,Southeast Community College,Beric Jordan,84763
2025,12/21,Chattanooga - Oklahoma Dual,133,L,MD,15 - 4,Blake Boarman,70737,20 - 8,Chattanooga,Beric Jordan,84763
2025,11/24,Roadrunner Open,125,W,FALL,2:57,Slater Hicks,99031,Unlisted,Unattached,Beric Jordan,84763
2025,11/24,Roadrunner Open,125,W,TF5,15 - 0 7:00,Eathon Rider,67395,0 - 3,CSU Bakersfield,Beric Jordan,84763
2025,11/24,Roadrunner Open,125,W,MD,11 - 2,Koda Holeman,73792,19 - 13,Cal Poly,Beric Jordan,84763
2025,11/24,Roadrunner Open,125,W,DEC,10 - 3,Mitchell Neiner,83540,5 - 18,Cal Baptist,Beric Jordan,84763
2025,11/17,Daktronics Invitational,125,W,MD,14 - 5,Blake Beissel,82489,4 - 6,Minnesota,Beric Jordan,84763
2025,11/17,Daktronics Invitational,125,W,MD,20 - 6,Quincy Hulverson,78579,1 - 6,Minnesota,Beric Jordan,84763
2025,11/17,Daktronics Invitational,125,W,FALL,6:58,Nico Tocci,73466,3 - 8,Air Force,Beric Jordan,84763
2025,11/17,Daktronics Invitational,125,W,CMFF,0 - 0,Brady Roark,79469,7 - 1,South Dakota State,Beric Jordan,84763
2025,12/08,Bob Smith Open,125,W,DEC,4 - 2,Dale O'Bilia,99943,Unlisted,EAP,Conrad Hendriksen,80186
2025,12/08,Bob Smith Open,125,W,TF5,17 - 1 7:00,Ernest Grant,96786,Unlisted,York,Conrad Hendriksen,80186
2025,12/08,Bob Smith Open,125,W,DEC,4 - 2,Alan Koehler,77147,7 - 5,Nebraska,Conrad Hendriksen,80186
2025,12/08,Bob Smith Open,125,W,DEC,2 - 1,Rhys Sellers,81264,Unlisted,CSU-Pueblo,Conrad Hendriksen,80186
2025,12/08,Bob Smith Open,125,W,TF5,21 - 6 7:00,Allan Stokes,84880,Unlisted,Fort Hays State,Conrad Hendriksen,80186
2024,03/09,Big 12 Championships,125,L,SV-1,4 - 1,Yusief Lillie,72995,2 - 12,Utah Valley,Conrad Hendriksen,80186
2024,03/09,Big 12 Championships,125,L,DEC,6 - 2,Kysen Terukina,67143,14 - 10,Iowa State,Conrad Hendriksen,80186
2024,02/18,Oklahoma - Oklahoma State Dual,125,L,FALL,1:03,Troy Spratley,73119,22 - 8,Oklahoma State,Conrad Hendriksen,80186
2024,02/09,South Dakota State - Oklahoma Dual,125,L,DEC,4 - 0,Tanner Jordan,57664,26 - 12,South Dakota State,Conrad Hendriksen,80186
2024,01/27,Northern Iowa - Oklahoma Dual,125,W,DEC,7 - 6,Trever Anderson,76359,11 - 12,Northern Iowa,Conrad Hendriksen,80186
2024,01/26,Iowa State - Oklahoma Dual,125,L,SV-1,4 - 1,Kysen Terukina,67143,14 - 10,Iowa State,Conrad Hendriksen,80186
2024,01/12,Wisconsin - Oklahoma Dual,125,L,MD,14 - 2,Eric Barnett,56753,29 - 8,Wisconsin,Conrad Hendriksen,80186
2024,01/12,Navy - Oklahoma Dual,125,W,TF5,18 - 2 7:00,Grant Treaster,63154,2 - 6,Navy,Conrad Hendriksen,80186
2024,01/01,Southern Scuffle,125,L,MD,8 - 0,Nico Provo,65883,19 - 8,Stanford,Conrad Hendriksen,80186
2024,01/01,Southern Scuffle,125,L,MD,14 - 3,Ethan Berginc,71779,24 - 11,Army West Point,Conrad Hendriksen,80186
