Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,10 - 8,Blake West,73337,24 - 7,Northern Illinois,Maximo Renteria,71870
2025,03/20,NCAA Championships,125,W,DEC,7 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Maximo Renteria,71870
2025,03/20,NCAA Championships,125,L,DEC,7 - 6,Jacob Moran,63550,26 - 11,Indiana,Maximo Renteria,71870
2025,03/06,PAC 12 Championships,125,W,MD,11 - 2,Koda Holeman,73792,19 - 13,Cal Poly,Maximo Renteria,71870
2025,03/06,PAC 12 Championships,125,W,MD,11 - 2,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Maximo Renteria,71870
2025,02/23,North Carolina - Oregon State Dual,125,L,SV-1,9 - 6,Spencer Moore,68720,18 - 9,North Carolina,Maximo Renteria,71870
2025,02/07,Oregon State - Cal Poly Dual,125,L,SV-1,3 - 0,Koda Holeman,73792,19 - 13,Cal Poly,Maximo Renteria,71870
2025,01/24,Oregon State - Little Rock Dual,125,W,DEC,3 - 1,Jayden Carson,62838,3 - 13,Little Rock,Maximo Renteria,71870
2025,01/19,Wyoming - Oregon State Dual,125,W,DEC,10 - 3,Garrett Ricks,67111,6 - 9,Wyoming,Maximo Renteria,71870
2025,01/05,Oregon State - Ohio State Dual,125,W,DEC,6 - 5,Brendan McCrone,76350,22 - 11,Ohio State,Maximo Renteria,71870
2025,12/20,Oregon State - Utah Valley Dual,125,W,DEC,2 - 0,Talen Eck,93479,1 - 2,Utah Valley,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,W,DEC,8 - 2,Adrian Meza,83499,12 - 6,Iowa State,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,L,FALL,4:21,Brendan McCrone,76350,22 - 11,Ohio State,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,L,MD,12 - 3,Troy Spratley,73119,24 - 5,Oklahoma State,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,L,DEC,4 - 2,Caleb Smith,58559,24 - 7,Nebraska,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,W,DEC,3 - 2,Tanner Jordan,57664,24 - 10,South Dakota State,Maximo Renteria,71870
2025,12/06,Cliff Keen Invitational,125,W,DEC,5 - 4,Kyle Gollhofer,57224,11 - 8,Northern Iowa,Maximo Renteria,71870
2025,11/23,Navy Classic,125,W,DEC,4 - 0,Ethan Smith,84634,3 - 4,Lehigh,Maximo Renteria,71870
2025,11/23,Navy Classic,125,W,SV-1,6 - 3,Alan Koehler,77147,7 - 5,Nebraska,Maximo Renteria,71870
2025,11/23,Navy Classic,125,L,DEC,4 - 3,Caleb Smith,58559,24 - 7,Nebraska,Maximo Renteria,71870
2025,11/23,Navy Classic,125,W,MD,15 - 5,Malik Hardy,73357,8 - 6,The Citadel,Maximo Renteria,71870
2025,11/17,Oklahoma State - Oregon State Dual,125,L,SV-1,7 - 4,Troy Spratley,73119,24 - 5,Oklahoma State,Maximo Renteria,71870
2025,11/08,Oregon State - North Dakota State Dual,125,W,DEC,7 - 0,Tristan Daugherty,62877,10 - 16,North Dakota State,Maximo Renteria,71870
2025,11/02,Iowa - Oregon State Dual,125,W,DEC,7 - 3,Joey Cruz,73188,12 - 13,Iowa,Maximo Renteria,71870
2024,02/10,Oregon State - Wyoming Dual,125,W,FALL,1:38,Dylan Catlin,77321,1 - 2,Wyoming,Maximo Renteria,71870
2024,02/04,Oregon State - Arizona State Dual,125,W,DEC,9 - 5,Richard Figueroa,61129,15 - 5,Arizona State,Maximo Renteria,71870
2024,12/15,Oregon State - CSU Bakersfield Dual,133,W,MD,11 - 2,Santino Sanchez,79001,6 - 17,CSU Bakersfield,Maximo Renteria,71870
2024,11/04,Menlo Open,125,W,FALL,2:23,Bobby Cisneros,85816,Unlisted,Unattached,Maximo Renteria,71870
2024,11/04,Menlo Open,125,W,DEC,7 - 4,Jacob Mendoza,63685,Unlisted,Menlo,Maximo Renteria,71870
2024,11/04,Menlo Open,125,W,MD,18 - 5,Koda Holeman,73792,3 - 8,Cal Poly,Maximo Renteria,71870
2023,03/05,Big Ten True Matches,125,L,DEC,10 - 4,Jacob Moran,63550,16 - 15,Indiana,Maximo Renteria,71870
2023,03/04,Big Ten Championships,125,L,MD,18 - 7,Jacob Moran,63550,16 - 15,Indiana,Maximo Renteria,71870
2023,03/04,Big Ten Championships,125,L,FALL,4:09,Eric Barnett,56753,23 - 9,Wisconsin,Maximo Renteria,71870
2023,02/12,Illinois - Iowa State Dual,125,L,SV-1,6 - 4,Caleb Fuessley,62605,5 - 10,Iowa State,Maximo Renteria,71870
2023,02/05,Illinois - Michigan State Dual,125,W,DEC,5 - 1,Benny Gomez,47503,5 - 6,Michigan State,Maximo Renteria,71870
2023,02/03,Nebraska - Illinois Dual,125,L,MD,18 - 7,Liam Cronin,45061,23 - 6,Nebraska,Maximo Renteria,71870
2023,01/28,Illinois - Minnesota Dual,125,L,MD,14 - 2,Patrick McKee,50594,14 - 9,Minnesota,Maximo Renteria,71870
2023,01/22,Maryland - Illinois Dual,125,L,DEC,13 - 9,Braxton Brown,72103,24 - 8,Maryland,Maximo Renteria,71870
2023,01/20,Illinois - Northwestern Dual,125,L,MD,10 - 1,Michael DeAugustino,56007,9 - 9,Northwestern,Maximo Renteria,71870
2023,01/14,Purdue - Illinois Dual,125,L,DEC,3 - 2,Matt Ramos,57134,33 - 5,Purdue,Maximo Renteria,71870
2023,01/08,Wisconsin - Illinois Dual,125,L,DEC,7 - 1,Eric Barnett,56753,23 - 9,Wisconsin,Maximo Renteria,71870
2023,01/06,Illinois - Iowa Dual,125,L,FALL,2:22,Spencer Lee,49146,20 - 1,Iowa,Maximo Renteria,71870
2023,12/03,Pittsburgh - Illinois Dual,125,L,FALL,5:15,Colton Camacho,58029,17 - 9,Pittsburgh,Maximo Renteria,71870
2023,12/03,Chattanooga - Illinois Dual,125,W,FALL,5:40,Logan Ashton,57605,4 - 18,Chattanooga,Maximo Renteria,71870
2023,11/18,Illinois - North Carolina State Dual,125,L,DEC,3 - 1,Jarrett Trombley,50807,15 - 8,NC State,Maximo Renteria,71870
2023,11/18,Illinois - Buffalo Dual,125,W,DEC,7 - 4,Patrick Adams,72223,3 - 7,Buffalo,Maximo Renteria,71870
2023,11/05,Michigan State Open,125,L,MFOR,0 - 0,Christian Tanefeu,73460,1 - 5,Michigan,Maximo Renteria,71870
2023,11/05,Michigan State Open,125,W,DEC,4 - 2,Oscar Sanchez,57320,13 - 18,Ohio,Maximo Renteria,71870
2023,11/05,Michigan State Open,125,L,DEC,6 - 5,Joey Prata,44734,20 - 11,Oklahoma,Maximo Renteria,71870
2022,02/05,Don Parker Invitational,125,W,FALL,3:13,Rocco Visci,76098,Unlisted,Rochester Community & Tech College,Maximo Renteria,71870
2022,02/05,Don Parker Invitational,125,W,TF5,19 - 1 7:00,Isaiah Graves,74585,Unlisted,Nebraska Wesleyan,Maximo Renteria,71870
2022,02/05,Don Parker Invitational,125,W,FALL,1:10,Miguel Garcia,70374,Unlisted,Luther,Maximo Renteria,71870
2022,02/05,Don Parker Invitational,125,W,MD,10 - 1,Robby Horsman,56904,Unlisted,St Cloud State,Maximo Renteria,71870
2022,12/29,Illinois Matmen Open,125,L,FALL,3:12,Colton Camacho,58029,10 - 5,Pittsburgh,Maximo Renteria,71870
2022,12/29,Illinois Matmen Open,125,L,FALL,3:48,Zurich Storm,50138,5 - 5,Campbell,Maximo Renteria,71870
2022,12/11,UNI Open,125,L,DEC,8 - 7,Caleb Fuessley,62605,4 - 7,Iowa State,Maximo Renteria,71870
2022,12/11,UNI Open,125,L,FALL,1:41,Patrick McKee,50594,22 - 9,Minnesota,Maximo Renteria,71870
2022,12/11,UNI Open,125,L,MD,16 - 7,Drake Ayala,66975,16 - 8,Iowa,Maximo Renteria,71870
2022,11/06,Michigan State Open,125,L,SV-1,14 - 12,Trevor Marsman,74303,Unlisted,Cornerstone,Maximo Renteria,71870
2022,11/06,Michigan State Open,125,W,FALL,5:32,AJ Crews,73761,0 - 2,Ohio State,Maximo Renteria,71870
2022,11/06,Michigan State Open,125,L,MFOR,0 - 0,Zachary Soda,72220,1 - 6,Edinboro,Maximo Renteria,71870
2025,02/23,North Carolina - Oregon State Dual,133,L,MD,12 - 4,Ethan Oakley,62754,22 - 7,North Carolina,Gage Singleton,93533
2025,12/22,Reno TOC,125,L,MFOR,0 - 0,Hunter Taylor,79558,2 - 2,Oregon State,Gage Singleton,93533
2025,12/22,Reno TOC,125,W,DEC,4 - 1,Tucker Bowen,92979,4 - 8,Wyoming,Gage Singleton,93533
2025,12/22,Reno TOC,125,W,DEC,10 - 5,Ane'e Vigil,88310,Unlisted,Clackamas Community College,Gage Singleton,93533
2025,12/22,Reno TOC,125,L,DEC,8 - 4,Sefton Douglass,78673,Unlisted,Western Wyoming College,Gage Singleton,93533
2025,12/22,Reno TOC,125,W,TF5,17 - 2 2:06,Tanner Bartonico,94089,Unlisted,San Francisco State,Gage Singleton,93533
