Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,W,FALL,6:18,Matt Ramos,57134,31 - 3,Purdue,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,W,SV-1,4 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,W,DEC,3 - 0,Stevo Poulin,71929,24 - 6,Northern Colorado,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,W,DEC,7 - 3,Nicolar Rivera,78438,24 - 7,Wisconsin,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,L,TB-3,3 - 2,Sheldon Seymour,62339,24 - 6,Lehigh,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,W,TF5,19 - 3 6:53,Blake West,73337,24 - 7,Northern Illinois,Luke Lilledahl,80223
2025,03/20,NCAA Championships,125,W,TF5,19 - 4 4:25,Marcello Milani,78106,16 - 14,Cornell,Luke Lilledahl,80223
2025,03/08,Big Ten Championships,125,W,DEC,4 - 3,Caleb Smith,58559,24 - 7,Nebraska,Luke Lilledahl,80223
2025,03/08,Big Ten Championships,125,W,MD,12 - 4,Matt Ramos,57134,31 - 3,Purdue,Luke Lilledahl,80223
2025,03/08,Big Ten Championships,125,W,MD,11 - 1,Joey Cruz,73188,12 - 13,Iowa,Luke Lilledahl,80223
2025,03/08,Big Ten Championships,125,W,FALL,4:09,Caelan Riley,73733,5 - 16,Illinois,Luke Lilledahl,80223
2025,02/21,American - Penn State Dual,125,W,TF5,20 - 3 5:11,Coen Bainey,78808,13 - 13,American,Luke Lilledahl,80223
2025,02/16,Penn State - Illinois Dual,125,W,TF5,19 - 4 4:19,Caelan Riley,73733,5 - 16,Illinois,Luke Lilledahl,80223
2025,02/14,Penn State - Ohio State Dual,125,L,FALL,3:58,Brendan McCrone,76350,22 - 11,Ohio State,Luke Lilledahl,80223
2025,02/09,Maryland - Penn State Dual,125,W,TF5,20 - 4 3:42,Tyler Garvin,84590,5 - 21,Maryland,Luke Lilledahl,80223
2025,02/07,Michigan - Penn State Dual,125,W,FALL,5:38,Christian Tanefeu,73460,8 - 12,Michigan,Luke Lilledahl,80223
2025,01/31,Iowa - Penn State Dual,125,W,TF5,22 - 6 6:43,Joey Cruz,73188,12 - 13,Iowa,Luke Lilledahl,80223
2025,01/24,Penn State - Rutgers Dual,125,L,DEC,4 - 1,Dean Peterson,72936,22 - 8,Rutgers,Luke Lilledahl,80223
2025,01/17,Penn State - Nebraska Dual,125,W,DEC,4 - 2,Caleb Smith,58559,24 - 7,Nebraska,Luke Lilledahl,80223
2025,01/10,Michigan State - Penn State Dual,125,W,TF5,19 - 2 6:08,Nick Corday,70986,7 - 8,Michigan State,Luke Lilledahl,80223
2025,12/22,Penn State - Missouri Dual,125,W,DEC,5 - 4,Gage Walker,84476,11 - 11,Missouri,Luke Lilledahl,80223
2025,12/22,Penn State - Binghamton Dual,125,W,TF5,19 - 4 5:37,Carson Wagner,78720,23 - 12,Binghamton,Luke Lilledahl,80223
2025,12/22,Little Rock - Penn State Dual,125,W,DEC,9 - 3,Jayden Carson,62838,3 - 13,Little Rock,Luke Lilledahl,80223
2025,12/15,Wyoming - Penn State Dual,125,W,TF5,20 - 5 4:25,John Braman,92867,0 - 3,Wyoming,Luke Lilledahl,80223
2025,12/08,Penn State - Lehigh Dual,125,W,DEC,4 - 1,Sheldon Seymour,62339,24 - 6,Lehigh,Luke Lilledahl,80223
2025,11/24,Black Knight Invite,125,W,TF5,19 - 4 5:38,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Luke Lilledahl,80223
2025,11/24,Black Knight Invite,125,W,DEC,8 - 2,Kurt McHenry,56182,7 - 4,Penn State,Luke Lilledahl,80223
2025,11/24,Black Knight Invite,125,W,TF5,19 - 4 6:13,Charlie Farmer,71771,23 - 10,Army West Point,Luke Lilledahl,80223
2023,11/26,Cyclone Open,125,W,DEC,5 - 3,Caleb Fuessley,62605,5 - 10,Iowa State,Luke Lilledahl,80223
2023,11/26,Cyclone Open,125,W,DEC,4 - 2,Trever Anderson,76359,5 - 5,Northern Iowa,Luke Lilledahl,80223
2023,11/13,Jonathan Kaloust Bearcat Open,125,L,FALL,2:21,Stevo Poulin,71929,27 - 7,Northern Colorado,Luke Lilledahl,80223
2023,11/13,Jonathan Kaloust Bearcat Open,125,W,DEC,3 - 2,Gio Diaz,67279,7 - 11,Franklin & Marshall,Luke Lilledahl,80223
2023,11/13,Jonathan Kaloust Bearcat Open,125,W,DEC,10 - 4,Jack Bruce,62869,6 - 6,Franklin & Marshall,Luke Lilledahl,80223
2023,11/13,Jonathan Kaloust Bearcat Open,125,W,DEC,9 - 3,Joseph Sciarrone,78914,2 - 4,Cornell,Luke Lilledahl,80223
2023,11/05,Kaufman Brand Maryville Open,125,W,DEC,3 - 0,Davian Guanajuato,74863,6 - 10,SIU Edwardsville,Luke Lilledahl,80223
2023,11/05,Kaufman Brand Maryville Open,125,W,MD,11 - 3,Reid Nelson,72129,5 - 5,Little Rock,Luke Lilledahl,80223
2023,11/05,Kaufman Brand Maryville Open,125,W,TF5,20 - 4 7:00,Ben Lindley,62972,0 - 10,Lindenwood,Luke Lilledahl,80223
2023,11/05,Kaufman Brand Maryville Open,125,W,FALL,2:41,Ben Lindley,62972,0 - 10,Lindenwood,Luke Lilledahl,80223
2023,11/05,Kaufman Brand Maryville Open,125,L,DEC,6 - 5,Jacob Moran,63550,16 - 15,Indiana,Luke Lilledahl,80223
2025,01/31,Iowa - Penn State Dual,133,L,TF5,19 - 4 3:42,Drake Ayala,66975,21 - 3,Iowa,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,MFOR,0 - 0,Keyveon Roller,73139,14 - 9,Virginia,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,L,DEC,5 - 4,Beric Jordan,84763,12 - 3,Oklahoma,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,DEC,7 - 5,Tristan Daugherty,62877,10 - 16,North Dakota State,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,L,DEC,2 - 1,Anthony Molton,57207,18 - 8,Campbell,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,DEC,7 - 2,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,TF5,18 - 3 5:03,Weston Pisarchick,92999,4 - 7,Clarion,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,MD,11 - 3,Robbie Sagaris,73406,14 - 9,LIU,Kurt McHenry,56182
2025,01/04,Southern Scuffle,125,W,TF5,23 - 8 6:20,Bryson Terrell,79650,11 - 13,Appalachian State,Kurt McHenry,56182
2025,11/24,Black Knight Invite,125,L,DEC,8 - 2,Luke Lilledahl,80223,26 - 3,Penn State,Kurt McHenry,56182
2025,11/24,Black Knight Invite,125,W,MD,13 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Kurt McHenry,56182
2025,11/24,Black Knight Invite,125,W,DEC,11 - 7,Sulayman Bah,79305,18 - 16,Columbia,Kurt McHenry,56182
2024,11/26,Mat Town Open I,125,W,DEC,10 - 9,Nick Treaster,89471,Unlisted,Unattached,Kurt McHenry,56182
2024,11/26,Mat Town Open I,125,L,SV-1,4 - 1,Carson Wagner,78720,14 - 17,Binghamton,Kurt McHenry,56182
2024,11/26,Mat Town Open I,125,L,CMFF,0 - 0,Marcello Milani,78106,8 - 1,Cornell,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,L,MFOR,0 - 0,Brett Ungar,68705,17 - 12,Cornell,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,L,SV-1,7 - 1,Richard Figueroa,61129,14 - 0,Arizona State,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,L,INJ,0:47,Liam Cronin,45061,23 - 6,Nebraska,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,W,DEC,6 - 3,Kyle Gollhofer,57224,7 - 13,Northern Iowa,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,W,TF5,18 - 3 7:00,Oscar Sanchez,57320,13 - 18,Ohio,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,W,DEC,8 - 4,Aiden Lewis,71750,6 - 9,Edinboro,Kurt McHenry,56182
2023,12/02,Cliff Keen Invitational,125,W,DEC,7 - 4,Jake Ferri,51179,21 - 9,Kent State,Kurt McHenry,56182
2023,11/20,Columbia - Michigan Dual,125,W,MD,15 - 7,Nick Babin,65929,21 - 14,Columbia,Kurt McHenry,56182
2023,11/11,Michigan - Campbell Dual,125,W,DEC,4 - 3,Anthony Molton,57207,13 - 9,Campbell,Kurt McHenry,56182
2023,11/05,Michigan State Open,125,L,DEC,5 - 2,Andre Gonzales,72135,13 - 10,Ohio State,Kurt McHenry,56182
2023,11/05,Michigan State Open,125,L,DEC,12 - 10,Kase Mauger,65846,13 - 12,Utah Valley,Kurt McHenry,56182
2023,11/05,Michigan State Open,125,W,DEC,5 - 4,Jack Medley,51392,22 - 13,Michigan,Kurt McHenry,56182
2022,11/20,Findlay Open,125,W,DEC,6 - 5,Wilfred Tanefeu,73461,3 - 7,Michigan,Kurt McHenry,56182
2022,11/20,Findlay Open,125,W,SV-1,10 - 8,Brady Koontz,50853,7 - 11,Ohio State,Kurt McHenry,56182
2022,11/20,Findlay Open,125,W,DEC,13 - 8,Trey Bates,71792,4 - 7,Central Michigan,Kurt McHenry,56182
2022,11/20,Findlay Open,125,W,SV-1,3 - 1,Cole Laya,52575,Unlisted,West Liberty University,Kurt McHenry,56182
2022,11/20,Findlay Open,125,W,MD,18 - 7,Nicholas Korhorn,71988,Unlisted,Findlay,Kurt McHenry,56182
2021,02/12,Ohio State - Michigan Dual,125,L,DEC,3 - 1,Malik Heinselman,50611,11 - 5,Ohio State,Kurt McHenry,56182
2021,01/17,Michigan Indiana Extra,125,L,DEC,4 - 1,Jacob Moran,63550,5 - 8,Indiana,Kurt McHenry,56182
2025,03/20,NCAA Championships,133,W,FALL,2:33,Connor McGonagle,56713,19 - 4,Virginia Tech,Braeden Davis,77952
2025,03/20,NCAA Championships,133,L,DEC,8 - 5,Zan Fugitt,78091,22 - 9,Wisconsin,Braeden Davis,77952
2025,03/20,NCAA Championships,133,W,DEC,4 - 2,Jacob Van Dee,73557,18 - 11,Nebraska,Braeden Davis,77952
2025,03/20,NCAA Championships,133,W,DEC,4 - 2,Evan Frost,72948,22 - 6,Iowa State,Braeden Davis,77952
2025,03/20,NCAA Championships,133,L,MD,12 - 1,Lucas Byrd,56714,23 - 1,Illinois,Braeden Davis,77952
2025,03/20,NCAA Championships,133,W,DEC,5 - 3,Braxton Brown,72103,24 - 6,Maryland,Braeden Davis,77952
2025,03/20,NCAA Championships,133,W,MD,12 - 4,Kurt Phipps,63966,23 - 10,Bucknell,Braeden Davis,77952
2025,03/08,Big Ten Championships,133,L,FALL,2:23,Nic Bouzakis,73468,24 - 9,Ohio State,Braeden Davis,77952
2025,03/08,Big Ten Championships,133,W,DEC,9 - 7,Braxton Brown,72103,24 - 6,Maryland,Braeden Davis,77952
