Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,12/10,Ohio - Navy Dual,125,W,FALL,4:10,Ryan Meek,79652,5 - 18,Ohio,Evan Tallmadge,73120
2024,12/01,Cliff Keen Invitational,125,L,DEC,9 - 5,Troy Spratley,73119,22 - 8,Oklahoma State,Evan Tallmadge,73120
2024,12/01,Cliff Keen Invitational,125,L,SV-1,12 - 9,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Evan Tallmadge,73120
2024,11/18,Navy Classic,125,W,TF5,17 - 2 1:53,Gunner Havens,84318,1 - 6,Kent State,Evan Tallmadge,73120
2024,11/18,Navy Classic,125,L,DEC,4 - 3,Tucker Owens,71711,11 - 12,Air Force,Evan Tallmadge,73120
2024,11/18,Navy Classic,125,W,DEC,4 - 1,Drew Heethuis,78620,14 - 12,Princeton,Evan Tallmadge,73120
2024,11/18,Navy Classic,125,W,FALL,1:57,Malik Hardy,73357,14 - 17,The Citadel,Evan Tallmadge,73120
2024,11/12,Morgan State - Navy Dual,125,W,TF5,16 - 0 5:00,Julian Dawson,84955,5 - 15,Morgan State,Evan Tallmadge,73120
2024,11/12,Pittsburgh - Navy Dual,125,W,DEC,8 - 3,Colton Camacho,58029,11 - 12,Pittsburgh,Evan Tallmadge,73120
2024,11/04,Navy - Illinois Dual,125,L,SV-1,6 - 3,Justin Cardani,51687,4 - 12,Illinois,Evan Tallmadge,73120
2023,01/29,Mat-Town Open II,133,W,MD,11 - 3,Wyatt Fox,82939,6 - 5,Lock Haven,Evan Tallmadge,73120
2023,01/29,Mat-Town Open II,133,L,DEC,7 - 4,Nico Nardone,71688,7 - 6,Pennsylvania,Evan Tallmadge,73120
2023,01/29,Mat-Town Open II,133,W,DEC,8 - 3,Nieko Malone,72910,2 - 8,Rider,Evan Tallmadge,73120
2023,01/29,Mat-Town Open II,133,W,DEC,6 - 4,Joe Couch,78898,5 - 6,Army West Point,Evan Tallmadge,73120
2023,12/10,Scott Viera Open,133,W,TF5,17 - 2 4:58,Noah Martin,82875,Unlisted,Roger Williams,Evan Tallmadge,73120
2023,12/10,Scott Viera Open,133,W,TF5,16 - 1 2:53,Nicholas Torres,80536,Unlisted,Johnson & Wales,Evan Tallmadge,73120
2023,12/10,Scott Viera Open,133,W,TF5,19 - 2 4:29,Aaron Morocho,73539,Unlisted,American International College,Evan Tallmadge,73120
2023,12/10,Scott Viera Open,133,W,FALL,4:11,Aaron Morocho,73539,Unlisted,American International College,Evan Tallmadge,73120
2023,12/04,Bob Quade Cyclone Open,133,W,FALL,1:18,Kaelen Francois,73404,6 - 20,LIU,Evan Tallmadge,73120
2023,11/19,Shorty Hitchcock Memorial Classic,133,L,SV-1,7 - 5,Devin Flannery,62457,Unlisted,Millersville,Evan Tallmadge,73120
2023,11/19,Shorty Hitchcock Memorial Classic,133,W,FALL,2:15,Trent Thompson,67145,Unlisted,Kutztown,Evan Tallmadge,73120
2023,11/19,Shorty Hitchcock Memorial Classic,133,W,FALL,5:59,John Hildebrandt,78511,4 - 3,Drexel,Evan Tallmadge,73120
2023,11/19,Shorty Hitchcock Memorial Classic,133,W,DEC,6 - 1,Drew Currier,78643,4 - 6,Franklin & Marshall,Evan Tallmadge,73120
2023,11/19,Shorty Hitchcock Memorial Classic,133,W,MD,10 - 1,Aidan O'Shea,78571,9 - 14,Franklin & Marshall,Evan Tallmadge,73120
2023,11/13,Jonathan Kaloust Bearcat Open,133,L,DEC,10 - 9,Tyler Kellison,60765,1 - 4,Binghamton,Evan Tallmadge,73120
2025,02/09,Pittsburgh - Iowa State Dual,125,L,MD,21 - 8,Ethan Perryman,78477,13 - 10,Iowa State,Colyn Limbert,85116
2025,02/01,Edinboro Open,125,W,DEC,7 - 2,Drew Hensen,93545,6 - 8,Michigan State,Colyn Limbert,85116
2025,02/01,Edinboro Open,125,W,DEC,5 - 1,Abram Cline,84637,13 - 13,Maryland,Colyn Limbert,85116
2025,02/01,Edinboro Open,125,W,DEC,8 - 1,JB Dragovich,78828,14 - 13,George Mason,Colyn Limbert,85116
2025,02/01,Edinboro Open,125,W,TF5,18 - 2 5:18,Austin Zimmerman,93050,5 - 14,Edinboro,Colyn Limbert,85116
2025,02/01,Edinboro Open,125,L,DEC,4 - 1,JJ Peace,82775,15 - 6,American,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,W,TF5,17 - 2 7:00,Carson Yocca,94876,Unlisted,Ashland,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,W,FALL,6:42,Malachi O'Leary,78919,3 - 9,Ohio,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,W,MFOR,0 - 0,Billy Smith,75818,Unlisted,Findlay,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,W,DEC,9 - 3,Matthew Dolan,78805,10 - 9,West Virginia,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,L,DEC,5 - 0,Ashton Jackson,81722,15 - 8,Purdue,Colyn Limbert,85116
2025,01/19,Purple Raider Open,125,L,DEC,6 - 3,Isaiah Quintero,81600,8 - 6,Purdue,Colyn Limbert,85116
2025,12/29,Midlands Championships,125,L,DEC,4 - 2,Ayden Smith,92279,10 - 4,Rutgers,Colyn Limbert,85116
2025,12/29,Midlands Championships,125,L,TF5,21 - 2 7:00,Marc-Anthony McGowan,79468,16 - 4,Princeton,Colyn Limbert,85116
2025,12/29,Midlands Championships,125,W,DEC,3 - 2,Ashton Jackson,81722,15 - 8,Purdue,Colyn Limbert,85116
2025,12/07,Cleveland State Open,125,W,FALL,2:56,Anthony Isek,85741,2 - 4,Indiana,Colyn Limbert,85116
2025,12/07,Cleveland State Open,125,L,DEC,5 - 1,Robert Wright,81230,9 - 9,Air Force,Colyn Limbert,85116
2025,12/07,Cleveland State Open,125,L,DEC,12 - 7,Ethan Perryman,78477,13 - 10,Iowa State,Colyn Limbert,85116
2025,12/07,Cleveland State Open,125,W,DEC,4 - 2,Billy Smith,75818,Unlisted,Findlay,Colyn Limbert,85116
2025,12/07,Cleveland State Open,125,W,SV-1,9 - 6,Matthew Dolan,78805,10 - 9,West Virginia,Colyn Limbert,85116
2025,11/03,Clarion Open,125,L,DEC,2 - 0,Keanu Dillard,94449,Unlisted,High School,Colyn Limbert,85116
2025,11/03,Clarion Open,125,W,MD,9 - 1,Easton Mull,94446,Unlisted,Unattached,Colyn Limbert,85116
2025,11/03,Clarion Open,125,W,DEC,9 - 7,Chris Vargo,85069,19 - 13,Edinboro,Colyn Limbert,85116
2025,11/03,Clarion Open,125,W,TF5,19 - 3 6:09,Eamonn Jimenez,78779,2 - 13,Edinboro,Colyn Limbert,85116
2025,11/03,Clarion Open,125,L,DEC,6 - 5,Vincent Kilkeary,74118,5 - 1,Ohio State,Colyn Limbert,85116
2025,11/03,Clarion Open,125,W,DEC,8 - 1,Micah Medina,84265,1 - 8,Bellarmine,Colyn Limbert,85116
2025,01/12,Pittsburgh - West Virginia Dual,133,L,MD,12 - 1,Mason Kernan,92971,8 - 8,West Virginia,Matt Marlow,85117
2025,01/10,Stanford - Pittsburgh Dual,133,L,TF5,17 - 1 4:24,Tyler Knox,83265,28 - 9,Stanford,Matt Marlow,85117
2025,12/20,Pittsburgh - Rider Dual,125,W,DEC,12 - 5,Kaden Naame,84336,5 - 9,Rider,Matt Marlow,85117
2025,12/20,South Dakota State - Pittsburgh Dual,125,L,DEC,4 - 0,Tanner Jordan,57664,24 - 10,South Dakota State,Matt Marlow,85117
2025,12/20,Pittsburgh - Maryland Dual,125,W,MD,11 - 1,Tyler Garvin,84590,5 - 21,Maryland,Matt Marlow,85117
2025,12/13,Ohio State - Pittsburgh Dual,125,L,MD,8 - 0,Brendan McCrone,76350,22 - 11,Ohio State,Matt Marlow,85117
2025,12/07,Cleveland State Open,125,W,TF5,17 - 2 4:44,Simon Dominguez,97217,Unlisted,Grand Valley State University,Matt Marlow,85117
2025,12/07,Cleveland State Open,125,W,SV-1,4 - 1,Ashton Jackson,81722,15 - 8,Purdue,Matt Marlow,85117
2025,12/07,Cleveland State Open,125,L,DEC,8 - 6,Ethan Perryman,78477,13 - 10,Iowa State,Matt Marlow,85117
2025,12/07,Cleveland State Open,125,W,SV-1,7 - 4,Benjamin Aranda,71804,13 - 11,Cleveland State,Matt Marlow,85117
2025,11/03,Clarion Open,125,W,TF5,19 - 3 6:10,Weston Pisarchick,92999,4 - 7,Clarion,Matt Marlow,85117
2025,11/03,Clarion Open,125,W,DEC,8 - 1,Landon Bainey,85070,17 - 15,Edinboro,Matt Marlow,85117
2025,11/03,Clarion Open,125,W,DEC,5 - 2,Chris Vargo,85069,19 - 13,Edinboro,Matt Marlow,85117
2025,11/03,Clarion Open,125,L,DEC,5 - 1,Brendan McCrone,76350,22 - 11,Ohio State,Matt Marlow,85117
2025,11/03,Clarion Open,125,W,DEC,4 - 2,Christian Tanefeu,73460,8 - 12,Michigan,Matt Marlow,85117
2024,02/04,Rennie Rodarmel Allstate Invitational,125,W,TF5,18 - 3 7:00,Alex Boyd,81525,Unlisted,Scranton,Tommy Link,73764
2024,02/04,Rennie Rodarmel Allstate Invitational,125,W,DEC,9 - 3,Brian McCaw,74897,Unlisted,Muhlenberg,Tommy Link,73764
2024,02/04,Rennie Rodarmel Allstate Invitational,125,W,MD,15 - 6,Kaden Majcher,73599,Unlisted,Lycoming,Tommy Link,73764
2024,01/20,NYS Collegiate Championships,125,L,MFOR,0 - 0,Sulayman Bah,79305,4 - 14,Columbia,Tommy Link,73764
2024,01/20,NYS Collegiate Championships,125,L,MFOR,0 - 0,Thomas Fischer,79927,Unlisted,NYU,Tommy Link,73764
2024,01/20,NYS Collegiate Championships,125,W,TB-1,7 - 6,Benny Bautista,74087,Unlisted,NYU,Tommy Link,73764
2024,01/05,David Lehman Open,125,W,MD,15 - 6,Gunner Chambers,84437,3 - 8,George Mason,Tommy Link,73764
2024,01/05,David Lehman Open,125,W,DEC,4 - 1,Dylan Acevedo-Switzer,73023,7 - 14,Hofstra,Tommy Link,73764
2024,01/05,David Lehman Open,125,W,DEC,7 - 2,Logan Wadle,78658,0 - 4,Lehigh,Tommy Link,73764
2024,01/05,David Lehman Open,125,L,DEC,8 - 1,Brady Pruett,73565,9 - 8,Pennsylvania,Tommy Link,73764
2024,01/05,David Lehman Open,125,L,DEC,6 - 2,Drew Heethuis,78620,14 - 12,Princeton,Tommy Link,73764
2024,12/22,Wilkes Open,125,L,MD,11 - 3,Carson Wagner,78720,14 - 17,Binghamton,Tommy Link,73764
2024,12/22,Wilkes Open,125,W,FALL,2:24,Matthew Griffin,66192,0 - 5,Binghamton,Tommy Link,73764
2024,12/22,Wilkes Open,125,W,FALL,0:20,Maximillian Connell,87139,Unlisted,Marymount,Tommy Link,73764
2024,12/22,Wilkes Open,125,W,TF5,17 - 1 2:00,Rocky Finnegann,86780,Unlisted,Wilkes,Tommy Link,73764
2024,12/22,Wilkes Open,125,W,FALL,2:24,Cadden Kucek,79760,Unlisted,Wilkes,Tommy Link,73764
2024,11/18,Shorty Hitchcock Memorial,125,W,FALL,0:52,Brenden Smay,81556,Unlisted,Kutztown,Tommy Link,73764
2024,11/18,Shorty Hitchcock Memorial,125,W,DEC,8 - 3,Grant Treaster,63154,2 - 6,Navy,Tommy Link,73764
2024,11/18,Shorty Hitchcock Memorial,125,W,DEC,7 - 4,Jack Parker,83327,9 - 10,Franklin & Marshall,Tommy Link,73764
2024,11/12,Ohio Intercollegiate Open,125,L,DEC,2 - 0,William Burgess,60442,Unlisted,Seton Hill,Tommy Link,73764
2024,11/12,Ohio Intercollegiate Open,125,W,TF5,17 - 1 3:34,Anthony Sagaris,72639,Unlisted,Lake Erie College,Tommy Link,73764
2024,11/12,Ohio Intercollegiate Open,125,W,DEC,6 - 2,Hunter Robison,78458,Unlisted,Gannon,Tommy Link,73764
2024,11/05,Princeton Open,125,L,TF5,15 - 0 3:47,Joziah Fry,80544,Unlisted,Johnson & Wales,Tommy Link,73764
2024,11/05,Princeton Open,125,L,MD,15 - 1,Tyler Klinsky,62353,18 - 14,Rider,Tommy Link,73764
2024,11/05,Princeton Open,125,W,DEC,2 - 1,Dylan Acevedo-Switzer,73023,7 - 14,Hofstra,Tommy Link,73764
2024,11/05,Princeton Open,125,W,MD,11 - 2,Kevin Riedinger,82736,1 - 5,Bloomsburg,Tommy Link,73764
2025,02/16,Mat Town Open-II,133,W,FALL,1:20,Anthony Samuels,93969,1 - 9,Sacred Heart,Jordan Villareal,79336
2025,02/16,Mat Town Open-II,133,L,MD,8 - 0,Austin Pollard,84789,6 - 5,Lock Haven,Jordan Villareal,79336
2025,02/16,Mat Town Open-II,133,L,DEC,16 - 9,Christopher Betancourt,84576,8 - 4,LIU,Jordan Villareal,79336
2025,01/19,Purple Raider Open,133,L,MD,16 - 8,Ky Szewczyk,85103,1 - 2,Ohio,Jordan Villareal,79336
2025,01/19,Purple Raider Open,133,W,DEC,2 - 1,Anthony Clem,85129,7 - 11,West Virginia,Jordan Villareal,79336
2025,01/19,Purple Raider Open,133,L,FALL,4:59,Brenden Hamilton,74533,Unlisted,Lake Erie College,Jordan Villareal,79336
2025,12/07,Cleveland State Open,133,L,MD,17 - 6,Nate Knowlton,87467,Unlisted,Findlay,Jordan Villareal,79336
2025,12/07,Cleveland State Open,133,L,MD,14 - 0,Cody Phelps,77956,4 - 6,Michigan State,Jordan Villareal,79336
2025,12/07,Cleveland State Open,133,W,TF5,17 - 2 2:49,Wyatt Dusseau-Garno,97218,Unlisted,Grand Valley State University,Jordan Villareal,79336
2025,11/03,Clarion Open,133,L,DEC,8 - 2,Tyson Cook,93417,Unlisted,Pitt-Johnstown,Jordan Villareal,79336
2025,11/03,Clarion Open,133,L,TF5,20 - 4 4:19,Colton Camacho,58029,27 - 14,Edinboro,Jordan Villareal,79336
2024,01/05,David Lehman Open,125,L,DEC,5 - 1,Carson Wagner,78720,14 - 17,Binghamton,Jordan Villareal,79336
2024,01/05,David Lehman Open,125,L,MD,11 - 2,Nico Tocci,73466,2 - 4,Air Force,Jordan Villareal,79336
2024,01/05,David Lehman Open,125,W,DEC,10 - 5,Dom Flatt,72628,Unlisted,Millersville,Jordan Villareal,79336
