Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,SoCon Championships,125,L,DEC,2 - 1,Waylon Rogers,93673,4 - 15,VMI,Brayden Adams,78607
2025,03/07,SoCon Championships,125,W,DEC,4 - 2,Luke Passarelli,78850,5 - 13,Davidson,Brayden Adams,78607
2025,03/07,SoCon Championships,125,L,TF5,18 - 3 6:19,Ty Tice,84391,7 - 19,Chattanooga,Brayden Adams,78607
2025,02/20,Presbyterian - VMI Dual,125,W,DEC,4 - 1,Waylon Rogers,93673,4 - 15,VMI,Brayden Adams,78607
2025,02/14,Bellarmine - Presbyterian Dual,125,L,TF5,19 - 4 2:38,Jack Parker,71291,15 - 11,Bellarmine,Brayden Adams,78607
2025,02/12,Truett-McConnell (Ga) - Presbyterian Dual,125,W,MD,9 - 1,Tyler Ramos,99159,Unlisted,Truett-McConnell,Brayden Adams,78607
2025,01/31,Chattanooga - Presbyterian Dual,125,L,MD,11 - 2,Ty Tice,84391,7 - 19,Chattanooga,Brayden Adams,78607
2025,01/27,Presbyterian - Appalachian State Dual,125,L,MD,9 - 0,Bryson Terrell,79650,11 - 13,Appalachian State,Brayden Adams,78607
2025,01/26,Presbyterian - The Citadel Dual,125,L,MD,14 - 3,Gylon Sims,84440,19 - 9,The Citadel,Brayden Adams,78607
2025,01/24,Air Force - Presbyterian Dual,125,L,DEC,4 - 2,Nico Tocci,73466,3 - 8,Air Force,Brayden Adams,78607
2025,01/15,St Andrews - Presbyterian Dual,125,W,TF5,19 - 3 4:34,Caleb Haynes,87117,Unlisted,St Andrews,Brayden Adams,78607
2025,11/23,Utah Valley - Presbyterian Dual,125,L,TF5,17 - 2 5:34,Bridger Ricks,82572,12 - 13,Utah Valley,Brayden Adams,78607
2025,11/23,Presbyterian - Duke Dual,125,L,SV-1,5 - 2,Ethan Grimminger,79008,3 - 13,Duke,Brayden Adams,78607
2025,11/23,American - Presbyterian Dual,125,L,FALL,4:38,JJ Peace,82775,15 - 6,American,Brayden Adams,78607
2025,11/17,Davidson - Presbyterian Dual,125,L,DEC,7 - 6,Luke Passarelli,78850,5 - 13,Davidson,Brayden Adams,78607
2025,11/09,Mountaineer Invitational,125,L,DEC,6 - 5,Enis Ljikovic,84455,3 - 16,Davidson,Brayden Adams,78607
2025,11/09,Mountaineer Invitational,125,L,SV-1,4 - 1,Colby McBride,79082,10 - 6,Appalachian State,Brayden Adams,78607
2025,11/03,Sacred Heart - Presbyterian Dual,125,L,DEC,11 - 4,Mike Manta,79721,2 - 4,Sacred Heart,Brayden Adams,78607
2024,03/09,SoCon Championships,133,L,TF5,17 - 2 4:28,Tyson Lane,75724,11 - 13,Gardner-Webb,Brayden Adams,78607
2024,03/09,SoCon Championships,133,L,FALL,2:44,Domenic Zaccone,56926,25 - 10,Campbell,Brayden Adams,78607
2024,02/23,Presbyterian - Davidson Dual,133,L,DEC,2 - 1,Hale Robinson,70746,5 - 9,Davidson,Brayden Adams,78607
2024,02/22,Presbyterian - The Citadel Dual,133,L,MD,15 - 1,George Rosas,78686,13 - 18,The Citadel,Brayden Adams,78607
2024,02/18,Campbell - Presbyterian Dual,133,L,TF5,21 - 6 2:47,Domenic Zaccone,56926,25 - 10,Campbell,Brayden Adams,78607
2024,02/15,Appalachian State - Presbyterian Dual,133,L,FALL,4:50,Ethan Oakley,62754,27 - 9,Appalachian State,Brayden Adams,78607
2024,02/11,Gardner-Webb - Presbyterian Dual,133,L,TF5,16 - 0 3:56,Tyson Lane,75724,11 - 13,Gardner-Webb,Brayden Adams,78607
2024,02/09,Presbyterian - Chattanooga Dual,133,L,FALL,1:36,Blake Boarman,70737,18 - 6,Chattanooga,Brayden Adams,78607
2024,02/03,VMI - Presbyterian Dual,133,L,TF5,19 - 1 6:22,Dyson Dunham,73559,21 - 16,VMI,Brayden Adams,78607
2024,01/21,Queens - Presbyterian Dual,133,W,DEC,10 - 8,Griffen Gonzales,73932,0 - 7,Queens,Brayden Adams,78607
2024,01/14,Truett-McConnell (Ga) - Presbyterian Dual,133,L,DEC,4 - 1,Stanley Lal,77771,Unlisted,Truett-McConnell,Brayden Adams,78607
2024,01/12,Cleveland State - Presbyterian Dual,133,L,DEC,9 - 3,Nick Molchak,78590,12 - 13,Cleveland State,Brayden Adams,78607
2024,01/12,Little Rock - Presbyterian Dual,133,L,TF5,15 - 0 7:00,Reid Nelson,72129,5 - 9,Little Rock,Brayden Adams,78607
2024,12/03,Michigan State - Presbyterian Dual,133,L,FALL,2:30,Andrew Hampton,73020,5 - 21,Michigan State,Brayden Adams,78607
2024,12/03,Presbyterian - Franklin & Marshall Dual,133,L,TF5,15 - 0 1:41,Mason Leiphart,73193,22 - 11,Franklin & Marshall,Brayden Adams,78607
2024,12/03,Presbyterian - Bloomsburg Dual,133,L,FALL,2:48,Michael Cassidy,59534,4 - 9,Bloomsburg,Brayden Adams,78607
2024,11/17,Northern Colorado - Presbyterian Dual,133,L,TF5,19 - 4 4:27,Dominick Serrano,61120,23 - 6,Northern Colorado,Brayden Adams,78607
2023,02/05,Newberry Open,133,W,FALL,5:51,Gabe Baldosaro,79064,Unlisted,Lander,Brayden Adams,78607
2023,02/05,Newberry Open,133,L,MD,15 - 5,Jp Gamez,74332,Unlisted,Newberry,Brayden Adams,78607
2023,02/05,Newberry Open,133,L,MD,17 - 7,Luke Martin,84067,Unlisted,Unattached,Brayden Adams,78607
2023,01/28,Appalachian Open,125,L,MD,8 - 0,Peyton Fenton,77869,3 - 1,Virginia,Brayden Adams,78607
2023,01/28,Appalachian Open,125,L,MD,13 - 2,Jeffrey Jacome,73699,5 - 11,Gardner-Webb,Brayden Adams,78607
2023,01/06,David Lehman Open,125,L,TF5,19 - 4 4:44,Jack Wagner,44755,21 - 10,North Carolina,Brayden Adams,78607
2023,01/06,David Lehman Open,125,L,DEC,9 - 6,Mike Manta,79721,3 - 14,Sacred Heart,Brayden Adams,78607
2023,12/21,George Mason Presbyterian ECM,133,L,MD,8 - 0,Patrick Schellpfeffer,69712,3 - 13,George Mason,Brayden Adams,78607
2023,11/19,Presbyterian Queens ECM,125,L,MD,9 - 0,Ashton Thompson,79817,1 - 6,Queens,Brayden Adams,78607
2023,11/13,Battle at the Citadel,125,W,DEC,5 - 2,Brandon Navixay,59799,Unlisted,Truett-McConnell,Brayden Adams,78607
2023,11/13,Battle at the Citadel,125,L,MD,10 - 2,Isaac Crowell,58909,Unlisted,Southeastern University,Brayden Adams,78607
2023,11/13,Battle at the Citadel,125,L,FALL,0:40,Maximillian Leete,72678,21 - 12,American,Brayden Adams,78607
2023,11/12,Michigan State - Presbyterian Dual,125,L,MD,15 - 5,Tristan Lujan,63015,14 - 11,Michigan State,Brayden Adams,78607
2024,03/09,SoCon Championships,125,L,TF5,16 - 1 2:30,Malik Hardy,73357,14 - 17,The Citadel,Trenton Dominguez,78608
2024,03/09,SoCon Championships,125,L,TF5,19 - 4 2:10,Anthony Molton,57207,21 - 5,Campbell,Trenton Dominguez,78608
2024,02/22,Presbyterian - The Citadel Dual,125,L,TF5,15 - 0 1:54,Malik Hardy,73357,14 - 17,The Citadel,Trenton Dominguez,78608
2024,01/12,Cleveland State - Presbyterian Dual,125,L,FALL,1:36,Benjamin Aranda,71804,11 - 13,Cleveland State,Trenton Dominguez,78608
2024,01/12,Little Rock - Presbyterian Dual,125,L,FALL,2:05,Jeremiah Reno,62342,14 - 11,Little Rock,Trenton Dominguez,78608
2024,12/03,Michigan State - Presbyterian Dual,125,L,FALL,4:19,Nick Corday,70986,6 - 9,Michigan State,Trenton Dominguez,78608
2024,12/03,Presbyterian - Franklin & Marshall Dual,125,L,DEC,9 - 4,Jack Parker,83327,9 - 10,Franklin & Marshall,Trenton Dominguez,78608
2024,12/03,Presbyterian - Bloomsburg Dual,125,L,FALL,5:22,Bronson Garber,56759,13 - 21,Bloomsburg,Trenton Dominguez,78608
2024,11/17,Northern Colorado - Presbyterian Dual,125,L,FALL,2:37,Stevo Poulin,71929,18 - 6,Northern Colorado,Trenton Dominguez,78608
