Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,2 - 1,Cooper Flynn,72148,16 - 8,Minnesota,Marc-Anthony McGowan,79468
2025,03/20,NCAA Championships,125,L,DEC,6 - 4,Vincent Robinson,78062,24 - 3,NC State,Marc-Anthony McGowan,79468
2025,03/20,NCAA Championships,125,W,DEC,4 - 3,Brendan McCrone,76350,22 - 11,Ohio State,Marc-Anthony McGowan,79468
2025,03/09,Ivy Championships,125,W,DEC,8 - 6,Max Gallagher,78893,26 - 10,Pennsylvania,Marc-Anthony McGowan,79468
2025,03/09,Ivy Championships,125,W,FALL,5:47,Sulayman Bah,79305,18 - 16,Columbia,Marc-Anthony McGowan,79468
2025,02/02,Harvard - Princeton Dual,125,W,TF5,24 - 7 6:18,Isaiah Adams,84480,3 - 5,Harvard,Marc-Anthony McGowan,79468
2025,02/02,Brown - Princeton Dual,125,W,TF5,19 - 4 6:54,Jared Brunner,76391,4 - 21,Brown,Marc-Anthony McGowan,79468
2025,02/01,Princeton - Drexel Dual,125,W,TF5,17 - 2 7:00,Desmond Pleasant,71583,16 - 7,Drexel,Marc-Anthony McGowan,79468
2025,01/26,Princeton - Columbia Dual,125,W,DEC,4 - 1,Sulayman Bah,79305,18 - 16,Columbia,Marc-Anthony McGowan,79468
2025,01/24,Rider - Princeton Dual,125,W,TF5,19 - 3 5:21,Noah Michaels,93265,13 - 10,Rider,Marc-Anthony McGowan,79468
2025,01/19,Princeton - Clarion Dual,125,W,FALL,0:47,Travis Clawson,93659,12 - 12,Clarion,Marc-Anthony McGowan,79468
2025,01/10,Princeton - Morgan State Dual,125,W,TF5,19 - 4 7:00,Julian Dawson,84955,4 - 16,Morgan State,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,L,DEC,7 - 1,Dean Peterson,72936,22 - 8,Rutgers,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,L,SV-1,8 - 5,Jacob Moran,63550,26 - 11,Indiana,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,TF5,21 - 2 7:00,Colyn Limbert,85116,12 - 9,Pittsburgh,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,MD,13 - 1,Patrick Adams,72223,2 - 3,Northwestern,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,DEC,10 - 7,Max Gallagher,78893,26 - 10,Pennsylvania,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,DEC,10 - 3,Brady Pruett,73565,11 - 7,Pennsylvania,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,DEC,5 - 0,Deion Johnson,84782,1 - 7,SIU Edwardsville,Marc-Anthony McGowan,79468
2025,12/29,Midlands Championships,125,W,TF5,20 - 3 7:00,Koda Holeman,73792,19 - 13,Cal Poly,Marc-Anthony McGowan,79468
2025,02/16,Princeton - Pennsylvania Dual,125,L,DEC,8 - 3,Max Gallagher,78893,26 - 10,Pennsylvania,Ethan Rivera,84435
2025,02/08,Princeton - Cornell Dual,125,W,DEC,8 - 1,Marcello Milani,78106,16 - 14,Cornell,Ethan Rivera,84435
2025,12/29,Midlands Championships,125,W,DEC,9 - 2,Ayden Smith,92279,10 - 4,Rutgers,Ethan Rivera,84435
2025,12/29,Midlands Championships,125,L,CMFF,0 - 0,Brady Pruett,73565,11 - 7,Pennsylvania,Ethan Rivera,84435
2025,12/29,Midlands Championships,125,L,DEC,7 - 1,Blake West,73337,24 - 7,Northern Illinois,Ethan Rivera,84435
2025,12/29,Midlands Championships,125,W,DEC,5 - 0,Caelan Riley,73733,5 - 16,Illinois,Ethan Rivera,84435
2025,12/08,Rutgers - Princeton Dual,125,L,DEC,5 - 3,Dean Peterson,72936,22 - 8,Rutgers,Ethan Rivera,84435
