Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,03/21,NCAA Championships,125,L,DEC,9 - 3,Michael DeAugustino,56007,12 - 8,Michigan,Tyler Klinsky,62353
2024,03/21,NCAA Championships,125,L,MD,11 - 2,Luke Stanich,78768,24 - 4,Lehigh,Tyler Klinsky,62353
2024,03/08,MAC Championships,125,W,DEC,6 - 1,Joseph Fischer,68702,17 - 13,Clarion,Tyler Klinsky,62353
2024,03/08,MAC Championships,125,W,DEC,3 - 2,Sean Spidle,63063,16 - 10,Central Michigan,Tyler Klinsky,62353
2024,03/08,MAC Championships,125,L,MD,8 - 0,Blake West,73337,23 - 8,Northern Illinois,Tyler Klinsky,62353
2024,03/08,MAC Championships,125,W,TF5,20 - 4 5:42,Caleb Edwards,72216,6 - 23,Edinboro,Tyler Klinsky,62353
2024,03/08,MAC Championships,125,W,SV-1,12 - 5,Benjamin Aranda,71804,11 - 13,Cleveland State,Tyler Klinsky,62353
2024,02/23,Rider - Cleveland State Dual,125,W,SV-1,4 - 1,Benjamin Aranda,71804,11 - 13,Cleveland State,Tyler Klinsky,62353
2024,02/22,Rider - Pittsburgh Dual,125,L,TF5,19 - 4 7:00,Colton Camacho,58029,11 - 12,Pittsburgh,Tyler Klinsky,62353
2024,02/16,Clarion - Rider Dual,125,W,DEC,5 - 1,Joseph Fischer,68702,17 - 13,Clarion,Tyler Klinsky,62353
2024,02/04,Rider - George Mason Dual,125,W,TF5,18 - 3 5:00,JB Dragovich,78828,6 - 15,George Mason,Tyler Klinsky,62353
2024,02/03,Rider - Drexel Dual,125,W,DEC,7 - 3,Desmond Pleasant,71583,19 - 16,Drexel,Tyler Klinsky,62353
2024,01/28,Bloomsburg - Rider Dual,125,W,FALL,3:00,Bronson Garber,56759,13 - 21,Bloomsburg,Tyler Klinsky,62353
2024,01/26,Lock Haven - Rider Dual,125,L,DEC,8 - 2,Anthony Noto,64642,22 - 3,Lock Haven,Tyler Klinsky,62353
2024,01/14,Edinboro - Rider Dual,125,W,TF5,22 - 6 5:00,Caleb Edwards,72216,6 - 23,Edinboro,Tyler Klinsky,62353
2024,01/11,Princeton - Rider Dual,125,W,MD,17 - 3,Drew Heethuis,78620,14 - 12,Princeton,Tyler Klinsky,62353
2024,01/07,Rider - Rutgers Dual,125,W,DEC,9 - 6,Dean Peterson,72936,15 - 9,Rutgers,Tyler Klinsky,62353
2024,01/05,Northern Illinois - Rider Dual,125,L,DEC,8 - 5,Blake West,73337,23 - 8,Northern Illinois,Tyler Klinsky,62353
2024,12/29,Midlands Championships,125,W,DEC,6 - 4,Jett Strickenberger,74382,18 - 6,West Virginia,Tyler Klinsky,62353
2024,12/29,Midlands Championships,125,L,DEC,4 - 1,Ryan Miller,62350,17 - 6,Pennsylvania,Tyler Klinsky,62353
2024,12/29,Midlands Championships,125,L,MD,11 - 1,Eli Griffin,68743,19 - 13,Cal Baptist,Tyler Klinsky,62353
2024,12/09,Wisconsin - Rider Dual,125,L,MD,13 - 5,Eric Barnett,56753,29 - 8,Wisconsin,Tyler Klinsky,62353
2024,12/03,Patriot Open,125,L,MD,14 - 2,Ryan Miller,62350,17 - 6,Pennsylvania,Tyler Klinsky,62353
2024,12/03,Patriot Open,125,W,TF5,18 - 3 7:00,Zander Phaturos,73554,11 - 10,Campbell,Tyler Klinsky,62353
2024,12/03,Patriot Open,125,W,DEC,6 - 5,Chad Bellis,71922,21 - 14,Appalachian State,Tyler Klinsky,62353
2024,12/03,Patriot Open,125,L,DEC,7 - 5,Jace Schafer,73377,6 - 6,West Virginia,Tyler Klinsky,62353
2024,11/19,Michigan - Rider Dual,125,W,TF5,26 - 9 7:00,Christian Tanefeu,73460,2 - 6,Michigan,Tyler Klinsky,62353
2024,11/12,Rider - Southern Illinois Edwardsville Dual,125,W,TF5,21 - 3 5:44,Davian Guanajuato,74863,14 - 13,SIU Edwardsville,Tyler Klinsky,62353
2024,11/10,Rider - Indiana Dual,125,L,DEC,13 - 9,Michael Spangler,60212,7 - 7,Indiana,Tyler Klinsky,62353
2024,11/05,Princeton Open,125,W,TF5,23 - 6 6:10,Luke Sirianni,84262,Unlisted,United States Military Academy,Tyler Klinsky,62353
2024,11/05,Princeton Open,125,W,MD,15 - 1,Tommy Link,73764,Unlisted,United States Military Academy,Tyler Klinsky,62353
2024,11/05,Princeton Open,125,L,TF5,16 - 1 5:29,Sheldon Seymour,62339,13 - 5,Lehigh,Tyler Klinsky,62353
2024,11/05,Princeton Open,125,L,SV-1,4 - 1,Sheldon Seymour,62339,13 - 5,Lehigh,Tyler Klinsky,62353
2024,11/05,Princeton Open,125,W,TF5,21 - 6 5:55,Noah Tonsor,81065,2 - 6,Army West Point,Tyler Klinsky,62353
2023,03/03,MAC Championships,125,W,DEC,14 - 10,Sean Spidle,63063,10 - 15,Central Michigan,Tyler Klinsky,62353
2023,03/03,MAC Championships,125,L,DEC,5 - 3,Blake West,73337,22 - 9,Northern Illinois,Tyler Klinsky,62353
2023,03/03,MAC Championships,125,W,DEC,11 - 9,Austin Macias,57088,2 - 12,SIU Edwardsville,Tyler Klinsky,62353
2023,03/03,MAC Championships,125,L,DEC,3 - 2,Anthony Noto,64642,33 - 4,Lock Haven,Tyler Klinsky,62353
