Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/02,Zingo Nationals,125,W,DEC,2 - 0,Xavier Diaz,95981,Unlisted,Unattached,Ayden Smith,92279
2025,03/02,Zingo Nationals,125,W,DEC,8 - 1,Ejiro Montoya,93510,12 - 11,Franklin & Marshall,Ayden Smith,92279
2025,03/02,Zingo Nationals,125,W,DEC,4 - 1,Kaedyn Williams,84379,Unlisted,Unattached,Ayden Smith,92279
2025,02/16,Mat Town Open-II,125,W,DEC,4 - 1,Teague Strobel,93797,6 - 11,Hofstra,Ayden Smith,92279
2025,02/16,Mat Town Open-II,125,W,TB-2,2 - 1,Presden Sanchez,92960,7 - 9,Maryland,Ayden Smith,92279
2025,02/16,Mat Town Open-II,125,W,TF5,17 - 1 4:56,Dysen Gould,84931,2 - 6,American,Ayden Smith,92279
2025,02/16,Mat Town Open-II,125,W,DEC,5 - 0,Abram Cline,84637,13 - 13,Maryland,Ayden Smith,92279
2025,02/14,Michigan State - Rutgers Dual,125,W,SV-1,4 - 1,Caleb Weiand,79429,13 - 18,Michigan State,Ayden Smith,92279
2025,12/29,Midlands Championships,125,L,DEC,9 - 2,Ethan Rivera,84435,10 - 8,Princeton,Ayden Smith,92279
2025,12/29,Midlands Championships,125,W,DEC,4 - 2,Colyn Limbert,85116,12 - 9,Pittsburgh,Ayden Smith,92279
2025,12/29,Midlands Championships,125,W,DEC,7 - 4,Jack Parker,83327,16 - 16,Franklin & Marshall,Ayden Smith,92279
2025,12/29,Midlands Championships,125,L,DEC,8 - 3,Chris Vargo,85069,19 - 13,Edinboro,Ayden Smith,92279
2025,11/22,Rutgers - Virginia Tech Dual,125,L,MD,13 - 0,Eddie Ventresca,62357,22 - 5,Virginia Tech,Ayden Smith,92279
2025,11/10,Journeymen Classic,125,W,MD,12 - 2,Ethan Grimminger,79008,3 - 13,Duke,Ayden Smith,92279
2025,11/10,Journeymen Classic,125,L,SV-1,8 - 5,Marcello Milani,78106,16 - 14,Cornell,Ayden Smith,92279
2025,11/10,Journeymen Classic,125,W,MD,11 - 3,Damian Moreno,84698,2 - 3,Arizona State,Ayden Smith,92279
2025,02/01,Northwestern - Indiana Dual,125,L,TF5,21 - 6 5:44,Jacob Moran,63550,26 - 11,Indiana,Patrick Adams,72223
2025,12/29,Midlands Championships,125,L,MD,13 - 1,Marc-Anthony McGowan,79468,16 - 4,Princeton,Patrick Adams,72223
2025,12/29,Midlands Championships,125,W,MD,15 - 3,Christian Tanefeu,73460,8 - 12,Michigan,Patrick Adams,72223
2025,12/29,Midlands Championships,125,W,DEC,7 - 5,Caleb Weiand,79429,13 - 18,Michigan State,Patrick Adams,72223
2025,12/29,Midlands Championships,125,L,MD,10 - 2,Blake West,73337,24 - 7,Northern Illinois,Patrick Adams,72223
2024,03/09,Big Ten Championships,133,L,TF5,21 - 5 4:09,Jacob Van Dee,73557,23 - 10,Nebraska,Patrick Adams,72223
2024,03/09,Big Ten Championships,133,L,DEC,5 - 1,Andrew Hampton,73020,5 - 21,Michigan State,Patrick Adams,72223
2024,02/16,Northwestern - Binghamton Dual,133,L,MD,9 - 0,Micah Roes,67299,23 - 11,Binghamton,Patrick Adams,72223
2024,02/09,Purdue - Northwestern Dual,133,L,MD,9 - 1,Dustin Norris,72154,7 - 16,Purdue,Patrick Adams,72223
2024,02/04,Northwestern - Minnesota Dual,133,L,TF5,21 - 5 6:11,Tyler Wells,79021,16 - 8,Minnesota,Patrick Adams,72223
2024,02/02,Northwestern - Wisconsin Dual,133,L,MD,13 - 4,Nicolar Rivera,78438,11 - 12,Wisconsin,Patrick Adams,72223
2024,01/28,Northwestern - Iowa Dual,133,L,TF5,24 - 9 5:09,Cullan Schriever,57331,8 - 3,Iowa,Patrick Adams,72223
2024,01/26,Nebraska - Northwestern Dual,133,L,TF5,17 - 2 6:48,Jacob Van Dee,73557,23 - 10,Nebraska,Patrick Adams,72223
2024,01/14,Northwestern - Maryland Dual,133,L,TF5,18 - 3 5:53,Braxton Brown,72103,20 - 12,Maryland,Patrick Adams,72223
