Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,02/09,Sacred Heart - Binghamton Dual,133,L,FALL,7:00,Dillon Arrick,92942,7 - 7,Binghamton,Mike Manta,79721
2025,11/16,Sacred Heart - Duke Dual,125,L,MD,17 - 9,Ethan Grimminger,79008,3 - 13,Duke,Mike Manta,79721
2025,11/16,The Citadel - Sacred Heart Dual,125,L,FALL,6:50,Malik Hardy,73357,8 - 6,The Citadel,Mike Manta,79721
2025,11/09,Sacred Heart - VMI Dual,125,W,DEC,8 - 2,Cody Tanner,93674,5 - 12,VMI,Mike Manta,79721
2025,11/09,Buffalo - Sacred Heart Dual,125,L,MD,14 - 3,Max Elton,79785,17 - 19,Buffalo,Mike Manta,79721
2025,11/03,Sacred Heart - Presbyterian Dual,125,W,DEC,11 - 4,Brayden Adams,78607,2 - 14,Presbyterian,Mike Manta,79721
2024,11/11,Sacred Heart - Bloomsburg Dual,125,L,MD,15 - 1,Bronson Garber,56759,13 - 21,Bloomsburg,Mike Manta,79721
2023,03/04,EIWA Championships,125,L,FALL,1:36,Patrick Glory,51100,24 - 0,Princeton,Mike Manta,79721
2023,03/04,EIWA Championships,125,L,TF5,18 - 0 1:53,Mason Leiphart,73193,23 - 13,Franklin & Marshall,Mike Manta,79721
2023,02/19,Brown - Sacred Heart Dual,133,L,FALL,1:56,Hunter Adrian,65842,20 - 13,Brown,Mike Manta,79721
2023,02/18,LIU - Sacred Heart Dual,125,L,TF5,17 - 2 7:00,Robbie Sagaris,73406,11 - 14,LIU,Mike Manta,79721
2023,02/11,Hofstra - Sacred Heart Dual,125,L,DEC,10 - 4,Jacob Moon,73024,9 - 15,Hofstra,Mike Manta,79721
2023,02/05,Bloomsburg - Sacred Heart Dual,125,L,TF5,15 - 0 7:00,Bronson Garber,56759,6 - 15,Bloomsburg,Mike Manta,79721
2023,01/29,Sacred Heart - Franklin & Marshall Dual,125,L,TF5,16 - 0 3:10,Mason Leiphart,73193,23 - 13,Franklin & Marshall,Mike Manta,79721
2023,01/15,VMI - Sacred Heart Dual,125,L,DEC,7 - 2,Tony Burke,78464,5 - 13,VMI,Mike Manta,79721
2023,01/06,David Lehman Open,125,W,DEC,9 - 6,Brayden Adams,78607,0 - 8,Presbyterian,Mike Manta,79721
