Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/07,MAC Championships,125,W,DEC,2 - 1,Ben Monn,69708,17 - 13,George Mason,Drew Davis,84419
2025,03/07,MAC Championships,125,W,FALL,2:00,Tyeler Hagensen,90801,9 - 21,Kent State,Drew Davis,84419
2025,03/07,MAC Championships,125,L,DEC,5 - 0,Blake West,73337,24 - 7,Northern Illinois,Drew Davis,84419
2025,03/07,MAC Championships,125,W,DEC,7 - 5,Chris Vargo,85069,19 - 13,Edinboro,Drew Davis,84419
2025,02/22,Northern Illinois - Southern Illinois Edwardsville Dual,125,L,DEC,3 - 0,Blake West,73337,24 - 7,Northern Illinois,Drew Davis,84419
2025,02/16,Southern Illinois Edwardsville - Central Michigan Dual,125,W,DEC,8 - 3,Grant Stahl,84287,7 - 19,Central Michigan,Drew Davis,84419
2025,02/14,Ohio - Southern Illinois Edwardsville Dual,125,W,MD,17 - 3,Ryan Meek,79652,3 - 15,Ohio,Drew Davis,84419
2025,02/02,Southern Illinois Edwardsville - Cal Poly Dual,125,L,DEC,4 - 2,Koda Holeman,73792,19 - 13,Cal Poly,Drew Davis,84419
2025,01/31,Southern Illinois Edwardsville - Cal Baptist Dual,125,W,DEC,4 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Drew Davis,84419
2025,01/19,Southern Illinois Edwardsville - Clarion Dual,125,W,DEC,5 - 4,Travis Clawson,93659,12 - 12,Clarion,Drew Davis,84419
2025,01/17,Southern Illinois Edwardsville - Kent State Dual,125,W,TF5,18 - 3 7:00,Gunner Havens,84318,1 - 3,Kent State,Drew Davis,84419
2025,01/11,CSU Bakersfield - SIU Edwardsville Dual,125,L,DEC,2 - 1,Richard Castro-Sandoval,69366,16 - 12,CSU Bakersfield,Drew Davis,84419
2025,01/10,SIU Edwardsville - George Mason Dual,125,W,TB-1,2 - 1,Ben Monn,69708,17 - 13,George Mason,Drew Davis,84419
2025,01/10,SIU Edwardsville - Little Rock Dual,125,L,DEC,5 - 4,Jayden Carson,62838,3 - 13,Little Rock,Drew Davis,84419
2025,12/29,Midlands Championships,125,L,MD,13 - 3,Max Gallagher,78893,26 - 10,Pennsylvania,Drew Davis,84419
2025,12/29,Midlands Championships,125,L,DEC,8 - 6,Kaden Chinavare,77647,7 - 10,Central Michigan,Drew Davis,84419
2025,12/29,Midlands Championships,125,W,DEC,4 - 2,Joey Ruzic,79555,1 - 5,Illinois,Drew Davis,84419
2025,11/09,Tiger Style Invite,125,W,TF5,17 - 2 5:50,Marcus Williams,84422,1 - 4,Little Rock,Drew Davis,84419
2025,11/09,Tiger Style Invite,125,L,CMFF,0 - 0,Reid Nelson,72129,4 - 2,Little Rock,Drew Davis,84419
2025,11/09,Tiger Style Invite,125,L,DEC,7 - 2,Koda Holeman,73792,19 - 13,Cal Poly,Drew Davis,84419
2025,11/09,Tiger Style Invite,125,L,DEC,12 - 6,Luqman Masud,76147,2 - 5,Missouri,Drew Davis,84419
2025,11/02,Illinois - Southern Illinois Edwardsville Dual,125,W,DEC,8 - 5,Ramazan Attasauov,58943,0 - 1,Illinois,Drew Davis,84419
2025,02/09,Greyhound Open,125,W,TF5,20 - 4 7:00,Brady Byrd,94375,Unlisted,Indiana Tech,Davian Guanajuato,74863
2025,02/09,Greyhound Open,125,W,MD,12 - 4,Drew Hensen,93545,6 - 8,Michigan State,Davian Guanajuato,74863
2025,02/09,Greyhound Open,125,L,MD,12 - 0,Ashton Jackson,81722,15 - 8,Purdue,Davian Guanajuato,74863
2025,02/09,Greyhound Open,125,W,DEC,8 - 2,Damion Ryan,78489,4 - 12,Bellarmine,Davian Guanajuato,74863
2025,02/09,Greyhound Open,125,W,FALL,3:53,Mason Jones,86211,Unlisted,Manchester,Davian Guanajuato,74863
2025,02/01,Missouri Valley Open,125,W,MFOR,0 - 0,Ryker Smith,98457,Unlisted,Missouri Valley,Davian Guanajuato,74863
2025,02/01,Missouri Valley Open,125,W,FALL,4:13,Adrian Jimenez,88410,Unlisted,Missouri Valley,Davian Guanajuato,74863
2025,02/01,Missouri Valley Open,125,W,FALL,6:15,Isaac Gibbs,86684,Unlisted,Indian Hills,Davian Guanajuato,74863
2025,02/01,Missouri Valley Open,125,W,MD,13 - 3,Robert Albert,86655,Unlisted,Missouri Valley,Davian Guanajuato,74863
2025,02/01,Missouri Valley Open,125,L,TB-1,2 - 1,Mack Mauger,84326,12 - 6,Missouri,Davian Guanajuato,74863
2025,12/29,Midlands Championships,125,W,DEC,7 - 2,Mitchell Neiner,83540,5 - 18,Cal Baptist,Davian Guanajuato,74863
2025,12/29,Midlands Championships,125,L,TF5,23 - 7 7:00,Blaine Frazier,78575,13 - 5,Indiana,Davian Guanajuato,74863
2025,12/29,Midlands Championships,125,L,DEC,5 - 3,Diego Sotelo,71874,12 - 6,Harvard,Davian Guanajuato,74863
2025,12/20,Buffalo - Southern Illinois Edwardsville Dual,125,W,DEC,9 - 3,Max Elton,79785,17 - 19,Buffalo,Davian Guanajuato,74863
2025,12/07,Cougar Clash,125,L,DEC,4 - 2,Mack Mauger,84326,12 - 6,Missouri,Davian Guanajuato,74863
2025,12/07,Cougar Clash,125,W,DEC,1 - 0,Brandon Morvari,81742,4 - 6,Minnesota,Davian Guanajuato,74863
2025,12/07,Cougar Clash,125,L,DEC,5 - 0,Blake West,73337,24 - 7,Northern Illinois,Davian Guanajuato,74863
2025,12/07,Cougar Clash,125,W,MD,16 - 7,Marcus Williams,84422,1 - 4,Little Rock,Davian Guanajuato,74863
2025,11/24,George Mason - Southern Illinois Edwardsville Dual,125,L,SV-1,7 - 4,Ben Monn,69708,17 - 13,George Mason,Davian Guanajuato,74863
2025,11/16,Eureka - Southern Illinois Edwardsville Dual,125,W,TF5,19 - 4 2:40,Jake Jozwiak,71209,Unlisted,Eureka,Davian Guanajuato,74863
2025,11/09,Tiger Style Invite,125,L,TF5,16 - 0 2:35,Matt Ramos,57134,31 - 3,Purdue,Davian Guanajuato,74863
2025,11/09,Tiger Style Invite,125,W,MD,13 - 3,Reid Nelson,72129,4 - 2,Little Rock,Davian Guanajuato,74863
2025,11/09,Tiger Style Invite,125,L,DEC,1 - 0,Gage Walker,84476,11 - 11,Missouri,Davian Guanajuato,74863
2025,11/09,Tiger Style Invite,125,W,MD,13 - 5,Luqman Masud,76147,2 - 5,Missouri,Davian Guanajuato,74863
2024,03/08,MAC Championships,125,W,DEC,8 - 3,Benjamin Aranda,71804,11 - 13,Cleveland State,Davian Guanajuato,74863
2024,03/08,MAC Championships,125,W,CMFF,0 - 0,Joseph Fischer,68702,17 - 13,Clarion,Davian Guanajuato,74863
2024,03/08,MAC Championships,125,L,DEC,1 - 0,Sean Spidle,63063,16 - 10,Central Michigan,Davian Guanajuato,74863
2024,03/08,MAC Championships,125,L,DEC,7 - 3,Blake West,73337,23 - 8,Northern Illinois,Davian Guanajuato,74863
2024,03/08,MAC Championships,125,W,DEC,7 - 5,Max Elton,79785,10 - 18,Buffalo,Davian Guanajuato,74863
