Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,11/17,Daktronics Invitational,125,L,CMFF,0 - 0,Beric Jordan,84763,12 - 3,Oklahoma,Brady Roark,79469
2025,11/17,Daktronics Invitational,125,W,DEC,5 - 3,Kael Lauridsen,78611,5 - 4,Nebraska,Brady Roark,79469
2025,11/17,Daktronics Invitational,125,W,DEC,1 - 0,Antonio Lorenzo,57329,18 - 11,Oklahoma,Brady Roark,79469
2025,11/17,Daktronics Invitational,125,W,INJ,0:41,Richard Figueroa,61129,17 - 4,Arizona State,Brady Roark,79469
2025,11/15,Augustana (SD) - South Dakota State Dual,125,W,DEC,9 - 5,Jaxson Rohman,73229,Unlisted,Augustana,Brady Roark,79469
2025,11/09,Bison Open,125,W,MD,11 - 1,Kody Tanimoto,85100,1 - 8,North Dakota State,Brady Roark,79469
2025,11/09,Bison Open,125,W,DEC,4 - 1,Tristan Daugherty,62877,10 - 16,North Dakota State,Brady Roark,79469
2025,11/09,Bison Open,125,W,MD,10 - 2,Blake Beissel,82489,4 - 6,Minnesota,Brady Roark,79469
2025,11/09,Bison Open,125,W,TF5,20 - 5 7:00,Quincy Hulverson,78579,1 - 6,Minnesota,Brady Roark,79469
2024,02/03,Don Parker Open,125,W,TF5,20 - 4 7:00,Julian Long,79965,Unlisted,Nebraska Wesleyan,Brady Roark,79469
2024,02/03,Don Parker Open,125,W,DEC,14 - 8,Wyatt Kaczrowski,76076,Unlisted,Augsburg,Brady Roark,79469
2024,02/03,Don Parker Open,125,W,TF5,19 - 3 7:00,Dominic Ducato,82512,Unlisted,St Cloud State,Brady Roark,79469
2024,02/03,Don Parker Open,125,W,TF5,18 - 2 7:00,Archer Heelan,76358,Unlisted,St Cloud State,Brady Roark,79469
2024,01/27,Loras College Open,125,W,DEC,7 - 1,Gabe Gonzales,87572,Unlisted,Grand View,Brady Roark,79469
2024,01/27,Loras College Open,125,W,DEC,5 - 0,Brandon Paez,82508,6 - 6,Northern Iowa,Brady Roark,79469
