Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2024,03/21,NCAA Championships,125,L,DEC,5 - 4,Jore Volk,72600,22 - 8,Wyoming,Nico Provo,65883
2024,03/21,NCAA Championships,125,W,DEC,12 - 6,Brendan McCrone,76350,18 - 13,Ohio State,Nico Provo,65883
2024,03/21,NCAA Championships,125,L,TF5,19 - 4 5:20,Drake Ayala,66975,23 - 5,Iowa,Nico Provo,65883
2024,03/21,NCAA Championships,125,W,MD,13 - 4,Jett Strickenberger,74382,18 - 6,West Virginia,Nico Provo,65883
2024,03/10,Pac 12 True,125,W,DEC,9 - 6,Brandon Kaylor,51198,12 - 10,Oregon State,Nico Provo,65883
2024,03/10,PAC 12 Championships,125,W,MD,12 - 2,Richard Castro-Sandoval,69366,10 - 14,CSU Bakersfield,Nico Provo,65883
2024,03/10,PAC 12 Championships,125,W,DEC,8 - 2,Dominic Mendez,73704,15 - 12,Cal Poly,Nico Provo,65883
2024,03/10,PAC 12 Championships,125,L,SV-1,4 - 1,Richard Figueroa,61129,15 - 5,Arizona State,Nico Provo,65883
2024,02/18,Oregon State - Stanford Dual,125,L,DEC,7 - 3,Brandon Kaylor,51198,12 - 10,Oregon State,Nico Provo,65883
2024,02/17,Stanford - Arizona State Dual,125,W,SV-1,13 - 8,Richard Figueroa,61129,15 - 5,Arizona State,Nico Provo,65883
2024,02/11,Cal Poly - Stanford Dual,125,W,DEC,8 - 2,Dominic Mendez,73704,15 - 12,Cal Poly,Nico Provo,65883
2024,01/28,Little Rock - Stanford Dual,125,W,DEC,13 - 11,Jeremiah Reno,62342,14 - 11,Little Rock,Nico Provo,65883
2024,01/21,Stanford - Drexel Dual,125,W,DEC,8 - 6,Desmond Pleasant,71583,19 - 16,Drexel,Nico Provo,65883
2024,01/21,Stanford - Pennsylvania Dual,125,L,SV-1,11 - 8,Max Gallagher,78893,19 - 10,Pennsylvania,Nico Provo,65883
2024,01/10,Missouri - Stanford Dual,125,L,MD,12 - 3,Noah Surtin,56715,15 - 6,Missouri,Nico Provo,65883
2024,01/01,Southern Scuffle,125,W,MD,8 - 0,Conrad Hendriksen,80186,12 - 12,Oklahoma,Nico Provo,65883
2024,01/01,Southern Scuffle,125,L,DEC,6 - 5,Stevo Poulin,71929,18 - 6,Northern Colorado,Nico Provo,65883
2024,01/01,Southern Scuffle,125,W,TF5,21 - 4 6:47,Matthew Rowland,80035,4 - 10,Gardner-Webb,Nico Provo,65883
2024,01/01,Southern Scuffle,125,W,TF5,15 - 0 1:59,Marcus Wright,84410,0 - 8,The Citadel,Nico Provo,65883
2024,01/01,Southern Scuffle,125,W,TF5,17 - 1 5:57,Desmond Pleasant,71583,19 - 16,Drexel,Nico Provo,65883
2024,12/17,Stanford - Virginia Tech Dual,125,L,DEC,5 - 2,Cooper Flynn,72148,15 - 6,Virginia Tech,Nico Provo,65883
2024,12/01,Cliff Keen Invitational,125,W,DEC,13 - 6,Trever Anderson,76359,11 - 12,Northern Iowa,Nico Provo,65883
2024,12/01,Cliff Keen Invitational,125,W,DEC,5 - 1,Brett Ungar,68705,20 - 9,Cornell,Nico Provo,65883
2024,12/01,Cliff Keen Invitational,125,W,DEC,12 - 5,Kysen Terukina,67143,14 - 10,Iowa State,Nico Provo,65883
2024,12/01,Cliff Keen Invitational,125,W,DEC,8 - 1,Jore Volk,72600,22 - 8,Wyoming,Nico Provo,65883
2024,12/01,Cliff Keen Invitational,125,W,DEC,8 - 1,Matt Ramos,57134,27 - 7,Purdue,Nico Provo,65883
2024,11/12,Nebraska-Kearney - Stanford Dual,125,W,MD,11 - 2,Zach Ourada,79179,Unlisted,Nebraska-Kearney,Nico Provo,65883
2024,11/04,Duke - Stanford Dual,125,W,DEC,8 - 1,Logan Agin,62979,10 - 16,Duke,Nico Provo,65883
2023,03/16,NCAA Championships,125,L,DEC,4 - 1,Dean Peterson,72936,22 - 11,Rutgers,Nico Provo,65883
2023,03/16,NCAA Championships,125,L,DEC,3 - 2,Matt Ramos,57134,33 - 5,Purdue,Nico Provo,65883
2023,03/05,PAC 12 Championships,125,L,DEC,6 - 5,Brandon Kaylor,51198,18 - 9,Oregon State,Nico Provo,65883
2023,03/05,PAC 12 Championships,125,W,DEC,4 - 1,Jeremiah Reno,62342,15 - 10,Little Rock,Nico Provo,65883
2023,03/05,PAC 12 Championships,125,W,DEC,6 - 2,Eddie Flores,51127,6 - 13,CSU Bakersfield,Nico Provo,65883
2023,03/05,PAC 12 Championships,125,L,DEC,7 - 4,Antonio Lorenzo,57329,8 - 10,Cal Poly,Nico Provo,65883
2023,02/26,Stanford - Oregon State Dual,125,L,DEC,3 - 2,Brandon Kaylor,51198,18 - 9,Oregon State,Nico Provo,65883
2023,02/17,Stanford - Cal Poly Dual,125,W,DEC,9 - 2,Koda Holeman,73792,0 - 4,Cal Poly,Nico Provo,65883
2023,02/12,Stanford - Oklahoma State Dual,125,W,DEC,5 - 2,Reece Witcraft,57312,12 - 10,Oklahoma State,Nico Provo,65883
2023,02/10,Stanford - CSU Bakersfield Dual,125,W,DEC,9 - 5,Eddie Flores,51127,6 - 13,CSU Bakersfield,Nico Provo,65883
2023,01/22,Arizona State - Stanford Dual,125,L,MD,13 - 5,Richard Figueroa,61129,14 - 0,Arizona State,Nico Provo,65883
2023,01/15,Pennsylvania - Stanford Dual,125,L,DEC,7 - 4,Ryan Miller,62350,20 - 12,Pennsylvania,Nico Provo,65883
2023,01/12,North Dakota State - Stanford Dual,125,W,DEC,10 - 6,Ryan Henningson,67078,2 - 9,North Dakota State,Nico Provo,65883
2023,01/12,Cal Baptist - Stanford Dual,125,L,MD,11 - 2,Eli Griffin,68743,5 - 5,Cal Baptist,Nico Provo,65883
2023,01/01,Southern Scuffle,125,W,DEC,9 - 3,Trevor Mastrogiovanni,57608,11 - 5,Oklahoma State,Nico Provo,65883
2023,01/01,Southern Scuffle,125,L,DEC,3 - 1,Trevor Mastrogiovanni,57608,11 - 5,Oklahoma State,Nico Provo,65883
2023,01/01,Southern Scuffle,125,W,DEC,9 - 4,Jeremiah Reno,62342,15 - 10,Little Rock,Nico Provo,65883
2023,01/01,Southern Scuffle,125,W,SV-1,6 - 4,Troy Spratley,73119,7 - 2,Minnesota,Nico Provo,65883
2023,01/01,Southern Scuffle,125,W,DEC,10 - 3,Stevo Poulin,71929,27 - 7,Northern Colorado,Nico Provo,65883
2023,01/01,Southern Scuffle,125,W,DEC,8 - 5,Richard Castro-Sandoval,69366,5 - 8,CSU Bakersfield,Nico Provo,65883
2023,12/18,Lindenwood (Mo) - Stanford Dual,125,W,TF5,18 - 2 5:08,Austin Kegley,70722,1 - 12,Lindenwood,Nico Provo,65883
2023,12/18,Virginia Tech - Stanford Dual,125,W,TB-1,3 - 1,Cooper Flynn,72148,14 - 6,Virginia Tech,Nico Provo,65883
2023,11/19,Rutgers - Stanford Dual,125,L,MD,11 - 2,Dean Peterson,72936,22 - 11,Rutgers,Nico Provo,65883
2023,11/12,Appalachian State Invitational,125,W,SV-1,8 - 4,Kyle Montaperto,73138,6 - 6,Virginia,Nico Provo,65883
2023,11/12,Appalachian State Invitational,125,L,DEC,16 - 9,Jake Ferri,51179,21 - 9,Kent State,Nico Provo,65883
2023,11/12,Appalachian State Invitational,125,W,DEC,10 - 6,Drew West,50041,23 - 11,Gardner-Webb,Nico Provo,65883
2023,11/12,Appalachian State Invitational,125,W,MD,14 - 1,Tucker Owens,71711,22 - 14,Air Force,Nico Provo,65883
2023,11/06,Menlo Open,125,W,FALL,0:59,Mikey Dover,81172,Unlisted,Unattached,Nico Provo,65883
2023,11/06,Menlo Open,125,W,TF5,17 - 1 3:08,Sadiri Andaya,81166,Unlisted,San Joaquin Delta College,Nico Provo,65883
