Season,Date,Event,Weight Class,Result,Result Type,Score,Opponent,Opponent ID,Opponent Record,Opponent School,Wrestler,Wrestler ID
2025,03/20,NCAA Championships,125,L,DEC,8 - 4,Caleb Weiand,79429,13 - 18,Michigan State,Gylon Sims,84440
2025,03/20,NCAA Championships,125,L,DEC,5 - 1,Eddie Ventresca,62357,22 - 5,Virginia Tech,Gylon Sims,84440
2025,03/07,SoCon Championships,125,W,DEC,7 - 6,Tyson Lane,75724,9 - 9,Gardner-Webb,Gylon Sims,84440
2025,03/07,SoCon Championships,125,W,TF5,17 - 2 6:51,Luke Passarelli,78850,5 - 13,Davidson,Gylon Sims,84440
2025,03/07,SoCon Championships,125,W,MD,11 - 2,Jack Parker,71291,15 - 11,Bellarmine,Gylon Sims,84440
2025,02/23,Gardner-Webb - The Citadel Dual,125,W,DEC,6 - 4,Tyson Lane,75724,9 - 9,Gardner-Webb,Gylon Sims,84440
2025,02/16,The Citadel - VMI Dual,125,W,TF5,19 - 4 6:34,Waylon Rogers,93673,4 - 15,VMI,Gylon Sims,84440
2025,02/14,Campbell - The Citadel Dual,125,W,SV-1,8 - 5,Cooper Shore,84285,18 - 3,Campbell,Gylon Sims,84440
2025,02/07,The Citadel - Bellarmine Dual,125,L,MD,20 - 10,Jack Parker,71291,15 - 11,Bellarmine,Gylon Sims,84440
2025,02/02,Chattanooga - The Citadel Dual,125,W,MD,13 - 3,Ty Tice,84391,7 - 19,Chattanooga,Gylon Sims,84440
2025,01/26,Presbyterian - The Citadel Dual,125,W,MD,14 - 3,Brayden Adams,78607,2 - 14,Presbyterian,Gylon Sims,84440
2025,01/24,The Citadel - Davidson Dual,125,W,INJ,3:25,Luke Passarelli,78850,5 - 13,Davidson,Gylon Sims,84440
2025,01/17,Morgan State - The Citadel Dual,125,W,MD,13 - 4,Julian Dawson,84955,4 - 16,Morgan State,Gylon Sims,84440
2025,01/17,The Citadel - Lock Haven Dual,125,W,DEC,9 - 5,Sean Logue,78512,9 - 4,Lock Haven,Gylon Sims,84440
2025,01/12,Appalachian State - The Citadel Dual,125,W,DEC,8 - 2,Bryson Terrell,79650,11 - 13,Appalachian State,Gylon Sims,84440
2025,01/04,Southern Scuffle,125,L,MD,11 - 3,Keyveon Roller,73139,14 - 9,Virginia,Gylon Sims,84440
2025,01/04,Southern Scuffle,125,W,MD,17 - 3,Bryson Valdez,85101,1 - 5,Northern Colorado,Gylon Sims,84440
2025,01/04,Southern Scuffle,125,W,DEC,5 - 4,Cam Stinson,84378,12 - 7,North Carolina,Gylon Sims,84440
2025,01/04,Southern Scuffle,125,W,DEC,5 - 4,Nain Vasquez,76010,10 - 7,Army West Point,Gylon Sims,84440
2025,01/04,Southern Scuffle,125,L,DEC,4 - 2,Jeffrey Jacome,73699,11 - 14,Gardner-Webb,Gylon Sims,84440
2025,11/23,Navy Classic,125,L,DEC,5 - 1,Malik Hardy,73357,8 - 6,The Citadel,Gylon Sims,84440
2025,11/23,Navy Classic,125,W,DEC,4 - 2,Garrett Totten,81066,2 - 4,Navy,Gylon Sims,84440
